alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,sqlite3,4,1625077915, 0, 0, 12, 12, 3, 2.54%, 0, 0, 1, 32.39
AFLfast,sqlite3,4,1625078039, 0, 0, 13, 13, 3, 2.54%, 0, 0, 2, 15.66
AFLfast,sqlite3,4,1625078424, 0, 0, 14, 14, 3, 2.55%, 0, 0, 2, 26.29
AFLfast,sqlite3,4,1625078481, 0, 0, 17, 17, 3, 2.57%, 0, 0, 2, 20.06
AFLfast,sqlite3,4,1625078831, 0, 0, 18, 18, 3, 2.57%, 0, 0, 2, 18.99
AFLfast,sqlite3,4,1625078851, 0, 12, 18, 17, 6, 2.57%, 0, 0, 2, 20.97
AFLfast,sqlite3,4,1625079664, 0, 12, 19, 18, 6, 2.58%, 0, 0, 3, 19.47
AFLfast,sqlite3,4,1625079720, 0, 18, 19, 17, 6, 2.58%, 0, 0, 3, 19.51
AFLfast,sqlite3,4,1625080096, 0, 18, 20, 18, 6, 9.17%, 0, 0, 4, 19.23
AFLfast,sqlite3,4,1625080577, 0, 19, 20, 17, 6, 9.17%, 0, 0, 4, 17.14
AFLfast,sqlite3,4,1625080922, 1, 14, 20, 16, 5, 9.17%, 0, 0, 4, 14.90
AFLfast,sqlite3,4,1625081784, 1, 15, 20, 15, 4, 9.17%, 0, 0, 4, 20.32
AFLfast,sqlite3,4,1625082646, 1, 17, 20, 14, 4, 9.17%, 0, 0, 4, 19.18
AFLfast,sqlite3,4,1625082656, 2, 13, 20, 13, 3, 9.17%, 0, 0, 4, 18.93
AFLfast,sqlite3,4,1625083400, 3, 17, 20, 12, 2, 9.17%, 0, 0, 4, 31.00
AFLfast,sqlite3,4,1625083405, 6, 17, 20, 12, 2, 9.17%, 0, 0, 4, 30.48
AFLfast,sqlite3,4,1625083410, 10, 17, 20, 12, 2, 9.17%, 0, 0, 4, 29.92
AFLfast,sqlite3,4,1625083415, 14, 17, 20, 12, 2, 9.17%, 0, 0, 4, 29.51
AFLfast,sqlite3,4,1625083420, 18, 0, 20, 12, 2, 9.17%, 0, 0, 4, 32.23
AFLfast,sqlite3,4,1625083426, 21, 17, 20, 12, 2, 9.17%, 0, 0, 4, 32.12
AFLfast,sqlite3,4,1625083431, 25, 17, 20, 12, 2, 9.17%, 0, 0, 4, 33.87
AFLfast,sqlite3,4,1625083436, 29, 17, 20, 12, 2, 9.17%, 0, 0, 4, 34.15
AFLfast,sqlite3,4,1625083441, 34, 17, 20, 12, 2, 9.17%, 0, 0, 4, 33.95
AFLfast,sqlite3,4,1625083446, 38, 17, 20, 12, 2, 9.17%, 0, 0, 4, 32.73
AFLfast,sqlite3,4,1625083451, 42, 17, 20, 12, 2, 9.17%, 0, 0, 4, 32.47
AFLfast,sqlite3,4,1625083456, 46, 17, 20, 12, 2, 9.17%, 0, 0, 4, 33.04
AFLfast,sqlite3,4,1625083461, 50, 17, 20, 12, 2, 9.17%, 0, 0, 4, 33.95
AFLfast,sqlite3,4,1625083467, 54, 1, 20, 12, 2, 9.17%, 0, 0, 4, 34.10
AFLfast,sqlite3,4,1625083891, 54, 2, 20, 11, 2, 9.17%, 0, 0, 4, 38.56
AFLfast,sqlite3,4,1625084019, 57, 17, 20, 10, 1, 9.17%, 0, 0, 4, 36.91
AFLfast,sqlite3,4,1625084024, 62, 17, 20, 10, 1, 9.17%, 0, 0, 4, 35.31
AFLfast,sqlite3,4,1625084029, 66, 17, 20, 10, 1, 9.17%, 0, 0, 4, 36.06
