alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tcpdump,5,1624954590, 0, 0, 2.45
AFLfast,tcpdump,5,1624954824, 0, 0, 2.79
AFLfast,tcpdump,5,1624954834, 0, 0, 2.75
AFLfast,tcpdump,5,1624955056, 0, 0, 2.65
AFLfast,tcpdump,5,1624955271, 0, 0, 2.66
AFLfast,tcpdump,5,1624955506, 0, 0, 2.75
AFLfast,tcpdump,5,1624955735, 0, 0, 2.70
AFLfast,tcpdump,5,1624955952, 0, 0, 2.69
AFLfast,tcpdump,5,1624956177, 0, 0, 2.59
AFLfast,tcpdump,5,1624956388, 0, 0, 2.70
AFLfast,tcpdump,5,1624956607, 0, 0, 2.60
AFLfast,tcpdump,5,1624956835, 0, 0, 2.69
AFLfast,tcpdump,5,1624957064, 0, 0, 2.09
AFLfast,tcpdump,5,1624957315, 0, 0, 1.94
AFLfast,tcpdump,5,1624957585, 0, 0, 1.96
AFLfast,tcpdump,5,1624957858, 0, 0, 2.20
AFLfast,tcpdump,5,1624958130, 0, 0, 2.21
AFLfast,tcpdump,5,1624958401, 0, 0, 2.24
AFLfast,tcpdump,5,1624958675, 0, 0, 2.21
AFLfast,tcpdump,5,1624958949, 0, 0, 2.24
AFLfast,tcpdump,5,1624959225, 0, 0, 2.23
AFLfast,tcpdump,5,1624959493, 0, 0, 2.23
AFLfast,tcpdump,5,1624959509, 0, 0, 2.25
AFLfast,tcpdump,5,1624959525, 0, 0, 2.23
AFLfast,tcpdump,5,1624959541, 0, 0, 2.23
AFLfast,tcpdump,5,1624959557, 0, 0, 2.25
AFLfast,tcpdump,5,1624959579, 0, 0, 2.27
AFLfast,tcpdump,5,1624959595, 0, 0, 2.21
AFLfast,tcpdump,5,1624959611, 0, 0, 2.20
AFLfast,tcpdump,5,1624959627, 0, 0, 2.23
AFLfast,tcpdump,5,1624959642, 0, 0, 2.25
AFLfast,tcpdump,5,1624959663, 0, 0, 2.21
AFLfast,tcpdump,5,1624959679, 0, 0, 2.24
AFLfast,tcpdump,5,1624959695, 0, 0, 2.25
AFLfast,tcpdump,5,1624959711, 0, 0, 2.22
AFLfast,tcpdump,5,1624959733, 0, 0, 2.25
AFLfast,tcpdump,5,1624959749, 0, 0, 2.26
AFLfast,tcpdump,5,1624959764, 0, 0, 2.21
AFLfast,tcpdump,5,1624959780, 0, 0, 2.22
AFLfast,tcpdump,5,1624959801, 0, 0, 2.19
AFLfast,tcpdump,5,1624959816, 0, 0, 2.18
AFLfast,tcpdump,5,1624959832, 0, 0, 2.18
AFLfast,tcpdump,5,1624959852, 0, 0, 2.18
AFLfast,tcpdump,5,1624959868, 0, 0, 2.19
AFLfast,tcpdump,5,1624959884, 0, 0, 2.24
AFLfast,tcpdump,5,1624959900, 0, 0, 2.25
AFLfast,tcpdump,5,1624959921, 0, 0, 2.26
AFLfast,tcpdump,5,1624959937, 0, 0, 2.28
AFLfast,tcpdump,5,1624959953, 0, 0, 2.23
AFLfast,tcpdump,5,1624959969, 0, 0, 2.20
AFLfast,tcpdump,5,1624959990, 0, 0, 2.25
AFLfast,tcpdump,5,1624960006, 0, 0, 2.26
AFLfast,tcpdump,5,1624960022, 0, 0, 2.20
AFLfast,tcpdump,5,1624960038, 0, 0, 2.26
AFLfast,tcpdump,5,1624960054, 0, 0, 2.22
AFLfast,tcpdump,5,1624960075, 0, 0, 2.26
AFLfast,tcpdump,5,1624960091, 0, 0, 2.21
AFLfast,tcpdump,5,1624960107, 0, 0, 2.23
AFLfast,tcpdump,5,1624960123, 0, 0, 2.24
AFLfast,tcpdump,5,1624960139, 0, 0, 2.27
AFLfast,tcpdump,5,1624960160, 0, 0, 2.22
AFLfast,tcpdump,5,1624960175, 0, 0, 2.21
AFLfast,tcpdump,5,1624960191, 0, 0, 2.22
AFLfast,tcpdump,5,1624960211, 0, 0, 2.22
AFLfast,tcpdump,5,1624960227, 0, 0, 2.27
AFLfast,tcpdump,5,1624960243, 0, 0, 2.26
AFLfast,tcpdump,5,1624960259, 0, 0, 2.26
AFLfast,tcpdump,5,1624960275, 0, 0, 2.22
AFLfast,tcpdump,5,1624960297, 0, 0, 2.23
AFLfast,tcpdump,5,1624960312, 0, 0, 2.18
AFLfast,tcpdump,5,1624960327, 0, 0, 2.22
AFLfast,tcpdump,5,1624960348, 0, 0, 2.19
AFLfast,tcpdump,5,1624960364, 0, 0, 2.18
AFLfast,tcpdump,5,1624960380, 0, 0, 2.21
AFLfast,tcpdump,5,1624960401, 0, 0, 2.18
AFLfast,tcpdump,5,1624960416, 0, 0, 2.18
AFLfast,tcpdump,5,1624960432, 0, 0, 2.21
AFLfast,tcpdump,5,1624960453, 0, 0, 2.20
AFLfast,tcpdump,5,1624960469, 0, 0, 2.24
AFLfast,tcpdump,5,1624960484, 0, 0, 2.22
AFLfast,tcpdump,5,1624960501, 0, 0, 2.22
AFLfast,tcpdump,5,1624960517, 0, 0, 2.22
AFLfast,tcpdump,5,1624960538, 0, 0, 2.24
AFLfast,tcpdump,5,1624960554, 0, 0, 2.25
AFLfast,tcpdump,5,1624960570, 0, 0, 2.24
AFLfast,tcpdump,5,1624960586, 0, 0, 2.24
AFLfast,tcpdump,5,1624960602, 0, 0, 2.24
AFLfast,tcpdump,5,1624960623, 0, 0, 2.25
AFLfast,tcpdump,5,1624960639, 0, 0, 2.27
AFLfast,tcpdump,5,1624960655, 0, 0, 2.25
