alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tcpdump,8,1624955523, 0, 0, 23, 23, 1, 0.13%, 0, 0, 1, 2.70
AFLfast,tcpdump,8,1624955747, 1, 0, 23, 22, 0, 0.13%, 0, 0, 1, 2.79
AFLfast,tcpdump,8,1624955757, 1, 1, 23, 22, 0, 0.13%, 0, 0, 1, 2.89
AFLfast,tcpdump,8,1624955975, 1, 2, 23, 21, 0, 0.13%, 0, 0, 1, 3.02
AFLfast,tcpdump,8,1624956192, 1, 3, 23, 20, 0, 0.13%, 0, 0, 1, 2.69
AFLfast,tcpdump,8,1624956403, 1, 4, 23, 19, 0, 0.13%, 0, 0, 1, 2.70
AFLfast,tcpdump,8,1624956626, 1, 5, 23, 18, 0, 0.13%, 0, 0, 1, 2.62
AFLfast,tcpdump,8,1624956850, 1, 6, 23, 17, 0, 0.13%, 0, 0, 1, 2.71
AFLfast,tcpdump,8,1624957085, 1, 7, 23, 16, 0, 0.13%, 0, 0, 1, 2.12
AFLfast,tcpdump,8,1624957331, 1, 8, 23, 15, 0, 0.13%, 0, 0, 1, 1.93
AFLfast,tcpdump,8,1624957601, 1, 9, 23, 14, 0, 0.13%, 0, 0, 1, 2.00
AFLfast,tcpdump,8,1624957874, 1, 10, 23, 13, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624958151, 1, 11, 23, 12, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624958426, 1, 12, 23, 11, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624958696, 1, 13, 23, 10, 0, 0.13%, 0, 0, 1, 2.19
AFLfast,tcpdump,8,1624958973, 1, 14, 23, 9, 0, 0.13%, 0, 0, 1, 2.19
AFLfast,tcpdump,8,1624959249, 1, 15, 23, 8, 0, 0.13%, 0, 0, 1, 2.20
AFLfast,tcpdump,8,1624959527, 1, 16, 23, 7, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624959796, 1, 17, 23, 6, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624960070, 1, 18, 23, 5, 0, 0.13%, 0, 0, 1, 2.27
AFLfast,tcpdump,8,1624960344, 1, 19, 23, 4, 0, 0.13%, 0, 0, 1, 2.20
AFLfast,tcpdump,8,1624960618, 1, 20, 23, 3, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624960893, 1, 21, 23, 2, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624961163, 1, 22, 23, 1, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624961434, 2, 0, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624961698, 2, 1, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624961967, 2, 2, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624961988, 2, 3, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962004, 2, 4, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962020, 2, 5, 23, 0, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624962036, 2, 6, 23, 0, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624962052, 2, 7, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962073, 2, 8, 23, 0, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624962089, 2, 9, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962105, 2, 10, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962121, 2, 11, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962137, 2, 12, 23, 0, 0, 0.13%, 0, 0, 1, 2.19
AFLfast,tcpdump,8,1624962158, 2, 13, 23, 0, 0, 0.13%, 0, 0, 1, 2.17
AFLfast,tcpdump,8,1624962174, 2, 14, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962190, 2, 15, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962206, 2, 16, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962222, 2, 17, 23, 0, 0, 0.13%, 0, 0, 1, 2.27
AFLfast,tcpdump,8,1624962243, 2, 18, 23, 0, 0, 0.13%, 0, 0, 1, 2.27
AFLfast,tcpdump,8,1624962259, 2, 19, 23, 0, 0, 0.13%, 0, 0, 1, 2.29
AFLfast,tcpdump,8,1624962275, 2, 20, 23, 0, 0, 0.13%, 0, 0, 1, 2.27
AFLfast,tcpdump,8,1624962291, 2, 21, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962307, 2, 22, 23, 0, 0, 0.13%, 0, 0, 1, 2.26
AFLfast,tcpdump,8,1624962323, 3, 0, 23, 0, 0, 0.13%, 0, 0, 1, 2.27
AFLfast,tcpdump,8,1624962344, 3, 1, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962360, 3, 2, 23, 0, 0, 0.13%, 0, 0, 1, 2.26
AFLfast,tcpdump,8,1624962376, 3, 3, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962392, 3, 4, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962408, 3, 5, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962430, 3, 6, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962446, 3, 7, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962462, 3, 8, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962478, 3, 9, 23, 0, 0, 0.13%, 0, 0, 1, 2.20
AFLfast,tcpdump,8,1624962493, 3, 10, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962514, 3, 11, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962530, 3, 12, 23, 0, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624962546, 3, 13, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962567, 3, 14, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962583, 3, 15, 23, 0, 0, 0.13%, 0, 0, 1, 2.28
AFLfast,tcpdump,8,1624962599, 3, 16, 23, 0, 0, 0.13%, 0, 0, 1, 2.27
AFLfast,tcpdump,8,1624962615, 3, 17, 23, 0, 0, 0.13%, 0, 0, 1, 2.26
AFLfast,tcpdump,8,1624962631, 3, 18, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962647, 3, 19, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962668, 3, 20, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962683, 3, 21, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962699, 3, 22, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962715, 4, 0, 23, 0, 0, 0.13%, 0, 0, 1, 2.29
AFLfast,tcpdump,8,1624962736, 4, 1, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962752, 4, 2, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962768, 4, 3, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962783, 4, 4, 23, 0, 0, 0.13%, 0, 0, 1, 2.20
AFLfast,tcpdump,8,1624962805, 4, 5, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962820, 4, 6, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962836, 4, 7, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962853, 4, 8, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962868, 4, 9, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
AFLfast,tcpdump,8,1624962890, 4, 10, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624962905, 4, 11, 23, 0, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,8,1624962922, 4, 12, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962938, 4, 13, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962954, 4, 14, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624962975, 4, 15, 23, 0, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624962991, 4, 16, 23, 0, 0, 0.13%, 0, 0, 1, 2.25
AFLfast,tcpdump,8,1624963006, 4, 17, 23, 0, 0, 0.13%, 0, 0, 1, 2.22
AFLfast,tcpdump,8,1624963022, 4, 18, 23, 0, 0, 0.13%, 0, 0, 1, 2.24
AFLfast,tcpdump,8,1624963043, 4, 19, 23, 0, 0, 0.13%, 0, 0, 1, 2.20
AFLfast,tcpdump,8,1624963059, 4, 20, 23, 0, 0, 0.13%, 0, 0, 1, 2.23
