alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftops,10,1625206216, 0, 0, 1.95
AFLfast,pdftops,10,1625206366, 0, 0, 9.70
AFLfast,pdftops,10,1625206397, 0, 0, 1.55
AFLfast,pdftops,10,1625206407, 0, 0, 1.55
AFLfast,pdftops,10,1625206459, 0, 0, 1.54
AFLfast,pdftops,10,1625206470, 0, 0, 1.77
AFLfast,pdftops,10,1625206476, 0, 0, 1.84
AFLfast,pdftops,10,1625206481, 0, 0, 1.88
AFLfast,pdftops,10,1625206491, 0, 0, 1.84
AFLfast,pdftops,10,1625206502, 0, 0, 1.85
AFLfast,pdftops,10,1625206512, 0, 0, 1.89
AFLfast,pdftops,10,1625206528, 0, 0, 1.91
AFLfast,pdftops,10,1625206539, 0, 0, 1.91
AFLfast,pdftops,10,1625206544, 0, 0, 1.88
AFLfast,pdftops,10,1625206549, 0, 0, 1.89
AFLfast,pdftops,10,1625206555, 0, 0, 1.91
AFLfast,pdftops,10,1625206565, 0, 0, 1.87
AFLfast,pdftops,10,1625206571, 0, 0, 1.90
AFLfast,pdftops,10,1625206581, 0, 0, 1.90
AFLfast,pdftops,10,1625206597, 0, 0, 1.86
AFLfast,pdftops,10,1625206613, 0, 0, 1.86
AFLfast,pdftops,10,1625206624, 0, 0, 1.98
AFLfast,pdftops,10,1625206629, 0, 0, 2.00
AFLfast,pdftops,10,1625206645, 0, 0, 1.95
AFLfast,pdftops,10,1625206666, 0, 0, 1.88
AFLfast,pdftops,10,1625206682, 0, 0, 1.79
AFLfast,pdftops,10,1625206698, 0, 0, 1.77
AFLfast,pdftops,10,1625206703, 0, 0, 1.85
AFLfast,pdftops,10,1625206730, 0, 0, 1.70
AFLfast,pdftops,10,1625206746, 0, 0, 1.64
AFLfast,pdftops,10,1625206751, 0, 0, 1.62
AFLfast,pdftops,10,1625206761, 0, 0, 1.53
AFLfast,pdftops,10,1625206766, 0, 0, 1.48
AFLfast,pdftops,10,1625206794, 0, 0, 1.40
AFLfast,pdftops,10,1625206816, 0, 0, 1.84
AFLfast,pdftops,10,1625206837, 0, 0, 1.85
AFLfast,pdftops,10,1625206842, 0, 0, 1.82
AFLfast,pdftops,10,1625206852, 0, 0, 1.80
AFLfast,pdftops,10,1625206863, 0, 0, 1.82
AFLfast,pdftops,10,1625206868, 0, 0, 1.83
AFLfast,pdftops,10,1625206874, 0, 0, 1.86
AFLfast,pdftops,10,1625206879, 0, 0, 1.82
AFLfast,pdftops,10,1625206889, 0, 0, 1.77
AFLfast,pdftops,10,1625206894, 0, 0, 1.79
AFLfast,pdftops,10,1625206905, 0, 0, 1.78
AFLfast,pdftops,10,1625206910, 0, 0, 1.79
