alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pdftotext,2,1625208581, 0, 0, 10, 10, 10, 10.09%, 0, 0, 1, 5.67
AFLfast,pdftotext,2,1625208695, 0, 0, 11, 11, 10, 10.23%, 0, 0, 2, 10.05
AFLfast,pdftotext,2,1625208700, 0, 0, 12, 12, 10, 10.38%, 0, 0, 2, 7.71
AFLfast,pdftotext,2,1625208705, 0, 0, 14, 14, 10, 10.38%, 0, 0, 2, 7.25
AFLfast,pdftotext,2,1625208716, 0, 0, 15, 15, 10, 10.40%, 0, 0, 2, 6.79
AFLfast,pdftotext,2,1625208721, 0, 0, 19, 19, 10, 10.44%, 0, 0, 2, 8.42
AFLfast,pdftotext,2,1625208726, 0, 0, 23, 23, 10, 10.44%, 0, 0, 2, 8.54
AFLfast,pdftotext,2,1625208731, 0, 0, 24, 24, 10, 10.44%, 0, 0, 2, 8.66
AFLfast,pdftotext,2,1625208736, 0, 0, 27, 27, 10, 10.45%, 0, 0, 2, 8.79
AFLfast,pdftotext,2,1625208742, 0, 0, 31, 31, 10, 10.53%, 0, 0, 2, 8.83
AFLfast,pdftotext,2,1625208747, 0, 0, 33, 33, 10, 10.54%, 0, 0, 2, 8.18
AFLfast,pdftotext,2,1625208752, 0, 0, 36, 36, 10, 10.57%, 0, 0, 2, 8.55
AFLfast,pdftotext,2,1625208757, 0, 0, 38, 38, 10, 10.57%, 0, 0, 2, 8.79
AFLfast,pdftotext,2,1625208762, 0, 0, 39, 39, 10, 10.59%, 0, 0, 2, 8.90
AFLfast,pdftotext,2,1625208767, 0, 0, 41, 41, 10, 10.59%, 0, 0, 2, 8.90
AFLfast,pdftotext,2,1625208772, 0, 0, 43, 43, 10, 10.59%, 0, 0, 2, 8.59
AFLfast,pdftotext,2,1625208778, 0, 0, 45, 45, 10, 10.59%, 0, 0, 2, 8.44
AFLfast,pdftotext,2,1625208783, 0, 0, 48, 48, 10, 10.61%, 0, 0, 2, 7.57
AFLfast,pdftotext,2,1625208788, 0, 0, 51, 51, 10, 10.61%, 0, 0, 2, 7.72
AFLfast,pdftotext,2,1625208793, 0, 0, 52, 52, 10, 10.61%, 0, 0, 2, 8.26
AFLfast,pdftotext,2,1625208798, 0, 0, 53, 53, 10, 10.61%, 0, 0, 2, 8.49
AFLfast,pdftotext,2,1625208804, 0, 0, 56, 56, 10, 10.62%, 0, 0, 2, 8.58
AFLfast,pdftotext,2,1625208809, 0, 0, 61, 61, 10, 10.75%, 0, 0, 2, 8.29
AFLfast,pdftotext,2,1625208814, 0, 0, 65, 65, 10, 10.76%, 0, 0, 2, 8.72
AFLfast,pdftotext,2,1625208819, 0, 0, 69, 69, 10, 10.83%, 0, 0, 2, 8.73
AFLfast,pdftotext,2,1625208824, 0, 0, 71, 71, 10, 10.83%, 0, 0, 2, 8.63
AFLfast,pdftotext,2,1625208829, 0, 0, 75, 75, 10, 10.84%, 0, 0, 2, 8.51
AFLfast,pdftotext,2,1625208834, 0, 0, 79, 79, 10, 10.85%, 0, 0, 2, 8.44
AFLfast,pdftotext,2,1625208840, 0, 0, 82, 82, 10, 10.86%, 0, 0, 2, 8.90
AFLfast,pdftotext,2,1625208845, 0, 0, 86, 86, 10, 10.87%, 0, 0, 2, 8.70
AFLfast,pdftotext,2,1625208850, 0, 0, 90, 90, 10, 10.90%, 0, 0, 2, 7.93
AFLfast,pdftotext,2,1625208855, 0, 0, 93, 93, 10, 10.92%, 0, 0, 2, 7.94
AFLfast,pdftotext,2,1625208860, 0, 0, 97, 97, 10, 10.92%, 0, 0, 2, 7.88
AFLfast,pdftotext,2,1625208865, 0, 0, 101, 101, 10, 10.93%, 0, 0, 2, 6.27
AFLfast,pdftotext,2,1625208870, 0, 0, 104, 104, 10, 10.94%, 0, 0, 2, 6.39
AFLfast,pdftotext,2,1625208876, 0, 0, 108, 108, 10, 10.94%, 0, 0, 2, 0.77
AFLfast,pdftotext,2,1625208882, 0, 0, 111, 111, 10, 10.95%, 0, 0, 2, 6.25
AFLfast,pdftotext,2,1625208887, 0, 0, 114, 114, 10, 10.95%, 0, 0, 2, 6.02
AFLfast,pdftotext,2,1625208892, 0, 0, 117, 117, 10, 10.95%, 0, 0, 2, 5.85
AFLfast,pdftotext,2,1625208897, 0, 0, 121, 121, 10, 10.95%, 0, 0, 2, 6.37
AFLfast,pdftotext,2,1625208902, 0, 0, 124, 124, 10, 10.96%, 0, 0, 2, 6.73
AFLfast,pdftotext,2,1625208907, 0, 0, 126, 126, 10, 10.96%, 0, 0, 2, 7.21
AFLfast,pdftotext,2,1625208913, 0, 0, 130, 130, 10, 10.97%, 0, 0, 2, 7.40
AFLfast,pdftotext,2,1625208918, 0, 0, 134, 134, 10, 10.97%, 0, 0, 2, 7.34
AFLfast,pdftotext,2,1625208923, 0, 0, 136, 136, 10, 10.97%, 0, 0, 2, 7.29
AFLfast,pdftotext,2,1625208928, 0, 0, 140, 140, 10, 10.97%, 0, 0, 2, 7.69
AFLfast,pdftotext,2,1625208933, 0, 0, 142, 142, 10, 11.01%, 0, 0, 2, 7.58
AFLfast,pdftotext,2,1625208938, 0, 0, 144, 144, 10, 11.01%, 0, 0, 2, 7.22
AFLfast,pdftotext,2,1625208943, 0, 0, 148, 148, 10, 11.05%, 0, 0, 2, 6.48
AFLfast,pdftotext,2,1625208949, 0, 0, 151, 151, 10, 11.05%, 0, 0, 2, 6.76
AFLfast,pdftotext,2,1625208954, 0, 0, 155, 155, 10, 11.06%, 0, 0, 2, 6.75
AFLfast,pdftotext,2,1625208959, 0, 0, 158, 158, 10, 11.07%, 0, 0, 2, 6.76
AFLfast,pdftotext,2,1625208964, 0, 0, 161, 161, 10, 11.08%, 0, 0, 2, 6.61
AFLfast,pdftotext,2,1625208969, 0, 0, 165, 165, 10, 11.08%, 0, 0, 2, 6.97
AFLfast,pdftotext,2,1625208975, 0, 0, 167, 167, 10, 11.08%, 0, 0, 2, 6.91
AFLfast,pdftotext,2,1625208980, 0, 0, 168, 168, 10, 11.08%, 0, 0, 2, 7.42
AFLfast,pdftotext,2,1625208985, 0, 0, 171, 171, 10, 11.09%, 0, 0, 2, 7.51
AFLfast,pdftotext,2,1625208990, 0, 0, 173, 173, 10, 11.09%, 0, 0, 2, 6.75
AFLfast,pdftotext,2,1625208995, 0, 0, 176, 176, 10, 11.10%, 0, 0, 2, 6.69
AFLfast,pdftotext,2,1625209000, 0, 0, 180, 180, 10, 11.10%, 0, 0, 2, 6.85
AFLfast,pdftotext,2,1625209005, 0, 0, 183, 183, 10, 11.13%, 0, 0, 2, 6.48
AFLfast,pdftotext,2,1625209011, 0, 0, 185, 185, 10, 11.13%, 0, 0, 2, 6.71
AFLfast,pdftotext,2,1625209016, 0, 0, 188, 188, 10, 11.13%, 0, 0, 2, 6.24
AFLfast,pdftotext,2,1625209021, 0, 0, 191, 191, 10, 11.13%, 0, 0, 2, 6.61
AFLfast,pdftotext,2,1625209026, 0, 0, 194, 194, 10, 11.13%, 0, 0, 2, 6.49
AFLfast,pdftotext,2,1625209031, 0, 0, 197, 197, 10, 11.15%, 0, 0, 2, 6.74
AFLfast,pdftotext,2,1625209037, 0, 0, 201, 201, 10, 11.17%, 0, 0, 2, 6.63
AFLfast,pdftotext,2,1625209042, 0, 0, 204, 204, 10, 11.17%, 0, 0, 2, 6.74
AFLfast,pdftotext,2,1625209047, 0, 0, 207, 207, 10, 11.17%, 0, 0, 2, 6.87
AFLfast,pdftotext,2,1625209052, 0, 0, 210, 210, 10, 11.18%, 0, 0, 2, 6.68
AFLfast,pdftotext,2,1625209057, 0, 0, 213, 213, 10, 11.18%, 0, 0, 2, 6.64
AFLfast,pdftotext,2,1625209062, 0, 0, 217, 217, 10, 11.18%, 0, 0, 2, 6.67
AFLfast,pdftotext,2,1625209067, 0, 0, 220, 220, 10, 11.18%, 0, 0, 2, 6.82
AFLfast,pdftotext,2,1625209072, 0, 0, 224, 224, 10, 11.19%, 0, 0, 2, 6.62
AFLfast,pdftotext,2,1625209077, 0, 0, 227, 227, 10, 11.20%, 0, 0, 2, 5.96
AFLfast,pdftotext,2,1625209083, 0, 0, 230, 230, 10, 11.20%, 0, 0, 2, 5.95
AFLfast,pdftotext,2,1625209088, 0, 0, 232, 232, 10, 11.20%, 0, 0, 2, 6.00
AFLfast,pdftotext,2,1625209093, 0, 0, 235, 235, 10, 11.20%, 0, 0, 2, 5.97
AFLfast,pdftotext,2,1625209098, 0, 0, 238, 238, 10, 11.20%, 0, 0, 2, 6.34
AFLfast,pdftotext,2,1625209103, 0, 0, 242, 242, 10, 11.20%, 0, 0, 2, 6.38
AFLfast,pdftotext,2,1625209108, 0, 0, 245, 245, 10, 11.21%, 0, 0, 2, 6.17
AFLfast,pdftotext,2,1625209113, 0, 0, 248, 248, 10, 11.22%, 0, 0, 2, 5.86
AFLfast,pdftotext,2,1625209118, 0, 0, 250, 250, 10, 11.22%, 0, 0, 2, 5.78
AFLfast,pdftotext,2,1625209123, 0, 0, 253, 253, 10, 11.22%, 0, 0, 2, 5.90
AFLfast,pdftotext,2,1625209129, 0, 0, 256, 256, 10, 11.22%, 0, 0, 2, 5.71
AFLfast,pdftotext,2,1625209134, 0, 0, 259, 259, 10, 11.22%, 0, 0, 2, 5.88
