alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftotext,9,1625209191, 0, 0, 6.66
AFLfast,pdftotext,9,1625209391, 0, 0, 8.88
AFLfast,pdftotext,9,1625209396, 0, 0, 9.57
AFLfast,pdftotext,9,1625209401, 0, 0, 9.63
AFLfast,pdftotext,9,1625209407, 0, 0, 9.67
AFLfast,pdftotext,9,1625209412, 0, 0, 9.07
AFLfast,pdftotext,9,1625209417, 0, 0, 9.15
AFLfast,pdftotext,9,1625209422, 0, 0, 9.09
AFLfast,pdftotext,9,1625209427, 0, 0, 9.25
AFLfast,pdftotext,9,1625209432, 0, 0, 9.33
AFLfast,pdftotext,9,1625209437, 0, 0, 9.29
AFLfast,pdftotext,9,1625209442, 0, 0, 8.65
AFLfast,pdftotext,9,1625209448, 0, 0, 9.01
AFLfast,pdftotext,9,1625209453, 0, 0, 8.60
AFLfast,pdftotext,9,1625209458, 0, 0, 8.76
AFLfast,pdftotext,9,1625209463, 0, 0, 9.65
AFLfast,pdftotext,9,1625209469, 0, 0, 8.97
AFLfast,pdftotext,9,1625209474, 0, 0, 9.84
AFLfast,pdftotext,9,1625209479, 0, 0, 9.91
AFLfast,pdftotext,9,1625209484, 0, 0, 9.97
AFLfast,pdftotext,9,1625209489, 0, 0, 9.39
AFLfast,pdftotext,9,1625209494, 0, 0, 9.03
AFLfast,pdftotext,9,1625209505, 0, 0, 8.56
AFLfast,pdftotext,9,1625209510, 0, 0, 9.64
AFLfast,pdftotext,9,1625209515, 0, 0, 9.41
AFLfast,pdftotext,9,1625209520, 0, 0, 9.89
AFLfast,pdftotext,9,1625209525, 0, 0, 10.15
AFLfast,pdftotext,9,1625209531, 0, 0, 9.58
AFLfast,pdftotext,9,1625209536, 0, 0, 9.31
AFLfast,pdftotext,9,1625209541, 0, 0, 9.34
AFLfast,pdftotext,9,1625209546, 0, 0, 9.25
AFLfast,pdftotext,9,1625209551, 0, 0, 8.30
AFLfast,pdftotext,9,1625209556, 0, 0, 9.19
AFLfast,pdftotext,9,1625209562, 0, 0, 9.30
AFLfast,pdftotext,9,1625209567, 0, 0, 9.76
AFLfast,pdftotext,9,1625209577, 0, 0, 9.83
AFLfast,pdftotext,9,1625209582, 0, 0, 9.52
AFLfast,pdftotext,9,1625209587, 0, 0, 9.97
AFLfast,pdftotext,9,1625209592, 0, 0, 9.89
AFLfast,pdftotext,9,1625209598, 0, 0, 9.66
AFLfast,pdftotext,9,1625209603, 0, 0, 9.88
AFLfast,pdftotext,9,1625209608, 0, 0, 10.07
AFLfast,pdftotext,9,1625209618, 0, 0, 10.08
AFLfast,pdftotext,9,1625209623, 0, 0, 10.09
AFLfast,pdftotext,9,1625209629, 0, 0, 9.66
AFLfast,pdftotext,9,1625209634, 0, 0, 9.85
AFLfast,pdftotext,9,1625209639, 0, 0, 10.26
AFLfast,pdftotext,9,1625209644, 0, 0, 10.08
AFLfast,pdftotext,9,1625209649, 0, 0, 10.00
AFLfast,pdftotext,9,1625209654, 0, 0, 9.93
AFLfast,pdftotext,9,1625209659, 0, 0, 10.06
AFLfast,pdftotext,9,1625209665, 0, 0, 10.04
AFLfast,pdftotext,9,1625209675, 0, 0, 9.98
AFLfast,pdftotext,9,1625209685, 0, 0, 10.03
AFLfast,pdftotext,9,1625209696, 0, 0, 9.58
AFLfast,pdftotext,9,1625209701, 0, 0, 9.73
AFLfast,pdftotext,9,1625209706, 0, 0, 9.40
AFLfast,pdftotext,9,1625209711, 0, 0, 9.68
AFLfast,pdftotext,9,1625209716, 0, 0, 9.46
AFLfast,pdftotext,9,1625209737, 0, 0, 10.03
AFLfast,pdftotext,9,1625209742, 0, 0, 10.02
AFLfast,pdftotext,9,1625209747, 0, 0, 10.45
AFLfast,pdftotext,9,1625209753, 0, 0, 10.17
AFLfast,pdftotext,9,1625209763, 0, 0, 9.95
AFLfast,pdftotext,9,1625209773, 0, 0, 10.45
AFLfast,pdftotext,9,1625209788, 0, 0, 10.49
AFLfast,pdftotext,9,1625209793, 0, 0, 10.54
AFLfast,pdftotext,9,1625209799, 0, 0, 10.50
AFLfast,pdftotext,9,1625209804, 0, 0, 10.14
AFLfast,pdftotext,9,1625209810, 0, 0, 6.74
AFLfast,pdftotext,9,1625209815, 0, 0, 6.43
AFLfast,pdftotext,9,1625209820, 0, 0, 5.87
AFLfast,pdftotext,9,1625209832, 0, 0, 0.73
AFLfast,pdftotext,9,1625209868, 0, 0, 11.07
AFLfast,pdftotext,9,1625209873, 0, 0, 11.19
AFLfast,pdftotext,9,1625209878, 0, 0, 11.03
AFLfast,pdftotext,9,1625209883, 0, 0, 10.96
