alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,nm-new,13,1623744320, 0, 0, 70.80
AFLfast,nm-new,13,1623744340, 0, 0, 24.49
AFLfast,nm-new,13,1623744345, 0, 0, 36.70
AFLfast,nm-new,13,1623744350, 0, 0, 34.07
AFLfast,nm-new,13,1623744355, 0, 0, 33.55
AFLfast,nm-new,13,1623744366, 0, 0, 27.11
AFLfast,nm-new,13,1623744371, 0, 0, 32.05
AFLfast,nm-new,13,1623744376, 0, 0, 27.75
AFLfast,nm-new,13,1623745163, 0, 0, 42.10
AFLfast,nm-new,13,1623745168, 0, 0, 37.85
AFLfast,nm-new,13,1623745178, 0, 0, 35.57
AFLfast,nm-new,13,1623745183, 0, 0, 37.85
AFLfast,nm-new,13,1623746085, 0, 0, 0.00
AFLfast,nm-new,13,1623746090, 0, 0, 4.39
AFLfast,nm-new,13,1623746095, 0, 0, 38.75
AFLfast,nm-new,13,1623746106, 0, 0, 36.53
AFLfast,nm-new,13,1623746111, 0, 0, 31.20
AFLfast,nm-new,13,1623746923, 0, 0, 0.00
AFLfast,nm-new,13,1623746928, 0, 0, 23.11
AFLfast,nm-new,13,1623746954, 0, 0, 31.94
AFLfast,nm-new,13,1623747747, 0, 0, 0.00
AFLfast,nm-new,13,1623747752, 0, 0, 19.46
AFLfast,nm-new,13,1623747762, 0, 0, 31.22
AFLfast,nm-new,13,1623747767, 0, 0, 33.89
AFLfast,nm-new,13,1623747772, 0, 0, 32.38
AFLfast,nm-new,13,1623748582, 0, 0, 0.01
AFLfast,nm-new,13,1623748597, 0, 0, 30.55
AFLfast,nm-new,13,1623748617, 0, 0, 29.15
AFLfast,nm-new,13,1623749429, 0, 0, 28.95
AFLfast,nm-new,13,1623749439, 0, 0, 28.32
AFLfast,nm-new,13,1623750248, 0, 0, 25.78
AFLfast,nm-new,13,1623750258, 0, 0, 23.40
AFLfast,nm-new,13,1623751119, 0, 0, 32.37
AFLfast,nm-new,13,1623751921, 0, 0, 0.01
AFLfast,nm-new,13,1623751941, 0, 0, 30.05
AFLfast,nm-new,13,1623751946, 0, 0, 33.11
AFLfast,nm-new,13,1623752742, 0, 0, 0.01
AFLfast,nm-new,13,1623752752, 0, 0, 26.17
AFLfast,nm-new,13,1623752757, 0, 0, 32.61
AFLfast,nm-new,13,1623752762, 0, 0, 25.96
AFLfast,nm-new,13,1623752767, 0, 0, 33.93
AFLfast,nm-new,13,1623752773, 0, 0, 35.49
AFLfast,nm-new,13,1623752778, 0, 0, 34.68
AFLfast,nm-new,13,1623753560, 0, 0, 23.90
AFLfast,nm-new,13,1623753580, 0, 0, 32.92
AFLfast,nm-new,13,1623753585, 0, 0, 35.19
AFLfast,nm-new,13,1623754384, 0, 0, 0.00
AFLfast,nm-new,13,1623754399, 0, 0, 35.69
AFLfast,nm-new,13,1623755202, 0, 0, 31.85
AFLfast,nm-new,13,1623755207, 0, 0, 26.26
AFLfast,nm-new,13,1623756094, 0, 0, 28.22
AFLfast,nm-new,13,1623756952, 0, 0, 0.00
AFLfast,nm-new,13,1623756977, 0, 0, 32.06
AFLfast,nm-new,13,1623757722, 0, 0, 0.01
AFLfast,nm-new,13,1623757738, 0, 0, 55.66
AFLfast,nm-new,13,1623757743, 0, 0, 43.97
AFLfast,nm-new,13,1623757748, 0, 0, 40.17
AFLfast,nm-new,13,1623757753, 0, 0, 42.10
AFLfast,nm-new,13,1623757758, 0, 0, 39.22
AFLfast,nm-new,13,1623757763, 0, 0, 39.46
AFLfast,nm-new,13,1623758545, 0, 0, 38.66
AFLfast,nm-new,13,1623758550, 0, 0, 39.33
AFLfast,nm-new,13,1623758555, 0, 0, 40.20
AFLfast,nm-new,13,1623758565, 0, 0, 41.10
AFLfast,nm-new,13,1623759312, 0, 0, 45.06
AFLfast,nm-new,13,1623759318, 0, 0, 41.08
AFLfast,nm-new,13,1623759328, 0, 0, 37.20
AFLfast,nm-new,13,1623759333, 0, 0, 33.10
AFLfast,nm-new,13,1623760106, 0, 0, 43.73
AFLfast,nm-new,13,1623760116, 0, 0, 28.30
AFLfast,nm-new,13,1623760126, 0, 0, 23.97
AFLfast,nm-new,13,1623760131, 0, 0, 25.23
AFLfast,nm-new,13,1623760136, 0, 0, 23.74
AFLfast,nm-new,13,1623760888, 0, 0, 39.33
AFLfast,nm-new,13,1623760893, 0, 0, 42.68
AFLfast,nm-new,13,1623760898, 0, 0, 31.37
AFLfast,nm-new,13,1623760909, 0, 0, 31.64
AFLfast,nm-new,13,1623760914, 0, 0, 36.07
AFLfast,nm-new,13,1623761683, 0, 0, 41.18
AFLfast,nm-new,13,1623761688, 0, 0, 41.14
AFLfast,nm-new,13,1623762466, 0, 0, 39.96
AFLfast,nm-new,13,1623762482, 0, 0, 41.01
AFLfast,nm-new,13,1623762487, 0, 0, 41.42
AFLfast,nm-new,13,1623763245, 0, 0, 44.01
AFLfast,nm-new,13,1623763261, 0, 0, 38.67
AFLfast,nm-new,13,1623764020, 0, 0, 38.71
AFLfast,nm-new,13,1623764025, 0, 0, 40.14
AFLfast,nm-new,13,1623764030, 0, 0, 38.17
AFLfast,nm-new,13,1623764035, 0, 0, 39.94
AFLfast,nm-new,13,1623764040, 0, 0, 39.22
AFLfast,nm-new,13,1623764790, 0, 0, 44.27
AFLfast,nm-new,13,1623764795, 0, 0, 44.18
AFLfast,nm-new,13,1623765570, 0, 0, 0.00
AFLfast,nm-new,13,1623765580, 0, 0, 43.71
AFLfast,nm-new,13,1623765590, 0, 0, 36.85
AFLfast,nm-new,13,1623766361, 0, 0, 41.16
AFLfast,nm-new,13,1623766376, 0, 0, 43.75
AFLfast,nm-new,13,1623767155, 0, 0, 0.00
AFLfast,nm-new,13,1623767171, 0, 0, 80.28
AFLfast,nm-new,13,1623767176, 0, 0, 65.56
AFLfast,nm-new,13,1623767657, 0, 0, 56.95
AFLfast,nm-new,13,1623767662, 0, 0, 61.92
AFLfast,nm-new,13,1623768127, 0, 0, 48.37
AFLfast,nm-new,13,1623768594, 0, 0, 61.16
AFLfast,nm-new,13,1623768599, 0, 0, 57.98
AFLfast,nm-new,13,1623769043, 0, 0, 59.77
AFLfast,nm-new,13,1623769048, 0, 0, 61.50
AFLfast,nm-new,13,1623769511, 0, 0, 61.41
AFLfast,nm-new,13,1623769516, 0, 0, 65.42
AFLfast,nm-new,13,1623769971, 0, 0, 0.02
AFLfast,nm-new,13,1623769976, 0, 0, 60.83
AFLfast,nm-new,13,1623769986, 0, 0, 65.49
AFLfast,nm-new,13,1623770463, 0, 0, 61.78
AFLfast,nm-new,13,1623770952, 0, 0, 62.11
AFLfast,nm-new,13,1623770958, 0, 0, 57.90
AFLfast,nm-new,13,1623771928, 0, 0, 57.75
AFLfast,nm-new,13,1623772409, 0, 0, 0.01
AFLfast,nm-new,13,1623772420, 0, 0, 64.04
AFLfast,nm-new,13,1623772891, 0, 0, 59.29
AFLfast,nm-new,13,1623773339, 0, 0, 61.76
AFLfast,nm-new,13,1623773344, 0, 0, 65.80
AFLfast,nm-new,13,1623773814, 0, 0, 64.76
AFLfast,nm-new,13,1623774740, 0, 0, 0.00
AFLfast,nm-new,13,1623774751, 0, 0, 109.04
AFLfast,nm-new,13,1623774756, 0, 0, 80.45
AFLfast,nm-new,13,1623774761, 0, 0, 69.75
AFLfast,nm-new,13,1623775029, 0, 0, 0.05
AFLfast,nm-new,13,1623775297, 0, 0, 68.05
AFLfast,nm-new,13,1623775541, 0, 0, 0.05
AFLfast,nm-new,13,1623775803, 0, 0, 0.05
AFLfast,nm-new,13,1623775808, 0, 0, 67.49
AFLfast,nm-new,13,1623775818, 0, 0, 63.35
AFLfast,nm-new,13,1623776082, 0, 0, 71.52
AFLfast,nm-new,13,1623776343, 0, 0, 67.91
AFLfast,nm-new,13,1623776348, 0, 0, 68.73
AFLfast,nm-new,13,1623776610, 0, 0, 0.05
AFLfast,nm-new,13,1623776616, 0, 0, 69.82
AFLfast,nm-new,13,1623776888, 0, 0, 66.18
AFLfast,nm-new,13,1623777141, 0, 0, 66.02
AFLfast,nm-new,13,1623777668, 0, 0, 63.01
AFLfast,nm-new,13,1623777673, 0, 0, 61.35
AFLfast,nm-new,13,1623777954, 0, 0, 72.10
AFLfast,nm-new,13,1623778220, 0, 0, 69.61
AFLfast,nm-new,13,1623778225, 0, 0, 63.62
AFLfast,nm-new,13,1623778487, 0, 0, 69.26
AFLfast,nm-new,13,1623778733, 0, 0, 0.04
AFLfast,nm-new,13,1623779004, 0, 0, 0.05
AFLfast,nm-new,13,1623779015, 0, 0, 156.63
AFLfast,nm-new,13,1623779020, 0, 0, 140.70
AFLfast,nm-new,13,1623779025, 0, 0, 144.64
AFLfast,nm-new,13,1623779030, 0, 0, 136.18
AFLfast,nm-new,13,1623779055, 0, 0, 0.58
AFLfast,nm-new,13,1623779060, 0, 0, 125.11
AFLfast,nm-new,13,1623779087, 0, 0, 1.17
AFLfast,nm-new,13,1623779092, 0, 0, 128.52
AFLfast,nm-new,13,1623779120, 0, 0, 0.08
AFLfast,nm-new,13,1623779125, 0, 0, 123.41
AFLfast,nm-new,13,1623779153, 0, 0, 0.16
AFLfast,nm-new,13,1623779158, 0, 0, 131.04
AFLfast,nm-new,13,1623779186, 0, 0, 0.16
AFLfast,nm-new,13,1623779191, 0, 0, 129.25
AFLfast,nm-new,13,1623779218, 0, 0, 0.59
AFLfast,nm-new,13,1623779223, 0, 0, 126.12
AFLfast,nm-new,13,1623779255, 0, 0, 121.51
AFLfast,nm-new,13,1623779283, 0, 0, 1.16
AFLfast,nm-new,13,1623779288, 0, 0, 127.04
AFLfast,nm-new,13,1623779315, 0, 0, 1.17
AFLfast,nm-new,13,1623779320, 0, 0, 128.35
AFLfast,nm-new,13,1623779351, 0, 0, 125.07
AFLfast,nm-new,13,1623779383, 0, 0, 126.84
AFLfast,nm-new,13,1623779411, 0, 0, 0.16
AFLfast,nm-new,13,1623779416, 0, 0, 125.24
AFLfast,nm-new,13,1623779442, 0, 0, 0.60
AFLfast,nm-new,13,1623779507, 0, 0, 0.67
AFLfast,nm-new,13,1623779517, 0, 0, 144.74
AFLfast,nm-new,13,1623779522, 0, 0, 118.27
AFLfast,nm-new,13,1623779538, 0, 0, 119.25
AFLfast,nm-new,13,1623779555, 0, 0, 125.76
AFLfast,nm-new,13,1623779566, 0, 0, 0.25
AFLfast,nm-new,13,1623779588, 0, 0, 116.13
AFLfast,nm-new,13,1623779599, 0, 0, 2.28
AFLfast,nm-new,13,1623779605, 0, 0, 118.87
AFLfast,nm-new,13,1623779616, 0, 0, 3.68
AFLfast,nm-new,13,1623779621, 0, 0, 126.65
AFLfast,nm-new,13,1623779636, 0, 0, 121.02
AFLfast,nm-new,13,1623779648, 0, 0, 3.18
AFLfast,nm-new,13,1623779683, 0, 0, 2.66
AFLfast,nm-new,13,1623779706, 0, 0, 121.03
AFLfast,nm-new,13,1623779786, 0, 0, 2.77
AFLfast,nm-new,13,1623779791, 0, 0, 148.72
AFLfast,nm-new,13,1623779809, 0, 0, 0.66
AFLfast,nm-new,13,1623779814, 0, 0, 131.91
AFLfast,nm-new,13,1623779819, 0, 0, 172.63
AFLfast,nm-new,13,1623779838, 0, 0, 152.10
AFLfast,nm-new,13,1623779843, 0, 0, 146.87
AFLfast,nm-new,13,1623779858, 0, 0, 143.99
AFLfast,nm-new,13,1623779868, 0, 0, 143.81
AFLfast,nm-new,13,1623779873, 0, 0, 146.76
AFLfast,nm-new,13,1623779879, 0, 0, 112.37
AFLfast,nm-new,13,1623779980, 0, 0, 0.03
AFLfast,nm-new,13,1623779999, 0, 0, 2.16
AFLfast,nm-new,13,1623780025, 0, 0, 36.53
AFLfast,nm-new,13,1623780040, 0, 0, 38.77
AFLfast,nm-new,13,1623782318, 0, 0, 32.19
AFLfast,nm-new,13,1623783094, 0, 0, 30.22
AFLfast,nm-new,13,1623785466, 0, 0, 36.70
AFLfast,nm-new,13,1623787779, 0, 0, 35.72
AFLfast,nm-new,13,1623792394, 0, 0, 0.01
AFLfast,nm-new,13,1623792399, 0, 0, 144.88
AFLfast,nm-new,13,1623792405, 0, 0, 1.28
AFLfast,nm-new,13,1623792416, 0, 0, 148.44
AFLfast,nm-new,13,1623792421, 0, 0, 147.38
