alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,0,1623736513, 0, 0, 142.43
AFLfast,objdump,0,1623736518, 0, 0, 204.92
AFLfast,objdump,0,1623736528, 0, 0, 223.16
AFLfast,objdump,0,1623736533, 0, 0, 224.51
AFLfast,objdump,0,1623736549, 0, 0, 220.85
AFLfast,objdump,0,1623736554, 0, 0, 227.18
AFLfast,objdump,0,1623736569, 0, 0, 116.29
AFLfast,objdump,0,1623736574, 0, 0, 125.04
AFLfast,objdump,0,1623736579, 0, 0, 127.20
AFLfast,objdump,0,1623736584, 0, 0, 123.80
AFLfast,objdump,0,1623736590, 0, 0, 129.89
AFLfast,objdump,0,1623736595, 0, 0, 130.70
AFLfast,objdump,0,1623736605, 0, 0, 133.32
AFLfast,objdump,0,1623736610, 0, 0, 123.09
AFLfast,objdump,0,1623736615, 0, 0, 149.66
AFLfast,objdump,0,1623736621, 0, 0, 195.14
AFLfast,objdump,0,1623736626, 0, 0, 280.79
AFLfast,objdump,0,1623736631, 0, 0, 117.73
AFLfast,objdump,0,1623736636, 0, 0, 192.93
AFLfast,objdump,0,1623736641, 0, 0, 222.36
AFLfast,objdump,0,1623736646, 0, 0, 223.46
AFLfast,objdump,0,1623736651, 0, 0, 223.86
AFLfast,objdump,0,1623736656, 0, 0, 210.22
AFLfast,objdump,0,1623736661, 0, 0, 210.50
AFLfast,objdump,0,1623736667, 0, 0, 213.05
AFLfast,objdump,0,1623736672, 0, 0, 205.84
AFLfast,objdump,0,1623736677, 0, 0, 213.93
AFLfast,objdump,0,1623736682, 0, 0, 215.95
AFLfast,objdump,0,1623736687, 0, 0, 217.24
AFLfast,objdump,0,1623736692, 0, 0, 223.22
AFLfast,objdump,0,1623736697, 0, 0, 242.27
AFLfast,objdump,0,1623736702, 0, 0, 218.35
AFLfast,objdump,0,1623736708, 0, 0, 210.13
AFLfast,objdump,0,1623736713, 0, 0, 214.46
AFLfast,objdump,0,1623736718, 0, 0, 226.83
AFLfast,objdump,0,1623736723, 0, 0, 221.61
AFLfast,objdump,0,1623736728, 0, 0, 218.28
AFLfast,objdump,0,1623736733, 0, 0, 239.98
AFLfast,objdump,0,1623736738, 0, 0, 172.30
AFLfast,objdump,0,1623736744, 0, 0, 198.00
AFLfast,objdump,0,1623736749, 0, 0, 213.95
AFLfast,objdump,0,1623736754, 0, 0, 215.71
AFLfast,objdump,0,1623736759, 0, 0, 216.92
AFLfast,objdump,0,1623736764, 0, 0, 218.21
AFLfast,objdump,0,1623736769, 0, 0, 219.93
AFLfast,objdump,0,1623736774, 0, 0, 222.15
AFLfast,objdump,0,1623736779, 0, 0, 212.63
AFLfast,objdump,0,1623736785, 0, 0, 221.07
AFLfast,objdump,0,1623736790, 0, 0, 212.01
AFLfast,objdump,0,1623736795, 0, 0, 213.62
AFLfast,objdump,0,1623736800, 0, 0, 218.10
AFLfast,objdump,0,1623736805, 0, 0, 216.40
AFLfast,objdump,0,1623736810, 0, 0, 221.40
AFLfast,objdump,0,1623736815, 0, 0, 218.85
AFLfast,objdump,0,1623736821, 0, 0, 212.19
AFLfast,objdump,0,1623736826, 0, 0, 229.34
AFLfast,objdump,0,1623736831, 0, 0, 217.66
AFLfast,objdump,0,1623736836, 0, 0, 216.90
AFLfast,objdump,0,1623736841, 0, 0, 221.18
AFLfast,objdump,0,1623736846, 0, 0, 214.18
AFLfast,objdump,0,1623736851, 0, 0, 221.05
AFLfast,objdump,0,1623736856, 0, 0, 222.61
AFLfast,objdump,0,1623736862, 0, 0, 221.70
AFLfast,objdump,0,1623736867, 0, 0, 219.18
AFLfast,objdump,0,1623736872, 0, 0, 44.55
AFLfast,objdump,0,1623736877, 0, 0, 238.75
AFLfast,objdump,0,1623736882, 0, 0, 223.64
AFLfast,objdump,0,1623736887, 0, 0, 220.89
AFLfast,objdump,0,1623736892, 0, 0, 222.05
AFLfast,objdump,0,1623736897, 0, 0, 222.33
AFLfast,objdump,0,1623736902, 0, 0, 237.82
AFLfast,objdump,0,1623736908, 0, 0, 216.42
AFLfast,objdump,0,1623736913, 0, 0, 209.58
AFLfast,objdump,0,1623736918, 0, 0, 212.50
AFLfast,objdump,0,1623736923, 0, 0, 216.46
AFLfast,objdump,0,1623736928, 0, 0, 217.01
AFLfast,objdump,0,1623736933, 0, 0, 227.05
AFLfast,objdump,0,1623736938, 0, 0, 224.95
AFLfast,objdump,0,1623736943, 0, 0, 215.38
AFLfast,objdump,0,1623736948, 0, 0, 212.43
AFLfast,objdump,0,1623736954, 0, 0, 225.66
AFLfast,objdump,0,1623736959, 0, 0, 217.81
AFLfast,objdump,0,1623736964, 0, 0, 219.34
AFLfast,objdump,0,1623736969, 0, 0, 215.46
