alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,objdump,2,1623737788, 1, 0, 7, 7, 1, 0.05%, 0, 0, 1, 141.06, 56
AFLfast,objdump,2,1623737809, 1, 1, 7, 6, 0, 0.05%, 0, 0, 1, 180.75, 3793
AFLfast,objdump,2,1623737814, 1, 2, 7, 5, 0, 0.05%, 0, 0, 1, 183.60, 4733
AFLfast,objdump,2,1623737819, 1, 3, 7, 4, 0, 0.05%, 0, 0, 1, 185.09, 5657
AFLfast,objdump,2,1623737824, 1, 4, 7, 3, 0, 0.05%, 0, 0, 1, 186.81, 6580
AFLfast,objdump,2,1623737830, 1, 5, 7, 2, 0, 0.05%, 0, 0, 1, 170.50, 7506
AFLfast,objdump,2,1623737835, 1, 6, 7, 1, 0, 0.05%, 0, 0, 1, 181.05, 8466
AFLfast,objdump,2,1623737840, 2, 0, 7, 0, 0, 0.05%, 0, 0, 1, 180.83, 9384
AFLfast,objdump,2,1623737845, 2, 2, 7, 0, 0, 0.05%, 0, 0, 1, 167.42, 10228
AFLfast,objdump,2,1623737850, 2, 5, 7, 0, 0, 0.05%, 0, 0, 1, 163.95, 11032
AFLfast,objdump,2,1623737855, 3, 0, 7, 0, 0, 0.05%, 0, 0, 1, 158.91, 11852
AFLfast,objdump,2,1623737860, 3, 2, 7, 0, 0, 0.05%, 0, 0, 1, 172.72, 12675
AFLfast,objdump,2,1623737865, 3, 6, 7, 0, 0, 0.05%, 0, 0, 1, 28.23, 13459
AFLfast,objdump,2,1623737870, 4, 0, 7, 0, 0, 0.05%, 0, 0, 1, 174.57, 14290
AFLfast,objdump,2,1623737876, 4, 3, 7, 0, 0, 0.05%, 0, 0, 1, 167.62, 15105
AFLfast,objdump,2,1623737881, 4, 6, 7, 0, 0, 0.05%, 0, 0, 1, 163.68, 15879
AFLfast,objdump,2,1623737886, 5, 1, 7, 0, 0, 0.05%, 0, 0, 1, 213.27, 16704
AFLfast,objdump,2,1623737891, 5, 4, 7, 0, 0, 0.05%, 0, 0, 1, 170.50, 17517
AFLfast,objdump,2,1623737896, 6, 0, 7, 0, 0, 0.05%, 0, 0, 1, 157.96, 18305
AFLfast,objdump,2,1623737901, 6, 1, 7, 0, 0, 0.05%, 0, 0, 1, 157.54, 19115
AFLfast,objdump,2,1623737906, 6, 4, 7, 0, 0, 0.05%, 0, 0, 1, 164.32, 19886
AFLfast,objdump,2,1623737912, 7, 0, 7, 0, 0, 0.05%, 0, 0, 1, 160.61, 20665
AFLfast,objdump,2,1623737917, 7, 2, 7, 0, 0, 0.05%, 0, 0, 1, 163.07, 21476
AFLfast,objdump,2,1623737922, 7, 5, 7, 0, 0, 0.05%, 0, 0, 1, 161.27, 22244
AFLfast,objdump,2,1623737927, 8, 0, 7, 0, 0, 0.05%, 0, 0, 1, 168.68, 23067
AFLfast,objdump,2,1623737932, 8, 2, 7, 0, 0, 0.05%, 0, 0, 1, 167.83, 23860
AFLfast,objdump,2,1623737937, 8, 5, 7, 0, 0, 0.05%, 0, 0, 1, 162.36, 24643
AFLfast,objdump,2,1623737942, 9, 0, 7, 0, 0, 0.05%, 0, 0, 1, 161.24, 25421
AFLfast,objdump,2,1623737947, 9, 3, 7, 0, 0, 0.05%, 0, 0, 1, 156.30, 26170
AFLfast,objdump,2,1623737952, 9, 6, 7, 0, 0, 0.05%, 0, 0, 1, 151.82, 26926
AFLfast,objdump,2,1623737957, 10, 0, 7, 0, 0, 0.05%, 0, 0, 1, 163.71, 27748
AFLfast,objdump,2,1623737963, 10, 3, 7, 0, 0, 0.05%, 0, 0, 1, 160.64, 28527
AFLfast,objdump,2,1623737968, 10, 6, 7, 0, 0, 0.05%, 0, 0, 1, 157.23, 29292
AFLfast,objdump,2,1623737973, 11, 1, 7, 0, 0, 0.05%, 0, 0, 1, 164.04, 30099
AFLfast,objdump,2,1623737978, 11, 4, 7, 0, 0, 0.05%, 0, 0, 1, 161.51, 30912
AFLfast,objdump,2,1623737983, 12, 0, 7, 0, 0, 0.05%, 0, 0, 1, 179.87, 31733
AFLfast,objdump,2,1623737988, 12, 1, 7, 0, 0, 0.05%, 0, 0, 1, 164.12, 32546
AFLfast,objdump,2,1623737993, 12, 4, 7, 0, 0, 0.05%, 0, 0, 1, 166.12, 33353
AFLfast,objdump,2,1623737999, 13, 0, 7, 0, 0, 0.05%, 0, 0, 1, 167.31, 34165
AFLfast,objdump,2,1623738004, 13, 2, 7, 0, 0, 0.05%, 0, 0, 1, 172.13, 34985
AFLfast,objdump,2,1623738009, 13, 5, 7, 0, 0, 0.05%, 0, 0, 1, 164.86, 35801
AFLfast,objdump,2,1623738014, 14, 0, 7, 0, 0, 0.05%, 0, 0, 1, 182.06, 36648
AFLfast,objdump,2,1623738019, 14, 3, 7, 0, 0, 0.05%, 0, 0, 1, 167.60, 37454
AFLfast,objdump,2,1623738024, 14, 6, 7, 0, 0, 0.05%, 0, 0, 1, 170.80, 38261
AFLfast,objdump,2,1623738029, 15, 1, 7, 0, 0, 0.05%, 0, 0, 1, 165.95, 39059
AFLfast,objdump,2,1623738034, 15, 4, 7, 0, 0, 0.05%, 0, 0, 1, 155.27, 39827
AFLfast,objdump,2,1623738040, 16, 0, 7, 0, 0, 0.05%, 0, 0, 1, 156.38, 40612
AFLfast,objdump,2,1623738045, 16, 1, 7, 0, 0, 0.05%, 0, 0, 1, 163.77, 41452
AFLfast,objdump,2,1623738050, 16, 4, 7, 0, 0, 0.05%, 0, 0, 1, 157.66, 42193
AFLfast,objdump,2,1623738055, 17, 0, 7, 0, 0, 0.05%, 0, 0, 1, 182.71, 42966
AFLfast,objdump,2,1623738060, 17, 2, 7, 0, 0, 0.05%, 0, 0, 1, 167.91, 43795
AFLfast,objdump,2,1623738065, 17, 5, 7, 0, 0, 0.05%, 0, 0, 1, 165.92, 44600
AFLfast,objdump,2,1623738070, 18, 0, 7, 0, 0, 0.05%, 0, 0, 1, 186.72, 45437
AFLfast,objdump,2,1623738075, 18, 2, 7, 0, 0, 0.05%, 0, 0, 1, 176.04, 46227
AFLfast,objdump,2,1623738080, 18, 5, 7, 0, 0, 0.05%, 0, 0, 1, 160.86, 46992
AFLfast,objdump,2,1623738085, 19, 0, 7, 0, 0, 0.05%, 0, 0, 1, 180.42, 47770
AFLfast,objdump,2,1623738090, 19, 3, 7, 0, 0, 0.05%, 0, 0, 1, 168.98, 48531
AFLfast,objdump,2,1623738096, 19, 6, 7, 0, 0, 0.05%, 0, 0, 1, 154.63, 49299
AFLfast,objdump,2,1623738101, 20, 0, 7, 0, 0, 0.05%, 0, 0, 1, 168.12, 50142
AFLfast,objdump,2,1623738106, 20, 3, 7, 0, 0, 0.05%, 0, 0, 1, 151.85, 50897
AFLfast,objdump,2,1623738111, 20, 6, 7, 0, 0, 0.05%, 0, 0, 1, 152.38, 51611
AFLfast,objdump,2,1623738116, 21, 0, 7, 0, 0, 0.05%, 0, 0, 1, 156.88, 52403
AFLfast,objdump,2,1623738121, 21, 3, 7, 0, 0, 0.05%, 0, 0, 1, 180.10, 53077
AFLfast,objdump,2,1623738126, 21, 6, 7, 0, 0, 0.05%, 0, 0, 1, 150.60, 53779
AFLfast,objdump,2,1623738132, 22, 0, 7, 0, 0, 0.05%, 0, 0, 1, 163.38, 54592
AFLfast,objdump,2,1623738137, 22, 3, 7, 0, 0, 0.05%, 0, 0, 1, 8.37, 55251
AFLfast,objdump,2,1623738142, 22, 5, 7, 0, 0, 0.05%, 0, 0, 1, 151.81, 55991
AFLfast,objdump,2,1623738147, 23, 0, 7, 0, 0, 0.05%, 0, 0, 1, 157.69, 56754
