alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,size,11,1623836885, 1, 0, 8, 8, 5, 1.55%, 0, 0, 1, 134.74, 64
AFLfast,size,11,1623836895, 1, 0, 9, 9, 5, 1.72%, 0, 0, 2, 111.15, 1215
AFLfast,size,11,1623836900, 1, 0, 27, 27, 5, 2.03%, 0, 0, 2, 74.83, 1548
AFLfast,size,11,1623836905, 1, 0, 36, 36, 5, 2.12%, 0, 0, 2, 60.80, 1842
AFLfast,size,11,1623836910, 1, 0, 38, 38, 5, 2.12%, 0, 0, 2, 54.65, 2108
AFLfast,size,11,1623836915, 1, 0, 40, 40, 5, 2.12%, 0, 0, 2, 51.67, 2365
AFLfast,size,11,1623837863, 1, 0, 42, 42, 5, 2.13%, 0, 0, 2, 0.00, 2490
AFLfast,size,11,1623837869, 1, 0, 44, 44, 5, 2.13%, 0, 0, 2, 18.54, 2602
AFLfast,size,11,1623837874, 1, 0, 48, 48, 5, 2.15%, 0, 0, 2, 32.32, 2781
AFLfast,size,11,1623837879, 1, 0, 53, 53, 5, 2.16%, 0, 0, 2, 39.63, 2994
AFLfast,size,11,1623837884, 1, 0, 56, 56, 5, 2.17%, 0, 0, 2, 43.21, 3220
AFLfast,size,11,1623838854, 1, 0, 57, 57, 5, 2.18%, 0, 0, 2, 0.01, 3634
AFLfast,size,11,1623838859, 1, 0, 59, 59, 5, 2.18%, 0, 0, 2, 42.73, 3848
AFLfast,size,11,1623838869, 1, 0, 60, 60, 5, 2.18%, 0, 0, 2, 43.98, 4272
AFLfast,size,11,1623838874, 1, 0, 61, 61, 5, 2.18%, 0, 0, 2, 34.97, 4437
AFLfast,size,11,1623838879, 1, 0, 63, 63, 5, 2.18%, 0, 0, 2, 38.01, 4635
AFLfast,size,11,1623839864, 1, 0, 64, 64, 5, 2.18%, 0, 0, 2, 32.05, 4886
AFLfast,size,11,1623839869, 1, 0, 65, 65, 5, 2.18%, 0, 0, 2, 34.58, 5058
AFLfast,size,11,1623839874, 1, 0, 66, 66, 5, 2.18%, 0, 0, 2, 36.10, 5245
AFLfast,size,11,1623839884, 1, 0, 67, 67, 5, 2.19%, 0, 0, 2, 32.35, 5598
AFLfast,size,11,1623840856, 1, 0, 70, 70, 5, 2.21%, 0, 0, 2, 43.53, 5974
AFLfast,size,11,1623840861, 1, 0, 71, 71, 5, 2.21%, 0, 0, 2, 42.70, 6187
AFLfast,size,11,1623840866, 1, 0, 72, 72, 5, 2.21%, 0, 0, 2, 40.56, 6390
AFLfast,size,11,1623840872, 1, 0, 73, 73, 5, 2.21%, 0, 0, 2, 37.00, 6575
AFLfast,size,11,1623840882, 1, 0, 74, 74, 5, 2.21%, 0, 0, 2, 19.63, 6776
AFLfast,size,11,1623841860, 1, 0, 75, 75, 5, 2.21%, 0, 0, 2, 0.00, 6850
AFLfast,size,11,1623841870, 1, 0, 78, 78, 5, 2.24%, 0, 0, 2, 34.08, 7194
AFLfast,size,11,1623841885, 1, 0, 79, 79, 5, 2.24%, 0, 0, 2, 23.65, 7635
AFLfast,size,11,1623842875, 1, 0, 80, 80, 5, 2.24%, 0, 0, 2, 32.54, 8211
AFLfast,size,11,1623842880, 1, 0, 83, 83, 5, 2.24%, 0, 0, 2, 35.49, 8402
AFLfast,size,11,1623842890, 1, 0, 84, 84, 5, 2.25%, 0, 0, 2, 33.07, 8748
AFLfast,size,11,1623842895, 1, 0, 85, 85, 5, 2.25%, 0, 0, 2, 34.07, 8935
AFLfast,size,11,1623843895, 1, 0, 86, 86, 5, 2.25%, 0, 0, 2, 0.00, 8986
AFLfast,size,11,1623843900, 1, 0, 88, 88, 5, 2.25%, 0, 0, 2, 39.25, 9186
AFLfast,size,11,1623843905, 1, 0, 90, 90, 5, 2.25%, 0, 0, 2, 38.25, 9380
AFLfast,size,11,1623843910, 1, 0, 91, 91, 5, 2.26%, 0, 0, 2, 31.48, 9542
AFLfast,size,11,1623843920, 1, 0, 92, 92, 5, 2.27%, 0, 0, 2, 26.37, 9820
AFLfast,size,11,1623844945, 1, 0, 94, 94, 5, 2.27%, 0, 0, 2, 33.30, 10737
AFLfast,size,11,1623844950, 1, 0, 95, 95, 5, 2.27%, 0, 0, 2, 31.78, 10898
