alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,size,9,1623836128, 0, 0, 279.07
AFLfast,size,9,1623836143, 0, 0, 85.21
AFLfast,size,9,1623836148, 0, 0, 63.91
AFLfast,size,9,1623836154, 0, 0, 56.01
AFLfast,size,9,1623836159, 0, 0, 50.26
AFLfast,size,9,1623836164, 0, 0, 36.49
AFLfast,size,9,1623837255, 0, 0, 0.01
AFLfast,size,9,1623837261, 0, 0, 29.37
AFLfast,size,9,1623837266, 0, 0, 33.16
AFLfast,size,9,1623837271, 0, 0, 30.86
AFLfast,size,9,1623837276, 0, 0, 29.79
AFLfast,size,9,1623837281, 0, 0, 36.17
AFLfast,size,9,1623837286, 0, 0, 38.14
AFLfast,size,9,1623838672, 0, 0, 0.00
AFLfast,size,9,1623838677, 0, 0, 18.17
AFLfast,size,9,1623838682, 0, 0, 22.29
AFLfast,size,9,1623838687, 0, 0, 27.59
AFLfast,size,9,1623838692, 0, 0, 28.76
AFLfast,size,9,1623838697, 0, 0, 27.43
AFLfast,size,9,1623838702, 0, 0, 28.41
AFLfast,size,9,1623838707, 0, 0, 30.62
AFLfast,size,9,1623840043, 0, 0, 0.01
AFLfast,size,9,1623840048, 0, 0, 27.41
AFLfast,size,9,1623840074, 0, 0, 25.08
AFLfast,size,9,1623840084, 0, 0, 31.88
AFLfast,size,9,1623841504, 0, 0, 30.09
AFLfast,size,9,1623841514, 0, 0, 29.82
AFLfast,size,9,1623841519, 0, 0, 25.98
AFLfast,size,9,1623841529, 0, 0, 18.05
AFLfast,size,9,1623843027, 0, 0, 17.01
AFLfast,size,9,1623843037, 0, 0, 26.10
AFLfast,size,9,1623843048, 0, 0, 27.67
AFLfast,size,9,1623844532, 0, 0, 29.78
AFLfast,size,9,1623844542, 0, 0, 25.74
AFLfast,size,9,1623844557, 0, 0, 23.53
AFLfast,size,9,1623845957, 0, 0, 28.36
AFLfast,size,9,1623845962, 0, 0, 32.99
AFLfast,size,9,1623845983, 0, 0, 32.27
AFLfast,size,9,1623847419, 0, 0, 27.24
AFLfast,size,9,1623847430, 0, 0, 29.75
AFLfast,size,9,1623847435, 0, 0, 31.41
AFLfast,size,9,1623848916, 0, 0, 0.00
AFLfast,size,9,1623848921, 0, 0, 20.09
AFLfast,size,9,1623848931, 0, 0, 28.44
AFLfast,size,9,1623848941, 0, 0, 15.04
AFLfast,size,9,1623848946, 0, 0, 13.79
AFLfast,size,9,1623850404, 0, 0, 17.96
AFLfast,size,9,1623850419, 0, 0, 21.17
AFLfast,size,9,1623850424, 0, 0, 26.93
AFLfast,size,9,1623851843, 0, 0, 31.68
AFLfast,size,9,1623851848, 0, 0, 29.39
AFLfast,size,9,1623851868, 0, 0, 17.99
AFLfast,size,9,1623853285, 0, 0, 0.00
AFLfast,size,9,1623853290, 0, 0, 24.60
AFLfast,size,9,1623853310, 0, 0, 29.72
AFLfast,size,9,1623853326, 0, 0, 15.32
AFLfast,size,9,1623854820, 0, 0, 28.43
AFLfast,size,9,1623854835, 0, 0, 30.20
AFLfast,size,9,1623854840, 0, 0, 27.40
AFLfast,size,9,1623854846, 0, 0, 9.22
AFLfast,size,9,1623856295, 0, 0, 30.46
AFLfast,size,9,1623856300, 0, 0, 28.84
AFLfast,size,9,1623857766, 0, 0, 25.26
AFLfast,size,9,1623859187, 0, 0, 0.00
AFLfast,size,9,1623861970, 0, 0, 0.00
AFLfast,size,9,1623861980, 0, 0, 120.77
AFLfast,size,9,1623861985, 0, 0, 112.83
AFLfast,size,9,1623862016, 0, 0, 1.01
AFLfast,size,9,1623862021, 0, 0, 59.40
AFLfast,size,9,1623862031, 0, 0, 59.35
AFLfast,size,9,1623862066, 0, 0, 0.03
AFLfast,size,9,1623862076, 0, 0, 56.89
AFLfast,size,9,1623862081, 0, 0, 59.26
AFLfast,size,9,1623862126, 0, 0, 57.69
AFLfast,size,9,1623862169, 0, 0, 56.56
AFLfast,size,9,1623862175, 0, 0, 54.90
AFLfast,size,9,1623862180, 0, 0, 58.81
AFLfast,size,9,1623862214, 0, 0, 0.03
AFLfast,size,9,1623862219, 0, 0, 60.03
AFLfast,size,9,1623862263, 0, 0, 0.35
AFLfast,size,9,1623862269, 0, 0, 58.72
AFLfast,size,9,1623862274, 0, 0, 58.64
AFLfast,size,9,1623862279, 0, 0, 56.94
AFLfast,size,9,1623862336, 0, 0, 0.41
AFLfast,size,9,1623862341, 0, 0, 111.06
AFLfast,size,9,1623862361, 0, 0, 1.20
AFLfast,size,9,1623862366, 0, 0, 113.42
AFLfast,size,9,1623862398, 0, 0, 0.50
AFLfast,size,9,1623862403, 0, 0, 52.89
AFLfast,size,9,1623862408, 0, 0, 58.62
AFLfast,size,9,1623862452, 0, 0, 117.90
AFLfast,size,9,1623862499, 0, 0, 121.59
AFLfast,size,9,1623862528, 0, 0, 114.35
AFLfast,size,9,1623862546, 0, 0, 0.42
AFLfast,size,9,1623862574, 0, 0, 117.87
AFLfast,size,9,1623862613, 0, 0, 113.30
AFLfast,size,9,1623862637, 0, 0, 119.22
AFLfast,size,9,1623862656, 0, 0, 0.87
AFLfast,size,9,1623862661, 0, 0, 117.98
AFLfast,size,9,1623862694, 0, 0, 0.53
AFLfast,size,9,1623862699, 0, 0, 57.38
AFLfast,size,9,1623862704, 0, 0, 59.14
AFLfast,size,9,1623862710, 0, 0, 56.63
AFLfast,size,9,1623862735, 0, 0, 0.13
AFLfast,size,9,1623862741, 0, 0, 124.30
AFLfast,size,9,1623862759, 0, 0, 0.14
