alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,3,1623821269, 0, 0, 3.00
AFLfast,strings,3,1623821274, 0, 0, 12.96
AFLfast,strings,3,1623821448, 0, 0, 8.88
AFLfast,strings,3,1623821453, 0, 0, 8.87
AFLfast,strings,3,1623821459, 0, 0, 9.05
AFLfast,strings,3,1623821464, 0, 0, 7.01
AFLfast,strings,3,1623821469, 0, 0, 5.69
AFLfast,strings,3,1623821474, 0, 0, 5.37
AFLfast,strings,3,1623821479, 0, 0, 4.87
AFLfast,strings,3,1623821485, 0, 0, 4.81
AFLfast,strings,3,1623821490, 0, 0, 5.01
AFLfast,strings,3,1623821495, 0, 0, 5.15
AFLfast,strings,3,1623821506, 0, 0, 5.01
AFLfast,strings,3,1623821511, 0, 0, 5.09
AFLfast,strings,3,1623821531, 0, 0, 5.02
AFLfast,strings,3,1623821542, 0, 0, 4.86
AFLfast,strings,3,1623821547, 0, 0, 4.90
AFLfast,strings,3,1623821552, 0, 0, 5.13
AFLfast,strings,3,1623821557, 0, 0, 5.04
AFLfast,strings,3,1623821562, 0, 0, 4.95
AFLfast,strings,3,1623821567, 0, 0, 4.87
AFLfast,strings,3,1623821572, 0, 0, 4.77
AFLfast,strings,3,1623821587, 0, 0, 4.52
AFLfast,strings,3,1623821592, 0, 0, 4.69
AFLfast,strings,3,1623821608, 0, 0, 4.76
AFLfast,strings,3,1623821613, 0, 0, 4.76
AFLfast,strings,3,1623821618, 0, 0, 4.79
AFLfast,strings,3,1623821623, 0, 0, 4.73
AFLfast,strings,3,1623821634, 0, 0, 4.79
AFLfast,strings,3,1623821645, 0, 0, 4.62
AFLfast,strings,3,1623821650, 0, 0, 4.72
AFLfast,strings,3,1623821655, 0, 0, 4.59
AFLfast,strings,3,1623821696, 0, 0, 4.63
AFLfast,strings,3,1623821701, 0, 0, 4.82
AFLfast,strings,3,1623821716, 0, 0, 4.46
AFLfast,strings,3,1623821722, 0, 0, 4.58
AFLfast,strings,3,1623822090, 0, 0, 7.50
AFLfast,strings,3,1623822095, 0, 0, 7.54
AFLfast,strings,3,1623822100, 0, 0, 7.74
AFLfast,strings,3,1623822110, 0, 0, 7.58
AFLfast,strings,3,1623822121, 0, 0, 7.46
AFLfast,strings,3,1623822131, 0, 0, 7.54
AFLfast,strings,3,1623822136, 0, 0, 7.57
AFLfast,strings,3,1623822157, 0, 0, 4.17
AFLfast,strings,3,1623822167, 0, 0, 4.31
AFLfast,strings,3,1623822224, 0, 0, 6.17
AFLfast,strings,3,1623822229, 0, 0, 7.11
AFLfast,strings,3,1623822271, 0, 0, 7.33
AFLfast,strings,3,1623822626, 0, 0, 7.09
AFLfast,strings,3,1623823184, 0, 0, 0.03
AFLfast,strings,3,1623823194, 0, 0, 96.37
AFLfast,strings,3,1623823211, 0, 0, 68.67
AFLfast,strings,3,1623823226, 0, 0, 46.02
AFLfast,strings,3,1623823290, 0, 0, 0.27
AFLfast,strings,3,1623823306, 0, 0, 90.29
AFLfast,strings,3,1623823322, 0, 0, 3.66
AFLfast,strings,3,1623823332, 0, 0, 92.50
AFLfast,strings,3,1623823349, 0, 0, 2.08
AFLfast,strings,3,1623823364, 0, 0, 7.87
AFLfast,strings,3,1623823378, 0, 0, 0.10
AFLfast,strings,3,1623824268, 0, 0, 0.01
AFLfast,strings,3,1623825424, 0, 0, 0.01
AFLfast,strings,3,1623825562, 0, 0, 10.89
AFLfast,strings,3,1623825717, 0, 0, 0.02
AFLfast,strings,3,1623825815, 0, 0, 13.53
AFLfast,strings,3,1623825820, 0, 0, 13.72
AFLfast,strings,3,1623826111, 0, 0, 0.09
AFLfast,strings,3,1623826168, 0, 0, 32.18
AFLfast,strings,3,1623826314, 0, 0, 0.09
AFLfast,strings,3,1623826370, 0, 0, 0.22
AFLfast,strings,3,1623826376, 0, 0, 10.87
AFLfast,strings,3,1623826574, 0, 0, 0.02
AFLfast,strings,3,1623826797, 0, 0, 0.02
AFLfast,strings,3,1623827004, 0, 0, 0.05
AFLfast,strings,3,1623827215, 0, 0, 0.02
AFLfast,strings,3,1623827433, 0, 0, 0.02
AFLfast,strings,3,1623827652, 0, 0, 0.05
AFLfast,strings,3,1623827863, 0, 0, 0.04
AFLfast,strings,3,1623828071, 0, 0, 0.05
AFLfast,strings,3,1623828265, 0, 0, 0.07
AFLfast,strings,3,1623828476, 0, 0, 0.04
AFLfast,strings,3,1623828694, 0, 0, 0.02
AFLfast,strings,3,1623828704, 0, 0, 100.09
AFLfast,strings,3,1623828709, 0, 0, 145.65
AFLfast,strings,3,1623828719, 0, 0, 17.81
AFLfast,strings,3,1623828737, 0, 0, 0.66
AFLfast,strings,3,1623828748, 0, 0, 0.13
AFLfast,strings,3,1623828960, 0, 0, 0.04
AFLfast,strings,3,1623829175, 0, 0, 0.06
AFLfast,strings,3,1623829379, 0, 0, 0.02
AFLfast,strings,3,1623829598, 0, 0, 0.04
AFLfast,strings,3,1623829798, 0, 0, 0.02
AFLfast,strings,3,1623830014, 0, 0, 0.04
AFLfast,strings,3,1623830217, 0, 0, 0.05
AFLfast,strings,3,1623830411, 0, 0, 0.06
AFLfast,strings,3,1623830621, 0, 0, 0.07
AFLfast,strings,3,1623830829, 0, 0, 0.07
AFLfast,strings,3,1623831037, 0, 0, 0.02
AFLfast,strings,3,1623831243, 0, 0, 0.04
AFLfast,strings,3,1623831456, 0, 0, 0.04
AFLfast,strings,3,1623831652, 0, 0, 0.05
