alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,jpegtran,1,1623329616, 0, 0, 265.23
AFLfast,jpegtran,1,1623329621, 0, 0, 766.12
AFLfast,jpegtran,1,1623329626, 0, 0, 511.00
AFLfast,jpegtran,1,1623329631, 0, 0, 502.73
AFLfast,jpegtran,1,1623329636, 0, 0, 385.05
AFLfast,jpegtran,1,1623329641, 0, 0, 366.50
AFLfast,jpegtran,1,1623329647, 0, 0, 263.97
AFLfast,jpegtran,1,1623329652, 0, 0, 195.75
AFLfast,jpegtran,1,1623329657, 0, 0, 156.38
AFLfast,jpegtran,1,1623329662, 0, 0, 167.57
AFLfast,jpegtran,1,1623329667, 0, 0, 191.77
AFLfast,jpegtran,1,1623329672, 0, 0, 183.01
AFLfast,jpegtran,1,1623329677, 0, 0, 142.48
AFLfast,jpegtran,1,1623329687, 0, 0, 145.81
AFLfast,jpegtran,1,1623329698, 0, 0, 165.67
AFLfast,jpegtran,1,1623329703, 0, 0, 159.37
AFLfast,jpegtran,1,1623329708, 0, 0, 171.15
AFLfast,jpegtran,1,1623329713, 0, 0, 131.82
AFLfast,jpegtran,1,1623329718, 0, 0, 131.79
AFLfast,jpegtran,1,1623329723, 0, 0, 209.54
AFLfast,jpegtran,1,1623329733, 0, 0, 162.77
AFLfast,jpegtran,1,1623329738, 0, 0, 160.43
AFLfast,jpegtran,1,1623329749, 0, 0, 190.96
AFLfast,jpegtran,1,1623329754, 0, 0, 210.38
AFLfast,jpegtran,1,1623329764, 0, 0, 213.82
AFLfast,jpegtran,1,1623329784, 0, 0, 210.86
AFLfast,jpegtran,1,1623329790, 0, 0, 197.34
AFLfast,jpegtran,1,1623329795, 0, 0, 221.15
AFLfast,jpegtran,1,1623329800, 0, 0, 181.81
AFLfast,jpegtran,1,1623329805, 0, 0, 378.20
AFLfast,jpegtran,1,1623329810, 0, 0, 282.78
AFLfast,jpegtran,1,1623329815, 0, 0, 293.14
AFLfast,jpegtran,1,1623329820, 0, 0, 287.70
AFLfast,jpegtran,1,1623329825, 0, 0, 337.32
AFLfast,jpegtran,1,1623329831, 0, 0, 276.40
AFLfast,jpegtran,1,1623329846, 0, 0, 262.11
AFLfast,jpegtran,1,1623329856, 0, 0, 253.54
AFLfast,jpegtran,1,1623329861, 0, 0, 204.47
AFLfast,jpegtran,1,1623329866, 0, 0, 175.49
AFLfast,jpegtran,1,1623329871, 0, 0, 142.44
AFLfast,jpegtran,1,1623329887, 0, 0, 164.37
AFLfast,jpegtran,1,1623329892, 0, 0, 135.75
AFLfast,jpegtran,1,1623329897, 0, 0, 45.23
AFLfast,jpegtran,1,1623329902, 0, 0, 80.48
AFLfast,jpegtran,1,1623329907, 0, 0, 113.03
AFLfast,jpegtran,1,1623329949, 0, 0, 676.57
AFLfast,jpegtran,1,1623329954, 0, 0, 347.15
AFLfast,jpegtran,1,1623329971, 0, 0, 9.82
AFLfast,jpegtran,1,1623329980, 0, 0, 1.26
AFLfast,jpegtran,1,1623329987, 0, 0, 16.90
AFLfast,jpegtran,1,1623329992, 0, 0, 928.84
AFLfast,jpegtran,1,1623329997, 0, 0, 417.82
AFLfast,jpegtran,1,1623330003, 0, 0, 483.16
AFLfast,jpegtran,1,1623330008, 0, 0, 453.46
AFLfast,jpegtran,1,1623330018, 0, 0, 427.41
AFLfast,jpegtran,1,1623330023, 0, 0, 381.60
AFLfast,jpegtran,1,1623330028, 0, 0, 187.25
AFLfast,jpegtran,1,1623330033, 0, 0, 259.41
AFLfast,jpegtran,1,1623330038, 0, 0, 275.58
AFLfast,jpegtran,1,1623330043, 0, 0, 204.49
AFLfast,jpegtran,1,1623330048, 0, 0, 139.26
AFLfast,jpegtran,1,1623330053, 0, 0, 139.86
AFLfast,jpegtran,1,1623330058, 0, 0, 66.01
AFLfast,jpegtran,1,1623330063, 0, 0, 109.33
AFLfast,jpegtran,1,1623330069, 0, 0, 101.58
AFLfast,jpegtran,1,1623330074, 0, 0, 102.63
AFLfast,jpegtran,1,1623330079, 0, 0, 123.12
AFLfast,jpegtran,1,1623330084, 0, 0, 108.22
AFLfast,jpegtran,1,1623330089, 0, 0, 104.34
AFLfast,jpegtran,1,1623330099, 0, 0, 202.85
AFLfast,jpegtran,1,1623330104, 0, 0, 252.37
AFLfast,jpegtran,1,1623330110, 0, 0, 199.40
AFLfast,jpegtran,1,1623330115, 0, 0, 243.77
AFLfast,jpegtran,1,1623330120, 0, 0, 289.06
AFLfast,jpegtran,1,1623330125, 0, 0, 175.36
AFLfast,jpegtran,1,1623330156, 0, 0, 79.46
AFLfast,jpegtran,1,1623330171, 0, 0, 71.91
AFLfast,jpegtran,1,1623330176, 0, 0, 58.64
AFLfast,jpegtran,1,1623330187, 0, 0, 79.44
AFLfast,jpegtran,1,1623330192, 0, 0, 77.32
AFLfast,jpegtran,1,1623330197, 0, 0, 79.12
AFLfast,jpegtran,1,1623330202, 0, 0, 72.00
AFLfast,jpegtran,1,1623330217, 0, 0, 83.31
AFLfast,jpegtran,1,1623330222, 0, 0, 76.61
AFLfast,jpegtran,1,1623330228, 0, 0, 99.71
AFLfast,jpegtran,1,1623330233, 0, 0, 103.90
AFLfast,jpegtran,1,1623330238, 0, 0, 95.59
AFLfast,jpegtran,1,1623330248, 0, 0, 118.29
AFLfast,jpegtran,1,1623330253, 0, 0, 107.30
AFLfast,jpegtran,1,1623330279, 0, 0, 123.95
AFLfast,jpegtran,1,1623330284, 0, 0, 142.15
AFLfast,jpegtran,1,1623330299, 0, 0, 124.71
