alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,jpegtran,8,1623330790, 1, 0, 61, 61, 50, 3.25%, 0, 0, 1, 100.18, 488
AFLfast,jpegtran,8,1623330795, 1, 1, 80, 80, 50, 3.27%, 0, 0, 2, 124.66, 961
AFLfast,jpegtran,8,1623330800, 1, 1, 96, 96, 50, 3.29%, 0, 0, 2, 135.24, 1528
AFLfast,jpegtran,8,1623330805, 1, 1, 100, 100, 50, 3.29%, 0, 0, 2, 136.59, 1936
AFLfast,jpegtran,8,1623330816, 1, 1, 105, 105, 50, 3.30%, 0, 0, 2, 53.99, 2499
AFLfast,jpegtran,8,1623330821, 1, 1, 107, 107, 50, 3.31%, 0, 0, 2, 188.49, 2907
AFLfast,jpegtran,8,1623330826, 1, 1, 109, 109, 50, 3.31%, 0, 0, 2, 157.58, 3373
AFLfast,jpegtran,8,1623330832, 1, 1, 111, 111, 50, 3.31%, 0, 0, 2, 140.40, 4096
AFLfast,jpegtran,8,1623330842, 1, 1, 114, 114, 50, 3.31%, 0, 0, 2, 49.47, 5194
AFLfast,jpegtran,8,1623330847, 1, 1, 117, 117, 50, 3.31%, 0, 0, 2, 124.61, 5923
AFLfast,jpegtran,8,1623330853, 1, 1, 118, 118, 50, 3.31%, 0, 0, 2, 1.64, 6201
AFLfast,jpegtran,8,1623330858, 1, 1, 119, 119, 50, 3.31%, 0, 0, 2, 104.99, 6867
AFLfast,jpegtran,8,1623330864, 1, 1, 120, 120, 50, 3.31%, 0, 0, 2, 3.88, 7242
AFLfast,jpegtran,8,1623330869, 1, 1, 121, 121, 50, 3.31%, 0, 0, 2, 69.23, 7791
AFLfast,jpegtran,8,1623330875, 1, 1, 124, 124, 50, 3.32%, 0, 0, 2, 12.10, 8218
AFLfast,jpegtran,8,1623330880, 1, 1, 126, 126, 50, 3.32%, 0, 0, 2, 252.20, 8991
AFLfast,jpegtran,8,1623330987, 1, 6, 135, 134, 66, 3.33%, 0, 0, 2, 260.00, 34342
AFLfast,jpegtran,8,1623330992, 1, 6, 136, 135, 66, 3.33%, 0, 0, 2, 190.52, 34915
AFLfast,jpegtran,8,1623330997, 1, 6, 141, 140, 66, 3.33%, 0, 0, 2, 128.48, 35466
AFLfast,jpegtran,8,1623331003, 1, 6, 148, 147, 66, 3.34%, 0, 0, 2, 37.83, 36007
AFLfast,jpegtran,8,1623331008, 1, 6, 149, 148, 66, 3.34%, 0, 0, 2, 11.10, 36199
AFLfast,jpegtran,8,1623331013, 1, 6, 150, 149, 66, 3.34%, 0, 0, 2, 9.27, 36245
AFLfast,jpegtran,8,1623331039, 1, 6, 151, 150, 66, 3.34%, 0, 0, 2, 13.99, 36533
AFLfast,jpegtran,8,1623331080, 1, 6, 152, 151, 66, 3.34%, 0, 0, 2, 12.62, 36968
AFLfast,jpegtran,8,1623331090, 1, 6, 153, 152, 66, 3.34%, 0, 0, 2, 13.31, 37092
AFLfast,jpegtran,8,1623331111, 1, 6, 154, 153, 66, 3.34%, 0, 0, 2, 9.11, 37288
AFLfast,jpegtran,8,1623331167, 1, 6, 155, 154, 66, 3.34%, 0, 0, 2, 6.12, 37877
AFLfast,jpegtran,8,1623331208, 1, 6, 156, 155, 66, 3.34%, 0, 0, 2, 9.79, 38277
AFLfast,jpegtran,8,1623331234, 1, 6, 157, 156, 66, 3.34%, 0, 0, 2, 14.44, 38564
AFLfast,jpegtran,8,1623331346, 1, 6, 158, 157, 66, 3.34%, 0, 0, 2, 17.60, 40586
AFLfast,jpegtran,8,1623331499, 1, 6, 159, 158, 66, 3.34%, 0, 0, 2, 21.64, 43289
AFLfast,jpegtran,8,1623331556, 1, 6, 160, 159, 66, 3.34%, 0, 0, 2, 16.27, 44234
AFLfast,jpegtran,8,1623331957, 1, 6, 161, 160, 66, 3.34%, 0, 0, 2, 13.72, 50316
AFLfast,jpegtran,8,1623332120, 1, 7, 161, 159, 73, 3.34%, 0, 0, 2, 118.43, 52687
AFLfast,jpegtran,8,1623332126, 1, 7, 187, 185, 73, 3.43%, 0, 0, 2, 161.94, 53543
AFLfast,jpegtran,8,1623332131, 1, 7, 198, 196, 73, 3.44%, 0, 0, 2, 110.07, 54184
AFLfast,jpegtran,8,1623332136, 1, 7, 205, 203, 73, 3.45%, 0, 0, 2, 6.49, 54636
AFLfast,jpegtran,8,1623332141, 1, 7, 212, 210, 73, 3.47%, 0, 0, 2, 14.11, 55245
AFLfast,jpegtran,8,1623332146, 1, 7, 215, 213, 73, 3.47%, 0, 0, 2, 141.58, 55646
AFLfast,jpegtran,8,1623332157, 1, 7, 222, 220, 73, 3.47%, 0, 0, 2, 91.62, 56532
AFLfast,jpegtran,8,1623332162, 1, 7, 227, 225, 73, 3.50%, 0, 0, 2, 157.24, 57033
AFLfast,jpegtran,8,1623332168, 1, 7, 229, 227, 73, 3.51%, 0, 0, 2, 4.40, 57433
AFLfast,jpegtran,8,1623332173, 1, 7, 230, 228, 73, 3.51%, 0, 0, 2, 96.19, 57813
AFLfast,jpegtran,8,1623332178, 1, 7, 231, 229, 73, 3.51%, 0, 0, 2, 62.39, 58166
AFLfast,jpegtran,8,1623332184, 1, 7, 234, 232, 73, 3.51%, 0, 0, 2, 100.79, 58596
