alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pngtest,2,1623354155, 0, 0, 59.28
AFLfast,pngtest,2,1623354185, 0, 0, 57.57
AFLfast,pngtest,2,1623354195, 0, 0, 58.00
AFLfast,pngtest,2,1623354206, 0, 0, 53.31
AFLfast,pngtest,2,1623354216, 0, 0, 53.56
AFLfast,pngtest,2,1623354221, 0, 0, 51.49
AFLfast,pngtest,2,1623354231, 0, 0, 9.57
AFLfast,pngtest,2,1623354242, 0, 0, 49.75
AFLfast,pngtest,2,1623354252, 0, 0, 50.41
AFLfast,pngtest,2,1623354262, 0, 0, 51.12
AFLfast,pngtest,2,1623354272, 0, 0, 52.53
AFLfast,pngtest,2,1623354282, 0, 0, 50.91
AFLfast,pngtest,2,1623354292, 0, 0, 47.77
AFLfast,pngtest,2,1623354302, 0, 0, 50.07
AFLfast,pngtest,2,1623354313, 0, 0, 49.68
AFLfast,pngtest,2,1623354323, 0, 0, 7.78
AFLfast,pngtest,2,1623354333, 0, 0, 48.10
AFLfast,pngtest,2,1623354343, 0, 0, 46.57
AFLfast,pngtest,2,1623354354, 0, 0, 46.37
AFLfast,pngtest,2,1623354364, 0, 0, 43.95
AFLfast,pngtest,2,1623354374, 0, 0, 49.39
AFLfast,pngtest,2,1623354379, 0, 0, 50.92
AFLfast,pngtest,2,1623354384, 0, 0, 43.69
AFLfast,pngtest,2,1623354390, 0, 0, 44.58
AFLfast,pngtest,2,1623354395, 0, 0, 47.08
AFLfast,pngtest,2,1623354400, 0, 0, 44.55
AFLfast,pngtest,2,1623354405, 0, 0, 45.20
AFLfast,pngtest,2,1623354410, 0, 0, 48.49
AFLfast,pngtest,2,1623354415, 0, 0, 45.28
AFLfast,pngtest,2,1623354420, 0, 0, 43.32
AFLfast,pngtest,2,1623354436, 0, 0, 0.51
AFLfast,pngtest,2,1623354441, 0, 0, 44.32
AFLfast,pngtest,2,1623354460, 0, 0, 0.19
AFLfast,pngtest,2,1623354465, 0, 0, 41.44
AFLfast,pngtest,2,1623354470, 0, 0, 42.91
AFLfast,pngtest,2,1623354475, 0, 0, 8.30
AFLfast,pngtest,2,1623354480, 0, 0, 43.36
AFLfast,pngtest,2,1623354485, 0, 0, 39.96
AFLfast,pngtest,2,1623354491, 0, 0, 41.75
AFLfast,pngtest,2,1623354496, 0, 0, 41.52
AFLfast,pngtest,2,1623354501, 0, 0, 42.79
AFLfast,pngtest,2,1623354506, 0, 0, 41.91
AFLfast,pngtest,2,1623354511, 0, 0, 41.16
AFLfast,pngtest,2,1623354516, 0, 0, 46.04
AFLfast,pngtest,2,1623354521, 0, 0, 42.50
AFLfast,pngtest,2,1623354539, 0, 0, 0.51
AFLfast,pngtest,2,1623354557, 0, 0, 0.26
AFLfast,pngtest,2,1623354562, 0, 0, 37.75
AFLfast,pngtest,2,1623354579, 0, 0, 0.24
AFLfast,pngtest,2,1623354584, 0, 0, 41.17
AFLfast,pngtest,2,1623354589, 0, 0, 26.82
AFLfast,pngtest,2,1623354600, 0, 0, 37.39
AFLfast,pngtest,2,1623354605, 0, 0, 38.06
AFLfast,pngtest,2,1623354610, 0, 0, 38.11
AFLfast,pngtest,2,1623354615, 0, 0, 36.60
AFLfast,pngtest,2,1623354621, 0, 0, 38.27
AFLfast,pngtest,2,1623354626, 0, 0, 34.34
AFLfast,pngtest,2,1623354631, 0, 0, 36.92
AFLfast,pngtest,2,1623354636, 0, 0, 36.75
AFLfast,pngtest,2,1623354641, 0, 0, 36.44
AFLfast,pngtest,2,1623354647, 0, 0, 35.75
AFLfast,pngtest,2,1623354662, 0, 0, 34.57
AFLfast,pngtest,2,1623354678, 0, 0, 0.57
AFLfast,pngtest,2,1623354683, 0, 0, 33.47
AFLfast,pngtest,2,1623354701, 0, 0, 0.24
AFLfast,pngtest,2,1623354707, 0, 0, 34.49
AFLfast,pngtest,2,1623354712, 0, 0, 38.46
AFLfast,pngtest,2,1623354722, 0, 0, 35.38
AFLfast,pngtest,2,1623354727, 0, 0, 36.66
AFLfast,pngtest,2,1623354732, 0, 0, 28.34
AFLfast,pngtest,2,1623354737, 0, 0, 31.96
AFLfast,pngtest,2,1623354742, 0, 0, 33.57
AFLfast,pngtest,2,1623354747, 0, 0, 35.79
AFLfast,pngtest,2,1623354752, 0, 0, 29.54
AFLfast,pngtest,2,1623354758, 0, 0, 32.83
AFLfast,pngtest,2,1623354763, 0, 0, 33.19
AFLfast,pngtest,2,1623354768, 0, 0, 35.66
AFLfast,pngtest,2,1623354773, 0, 0, 5.69
AFLfast,pngtest,2,1623354794, 0, 0, 29.83
AFLfast,pngtest,2,1623354804, 0, 0, 30.96
AFLfast,pngtest,2,1623354809, 0, 0, 12.15
AFLfast,pngtest,2,1623354814, 0, 0, 33.86
AFLfast,pngtest,2,1623354819, 0, 0, 34.50
AFLfast,pngtest,2,1623354825, 0, 0, 33.10
AFLfast,pngtest,2,1623354835, 0, 0, 31.07
AFLfast,pngtest,2,1623354840, 0, 0, 30.00
AFLfast,pngtest,2,1623354845, 0, 0, 33.63
