alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,pngtest,8,1623354547, 1, 0, 24, 24, 0, 0.00%, 0, 0, 1, 35.83, 192
AFLfast,pngtest,8,1623354562, 1, 1, 24, 23, 0, 0.00%, 0, 0, 1, 33.49, 823
AFLfast,pngtest,8,1623354573, 1, 2, 24, 22, 0, 0.00%, 0, 0, 1, 1.81, 1114
AFLfast,pngtest,8,1623354583, 1, 3, 24, 21, 0, 0.00%, 0, 0, 1, 35.78, 1474
AFLfast,pngtest,8,1623354589, 1, 4, 24, 20, 0, 0.00%, 0, 0, 1, 33.21, 1640
AFLfast,pngtest,8,1623354607, 1, 5, 24, 19, 0, 0.00%, 0, 0, 1, 0.25, 1726
AFLfast,pngtest,8,1623354617, 1, 6, 24, 18, 0, 0.00%, 0, 0, 1, 37.66, 2090
AFLfast,pngtest,8,1623354622, 1, 7, 24, 17, 0, 0.00%, 0, 0, 1, 37.29, 2261
AFLfast,pngtest,8,1623354627, 1, 8, 24, 16, 0, 0.00%, 0, 0, 1, 35.21, 2428
AFLfast,pngtest,8,1623354632, 1, 9, 24, 15, 0, 0.00%, 0, 0, 1, 35.96, 2606
AFLfast,pngtest,8,1623354652, 1, 10, 24, 14, 0, 0.00%, 0, 0, 1, 0.31, 2746
AFLfast,pngtest,8,1623354662, 1, 11, 24, 13, 0, 0.00%, 0, 0, 1, 33.67, 3081
AFLfast,pngtest,8,1623354667, 1, 12, 24, 12, 0, 0.00%, 0, 0, 1, 33.10, 3235
AFLfast,pngtest,8,1623354672, 1, 13, 24, 11, 0, 0.00%, 0, 0, 1, 34.56, 3403
AFLfast,pngtest,8,1623354677, 1, 14, 24, 10, 0, 0.00%, 0, 0, 1, 34.48, 3569
AFLfast,pngtest,8,1623354682, 1, 15, 24, 9, 0, 0.00%, 0, 0, 1, 32.25, 3723
AFLfast,pngtest,8,1623354693, 1, 16, 24, 8, 0, 0.00%, 0, 0, 1, 34.51, 4064
AFLfast,pngtest,8,1623354698, 1, 17, 24, 7, 0, 0.00%, 0, 0, 1, 38.14, 4234
AFLfast,pngtest,8,1623354703, 1, 18, 24, 6, 0, 0.00%, 0, 0, 1, 27.84, 4416
AFLfast,pngtest,8,1623354708, 1, 19, 24, 5, 0, 0.00%, 0, 0, 1, 33.76, 4583
AFLfast,pngtest,8,1623354713, 1, 20, 24, 4, 0, 0.00%, 0, 0, 1, 35.30, 4749
AFLfast,pngtest,8,1623354718, 1, 21, 24, 3, 0, 0.00%, 0, 0, 1, 34.07, 4912
AFLfast,pngtest,8,1623354724, 1, 22, 24, 2, 0, 0.00%, 0, 0, 1, 34.91, 5094
AFLfast,pngtest,8,1623354734, 1, 23, 24, 1, 0, 0.00%, 0, 0, 1, 34.04, 5438
AFLfast,pngtest,8,1623354739, 2, 0, 24, 0, 0, 0.00%, 0, 0, 1, 36.00, 5597
AFLfast,pngtest,8,1623354828, 2, 2, 24, 0, 0, 0.00%, 0, 0, 1, 0.06, 5731
AFLfast,pngtest,8,1623354846, 2, 3, 24, 0, 0, 0.00%, 0, 0, 1, 0.25, 5782
AFLfast,pngtest,8,1623354864, 2, 4, 24, 0, 0, 0.00%, 0, 0, 1, 0.25, 5833
AFLfast,pngtest,8,1623354888, 2, 5, 24, 0, 0, 0.00%, 0, 0, 1, 0.09, 5884
AFLfast,pngtest,8,1623354906, 2, 6, 24, 0, 0, 0.00%, 0, 0, 1, 0.12, 5935
AFLfast,pngtest,8,1623354911, 2, 8, 24, 0, 0, 0.00%, 0, 0, 1, 29.36, 6065
AFLfast,pngtest,8,1623354928, 2, 9, 24, 0, 0, 0.00%, 0, 0, 1, 0.13, 6088
AFLfast,pngtest,8,1623354946, 2, 10, 24, 0, 0, 0.00%, 0, 0, 1, 0.06, 6139
AFLfast,pngtest,8,1623354964, 2, 11, 24, 0, 0, 0.00%, 0, 0, 1, 0.19, 6190
