alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,1,1623605374, 0, 0, 81.70
AFLfast,tiffsplit,1,1623605379, 0, 0, 103.81
AFLfast,tiffsplit,1,1623605384, 0, 0, 109.45
AFLfast,tiffsplit,1,1623605389, 0, 0, 107.56
AFLfast,tiffsplit,1,1623605394, 0, 0, 110.66
AFLfast,tiffsplit,1,1623605405, 0, 0, 16.37
AFLfast,tiffsplit,1,1623605410, 0, 0, 104.01
AFLfast,tiffsplit,1,1623605436, 0, 0, 56.31
AFLfast,tiffsplit,1,1623605457, 0, 0, 48.35
AFLfast,tiffsplit,1,1623605463, 0, 0, 51.98
AFLfast,tiffsplit,1,1623605473, 0, 0, 53.35
AFLfast,tiffsplit,1,1623605486, 0, 0, 47.23
AFLfast,tiffsplit,1,1623605501, 0, 0, 55.05
AFLfast,tiffsplit,1,1623605526, 0, 0, 53.85
AFLfast,tiffsplit,1,1623605573, 0, 0, 100.25
AFLfast,tiffsplit,1,1623605590, 0, 0, 1.16
AFLfast,tiffsplit,1,1623605605, 0, 0, 105.42
AFLfast,tiffsplit,1,1623605610, 0, 0, 91.69
AFLfast,tiffsplit,1,1623605615, 0, 0, 87.19
AFLfast,tiffsplit,1,1623605620, 0, 0, 89.95
AFLfast,tiffsplit,1,1623605625, 0, 0, 60.03
AFLfast,tiffsplit,1,1623605630, 0, 0, 51.54
AFLfast,tiffsplit,1,1623605636, 0, 0, 48.84
AFLfast,tiffsplit,1,1623605684, 0, 0, 0.27
AFLfast,tiffsplit,1,1623605690, 0, 0, 49.32
AFLfast,tiffsplit,1,1623605700, 0, 0, 48.46
AFLfast,tiffsplit,1,1623605705, 0, 0, 49.35
AFLfast,tiffsplit,1,1623605731, 0, 0, 79.22
AFLfast,tiffsplit,1,1623605776, 0, 0, 0.24
AFLfast,tiffsplit,1,1623605786, 0, 0, 68.84
AFLfast,tiffsplit,1,1623605791, 0, 0, 72.58
AFLfast,tiffsplit,1,1623605826, 0, 0, 77.36
AFLfast,tiffsplit,1,1623605831, 0, 0, 77.60
AFLfast,tiffsplit,1,1623605867, 0, 0, 70.00
AFLfast,tiffsplit,1,1623605893, 0, 0, 70.97
AFLfast,tiffsplit,1,1623605898, 0, 0, 73.91
AFLfast,tiffsplit,1,1623605934, 0, 0, 70.66
AFLfast,tiffsplit,1,1623605940, 0, 0, 71.59
AFLfast,tiffsplit,1,1623605969, 0, 0, 0.52
AFLfast,tiffsplit,1,1623605974, 0, 0, 68.86
AFLfast,tiffsplit,1,1623606072, 0, 0, 61.10
AFLfast,tiffsplit,1,1623606110, 0, 0, 0.08
AFLfast,tiffsplit,1,1623606120, 0, 0, 78.23
AFLfast,tiffsplit,1,1623606126, 0, 0, 86.45
AFLfast,tiffsplit,1,1623606131, 0, 0, 82.70
AFLfast,tiffsplit,1,1623606136, 0, 0, 83.20
AFLfast,tiffsplit,1,1623606142, 0, 0, 1.73
AFLfast,tiffsplit,1,1623606147, 0, 0, 77.11
AFLfast,tiffsplit,1,1623606158, 0, 0, 72.97
AFLfast,tiffsplit,1,1623606163, 0, 0, 75.94
AFLfast,tiffsplit,1,1623606168, 0, 0, 76.43
AFLfast,tiffsplit,1,1623606173, 0, 0, 73.89
AFLfast,tiffsplit,1,1623606189, 0, 0, 45.26
AFLfast,tiffsplit,1,1623606204, 0, 0, 45.11
AFLfast,tiffsplit,1,1623606236, 0, 0, 7.77
AFLfast,tiffsplit,1,1623606241, 0, 0, 68.73
AFLfast,tiffsplit,1,1623606247, 0, 0, 68.47
AFLfast,tiffsplit,1,1623606257, 0, 0, 72.16
AFLfast,tiffsplit,1,1623606262, 0, 0, 71.47
AFLfast,tiffsplit,1,1623606267, 0, 0, 72.48
AFLfast,tiffsplit,1,1623606288, 0, 0, 41.35
AFLfast,tiffsplit,1,1623606303, 0, 0, 40.68
AFLfast,tiffsplit,1,1623606329, 0, 0, 67.37
AFLfast,tiffsplit,1,1623606339, 0, 0, 73.28
AFLfast,tiffsplit,1,1623606372, 0, 0, 52.18
AFLfast,tiffsplit,1,1623606382, 0, 0, 64.68
AFLfast,tiffsplit,1,1623606387, 0, 0, 71.05
AFLfast,tiffsplit,1,1623606402, 0, 0, 71.24
AFLfast,tiffsplit,1,1623606413, 0, 0, 75.02
AFLfast,tiffsplit,1,1623606418, 0, 0, 71.93
AFLfast,tiffsplit,1,1623606423, 0, 0, 72.98
AFLfast,tiffsplit,1,1623606428, 0, 0, 72.91
AFLfast,tiffsplit,1,1623606433, 0, 0, 66.63
AFLfast,tiffsplit,1,1623606438, 0, 0, 59.63
AFLfast,tiffsplit,1,1623606443, 0, 0, 47.03
AFLfast,tiffsplit,1,1623606448, 0, 0, 41.21
AFLfast,tiffsplit,1,1623606456, 0, 0, 1.55
AFLfast,tiffsplit,1,1623606461, 0, 0, 37.21
AFLfast,tiffsplit,1,1623606471, 0, 0, 37.36
AFLfast,tiffsplit,1,1623606477, 0, 0, 36.08
AFLfast,tiffsplit,1,1623606482, 0, 0, 38.02
AFLfast,tiffsplit,1,1623606488, 0, 0, 2.51
AFLfast,tiffsplit,1,1623606493, 0, 0, 36.95
AFLfast,tiffsplit,1,1623606503, 0, 0, 39.27
AFLfast,tiffsplit,1,1623606508, 0, 0, 36.33
AFLfast,tiffsplit,1,1623606514, 0, 0, 38.52
AFLfast,tiffsplit,1,1623606519, 0, 0, 37.70
AFLfast,tiffsplit,1,1623606524, 0, 0, 39.81
AFLfast,tiffsplit,1,1623606534, 0, 0, 38.00
AFLfast,tiffsplit,1,1623606550, 0, 0, 50.78
AFLfast,tiffsplit,1,1623606555, 0, 0, 67.29
AFLfast,tiffsplit,1,1623606560, 0, 0, 67.31
AFLfast,tiffsplit,1,1623606570, 0, 0, 70.35
AFLfast,tiffsplit,1,1623606575, 0, 0, 70.99
AFLfast,tiffsplit,1,1623606580, 0, 0, 58.93
AFLfast,tiffsplit,1,1623606585, 0, 0, 63.75
AFLfast,tiffsplit,1,1623606590, 0, 0, 65.78
AFLfast,tiffsplit,1,1623606595, 0, 0, 64.91
AFLfast,tiffsplit,1,1623606600, 0, 0, 63.81
AFLfast,tiffsplit,1,1623606605, 0, 0, 64.54
AFLfast,tiffsplit,1,1623606610, 0, 0, 46.70
AFLfast,tiffsplit,1,1623606641, 0, 0, 35.27
AFLfast,tiffsplit,1,1623606651, 0, 0, 59.42
AFLfast,tiffsplit,1,1623606656, 0, 0, 62.32
AFLfast,tiffsplit,1,1623606667, 0, 0, 63.97
AFLfast,tiffsplit,1,1623606677, 0, 0, 63.11
AFLfast,tiffsplit,1,1623606682, 0, 0, 64.37
AFLfast,tiffsplit,1,1623606688, 0, 0, 58.67
AFLfast,tiffsplit,1,1623606693, 0, 0, 57.61
AFLfast,tiffsplit,1,1623606698, 0, 0, 60.58
AFLfast,tiffsplit,1,1623606703, 0, 0, 61.53
AFLfast,tiffsplit,1,1623606708, 0, 0, 61.23
AFLfast,tiffsplit,1,1623606713, 0, 0, 32.20
AFLfast,tiffsplit,1,1623606718, 0, 0, 34.33
AFLfast,tiffsplit,1,1623606723, 0, 0, 32.06
AFLfast,tiffsplit,1,1623606729, 0, 0, 35.04
AFLfast,tiffsplit,1,1623606734, 0, 0, 35.96
AFLfast,tiffsplit,1,1623606744, 0, 0, 34.59
AFLfast,tiffsplit,1,1623606749, 0, 0, 18.79
AFLfast,tiffsplit,1,1623606754, 0, 0, 29.43
AFLfast,tiffsplit,1,1623606764, 0, 0, 30.99
AFLfast,tiffsplit,1,1623606769, 0, 0, 29.59
AFLfast,tiffsplit,1,1623606775, 0, 0, 33.57
AFLfast,tiffsplit,1,1623606780, 0, 0, 34.28
AFLfast,tiffsplit,1,1623606795, 0, 0, 30.92
AFLfast,tiffsplit,1,1623606800, 0, 0, 31.74
AFLfast,tiffsplit,1,1623606805, 0, 0, 32.31
AFLfast,tiffsplit,1,1623606810, 0, 0, 34.83
AFLfast,tiffsplit,1,1623606816, 0, 0, 34.47
AFLfast,tiffsplit,1,1623606821, 0, 0, 23.13
AFLfast,tiffsplit,1,1623606826, 0, 0, 31.29
AFLfast,tiffsplit,1,1623606841, 0, 0, 32.04
AFLfast,tiffsplit,1,1623606846, 0, 0, 31.79
AFLfast,tiffsplit,1,1623606857, 0, 0, 39.26
AFLfast,tiffsplit,1,1623606862, 0, 0, 50.52
AFLfast,tiffsplit,1,1623606867, 0, 0, 57.11
AFLfast,tiffsplit,1,1623606872, 0, 0, 57.47
AFLfast,tiffsplit,1,1623606882, 1, 0, 58.73
AFLfast,tiffsplit,1,1623606887, 1, 0, 58.85
AFLfast,tiffsplit,1,1623606893, 2, 0, 6.38
AFLfast,tiffsplit,1,1623606899, 2, 0, 57.90
AFLfast,tiffsplit,1,1623606904, 2, 0, 56.14
AFLfast,tiffsplit,1,1623606909, 2, 0, 55.65
AFLfast,tiffsplit,1,1623606929, 3, 0, 33.10
AFLfast,tiffsplit,1,1623606934, 3, 0, 30.74
AFLfast,tiffsplit,1,1623606939, 3, 0, 30.79
AFLfast,tiffsplit,1,1623606944, 3, 0, 29.73
AFLfast,tiffsplit,1,1623606955, 3, 0, 27.26
AFLfast,tiffsplit,1,1623606960, 3, 0, 30.11
AFLfast,tiffsplit,1,1623606965, 3, 0, 42.99
AFLfast,tiffsplit,1,1623606970, 3, 0, 55.72
AFLfast,tiffsplit,1,1623606980, 3, 0, 61.88
AFLfast,tiffsplit,1,1623606985, 3, 0, 58.30
AFLfast,tiffsplit,1,1623606990, 3, 0, 57.08
AFLfast,tiffsplit,1,1623607006, 3, 0, 58.99
AFLfast,tiffsplit,1,1623607011, 3, 0, 11.88
AFLfast,tiffsplit,1,1623607016, 3, 0, 62.17
AFLfast,tiffsplit,1,1623607021, 3, 0, 59.56
AFLfast,tiffsplit,1,1623607027, 3, 0, 43.51
AFLfast,tiffsplit,1,1623607042, 3, 0, 18.85
AFLfast,tiffsplit,1,1623607047, 3, 0, 28.95
AFLfast,tiffsplit,1,1623607057, 3, 0, 54.67
AFLfast,tiffsplit,1,1623607064, 3, 0, 1.05
AFLfast,tiffsplit,1,1623607069, 3, 0, 55.48
AFLfast,tiffsplit,1,1623607080, 3, 0, 56.28
AFLfast,tiffsplit,1,1623607085, 3, 0, 49.53
AFLfast,tiffsplit,1,1623607131, 3, 0, 57.41
AFLfast,tiffsplit,1,1623607146, 4, 0, 57.13
AFLfast,tiffsplit,1,1623607156, 4, 0, 56.43
AFLfast,tiffsplit,1,1623607161, 4, 0, 56.78
AFLfast,tiffsplit,1,1623607166, 4, 0, 54.78
AFLfast,tiffsplit,1,1623607177, 4, 0, 59.35
AFLfast,tiffsplit,1,1623607192, 4, 0, 30.00
AFLfast,tiffsplit,1,1623607197, 4, 0, 49.33
AFLfast,tiffsplit,1,1623607202, 4, 0, 57.31
AFLfast,tiffsplit,1,1623607208, 4, 0, 4.70
AFLfast,tiffsplit,1,1623607213, 5, 0, 58.97
AFLfast,tiffsplit,1,1623607233, 5, 0, 41.80
AFLfast,tiffsplit,1,1623607238, 5, 0, 43.33
AFLfast,tiffsplit,1,1623607286, 5, 0, 53.57
AFLfast,tiffsplit,1,1623607291, 5, 0, 57.12
AFLfast,tiffsplit,1,1623607301, 5, 0, 59.17
AFLfast,tiffsplit,1,1623607322, 5, 0, 5.67
AFLfast,tiffsplit,1,1623607327, 6, 0, 40.80
AFLfast,tiffsplit,1,1623607337, 6, 0, 49.11
AFLfast,tiffsplit,1,1623607358, 6, 0, 59.18
AFLfast,tiffsplit,1,1623607363, 6, 0, 59.45
AFLfast,tiffsplit,1,1623607373, 6, 0, 61.94
AFLfast,tiffsplit,1,1623607385, 6, 0, 4.25
AFLfast,tiffsplit,1,1623607390, 6, 0, 57.10
AFLfast,tiffsplit,1,1623607400, 6, 0, 36.01
AFLfast,tiffsplit,1,1623607417, 6, 0, 56.33
AFLfast,tiffsplit,1,1623607422, 6, 0, 58.09
AFLfast,tiffsplit,1,1623607427, 6, 0, 57.97
AFLfast,tiffsplit,1,1623607438, 6, 0, 58.93
AFLfast,tiffsplit,1,1623607448, 6, 0, 59.13
AFLfast,tiffsplit,1,1623607458, 6, 0, 57.98
AFLfast,tiffsplit,1,1623607463, 6, 0, 59.27
AFLfast,tiffsplit,1,1623607468, 6, 0, 55.85
