alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,tiffsplit,1,1623605374, 1, 0, 39, 39, 28, 4.07%, 0, 0, 1, 81.70, 312
AFLfast,tiffsplit,1,1623605379, 1, 0, 52, 52, 28, 4.11%, 0, 0, 2, 103.81, 888
AFLfast,tiffsplit,1,1623605384, 1, 0, 55, 55, 28, 4.11%, 0, 0, 2, 109.45, 1469
AFLfast,tiffsplit,1,1623605389, 1, 0, 57, 57, 28, 4.11%, 0, 0, 2, 107.56, 1935
AFLfast,tiffsplit,1,1623605394, 1, 0, 58, 58, 28, 4.11%, 0, 0, 2, 110.66, 2516
AFLfast,tiffsplit,1,1623605405, 1, 0, 59, 59, 28, 4.11%, 0, 0, 2, 16.37, 3581
AFLfast,tiffsplit,1,1623605410, 1, 0, 60, 60, 28, 4.11%, 0, 0, 2, 104.01, 4146
AFLfast,tiffsplit,1,1623605436, 1, 0, 61, 61, 28, 4.11%, 0, 0, 2, 56.31, 5756
AFLfast,tiffsplit,1,1623605457, 1, 0, 65, 65, 28, 4.12%, 0, 0, 2, 48.35, 6934
AFLfast,tiffsplit,1,1623605463, 1, 0, 69, 69, 28, 4.12%, 0, 0, 2, 51.98, 7212
AFLfast,tiffsplit,1,1623605473, 1, 0, 70, 70, 28, 4.12%, 0, 0, 2, 53.35, 7757
AFLfast,tiffsplit,1,1623605486, 1, 0, 71, 71, 28, 4.12%, 0, 0, 2, 47.23, 8026
AFLfast,tiffsplit,1,1623605501, 1, 0, 72, 72, 28, 4.12%, 0, 0, 2, 55.05, 8856
AFLfast,tiffsplit,1,1623605526, 1, 0, 73, 73, 28, 4.12%, 0, 0, 2, 53.85, 10213
AFLfast,tiffsplit,1,1623605573, 1, 1, 73, 72, 41, 4.12%, 0, 0, 2, 100.25, 13258
AFLfast,tiffsplit,1,1623605590, 1, 2, 73, 71, 40, 4.12%, 0, 0, 2, 1.16, 13428
AFLfast,tiffsplit,1,1623605605, 1, 2, 78, 76, 40, 4.14%, 0, 0, 2, 105.42, 15115
AFLfast,tiffsplit,1,1623605610, 1, 2, 83, 81, 40, 4.16%, 0, 0, 2, 91.69, 15564
AFLfast,tiffsplit,1,1623605615, 1, 2, 91, 89, 40, 4.20%, 0, 0, 2, 87.19, 16001
AFLfast,tiffsplit,1,1623605620, 1, 2, 95, 93, 40, 4.21%, 0, 0, 2, 89.95, 16296
AFLfast,tiffsplit,1,1623605625, 1, 2, 97, 95, 40, 4.22%, 0, 0, 2, 60.03, 16556
AFLfast,tiffsplit,1,1623605630, 1, 2, 101, 99, 40, 4.24%, 0, 0, 2, 51.54, 16812
AFLfast,tiffsplit,1,1623605636, 1, 2, 103, 101, 40, 4.24%, 0, 0, 2, 48.84, 17056
AFLfast,tiffsplit,1,1623605684, 1, 2, 107, 105, 40, 4.24%, 0, 0, 2, 0.27, 17271
AFLfast,tiffsplit,1,1623605690, 1, 2, 111, 109, 40, 4.26%, 0, 0, 2, 49.32, 17525
AFLfast,tiffsplit,1,1623605700, 1, 2, 113, 111, 40, 4.27%, 0, 0, 2, 48.46, 18028
AFLfast,tiffsplit,1,1623605705, 1, 2, 115, 113, 40, 4.28%, 0, 0, 2, 49.35, 18281
AFLfast,tiffsplit,1,1623605731, 1, 2, 120, 118, 40, 4.30%, 0, 0, 2, 79.22, 18772
AFLfast,tiffsplit,1,1623605776, 1, 2, 121, 119, 40, 4.30%, 0, 0, 2, 0.24, 19428
AFLfast,tiffsplit,1,1623605786, 1, 2, 123, 121, 40, 4.30%, 0, 0, 2, 68.84, 20087
AFLfast,tiffsplit,1,1623605791, 1, 2, 125, 123, 40, 4.30%, 0, 0, 2, 72.58, 20467
AFLfast,tiffsplit,1,1623605826, 1, 2, 127, 125, 40, 4.31%, 0, 0, 2, 77.36, 20896
AFLfast,tiffsplit,1,1623605831, 1, 2, 128, 126, 40, 4.31%, 0, 0, 2, 77.60, 21300
AFLfast,tiffsplit,1,1623605867, 1, 2, 130, 128, 40, 4.31%, 0, 0, 2, 70.00, 22258
AFLfast,tiffsplit,1,1623605893, 1, 2, 131, 129, 40, 4.31%, 0, 0, 2, 70.97, 22953
AFLfast,tiffsplit,1,1623605898, 1, 2, 133, 131, 40, 4.32%, 0, 0, 2, 73.91, 23339
AFLfast,tiffsplit,1,1623605934, 1, 2, 134, 132, 40, 4.32%, 0, 0, 2, 70.66, 23983
AFLfast,tiffsplit,1,1623605940, 1, 2, 135, 133, 40, 4.32%, 0, 0, 2, 71.59, 24346
AFLfast,tiffsplit,1,1623605969, 1, 2, 136, 134, 40, 4.36%, 0, 0, 2, 0.52, 24669
AFLfast,tiffsplit,1,1623605974, 1, 2, 137, 135, 40, 4.36%, 0, 0, 2, 68.86, 25024
AFLfast,tiffsplit,1,1623606072, 1, 2, 138, 136, 40, 4.36%, 0, 0, 2, 61.10, 27660
AFLfast,tiffsplit,1,1623606110, 1, 8, 138, 135, 75, 4.36%, 0, 0, 2, 0.08, 27757
AFLfast,tiffsplit,1,1623606120, 1, 9, 138, 134, 74, 4.36%, 0, 0, 2, 78.23, 28509
AFLfast,tiffsplit,1,1623606126, 1, 10, 138, 133, 73, 4.36%, 0, 0, 2, 86.45, 28853
AFLfast,tiffsplit,1,1623606131, 1, 10, 143, 138, 73, 4.37%, 0, 0, 2, 82.70, 29274
AFLfast,tiffsplit,1,1623606136, 1, 10, 144, 139, 73, 4.37%, 0, 0, 2, 83.20, 29689
