alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,xmlcatalog,10,1623653150, 1, 0, 30, 30, 1, 0.37%, 0, 0, 1, 77.27, 240
AFLfast,xmlcatalog,10,1623653155, 1, 16, 58, 58, 1, 0.58%, 0, 0, 2, 73.22, 640
AFLfast,xmlcatalog,10,1623653160, 1, 16, 72, 72, 1, 0.61%, 0, 0, 2, 78.20, 989
AFLfast,xmlcatalog,10,1623653165, 1, 16, 80, 80, 1, 0.66%, 0, 0, 2, 71.29, 1335
AFLfast,xmlcatalog,10,1623653170, 1, 16, 86, 86, 1, 0.67%, 0, 0, 2, 59.99, 1628
AFLfast,xmlcatalog,10,1623653175, 1, 16, 96, 96, 1, 0.68%, 0, 0, 2, 31.90, 1898
AFLfast,xmlcatalog,10,1623653180, 1, 16, 101, 101, 1, 0.68%, 0, 0, 2, 53.81, 2222
AFLfast,xmlcatalog,10,1623653186, 1, 16, 110, 110, 1, 0.69%, 0, 0, 2, 59.21, 2549
AFLfast,xmlcatalog,10,1623653191, 1, 16, 115, 115, 1, 0.69%, 0, 0, 2, 58.41, 2852
AFLfast,xmlcatalog,10,1623653196, 1, 16, 117, 117, 1, 0.70%, 0, 0, 2, 26.99, 3055
AFLfast,xmlcatalog,10,1623653506, 1, 31, 117, 116, 40, 0.70%, 0, 0, 2, 31.80, 13366
AFLfast,xmlcatalog,10,1623653532, 1, 31, 118, 117, 40, 0.70%, 0, 0, 3, 30.95, 14229
AFLfast,xmlcatalog,10,1623653537, 1, 31, 119, 118, 40, 0.70%, 0, 0, 3, 27.50, 14354
AFLfast,xmlcatalog,10,1623653542, 1, 31, 123, 122, 40, 0.70%, 0, 0, 3, 29.80, 14507
AFLfast,xmlcatalog,10,1623653548, 1, 31, 125, 124, 40, 0.70%, 0, 0, 3, 31.38, 14677
AFLfast,xmlcatalog,10,1623653553, 1, 31, 128, 127, 40, 0.70%, 0, 0, 3, 32.27, 14843
AFLfast,xmlcatalog,10,1623653563, 1, 31, 129, 128, 40, 0.70%, 0, 0, 3, 31.99, 15188
AFLfast,xmlcatalog,10,1623653568, 1, 31, 130, 129, 40, 0.70%, 0, 0, 3, 32.66, 15367
AFLfast,xmlcatalog,10,1623653894, 1, 33, 130, 128, 44, 0.70%, 0, 0, 3, 30.47, 25649
AFLfast,xmlcatalog,10,1623653909, 1, 33, 131, 129, 44, 0.70%, 0, 0, 3, 30.42, 26125
AFLfast,xmlcatalog,10,1623653925, 1, 33, 132, 130, 44, 0.70%, 0, 0, 3, 30.88, 26608
AFLfast,xmlcatalog,10,1623653935, 1, 33, 134, 132, 44, 0.70%, 0, 0, 3, 33.70, 26873
AFLfast,xmlcatalog,10,1623653941, 1, 33, 135, 133, 44, 0.70%, 0, 0, 3, 33.08, 27040
AFLfast,xmlcatalog,10,1623654019, 1, 33, 136, 134, 44, 0.70%, 0, 0, 3, 32.14, 29393
AFLfast,xmlcatalog,10,1623654024, 1, 33, 137, 135, 44, 0.70%, 0, 0, 3, 31.21, 29555
AFLfast,xmlcatalog,10,1623654065, 1, 33, 138, 136, 44, 0.70%, 0, 0, 3, 29.75, 30796
AFLfast,xmlcatalog,10,1623654117, 1, 33, 139, 137, 44, 0.70%, 0, 0, 3, 30.12, 32321
AFLfast,xmlcatalog,10,1623654226, 1, 33, 140, 138, 44, 0.70%, 0, 0, 3, 56.42, 36011
AFLfast,xmlcatalog,10,1623654236, 1, 33, 141, 139, 44, 0.70%, 0, 0, 3, 58.95, 36624
AFLfast,xmlcatalog,10,1623654241, 1, 33, 142, 140, 44, 0.70%, 0, 0, 3, 59.26, 36933
AFLfast,xmlcatalog,10,1623654251, 1, 33, 144, 142, 44, 0.70%, 0, 0, 3, 60.64, 37479
AFLfast,xmlcatalog,10,1623654262, 1, 45, 144, 141, 43, 0.70%, 0, 0, 3, 55.78, 38027
