alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,11,1623652950, 0, 0, 87.78
AFLfast,xmlcatalog,11,1623652955, 0, 0, 79.46
AFLfast,xmlcatalog,11,1623652960, 0, 0, 74.39
AFLfast,xmlcatalog,11,1623652965, 0, 0, 71.82
AFLfast,xmlcatalog,11,1623652971, 0, 0, 60.27
AFLfast,xmlcatalog,11,1623652976, 0, 0, 31.70
AFLfast,xmlcatalog,11,1623652981, 0, 0, 35.93
AFLfast,xmlcatalog,11,1623652986, 0, 0, 38.63
AFLfast,xmlcatalog,11,1623652991, 0, 0, 38.04
AFLfast,xmlcatalog,11,1623652996, 0, 0, 36.34
AFLfast,xmlcatalog,11,1623653001, 0, 0, 36.86
AFLfast,xmlcatalog,11,1623653007, 0, 0, 37.10
AFLfast,xmlcatalog,11,1623653012, 0, 0, 30.85
AFLfast,xmlcatalog,11,1623653301, 0, 0, 34.90
AFLfast,xmlcatalog,11,1623653306, 0, 0, 35.14
AFLfast,xmlcatalog,11,1623653333, 0, 0, 32.81
AFLfast,xmlcatalog,11,1623653338, 0, 0, 32.72
AFLfast,xmlcatalog,11,1623653349, 0, 0, 31.75
AFLfast,xmlcatalog,11,1623653402, 0, 0, 34.01
AFLfast,xmlcatalog,11,1623653407, 0, 0, 35.01
AFLfast,xmlcatalog,11,1623653428, 0, 0, 34.22
AFLfast,xmlcatalog,11,1623653449, 0, 0, 34.59
AFLfast,xmlcatalog,11,1623653553, 0, 0, 34.53
AFLfast,xmlcatalog,11,1623653564, 0, 0, 34.16
AFLfast,xmlcatalog,11,1623653585, 0, 0, 21.80
AFLfast,xmlcatalog,11,1623653590, 0, 0, 29.32
AFLfast,xmlcatalog,11,1623653596, 0, 0, 36.09
AFLfast,xmlcatalog,11,1623653664, 0, 0, 34.99
AFLfast,xmlcatalog,11,1623653669, 0, 0, 33.87
AFLfast,xmlcatalog,11,1623653675, 0, 0, 5.92
AFLfast,xmlcatalog,11,1623653680, 0, 0, 23.47
AFLfast,xmlcatalog,11,1623653686, 0, 0, 29.93
AFLfast,xmlcatalog,11,1623653712, 0, 0, 33.93
AFLfast,xmlcatalog,11,1623653722, 0, 0, 34.98
AFLfast,xmlcatalog,11,1623653728, 0, 0, 31.78
AFLfast,xmlcatalog,11,1623653784, 0, 0, 32.47
AFLfast,xmlcatalog,11,1623653789, 0, 0, 33.47
AFLfast,xmlcatalog,11,1623653800, 0, 0, 32.51
AFLfast,xmlcatalog,11,1623653811, 0, 0, 33.02
AFLfast,xmlcatalog,11,1623653831, 0, 0, 33.70
AFLfast,xmlcatalog,11,1623653846, 0, 0, 30.62
AFLfast,xmlcatalog,11,1623653857, 0, 0, 32.42
AFLfast,xmlcatalog,11,1623653873, 0, 0, 2.89
AFLfast,xmlcatalog,11,1623653888, 0, 0, 32.06
AFLfast,xmlcatalog,11,1623653921, 0, 0, 33.17
AFLfast,xmlcatalog,11,1623653943, 0, 0, 30.17
AFLfast,xmlcatalog,11,1623653959, 0, 0, 30.51
AFLfast,xmlcatalog,11,1623653964, 0, 0, 32.39
AFLfast,xmlcatalog,11,1623653969, 0, 0, 31.70
AFLfast,xmlcatalog,11,1623653974, 0, 0, 11.92
AFLfast,xmlcatalog,11,1623653985, 0, 0, 28.40
AFLfast,xmlcatalog,11,1623654000, 0, 0, 30.59
AFLfast,xmlcatalog,11,1623654021, 0, 0, 32.22
AFLfast,xmlcatalog,11,1623654052, 0, 0, 32.60
AFLfast,xmlcatalog,11,1623654063, 0, 0, 32.83
AFLfast,xmlcatalog,11,1623654068, 0, 0, 31.81
AFLfast,xmlcatalog,11,1623654078, 0, 0, 30.79
AFLfast,xmlcatalog,11,1623654125, 0, 0, 32.19
AFLfast,xmlcatalog,11,1623654256, 0, 0, 60.12
AFLfast,xmlcatalog,11,1623654271, 0, 0, 59.50
AFLfast,xmlcatalog,11,1623654276, 0, 0, 60.31
AFLfast,xmlcatalog,11,1623654292, 0, 0, 50.95
AFLfast,xmlcatalog,11,1623654323, 0, 0, 56.32
AFLfast,xmlcatalog,11,1623654333, 0, 0, 57.83
AFLfast,xmlcatalog,11,1623654369, 0, 0, 62.16
AFLfast,xmlcatalog,11,1623654432, 0, 0, 55.60
AFLfast,xmlcatalog,11,1623654442, 0, 0, 57.41
AFLfast,xmlcatalog,11,1623654473, 0, 0, 55.89
AFLfast,xmlcatalog,11,1623654484, 0, 0, 38.51
AFLfast,xmlcatalog,11,1623654489, 0, 0, 27.05
AFLfast,xmlcatalog,11,1623654499, 0, 0, 29.81
AFLfast,xmlcatalog,11,1623654525, 0, 0, 26.13
AFLfast,xmlcatalog,11,1623654546, 0, 0, 55.69
AFLfast,xmlcatalog,11,1623654599, 0, 0, 47.76
AFLfast,xmlcatalog,11,1623654659, 0, 0, 53.21
AFLfast,xmlcatalog,11,1623654675, 0, 0, 5.10
AFLfast,xmlcatalog,11,1623654680, 0, 0, 56.37
AFLfast,xmlcatalog,11,1623654696, 0, 0, 58.21
AFLfast,xmlcatalog,11,1623654752, 0, 0, 59.59
AFLfast,xmlcatalog,11,1623654768, 0, 0, 60.84
AFLfast,xmlcatalog,11,1623654799, 0, 0, 39.21
AFLfast,xmlcatalog,11,1623654892, 0, 0, 58.36
AFLfast,xmlcatalog,11,1623654950, 0, 0, 24.27
AFLfast,xmlcatalog,11,1623654986, 0, 0, 57.39
AFLfast,xmlcatalog,11,1623654997, 0, 0, 54.54
AFLfast,xmlcatalog,11,1623655002, 0, 0, 46.32
AFLfast,xmlcatalog,11,1623655033, 0, 0, 50.64
AFLfast,xmlcatalog,11,1623655054, 0, 0, 59.32
AFLfast,xmlcatalog,11,1623655070, 0, 0, 60.22
AFLfast,xmlcatalog,11,1623655096, 0, 0, 31.73
AFLfast,xmlcatalog,11,1623655153, 0, 0, 57.80
AFLfast,xmlcatalog,11,1623655158, 0, 0, 59.00
AFLfast,xmlcatalog,11,1623655205, 0, 0, 53.81
AFLfast,xmlcatalog,11,1623655261, 0, 0, 54.35
AFLfast,xmlcatalog,11,1623655277, 0, 0, 54.06
AFLfast,xmlcatalog,11,1623655334, 0, 0, 60.81
