alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,11,1623614522, 0, 0, 31.81
AFLfast,xmllint,11,1623614528, 0, 0, 31.95
AFLfast,xmllint,11,1623614533, 0, 0, 32.04
AFLfast,xmllint,11,1623614538, 0, 0, 31.23
AFLfast,xmllint,11,1623614543, 0, 0, 32.75
AFLfast,xmllint,11,1623614548, 0, 0, 33.10
AFLfast,xmllint,11,1623614553, 0, 0, 33.68
AFLfast,xmllint,11,1623614558, 0, 0, 34.07
AFLfast,xmllint,11,1623614563, 0, 0, 33.76
AFLfast,xmllint,11,1623614568, 0, 0, 33.37
AFLfast,xmllint,11,1623614573, 0, 0, 26.87
AFLfast,xmllint,11,1623614579, 0, 0, 21.83
AFLfast,xmllint,11,1623614584, 0, 0, 19.13
AFLfast,xmllint,11,1623614589, 0, 0, 18.41
AFLfast,xmllint,11,1623614594, 0, 0, 17.33
AFLfast,xmllint,11,1623614599, 0, 0, 17.40
AFLfast,xmllint,11,1623614604, 0, 0, 17.17
AFLfast,xmllint,11,1623614610, 0, 0, 17.72
AFLfast,xmllint,11,1623614615, 0, 0, 18.18
AFLfast,xmllint,11,1623614620, 0, 0, 18.08
AFLfast,xmllint,11,1623614625, 0, 0, 18.40
AFLfast,xmllint,11,1623614630, 0, 0, 18.34
AFLfast,xmllint,11,1623614635, 0, 0, 17.37
AFLfast,xmllint,11,1623614641, 0, 0, 2.78
AFLfast,xmllint,11,1623614646, 0, 0, 16.94
AFLfast,xmllint,11,1623614651, 0, 0, 17.38
AFLfast,xmllint,11,1623614656, 0, 0, 16.64
AFLfast,xmllint,11,1623614661, 0, 0, 17.57
AFLfast,xmllint,11,1623614667, 0, 0, 17.56
AFLfast,xmllint,11,1623614672, 0, 0, 17.33
AFLfast,xmllint,11,1623614677, 0, 0, 21.01
AFLfast,xmllint,11,1623614682, 0, 0, 18.44
AFLfast,xmllint,11,1623614687, 0, 0, 18.69
AFLfast,xmllint,11,1623614692, 0, 0, 17.74
AFLfast,xmllint,11,1623614697, 0, 0, 17.34
AFLfast,xmllint,11,1623614702, 0, 0, 16.09
AFLfast,xmllint,11,1623614708, 0, 0, 16.48
AFLfast,xmllint,11,1623614713, 0, 0, 15.80
AFLfast,xmllint,11,1623614718, 0, 0, 16.96
AFLfast,xmllint,11,1623614723, 0, 0, 16.52
