alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,xmllint,3,1623613805, 1, 0, 43, 43, 30, 8.30%, 0, 0, 1, 37.60, 344
AFLfast,xmllint,3,1623613810, 1, 6, 48, 48, 30, 8.51%, 0, 0, 2, 39.23, 552
AFLfast,xmllint,3,1623613815, 1, 6, 70, 70, 30, 8.75%, 0, 0, 2, 39.74, 756
AFLfast,xmllint,3,1623613820, 1, 6, 91, 91, 30, 9.07%, 0, 0, 2, 38.40, 952
AFLfast,xmllint,3,1623613825, 1, 6, 113, 113, 30, 9.12%, 0, 0, 2, 38.17, 1153
AFLfast,xmllint,3,1623613831, 1, 6, 134, 134, 30, 9.28%, 0, 0, 2, 38.11, 1358
AFLfast,xmllint,3,1623613836, 1, 6, 153, 153, 30, 9.36%, 0, 0, 2, 38.28, 1554
AFLfast,xmllint,3,1623613841, 1, 6, 166, 166, 30, 9.41%, 0, 0, 2, 29.12, 1691
AFLfast,xmllint,3,1623613846, 1, 6, 176, 176, 30, 9.45%, 0, 0, 2, 22.88, 1794
AFLfast,xmllint,3,1623613851, 1, 6, 185, 185, 30, 9.47%, 0, 0, 2, 20.91, 1897
AFLfast,xmllint,3,1623613856, 1, 6, 195, 195, 30, 9.51%, 0, 0, 2, 20.08, 1999
AFLfast,xmllint,3,1623613861, 1, 6, 203, 203, 30, 9.54%, 0, 0, 2, 19.58, 2101
AFLfast,xmllint,3,1623613866, 1, 6, 211, 211, 30, 9.56%, 0, 0, 2, 19.85, 2201
AFLfast,xmllint,3,1623613872, 1, 6, 220, 220, 30, 9.62%, 0, 0, 2, 20.35, 2308
AFLfast,xmllint,3,1623613877, 1, 6, 230, 230, 30, 9.64%, 0, 0, 2, 20.11, 2410
AFLfast,xmllint,3,1623613882, 1, 6, 236, 236, 30, 9.65%, 0, 0, 2, 20.25, 2514
AFLfast,xmllint,3,1623613887, 1, 6, 243, 243, 30, 9.68%, 0, 0, 2, 20.41, 2620
AFLfast,xmllint,3,1623613892, 1, 6, 252, 252, 30, 9.70%, 0, 0, 2, 20.22, 2726
AFLfast,xmllint,3,1623613897, 1, 6, 259, 259, 30, 9.71%, 0, 0, 2, 20.59, 2832
AFLfast,xmllint,3,1623613902, 1, 6, 266, 266, 30, 9.72%, 0, 0, 2, 20.31, 2934
AFLfast,xmllint,3,1623613907, 1, 6, 272, 272, 30, 9.73%, 0, 0, 2, 20.42, 3037
AFLfast,xmllint,3,1623613913, 1, 6, 280, 280, 30, 9.74%, 0, 0, 2, 19.71, 3138
AFLfast,xmllint,3,1623613918, 1, 6, 285, 285, 30, 9.75%, 0, 0, 2, 19.52, 3239
AFLfast,xmllint,3,1623613923, 1, 6, 293, 293, 30, 9.76%, 0, 0, 2, 20.27, 3341
AFLfast,xmllint,3,1623613928, 1, 6, 300, 300, 30, 9.78%, 0, 0, 2, 19.57, 3443
AFLfast,xmllint,3,1623613933, 1, 6, 307, 307, 30, 9.79%, 0, 0, 2, 20.13, 3545
AFLfast,xmllint,3,1623613938, 1, 6, 312, 312, 30, 9.79%, 0, 0, 2, 19.30, 3645
AFLfast,xmllint,3,1623613945, 1, 6, 316, 316, 30, 9.80%, 0, 0, 2, 0.34, 3725
AFLfast,xmllint,3,1623613950, 1, 6, 320, 320, 30, 9.80%, 0, 0, 2, 17.96, 3823
AFLfast,xmllint,3,1623613955, 1, 6, 326, 326, 30, 9.81%, 0, 0, 2, 18.51, 3921
AFLfast,xmllint,3,1623613961, 1, 6, 334, 334, 30, 9.82%, 0, 0, 2, 18.38, 4017
AFLfast,xmllint,3,1623613966, 1, 6, 343, 343, 30, 9.86%, 0, 0, 2, 17.91, 4112
AFLfast,xmllint,3,1623613971, 1, 6, 349, 349, 30, 9.87%, 0, 0, 2, 18.06, 4205
AFLfast,xmllint,3,1623613976, 1, 6, 353, 353, 30, 9.87%, 0, 0, 2, 17.17, 4293
AFLfast,xmllint,3,1623613981, 1, 6, 360, 360, 30, 9.87%, 0, 0, 2, 19.52, 4396
AFLfast,xmllint,3,1623613986, 1, 6, 366, 366, 30, 9.89%, 0, 0, 2, 19.12, 4492
AFLfast,xmllint,3,1623613991, 1, 6, 371, 371, 30, 9.89%, 0, 0, 2, 18.34, 4581
AFLfast,xmllint,3,1623613996, 1, 6, 377, 377, 30, 9.91%, 0, 0, 2, 17.71, 4668
AFLfast,xmllint,3,1623614001, 1, 6, 380, 380, 30, 9.92%, 0, 0, 2, 17.71, 4756
AFLfast,xmllint,3,1623614007, 1, 6, 388, 388, 30, 9.93%, 0, 0, 2, 17.91, 4851
AFLfast,xmllint,3,1623614012, 1, 6, 393, 393, 30, 9.93%, 0, 0, 2, 17.77, 4943
AFLfast,xmllint,3,1623614017, 1, 6, 398, 398, 30, 9.93%, 0, 0, 2, 17.95, 5036
AFLfast,xmllint,3,1623614022, 1, 6, 403, 403, 30, 9.94%, 0, 0, 2, 18.34, 5129
AFLfast,xmllint,3,1623614027, 1, 6, 407, 407, 30, 9.95%, 0, 0, 2, 18.32, 5224
AFLfast,xmllint,3,1623614032, 1, 6, 412, 412, 30, 9.95%, 0, 0, 2, 18.42, 5318
AFLfast,xmllint,3,1623614038, 1, 6, 416, 416, 30, 9.96%, 0, 0, 2, 18.36, 5414
AFLfast,xmllint,3,1623614043, 1, 6, 422, 422, 30, 9.98%, 0, 0, 2, 17.77, 5509
AFLfast,xmllint,3,1623614048, 1, 6, 426, 426, 30, 9.98%, 0, 0, 2, 18.46, 5607
AFLfast,xmllint,3,1623614053, 1, 6, 427, 427, 30, 9.98%, 0, 0, 2, 17.13, 5642
AFLfast,xmllint,3,1623614058, 1, 6, 430, 430, 30, 9.99%, 0, 0, 2, 17.72, 5735
AFLfast,xmllint,3,1623614063, 1, 6, 437, 437, 30, 9.99%, 0, 0, 2, 19.98, 5834
AFLfast,xmllint,3,1623614068, 1, 6, 441, 441, 30, 10.01%, 0, 0, 2, 13.69, 5920
AFLfast,xmllint,3,1623614074, 1, 6, 446, 446, 30, 10.05%, 0, 0, 2, 16.49, 6012
AFLfast,xmllint,3,1623614079, 1, 6, 450, 450, 30, 10.06%, 0, 0, 2, 16.22, 6097
AFLfast,xmllint,3,1623614084, 1, 6, 454, 454, 30, 10.07%, 0, 0, 2, 16.28, 6184
