alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,mp3gain,1,1623603777, 0, 0, 30.16
AFLfast,mp3gain,1,1623603788, 0, 0, 4.43
AFLfast,mp3gain,1,1623603798, 0, 0, 26.43
AFLfast,mp3gain,1,1623603803, 1, 0, 26.40
AFLfast,mp3gain,1,1623603809, 1, 0, 30.35
AFLfast,mp3gain,1,1623603819, 1, 0, 20.68
AFLfast,mp3gain,1,1623603829, 2, 0, 25.12
AFLfast,mp3gain,1,1623603834, 2, 0, 33.58
AFLfast,mp3gain,1,1623603839, 3, 0, 32.06
AFLfast,mp3gain,1,1623603845, 4, 0, 20.76
AFLfast,mp3gain,1,1623603850, 4, 0, 31.73
AFLfast,mp3gain,1,1623603855, 5, 0, 29.02
AFLfast,mp3gain,1,1623603864, 5, 0, 0.75
AFLfast,mp3gain,1,1623603875, 7, 0, 13.36
AFLfast,mp3gain,1,1623603885, 7, 0, 23.39
AFLfast,mp3gain,1,1623603890, 7, 0, 25.69
AFLfast,mp3gain,1,1623603901, 7, 0, 0.19
AFLfast,mp3gain,1,1623603911, 8, 0, 21.26
AFLfast,mp3gain,1,1623603921, 8, 0, 32.22
AFLfast,mp3gain,1,1623603926, 9, 0, 27.80
AFLfast,mp3gain,1,1623603932, 15, 0, 21.25
AFLfast,mp3gain,1,1623603937, 17, 0, 21.65
AFLfast,mp3gain,1,1623603942, 17, 0, 25.79
AFLfast,mp3gain,1,1623603952, 17, 0, 32.09
AFLfast,mp3gain,1,1623603958, 17, 0, 1.28
AFLfast,mp3gain,1,1623603968, 17, 0, 24.50
AFLfast,mp3gain,1,1623603973, 17, 0, 24.42
AFLfast,mp3gain,1,1623606873, 17, 0, 0.00
AFLfast,mp3gain,1,1623606878, 17, 0, 1.25
AFLfast,mp3gain,1,1623606883, 17, 0, 13.79
AFLfast,mp3gain,1,1623606888, 17, 0, 13.57
AFLfast,mp3gain,1,1623606894, 17, 0, 15.65
AFLfast,mp3gain,1,1623606899, 17, 0, 14.42
AFLfast,mp3gain,1,1623606904, 17, 0, 14.06
AFLfast,mp3gain,1,1623606909, 17, 0, 10.97
AFLfast,mp3gain,1,1623606914, 17, 0, 16.84
AFLfast,mp3gain,1,1623606919, 17, 0, 14.56
AFLfast,mp3gain,1,1623606925, 17, 0, 13.71
AFLfast,mp3gain,1,1623606930, 18, 0, 1.46
AFLfast,mp3gain,1,1623606935, 18, 0, 15.42
AFLfast,mp3gain,1,1623606940, 19, 0, 13.83
AFLfast,mp3gain,1,1623606945, 19, 0, 13.91
AFLfast,mp3gain,1,1623622006, 19, 0, 0.00
AFLfast,mp3gain,1,1623622011, 19, 0, 18.66
AFLfast,mp3gain,1,1623622017, 20, 0, 17.92
AFLfast,mp3gain,1,1623622027, 20, 0, 15.44
AFLfast,mp3gain,1,1623622033, 20, 0, 21.88
AFLfast,mp3gain,1,1623622038, 20, 0, 2.61
AFLfast,mp3gain,1,1623622043, 20, 0, 22.04
AFLfast,mp3gain,1,1623622048, 20, 0, 10.83
AFLfast,mp3gain,1,1623622053, 20, 0, 14.29
AFLfast,mp3gain,1,1623622059, 20, 0, 20.15
AFLfast,mp3gain,1,1623622064, 20, 0, 14.65
AFLfast,mp3gain,1,1623622069, 22, 0, 14.75
AFLfast,mp3gain,1,1623622074, 24, 0, 17.86
AFLfast,mp3gain,1,1623622080, 24, 0, 1.70
AFLfast,mp3gain,1,1623622085, 25, 0, 20.05
AFLfast,mp3gain,1,1623622090, 25, 0, 21.85
AFLfast,mp3gain,1,1623622095, 25, 0, 18.30
AFLfast,mp3gain,1,1623622100, 25, 0, 14.41
AFLfast,mp3gain,1,1623622105, 25, 0, 15.92
AFLfast,mp3gain,1,1623622111, 25, 0, 19.35
AFLfast,mp3gain,1,1623622116, 26, 0, 3.37
AFLfast,mp3gain,1,1623622121, 26, 0, 14.01
AFLfast,mp3gain,1,1623622126, 27, 0, 21.00
AFLfast,mp3gain,1,1623622131, 27, 0, 24.53
AFLfast,mp3gain,1,1623622136, 27, 0, 6.03
AFLfast,mp3gain,1,1623622141, 27, 0, 13.27
AFLfast,mp3gain,1,1623622146, 28, 0, 1.65
AFLfast,mp3gain,1,1623622152, 28, 0, 17.22
AFLfast,mp3gain,1,1623622157, 28, 0, 16.35
AFLfast,mp3gain,1,1623622162, 28, 0, 16.94
AFLfast,mp3gain,1,1623622167, 28, 0, 17.57
AFLfast,mp3gain,1,1623622172, 28, 0, 14.02
AFLfast,mp3gain,1,1623622177, 28, 0, 21.43
AFLfast,mp3gain,1,1623622182, 28, 0, 26.08
AFLfast,mp3gain,1,1623622187, 28, 0, 18.88
AFLfast,mp3gain,1,1623622193, 28, 0, 5.84
AFLfast,mp3gain,1,1623622198, 28, 0, 13.53
AFLfast,mp3gain,1,1623622203, 28, 0, 16.70
AFLfast,mp3gain,1,1623622208, 28, 0, 12.11
AFLfast,mp3gain,1,1623622213, 30, 0, 15.41
AFLfast,mp3gain,1,1623622218, 31, 0, 20.18
AFLfast,mp3gain,1,1623622224, 31, 0, 21.26
AFLfast,mp3gain,1,1623622229, 31, 0, 17.34
AFLfast,mp3gain,1,1623622234, 31, 0, 16.99
AFLfast,mp3gain,1,1623622239, 31, 0, 23.46
AFLfast,mp3gain,1,1623622244, 31, 0, 16.75
AFLfast,mp3gain,1,1623622249, 31, 0, 1.62
AFLfast,mp3gain,1,1623622255, 31, 0, 20.22
AFLfast,mp3gain,1,1623622260, 31, 0, 18.16
AFLfast,mp3gain,1,1623622265, 31, 0, 6.43
AFLfast,mp3gain,1,1623622270, 31, 0, 24.03
AFLfast,mp3gain,1,1623622275, 31, 0, 22.00
AFLfast,mp3gain,1,1623622280, 31, 0, 21.29
AFLfast,mp3gain,1,1623622285, 31, 0, 17.41
AFLfast,mp3gain,1,1623622291, 32, 0, 17.23
AFLfast,mp3gain,1,1623622296, 32, 0, 7.53
AFLfast,mp3gain,1,1623622301, 32, 0, 15.94
AFLfast,mp3gain,1,1623622307, 32, 0, 20.74
AFLfast,mp3gain,1,1623622312, 32, 0, 17.54
AFLfast,mp3gain,1,1623622317, 32, 0, 12.95
AFLfast,mp3gain,1,1623622322, 32, 0, 21.09
AFLfast,mp3gain,1,1623622327, 32, 0, 19.06
AFLfast,mp3gain,1,1623622332, 32, 0, 19.65
AFLfast,mp3gain,1,1623622338, 33, 0, 19.71
AFLfast,mp3gain,1,1623622343, 33, 0, 17.03
AFLfast,mp3gain,1,1623622349, 33, 0, 19.37
AFLfast,mp3gain,1,1623622354, 33, 0, 15.86
AFLfast,mp3gain,1,1623622359, 34, 0, 16.87
AFLfast,mp3gain,1,1623622364, 35, 0, 15.74
AFLfast,mp3gain,1,1623622369, 35, 0, 18.60
AFLfast,mp3gain,1,1623622374, 35, 0, 18.27
AFLfast,mp3gain,1,1623622379, 35, 0, 3.32
AFLfast,mp3gain,1,1623622384, 37, 0, 17.06
AFLfast,mp3gain,1,1623622389, 38, 0, 16.75
AFLfast,mp3gain,1,1623622395, 38, 0, 15.32
AFLfast,mp3gain,1,1623622400, 38, 0, 1.47
AFLfast,mp3gain,1,1623622405, 39, 0, 18.83
AFLfast,mp3gain,1,1623622410, 39, 0, 17.84
AFLfast,mp3gain,1,1623622415, 39, 0, 16.20
AFLfast,mp3gain,1,1623622420, 39, 0, 18.13
AFLfast,mp3gain,1,1623622426, 39, 0, 15.18
AFLfast,mp3gain,1,1623622431, 39, 0, 17.92
AFLfast,mp3gain,1,1623622436, 40, 0, 17.42
AFLfast,mp3gain,1,1623622441, 40, 0, 21.23
AFLfast,mp3gain,1,1623622446, 41, 0, 21.38
AFLfast,mp3gain,1,1623622451, 41, 0, 19.87
AFLfast,mp3gain,1,1623622456, 41, 0, 22.27
AFLfast,mp3gain,1,1623622462, 41, 0, 17.20
AFLfast,mp3gain,1,1623622467, 41, 0, 17.61
AFLfast,mp3gain,1,1623622472, 41, 0, 18.83
AFLfast,mp3gain,1,1623622478, 41, 0, 18.20
AFLfast,mp3gain,1,1623622483, 41, 0, 6.17
AFLfast,mp3gain,1,1623622488, 42, 0, 18.32
AFLfast,mp3gain,1,1623622493, 42, 0, 18.09
AFLfast,mp3gain,1,1623622499, 42, 0, 12.16
AFLfast,mp3gain,1,1623622504, 44, 0, 16.22
AFLfast,mp3gain,1,1623622509, 44, 0, 22.73
AFLfast,mp3gain,1,1623622514, 44, 0, 19.01
AFLfast,mp3gain,1,1623622519, 44, 0, 18.07
AFLfast,mp3gain,1,1623622524, 44, 0, 20.02
AFLfast,mp3gain,1,1623622530, 44, 0, 19.36
AFLfast,mp3gain,1,1623622535, 44, 0, 15.96
AFLfast,mp3gain,1,1623622540, 44, 0, 18.76
AFLfast,mp3gain,1,1623622545, 45, 0, 15.93
AFLfast,mp3gain,1,1623622550, 45, 0, 16.78
AFLfast,mp3gain,1,1623622555, 45, 0, 14.19
AFLfast,mp3gain,1,1623622561, 45, 0, 16.91
AFLfast,mp3gain,1,1623622566, 45, 0, 5.83
AFLfast,mp3gain,1,1623622571, 45, 0, 12.03
AFLfast,mp3gain,1,1623622576, 46, 0, 27.28
AFLfast,mp3gain,1,1623622581, 47, 0, 21.49
AFLfast,mp3gain,1,1623622586, 47, 0, 19.60
AFLfast,mp3gain,1,1623622591, 47, 0, 17.16
AFLfast,mp3gain,1,1623622597, 47, 0, 16.90
AFLfast,mp3gain,1,1623622602, 47, 0, 1.50
AFLfast,mp3gain,1,1623622607, 47, 0, 18.96
AFLfast,mp3gain,1,1623622612, 48, 0, 18.79
AFLfast,mp3gain,1,1623622618, 48, 0, 1.33
AFLfast,mp3gain,1,1623622623, 48, 0, 18.43
AFLfast,mp3gain,1,1623622628, 48, 0, 1.78
AFLfast,mp3gain,1,1623622633, 48, 0, 18.60
AFLfast,mp3gain,1,1623622638, 48, 0, 16.67
AFLfast,mp3gain,1,1623622644, 49, 0, 14.30
AFLfast,mp3gain,1,1623622649, 50, 0, 15.13
AFLfast,mp3gain,1,1623622654, 50, 0, 2.97
AFLfast,mp3gain,1,1623622659, 50, 0, 15.35
AFLfast,mp3gain,1,1623622664, 50, 0, 17.42
AFLfast,mp3gain,1,1623622669, 50, 0, 19.20
AFLfast,mp3gain,1,1623622674, 50, 0, 19.18
AFLfast,mp3gain,1,1623622680, 50, 0, 14.84
AFLfast,mp3gain,1,1623622685, 50, 0, 19.23
AFLfast,mp3gain,1,1623622690, 50, 0, 19.00
AFLfast,mp3gain,1,1623622695, 50, 0, 16.82
AFLfast,mp3gain,1,1623622700, 50, 0, 7.97
