alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,mp3gain,2,1623603794, 1, 0, 20, 20, 0, 0.00%, 0, 0, 1, 23.40, 160
AFLfast,mp3gain,2,1623603810, 1, 1, 20, 19, 0, 0.00%, 0, 0, 1, 4.63, 570
AFLfast,mp3gain,2,1623603815, 1, 1, 20, 19, 0, 0.00%, 1, 0, 1, 25.94, 695
AFLfast,mp3gain,2,1623603820, 1, 2, 20, 18, 0, 0.00%, 1, 0, 1, 25.43, 812
AFLfast,mp3gain,2,1623603830, 1, 3, 20, 17, 0, 0.00%, 1, 0, 1, 31.25, 985
AFLfast,mp3gain,2,1623603835, 1, 3, 20, 17, 0, 0.00%, 2, 0, 1, 29.39, 1128
AFLfast,mp3gain,2,1623603841, 1, 4, 20, 16, 0, 0.00%, 2, 0, 1, 21.25, 1234
AFLfast,mp3gain,2,1623603851, 1, 5, 20, 15, 0, 0.00%, 3, 0, 1, 31.89, 1447
AFLfast,mp3gain,2,1623603861, 1, 6, 20, 14, 0, 0.00%, 3, 0, 1, 28.43, 1708
AFLfast,mp3gain,2,1623603866, 1, 7, 20, 13, 0, 0.00%, 4, 0, 1, 26.43, 1825
AFLfast,mp3gain,2,1623603871, 1, 7, 20, 13, 0, 0.00%, 7, 0, 1, 29.04, 1971
AFLfast,mp3gain,2,1623603877, 1, 8, 20, 12, 0, 0.00%, 7, 0, 1, 2.43, 2101
AFLfast,mp3gain,2,1623603887, 1, 9, 20, 11, 0, 0.00%, 7, 0, 1, 0.32, 2305
AFLfast,mp3gain,2,1623603893, 1, 9, 20, 11, 0, 0.00%, 8, 0, 1, 28.20, 2452
AFLfast,mp3gain,2,1623603898, 1, 10, 20, 10, 0, 0.00%, 9, 0, 1, 7.59, 2537
AFLfast,mp3gain,2,1623603908, 1, 11, 20, 9, 0, 0.00%, 9, 0, 1, 2.36, 2664
AFLfast,mp3gain,2,1623603918, 1, 12, 20, 8, 0, 0.00%, 9, 0, 1, 30.62, 2946
AFLfast,mp3gain,2,1623603931, 1, 13, 20, 7, 0, 0.00%, 9, 0, 1, 0.77, 3072
AFLfast,mp3gain,2,1623603941, 1, 14, 20, 6, 0, 0.00%, 9, 0, 1, 9.76, 3177
AFLfast,mp3gain,2,1623603957, 1, 15, 20, 5, 0, 0.00%, 9, 0, 1, 18.07, 3392
AFLfast,mp3gain,2,1623603967, 1, 16, 20, 4, 0, 0.00%, 12, 0, 1, 21.90, 3619
AFLfast,mp3gain,2,1623603972, 1, 16, 20, 4, 0, 0.00%, 16, 0, 1, 22.82, 3737
AFLfast,mp3gain,2,1623603977, 1, 17, 20, 3, 0, 0.00%, 17, 0, 1, 25.28, 3799
AFLfast,mp3gain,2,1623603987, 1, 18, 20, 2, 0, 0.00%, 17, 0, 1, 27.99, 4055
AFLfast,mp3gain,2,1623603993, 1, 19, 20, 1, 0, 0.00%, 17, 0, 1, 1.45, 4149
AFLfast,mp3gain,2,1623604009, 2, 1, 20, 0, 0, 0.00%, 17, 0, 1, 1.53, 4356
AFLfast,mp3gain,2,1623621092, 2, 3, 20, 0, 0, 0.00%, 17, 0, 1, 0.00, 4458
AFLfast,mp3gain,2,1623621097, 2, 4, 20, 0, 0, 0.00%, 17, 0, 1, 15.54, 4533
AFLfast,mp3gain,2,1623621102, 2, 5, 20, 0, 0, 0.00%, 17, 0, 1, 19.54, 4606
AFLfast,mp3gain,2,1623621108, 2, 7, 20, 0, 0, 0.00%, 17, 0, 1, 20.38, 4679
AFLfast,mp3gain,2,1623621113, 2, 8, 20, 0, 0, 0.00%, 17, 0, 1, 19.27, 4768
AFLfast,mp3gain,2,1623621118, 2, 10, 20, 0, 0, 0.00%, 17, 0, 1, 17.07, 4846
AFLfast,mp3gain,2,1623621124, 2, 11, 20, 0, 0, 0.00%, 17, 0, 1, 11.09, 4890
AFLfast,mp3gain,2,1623621129, 2, 12, 20, 0, 0, 0.00%, 17, 0, 1, 16.14, 4969
AFLfast,mp3gain,2,1623621134, 2, 13, 20, 0, 0, 0.00%, 17, 0, 1, 5.03, 5014
AFLfast,mp3gain,2,1623621139, 2, 14, 20, 0, 0, 0.00%, 17, 0, 1, 7.01, 5053
AFLfast,mp3gain,2,1623621145, 2, 16, 20, 0, 0, 0.00%, 17, 0, 1, 1.34, 5117
AFLfast,mp3gain,2,1623621150, 2, 17, 20, 0, 0, 0.00%, 19, 0, 1, 19.26, 5189
AFLfast,mp3gain,2,1623621155, 2, 18, 20, 0, 0, 0.00%, 19, 0, 1, 19.55, 5268
AFLfast,mp3gain,2,1623621160, 2, 19, 20, 0, 0, 0.00%, 19, 0, 1, 12.52, 5299
AFLfast,mp3gain,2,1623621165, 3, 0, 20, 0, 0, 0.00%, 19, 0, 1, 17.60, 5375
AFLfast,mp3gain,2,1623621170, 3, 1, 20, 0, 0, 0.00%, 19, 0, 1, 18.03, 5450
AFLfast,mp3gain,2,1623621175, 3, 2, 20, 0, 0, 0.00%, 19, 0, 1, 11.29, 5498
AFLfast,mp3gain,2,1623629298, 3, 3, 20, 0, 0, 0.00%, 19, 0, 1, 0.00, 5514
AFLfast,mp3gain,2,1623629303, 3, 4, 20, 0, 0, 0.00%, 19, 0, 1, 16.23, 5584
AFLfast,mp3gain,2,1623629309, 3, 5, 20, 0, 0, 0.00%, 20, 0, 1, 14.62, 5647
AFLfast,mp3gain,2,1623629314, 3, 7, 20, 0, 0, 0.00%, 20, 0, 1, 20.69, 5728
AFLfast,mp3gain,2,1623629319, 3, 8, 20, 0, 0, 0.00%, 20, 0, 1, 18.36, 5815
AFLfast,mp3gain,2,1623629324, 3, 9, 20, 0, 0, 0.00%, 20, 0, 1, 17.64, 5899
AFLfast,mp3gain,2,1623629329, 3, 10, 20, 0, 0, 0.00%, 20, 0, 1, 6.11, 5941
AFLfast,mp3gain,2,1623629334, 3, 12, 20, 0, 0, 0.00%, 20, 0, 1, 14.44, 6013
AFLfast,mp3gain,2,1623629339, 3, 13, 20, 0, 0, 0.00%, 20, 0, 1, 13.16, 6072
AFLfast,mp3gain,2,1623629344, 3, 14, 20, 0, 0, 0.00%, 20, 0, 1, 4.08, 6109
AFLfast,mp3gain,2,1623629349, 3, 15, 20, 0, 0, 0.00%, 20, 0, 1, 9.90, 6163
AFLfast,mp3gain,2,1623629355, 3, 17, 20, 0, 0, 0.00%, 23, 0, 1, 1.76, 6238
AFLfast,mp3gain,2,1623629360, 3, 18, 20, 0, 0, 0.00%, 23, 0, 1, 21.14, 6331
AFLfast,mp3gain,2,1623629365, 3, 19, 20, 0, 0, 0.00%, 23, 0, 1, 4.53, 6367
AFLfast,mp3gain,2,1623629370, 4, 0, 20, 0, 0, 0.00%, 23, 0, 1, 20.32, 6449
AFLfast,mp3gain,2,1623629376, 4, 2, 20, 0, 0, 0.00%, 23, 0, 1, 2.69, 6526
AFLfast,mp3gain,2,1623629386, 4, 4, 20, 0, 0, 0.00%, 23, 0, 1, 12.86, 6634
AFLfast,mp3gain,2,1623629391, 4, 5, 20, 0, 0, 0.00%, 24, 0, 1, 19.25, 6696
AFLfast,mp3gain,2,1623629396, 4, 6, 20, 0, 0, 0.00%, 25, 0, 1, 19.14, 6788
AFLfast,mp3gain,2,1623629401, 4, 8, 20, 0, 0, 0.00%, 25, 0, 1, 23.81, 6871
AFLfast,mp3gain,2,1623629406, 4, 9, 20, 0, 0, 0.00%, 25, 0, 1, 20.78, 6967
AFLfast,mp3gain,2,1623629411, 4, 10, 20, 0, 0, 0.00%, 25, 0, 1, 8.02, 7005
AFLfast,mp3gain,2,1623629417, 4, 12, 20, 0, 0, 0.00%, 25, 0, 1, 13.36, 7072
AFLfast,mp3gain,2,1623629422, 4, 13, 20, 0, 0, 0.00%, 25, 0, 1, 12.84, 7137
AFLfast,mp3gain,2,1623629427, 4, 14, 20, 0, 0, 0.00%, 25, 0, 1, 9.63, 7174
AFLfast,mp3gain,2,1623629432, 4, 15, 20, 0, 0, 0.00%, 25, 0, 1, 19.88, 7234
AFLfast,mp3gain,2,1623629437, 4, 17, 20, 0, 0, 0.00%, 26, 0, 1, 16.34, 7303
