alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2test,14,1623531920, 0, 0, 470.59
AFLfast,pcre2test,14,1623531925, 0, 0, 287.87
AFLfast,pcre2test,14,1623531930, 0, 0, 237.22
AFLfast,pcre2test,14,1623531935, 0, 0, 223.63
AFLfast,pcre2test,14,1623531940, 0, 0, 237.80
AFLfast,pcre2test,14,1623531951, 0, 0, 216.40
AFLfast,pcre2test,14,1623531961, 0, 0, 231.94
AFLfast,pcre2test,14,1623531966, 0, 0, 173.70
AFLfast,pcre2test,14,1623531971, 0, 0, 176.87
AFLfast,pcre2test,14,1623531976, 0, 0, 190.85
AFLfast,pcre2test,14,1623531982, 0, 0, 245.10
AFLfast,pcre2test,14,1623531987, 0, 0, 211.98
AFLfast,pcre2test,14,1623532002, 0, 0, 345.47
AFLfast,pcre2test,14,1623532007, 0, 0, 346.44
AFLfast,pcre2test,14,1623532012, 0, 0, 364.29
AFLfast,pcre2test,14,1623532022, 0, 0, 370.97
AFLfast,pcre2test,14,1623532027, 0, 0, 364.82
AFLfast,pcre2test,14,1623532033, 0, 0, 375.44
AFLfast,pcre2test,14,1623532043, 0, 0, 401.54
AFLfast,pcre2test,14,1623532048, 0, 0, 395.76
AFLfast,pcre2test,14,1623532053, 0, 0, 343.95
AFLfast,pcre2test,14,1623532058, 0, 0, 243.52
AFLfast,pcre2test,14,1623532063, 0, 0, 204.95
AFLfast,pcre2test,14,1623532074, 0, 0, 186.61
AFLfast,pcre2test,14,1623532115, 0, 0, 302.99
AFLfast,pcre2test,14,1623532120, 0, 0, 320.59
AFLfast,pcre2test,14,1623532125, 0, 0, 329.74
AFLfast,pcre2test,14,1623532135, 0, 0, 335.88
AFLfast,pcre2test,14,1623532140, 0, 0, 324.38
AFLfast,pcre2test,14,1623532150, 0, 0, 330.09
AFLfast,pcre2test,14,1623532201, 0, 0, 290.43
AFLfast,pcre2test,14,1623532206, 0, 0, 258.39
AFLfast,pcre2test,14,1623532211, 0, 0, 265.39
AFLfast,pcre2test,14,1623532217, 0, 0, 267.60
AFLfast,pcre2test,14,1623532222, 0, 0, 268.97
AFLfast,pcre2test,14,1623532227, 0, 0, 275.88
