alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,pcre2test,9,1623531740, 1, 0, 6, 6, 1, 0.20%, 0, 0, 1, 428.57, 48
AFLfast,pcre2test,9,1623531745, 1, 0, 36, 36, 1, 0.77%, 0, 0, 2, 330.21, 1566
AFLfast,pcre2test,9,1623531750, 1, 0, 48, 48, 1, 0.78%, 0, 0, 2, 303.96, 3115
AFLfast,pcre2test,9,1623531755, 1, 0, 52, 52, 1, 0.80%, 0, 0, 2, 292.96, 4535
AFLfast,pcre2test,9,1623531760, 1, 0, 59, 59, 1, 0.80%, 0, 0, 2, 304.55, 6115
AFLfast,pcre2test,9,1623531765, 1, 0, 61, 61, 1, 0.82%, 0, 0, 2, 307.88, 7651
AFLfast,pcre2test,9,1623531770, 1, 0, 66, 66, 1, 0.83%, 0, 0, 2, 295.94, 9061
AFLfast,pcre2test,9,1623531775, 1, 0, 67, 67, 1, 0.83%, 0, 0, 2, 302.93, 10597
AFLfast,pcre2test,9,1623531780, 1, 0, 68, 68, 1, 0.83%, 0, 0, 2, 302.67, 12052
AFLfast,pcre2test,9,1623531786, 1, 0, 69, 69, 1, 0.83%, 0, 0, 2, 304.70, 13613
AFLfast,pcre2test,9,1623531791, 1, 0, 71, 71, 1, 0.83%, 0, 0, 2, 290.99, 15057
AFLfast,pcre2test,9,1623531806, 1, 0, 73, 73, 1, 0.83%, 0, 0, 2, 274.44, 19223
AFLfast,pcre2test,9,1623531817, 1, 0, 74, 74, 1, 0.83%, 0, 0, 2, 279.60, 21931
AFLfast,pcre2test,9,1623531822, 1, 0, 76, 76, 1, 0.84%, 0, 0, 2, 256.81, 23162
AFLfast,pcre2test,9,1623531827, 1, 0, 78, 78, 1, 0.84%, 0, 0, 2, 263.28, 24498
AFLfast,pcre2test,9,1623531832, 1, 0, 80, 80, 1, 0.84%, 0, 0, 2, 265.35, 25784
AFLfast,pcre2test,9,1623531837, 1, 0, 81, 81, 1, 0.84%, 0, 0, 2, 264.86, 27132
AFLfast,pcre2test,9,1623531863, 1, 6, 82, 81, 20, 0.84%, 0, 0, 2, 446.31, 34881
AFLfast,pcre2test,9,1623531868, 1, 6, 83, 82, 20, 0.84%, 0, 0, 3, 454.70, 37291
AFLfast,pcre2test,9,1623531878, 1, 6, 86, 85, 20, 0.84%, 0, 0, 3, 413.29, 41681
AFLfast,pcre2test,9,1623531884, 1, 6, 87, 86, 20, 0.84%, 0, 0, 3, 396.59, 43737
AFLfast,pcre2test,9,1623531889, 1, 6, 88, 87, 20, 0.84%, 0, 0, 3, 381.45, 45684
AFLfast,pcre2test,9,1623531894, 1, 6, 89, 88, 20, 0.84%, 0, 0, 3, 372.33, 47484
AFLfast,pcre2test,9,1623531909, 1, 6, 90, 89, 20, 0.85%, 0, 0, 3, 437.18, 53809
AFLfast,pcre2test,9,1623531914, 1, 6, 92, 91, 20, 0.97%, 0, 0, 3, 442.47, 56025
AFLfast,pcre2test,9,1623531920, 1, 6, 93, 92, 20, 0.98%, 0, 0, 3, 304.35, 57382
AFLfast,pcre2test,9,1623531925, 1, 8, 93, 91, 22, 0.98%, 0, 0, 3, 244.87, 58522
AFLfast,pcre2test,9,1623531930, 1, 8, 100, 98, 22, 1.16%, 0, 0, 3, 203.56, 59596
AFLfast,pcre2test,9,1623531935, 1, 8, 104, 102, 22, 1.16%, 0, 0, 3, 238.75, 60706
AFLfast,pcre2test,9,1623531945, 1, 8, 109, 107, 22, 1.29%, 0, 0, 3, 236.91, 63086
AFLfast,pcre2test,9,1623531960, 1, 8, 112, 110, 22, 1.29%, 0, 0, 3, 358.19, 67464
AFLfast,pcre2test,9,1623531965, 1, 8, 113, 111, 22, 1.29%, 0, 0, 3, 369.05, 69376
AFLfast,pcre2test,9,1623531971, 1, 8, 116, 114, 22, 1.29%, 0, 0, 3, 362.38, 71213
AFLfast,pcre2test,9,1623531981, 1, 8, 117, 115, 22, 1.29%, 0, 0, 3, 370.36, 74861
AFLfast,pcre2test,9,1623531986, 1, 14, 117, 114, 16, 1.29%, 0, 0, 3, 393.01, 76899
AFLfast,pcre2test,9,1623531991, 1, 23, 119, 115, 15, 1.29%, 0, 0, 3, 379.38, 78800
AFLfast,pcre2test,9,1623531996, 1, 23, 122, 118, 15, 1.30%, 0, 0, 3, 333.89, 80538
AFLfast,pcre2test,9,1623532001, 1, 23, 123, 119, 15, 1.30%, 0, 0, 3, 351.03, 82292
AFLfast,pcre2test,9,1623532011, 1, 23, 124, 120, 15, 1.35%, 0, 0, 3, 356.41, 85975
AFLfast,pcre2test,9,1623532016, 1, 23, 125, 121, 15, 1.35%, 0, 0, 3, 315.30, 87612
AFLfast,pcre2test,9,1623532021, 1, 23, 127, 123, 15, 1.35%, 0, 0, 3, 236.98, 88674
AFLfast,pcre2test,9,1623532027, 1, 23, 128, 124, 15, 1.35%, 0, 0, 3, 214.08, 89750
AFLfast,pcre2test,9,1623532057, 1, 23, 129, 125, 15, 1.35%, 0, 0, 3, 355.03, 97915
AFLfast,pcre2test,9,1623532062, 1, 23, 130, 126, 15, 1.35%, 0, 0, 3, 345.93, 99664
AFLfast,pcre2test,9,1623532068, 1, 23, 131, 127, 15, 1.36%, 0, 0, 3, 332.07, 101346
AFLfast,pcre2test,9,1623532073, 1, 25, 131, 126, 17, 1.36%, 0, 0, 3, 336.16, 103056
AFLfast,pcre2test,9,1623532098, 1, 25, 132, 127, 17, 1.38%, 0, 0, 3, 292.40, 110465
AFLfast,pcre2test,9,1623532109, 1, 25, 134, 129, 17, 1.43%, 0, 0, 3, 238.71, 113311
AFLfast,pcre2test,9,1623532119, 1, 25, 135, 130, 17, 1.44%, 0, 0, 3, 297.42, 115684
AFLfast,pcre2test,9,1623532124, 1, 25, 136, 131, 17, 1.44%, 0, 0, 3, 316.65, 117305
AFLfast,pcre2test,9,1623532129, 1, 25, 137, 132, 17, 1.44%, 0, 0, 3, 325.83, 118921
AFLfast,pcre2test,9,1623532139, 1, 41, 140, 134, 20, 1.47%, 0, 0, 3, 316.07, 122152
AFLfast,pcre2test,9,1623532170, 1, 41, 142, 136, 20, 1.50%, 0, 0, 3, 313.00, 131518
AFLfast,pcre2test,9,1623532175, 1, 41, 144, 138, 20, 1.50%, 0, 0, 3, 291.25, 133088
AFLfast,pcre2test,9,1623532201, 1, 41, 146, 140, 20, 1.50%, 0, 0, 3, 285.47, 138900
AFLfast,pcre2test,9,1623532206, 1, 41, 147, 141, 20, 1.50%, 0, 0, 3, 264.01, 140208
AFLfast,pcre2test,9,1623532216, 1, 41, 148, 142, 20, 1.63%, 0, 0, 3, 277.96, 143016
AFLfast,pcre2test,9,1623532226, 1, 47, 149, 142, 22, 1.64%, 0, 0, 3, 285.25, 145900
AFLfast,pcre2test,9,1623532232, 1, 47, 152, 145, 22, 1.64%, 0, 0, 3, 283.79, 147364
AFLfast,pcre2test,9,1623532237, 1, 47, 155, 148, 22, 1.64%, 0, 0, 3, 325.10, 148748
AFLfast,pcre2test,9,1623532242, 1, 47, 158, 151, 22, 1.65%, 0, 0, 3, 303.09, 150260
AFLfast,pcre2test,9,1623532252, 1, 47, 160, 153, 22, 1.65%, 0, 0, 3, 216.56, 152803
AFLfast,pcre2test,9,1623532257, 1, 47, 162, 155, 22, 1.69%, 0, 0, 3, 183.37, 153704
AFLfast,pcre2test,9,1623532262, 1, 47, 163, 156, 22, 1.69%, 0, 0, 3, 183.52, 154636
AFLfast,pcre2test,9,1623532268, 1, 47, 164, 157, 22, 1.71%, 0, 0, 3, 184.03, 155598
AFLfast,pcre2test,9,1623532273, 1, 47, 166, 159, 22, 1.71%, 0, 0, 3, 178.36, 156523
AFLfast,pcre2test,9,1623532278, 1, 47, 168, 161, 22, 1.82%, 0, 0, 3, 183.67, 157451
