alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,sqlite3,3,1623533352, 0, 0, 258.53
AFLfast,sqlite3,3,1623533358, 0, 0, 260.36
AFLfast,sqlite3,3,1623533558, 0, 0, 107.71
AFLfast,sqlite3,3,1623533568, 0, 0, 100.54
AFLfast,sqlite3,3,1623533583, 0, 0, 99.16
AFLfast,sqlite3,3,1623533605, 0, 0, 7.19
AFLfast,sqlite3,3,1623533625, 0, 0, 9.95
AFLfast,sqlite3,3,1623533659, 0, 0, 0.83
AFLfast,sqlite3,3,1623533680, 0, 0, 95.07
AFLfast,sqlite3,3,1623533685, 0, 0, 98.45
AFLfast,sqlite3,3,1623533695, 0, 0, 99.13
AFLfast,sqlite3,3,1623533706, 0, 0, 96.31
AFLfast,sqlite3,3,1623533716, 0, 0, 97.66
AFLfast,sqlite3,3,1623533722, 0, 0, 7.97
AFLfast,sqlite3,3,1623533727, 0, 0, 91.01
AFLfast,sqlite3,3,1623533737, 0, 0, 98.27
AFLfast,sqlite3,3,1623533747, 0, 0, 92.91
AFLfast,sqlite3,3,1623533762, 0, 0, 77.14
AFLfast,sqlite3,3,1623533772, 0, 0, 91.78
AFLfast,sqlite3,3,1623533777, 0, 0, 90.60
AFLfast,sqlite3,3,1623533788, 0, 0, 2.05
AFLfast,sqlite3,3,1623533794, 0, 0, 6.09
AFLfast,sqlite3,3,1623533819, 0, 0, 66.73
AFLfast,sqlite3,3,1623533825, 0, 0, 77.69
AFLfast,sqlite3,3,1623533840, 0, 0, 70.25
AFLfast,sqlite3,3,1623533858, 0, 0, 3.80
AFLfast,sqlite3,3,1623533879, 0, 0, 66.98
AFLfast,sqlite3,3,1623533894, 0, 0, 65.58
AFLfast,sqlite3,3,1623533909, 0, 0, 65.50
AFLfast,sqlite3,3,1623533915, 0, 0, 63.83
AFLfast,sqlite3,3,1623533930, 0, 0, 57.24
AFLfast,sqlite3,3,1623533940, 0, 0, 60.05
AFLfast,sqlite3,3,1623533945, 0, 0, 1.30
AFLfast,sqlite3,3,1623533966, 0, 0, 58.73
AFLfast,sqlite3,3,1623533981, 0, 0, 24.11
AFLfast,sqlite3,3,1623534002, 0, 0, 56.91
AFLfast,sqlite3,3,1623534017, 0, 0, 84.44
AFLfast,sqlite3,3,1623534022, 0, 0, 82.96
AFLfast,sqlite3,3,1623534037, 0, 0, 86.39
AFLfast,sqlite3,3,1623534048, 0, 0, 81.41
AFLfast,sqlite3,3,1623534063, 0, 0, 74.93
AFLfast,sqlite3,3,1623534073, 0, 0, 76.96
AFLfast,sqlite3,3,1623534089, 0, 0, 78.49
AFLfast,sqlite3,3,1623534099, 0, 0, 77.10
AFLfast,sqlite3,3,1623534114, 0, 0, 80.95
AFLfast,sqlite3,3,1623534129, 0, 0, 78.16
AFLfast,sqlite3,3,1623534140, 0, 0, 72.01
AFLfast,sqlite3,3,1623534145, 0, 0, 73.16
AFLfast,sqlite3,3,1623534160, 0, 0, 67.51
AFLfast,sqlite3,3,1623534170, 0, 0, 67.09
AFLfast,sqlite3,3,1623534186, 0, 0, 67.38
AFLfast,sqlite3,3,1623534201, 0, 0, 68.88
AFLfast,sqlite3,3,1623534216, 0, 0, 64.86
AFLfast,sqlite3,3,1623534232, 0, 0, 67.50
AFLfast,sqlite3,3,1623534237, 0, 0, 64.19
AFLfast,sqlite3,3,1623534252, 0, 0, 62.95
AFLfast,sqlite3,3,1623534262, 0, 0, 59.81
AFLfast,sqlite3,3,1623534283, 0, 0, 69.87
AFLfast,sqlite3,3,1623534298, 0, 0, 62.48
AFLfast,sqlite3,3,1623534313, 0, 0, 60.95
AFLfast,sqlite3,3,1623534318, 0, 0, 59.43
AFLfast,sqlite3,3,1623534334, 0, 0, 68.17
AFLfast,sqlite3,3,1623534349, 0, 0, 59.83
AFLfast,sqlite3,3,1623534364, 0, 0, 61.62
AFLfast,sqlite3,3,1623534380, 0, 0, 66.05
AFLfast,sqlite3,3,1623534400, 0, 0, 56.86
AFLfast,sqlite3,3,1623534405, 0, 0, 57.63
AFLfast,sqlite3,3,1623534420, 0, 0, 67.16
AFLfast,sqlite3,3,1623534426, 0, 0, 65.02
AFLfast,sqlite3,3,1623534446, 0, 0, 51.09
AFLfast,sqlite3,3,1623534456, 0, 0, 50.94
AFLfast,sqlite3,3,1623534477, 0, 0, 61.29
AFLfast,sqlite3,3,1623534498, 0, 0, 52.09
AFLfast,sqlite3,3,1623534503, 0, 0, 53.57
AFLfast,sqlite3,3,1623534508, 0, 0, 54.12
AFLfast,sqlite3,3,1623534513, 0, 0, 53.27
AFLfast,sqlite3,3,1623534534, 0, 0, 50.06
AFLfast,sqlite3,3,1623534549, 0, 0, 51.45
AFLfast,sqlite3,3,1623534570, 0, 0, 63.04
AFLfast,sqlite3,3,1623534585, 0, 0, 51.32
AFLfast,sqlite3,3,1623534590, 0, 0, 49.53
AFLfast,sqlite3,3,1623534595, 0, 0, 46.27
AFLfast,sqlite3,3,1623534616, 0, 0, 57.80
AFLfast,sqlite3,3,1623534626, 0, 0, 55.23
AFLfast,sqlite3,3,1623534641, 0, 0, 54.08
AFLfast,sqlite3,3,1623534666, 0, 0, 59.39
AFLfast,sqlite3,3,1623534697, 0, 0, 31.90
AFLfast,sqlite3,3,1623534707, 0, 0, 32.77
AFLfast,sqlite3,3,1623534712, 0, 0, 34.58
AFLfast,sqlite3,3,1623534733, 0, 0, 47.38
AFLfast,sqlite3,3,1623534754, 0, 0, 53.19
AFLfast,sqlite3,3,1623534774, 0, 0, 49.52
AFLfast,sqlite3,3,1623534795, 0, 0, 45.57
AFLfast,sqlite3,3,1623534800, 0, 0, 46.13
AFLfast,sqlite3,3,1623534810, 0, 0, 49.99
AFLfast,sqlite3,3,1623534815, 0, 0, 52.43
AFLfast,sqlite3,3,1623534836, 0, 0, 50.15
AFLfast,sqlite3,3,1623534851, 0, 0, 49.69
AFLfast,sqlite3,3,1623534872, 0, 0, 52.86
AFLfast,sqlite3,3,1623534892, 0, 0, 49.70
AFLfast,sqlite3,3,1623534897, 0, 0, 50.61
AFLfast,sqlite3,3,1623534918, 0, 0, 51.03
AFLfast,sqlite3,3,1623534923, 0, 0, 49.76
AFLfast,sqlite3,3,1623534928, 0, 0, 49.70
AFLfast,sqlite3,3,1623534948, 0, 0, 50.64
AFLfast,sqlite3,3,1623534969, 0, 0, 50.40
AFLfast,sqlite3,3,1623534989, 0, 0, 50.45
AFLfast,sqlite3,3,1623535010, 0, 0, 49.61
AFLfast,sqlite3,3,1623535015, 0, 0, 49.95
AFLfast,sqlite3,3,1623535020, 0, 0, 48.03
AFLfast,sqlite3,3,1623535025, 0, 0, 47.33
AFLfast,sqlite3,3,1623535045, 0, 0, 48.29
AFLfast,sqlite3,3,1623535065, 0, 0, 49.10
AFLfast,sqlite3,3,1623535086, 0, 0, 47.37
AFLfast,sqlite3,3,1623535096, 0, 0, 44.55
AFLfast,sqlite3,3,1623535116, 0, 0, 48.36
AFLfast,sqlite3,3,1623535122, 0, 0, 48.49
AFLfast,sqlite3,3,1623535127, 0, 0, 45.95
AFLfast,sqlite3,3,1623535132, 0, 0, 46.80
AFLfast,sqlite3,3,1623535152, 0, 0, 48.44
