alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,sqlite3,9,1623533994, 1, 0, 14, 14, 2, 2.53%, 0, 0, 1, 86.89, 112
AFLfast,sqlite3,9,1623533999, 1, 11, 19, 19, 2, 2.57%, 0, 0, 2, 84.37, 534
AFLfast,sqlite3,9,1623534015, 1, 11, 20, 20, 2, 2.57%, 0, 0, 2, 62.82, 1707
AFLfast,sqlite3,9,1623534383, 1, 12, 20, 19, 7, 2.57%, 0, 0, 2, 35.46, 16639
AFLfast,sqlite3,9,1623534409, 1, 14, 20, 18, 6, 2.57%, 0, 0, 2, 0.09, 17128
AFLfast,sqlite3,9,1623534440, 1, 15, 20, 17, 5, 2.57%, 0, 0, 2, 25.36, 18152
AFLfast,sqlite3,9,1623534476, 1, 17, 20, 16, 3, 2.57%, 0, 0, 2, 36.90, 19285
AFLfast,sqlite3,9,1623534512, 1, 18, 20, 15, 2, 2.57%, 0, 0, 2, 31.01, 20346
AFLfast,sqlite3,9,1623534543, 1, 19, 20, 14, 1, 2.57%, 0, 0, 2, 28.79, 21294
AFLfast,sqlite3,9,1623534568, 2, 2, 20, 13, 0, 2.57%, 0, 0, 2, 37.92, 22112
AFLfast,sqlite3,9,1623534594, 2, 7, 20, 12, 0, 2.57%, 0, 0, 2, 0.84, 22599
AFLfast,sqlite3,9,1623534614, 2, 12, 20, 11, 0, 2.57%, 0, 0, 2, 31.64, 23217
AFLfast,sqlite3,9,1623534619, 2, 14, 20, 11, 0, 2.57%, 0, 0, 2, 33.90, 23362
AFLfast,sqlite3,9,1623534625, 2, 15, 20, 11, 0, 2.57%, 0, 0, 2, 32.41, 23528
AFLfast,sqlite3,9,1623534630, 2, 16, 20, 11, 0, 2.57%, 0, 0, 2, 1.29, 23548
AFLfast,sqlite3,9,1623534666, 2, 17, 20, 10, 0, 2.57%, 0, 0, 2, 32.50, 24665
AFLfast,sqlite3,9,1623534671, 2, 18, 20, 10, 0, 2.57%, 0, 0, 2, 31.29, 24833
AFLfast,sqlite3,9,1623534676, 2, 19, 20, 10, 0, 2.57%, 0, 0, 2, 16.93, 24913
AFLfast,sqlite3,9,1623534682, 3, 0, 20, 10, 0, 2.57%, 0, 0, 2, 0.00, 24929
AFLfast,sqlite3,9,1623534687, 3, 1, 20, 10, 0, 2.57%, 0, 0, 2, 30.50, 25095
AFLfast,sqlite3,9,1623534703, 3, 3, 20, 9, 0, 2.57%, 0, 0, 2, 30.06, 25522
AFLfast,sqlite3,9,1623534722, 3, 4, 20, 8, 0, 2.57%, 0, 0, 2, 0.41, 26055
AFLfast,sqlite3,9,1623534743, 3, 12, 20, 7, 0, 2.57%, 0, 0, 2, 31.98, 26642
AFLfast,sqlite3,9,1623534748, 3, 14, 20, 7, 0, 2.57%, 0, 0, 2, 33.53, 26805
AFLfast,sqlite3,9,1623534753, 3, 15, 20, 7, 0, 2.57%, 0, 0, 2, 32.65, 26968
AFLfast,sqlite3,9,1623534769, 3, 17, 20, 7, 0, 2.57%, 0, 0, 2, 27.40, 27381
AFLfast,sqlite3,9,1623534774, 3, 18, 20, 7, 0, 2.57%, 0, 0, 2, 25.07, 27509
AFLfast,sqlite3,9,1623534789, 3, 19, 20, 7, 0, 2.57%, 0, 0, 2, 33.72, 28027
AFLfast,sqlite3,9,1623534794, 4, 0, 20, 7, 0, 2.57%, 0, 0, 2, 5.52, 28121
AFLfast,sqlite3,9,1623534815, 4, 6, 20, 6, 0, 2.57%, 0, 0, 2, 33.28, 28734
AFLfast,sqlite3,9,1623534830, 4, 8, 20, 5, 0, 2.57%, 0, 0, 2, 46.99, 29376
AFLfast,sqlite3,9,1623534840, 4, 9, 20, 4, 0, 2.57%, 0, 0, 2, 51.04, 29889
AFLfast,sqlite3,9,1623534850, 4, 12, 20, 3, 0, 2.57%, 0, 0, 2, 48.36, 30405
AFLfast,sqlite3,9,1623534856, 4, 15, 20, 3, 0, 2.57%, 0, 0, 2, 44.00, 30611
AFLfast,sqlite3,9,1623534866, 4, 17, 20, 3, 0, 2.57%, 0, 0, 2, 50.57, 31125
AFLfast,sqlite3,9,1623534871, 4, 18, 20, 3, 0, 2.57%, 0, 0, 2, 52.89, 31388
AFLfast,sqlite3,9,1623534881, 5, 7, 20, 3, 0, 2.57%, 0, 0, 2, 39.08, 31878
AFLfast,sqlite3,9,1623534886, 5, 14, 20, 3, 0, 2.57%, 0, 0, 2, 44.31, 32117
AFLfast,sqlite3,9,1623534891, 5, 15, 20, 3, 0, 2.57%, 0, 0, 2, 48.01, 32365
AFLfast,sqlite3,9,1623534902, 5, 18, 20, 3, 0, 2.57%, 0, 0, 2, 48.08, 32872
AFLfast,sqlite3,9,1623534917, 6, 12, 20, 3, 0, 2.57%, 0, 0, 2, 48.36, 33608
AFLfast,sqlite3,9,1623534922, 6, 15, 20, 3, 0, 2.57%, 0, 0, 2, 48.55, 33864
AFLfast,sqlite3,9,1623534933, 6, 17, 20, 3, 0, 2.57%, 0, 0, 2, 49.06, 34376
AFLfast,sqlite3,9,1623534943, 6, 18, 20, 3, 0, 2.57%, 0, 0, 2, 51.27, 34904
AFLfast,sqlite3,9,1623534953, 6, 19, 20, 3, 0, 2.57%, 0, 0, 2, 48.69, 35420
AFLfast,sqlite3,9,1623534959, 7, 5, 20, 3, 0, 2.57%, 0, 0, 2, 49.64, 35664
