alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tcpdump,2,1623528790, 0, 0, 2.55
AFLfast,tcpdump,2,1623528795, 0, 0, 2.51
AFLfast,tcpdump,2,1623528831, 0, 0, 2.98
AFLfast,tcpdump,2,1623528873, 0, 0, 2.95
AFLfast,tcpdump,2,1623528909, 0, 0, 3.38
AFLfast,tcpdump,2,1623528955, 0, 0, 2.15
AFLfast,tcpdump,2,1623529002, 0, 0, 2.34
AFLfast,tcpdump,2,1623529050, 0, 0, 2.67
AFLfast,tcpdump,2,1623529096, 0, 0, 2.25
AFLfast,tcpdump,2,1623529107, 0, 0, 2.08
AFLfast,tcpdump,2,1623529122, 0, 0, 2.14
AFLfast,tcpdump,2,1623529133, 0, 0, 2.45
AFLfast,tcpdump,2,1623529180, 0, 0, 2.44
AFLfast,tcpdump,2,1623529190, 0, 0, 2.50
AFLfast,tcpdump,2,1623529241, 0, 0, 2.52
AFLfast,tcpdump,2,1623529252, 0, 0, 2.61
AFLfast,tcpdump,2,1623529262, 0, 0, 2.62
AFLfast,tcpdump,2,1623529299, 0, 0, 2.89
AFLfast,tcpdump,2,1623529309, 0, 0, 2.76
AFLfast,tcpdump,2,1623529320, 0, 0, 2.62
AFLfast,tcpdump,2,1623529330, 0, 0, 2.67
AFLfast,tcpdump,2,1623529371, 0, 0, 2.67
AFLfast,tcpdump,2,1623529413, 0, 0, 2.66
AFLfast,tcpdump,2,1623529423, 0, 0, 2.61
AFLfast,tcpdump,2,1623529434, 0, 0, 2.64
AFLfast,tcpdump,2,1623529475, 0, 0, 2.55
AFLfast,tcpdump,2,1623529486, 0, 0, 2.61
AFLfast,tcpdump,2,1623529496, 0, 0, 2.54
AFLfast,tcpdump,2,1623529506, 0, 0, 2.57
AFLfast,tcpdump,2,1623529512, 0, 0, 2.52
AFLfast,tcpdump,2,1623529522, 0, 0, 2.55
AFLfast,tcpdump,2,1623529532, 0, 0, 2.57
AFLfast,tcpdump,2,1623529543, 0, 0, 2.55
AFLfast,tcpdump,2,1623529553, 0, 0, 2.64
AFLfast,tcpdump,2,1623529610, 0, 0, 2.61
AFLfast,tcpdump,2,1623529615, 0, 0, 2.64
AFLfast,tcpdump,2,1623529626, 0, 0, 2.64
AFLfast,tcpdump,2,1623529636, 0, 0, 2.60
AFLfast,tcpdump,2,1623529646, 0, 0, 2.59
AFLfast,tcpdump,2,1623529657, 0, 0, 2.58
AFLfast,tcpdump,2,1623529667, 0, 0, 2.65
AFLfast,tcpdump,2,1623529709, 0, 0, 2.44
AFLfast,tcpdump,2,1623529725, 0, 0, 2.28
AFLfast,tcpdump,2,1623529735, 0, 0, 2.02
AFLfast,tcpdump,2,1623529746, 0, 0, 2.15
AFLfast,tcpdump,2,1623529757, 0, 0, 2.09
AFLfast,tcpdump,2,1623529767, 0, 0, 2.52
AFLfast,tcpdump,2,1623529777, 0, 0, 2.36
AFLfast,tcpdump,2,1623529787, 0, 0, 2.32
AFLfast,tcpdump,2,1623529798, 0, 0, 2.35
AFLfast,tcpdump,2,1623529814, 0, 0, 2.08
AFLfast,tcpdump,2,1623529824, 0, 0, 2.00
AFLfast,tcpdump,2,1623529835, 0, 0, 2.24
AFLfast,tcpdump,2,1623529845, 0, 0, 2.48
AFLfast,tcpdump,2,1623529856, 0, 0, 2.52
AFLfast,tcpdump,2,1623529866, 0, 0, 2.44
AFLfast,tcpdump,2,1623529876, 0, 0, 2.57
AFLfast,tcpdump,2,1623529886, 0, 0, 2.27
AFLfast,tcpdump,2,1623529902, 0, 0, 2.11
AFLfast,tcpdump,2,1623529912, 0, 0, 2.13
AFLfast,tcpdump,2,1623529922, 0, 0, 2.46
AFLfast,tcpdump,2,1623529932, 0, 0, 2.56
AFLfast,tcpdump,2,1623529943, 0, 0, 2.25
AFLfast,tcpdump,2,1623529954, 0, 0, 2.39
AFLfast,tcpdump,2,1623529964, 0, 0, 2.19
AFLfast,tcpdump,2,1623529980, 0, 0, 2.02
AFLfast,tcpdump,2,1623529990, 0, 0, 2.12
AFLfast,tcpdump,2,1623530001, 0, 0, 2.35
AFLfast,tcpdump,2,1623530011, 0, 0, 2.54
AFLfast,tcpdump,2,1623530021, 0, 0, 2.37
AFLfast,tcpdump,2,1623530031, 0, 0, 2.37
AFLfast,tcpdump,2,1623530042, 0, 0, 2.26
AFLfast,tcpdump,2,1623530058, 0, 0, 1.91
AFLfast,tcpdump,2,1623530069, 0, 0, 2.22
AFLfast,tcpdump,2,1623530079, 0, 0, 2.50
AFLfast,tcpdump,2,1623530089, 0, 0, 2.42
AFLfast,tcpdump,2,1623530100, 0, 0, 2.41
AFLfast,tcpdump,2,1623530111, 0, 0, 2.80
AFLfast,tcpdump,2,1623530121, 0, 0, 2.59
AFLfast,tcpdump,2,1623530132, 0, 0, 2.42
AFLfast,tcpdump,2,1623530142, 0, 0, 2.33
AFLfast,tcpdump,2,1623530153, 0, 0, 2.43
AFLfast,tcpdump,2,1623530163, 0, 0, 2.49
AFLfast,tcpdump,2,1623530173, 0, 0, 2.42
AFLfast,tcpdump,2,1623530184, 0, 0, 2.32
AFLfast,tcpdump,2,1623530194, 0, 0, 2.57
AFLfast,tcpdump,2,1623530199, 0, 0, 2.62
AFLfast,tcpdump,2,1623530210, 0, 0, 2.61
AFLfast,tcpdump,2,1623530220, 0, 0, 2.57
AFLfast,tcpdump,2,1623530230, 0, 0, 2.56
AFLfast,tcpdump,2,1623530241, 0, 0, 2.49
AFLfast,tcpdump,2,1623530251, 0, 0, 2.60
AFLfast,tcpdump,2,1623530262, 0, 0, 2.54
AFLfast,tcpdump,2,1623530272, 0, 0, 2.60
AFLfast,tcpdump,2,1623530283, 0, 0, 2.63
AFLfast,tcpdump,2,1623530288, 0, 0, 2.48
AFLfast,tcpdump,2,1623530299, 0, 0, 2.58
AFLfast,tcpdump,2,1623530309, 0, 0, 2.58
AFLfast,tcpdump,2,1623530319, 0, 0, 2.57
AFLfast,tcpdump,2,1623530329, 0, 0, 2.59
AFLfast,tcpdump,2,1623530340, 0, 0, 2.54
AFLfast,tcpdump,2,1623530350, 0, 0, 2.54
AFLfast,tcpdump,2,1623530361, 0, 0, 2.55
AFLfast,tcpdump,2,1623530371, 0, 0, 2.58
AFLfast,tcpdump,2,1623530376, 0, 0, 2.60
AFLfast,tcpdump,2,1623530387, 0, 0, 2.63
AFLfast,tcpdump,2,1623530397, 0, 0, 2.63
AFLfast,tcpdump,2,1623530408, 0, 0, 2.66
AFLfast,tcpdump,2,1623530418, 0, 0, 2.66
AFLfast,tcpdump,2,1623530424, 0, 0, 2.66
AFLfast,tcpdump,2,1623530434, 0, 0, 2.56
AFLfast,tcpdump,2,1623530444, 0, 0, 2.41
AFLfast,tcpdump,2,1623530455, 0, 0, 2.41
AFLfast,tcpdump,2,1623530466, 0, 0, 2.42
AFLfast,tcpdump,2,1623530476, 0, 0, 2.25
AFLfast,tcpdump,2,1623530487, 0, 0, 2.41
AFLfast,tcpdump,2,1623530497, 0, 0, 2.51
AFLfast,tcpdump,2,1623530507, 0, 0, 2.50
AFLfast,tcpdump,2,1623530518, 0, 0, 2.41
AFLfast,tcpdump,2,1623530528, 0, 0, 2.49
AFLfast,tcpdump,2,1623530538, 0, 0, 2.51
AFLfast,tcpdump,2,1623530549, 0, 0, 2.44
AFLfast,tcpdump,2,1623530559, 0, 0, 2.54
AFLfast,tcpdump,2,1623530569, 0, 0, 2.61
AFLfast,tcpdump,2,1623530580, 0, 0, 2.47
AFLfast,tcpdump,2,1623530590, 0, 0, 2.38
AFLfast,tcpdump,2,1623530600, 0, 0, 2.50
AFLfast,tcpdump,2,1623530610, 0, 0, 2.58
AFLfast,tcpdump,2,1623530621, 0, 0, 2.62
AFLfast,tcpdump,2,1623530631, 0, 0, 2.60
AFLfast,tcpdump,2,1623530636, 0, 0, 2.61
AFLfast,tcpdump,2,1623530647, 0, 0, 2.55
AFLfast,tcpdump,2,1623530657, 0, 0, 2.66
AFLfast,tcpdump,2,1623530668, 0, 0, 2.62
AFLfast,tcpdump,2,1623530678, 0, 0, 2.63
AFLfast,tcpdump,2,1623530688, 0, 0, 2.58
AFLfast,tcpdump,2,1623530699, 0, 0, 2.54
AFLfast,tcpdump,2,1623530710, 0, 0, 2.46
AFLfast,tcpdump,2,1623530715, 0, 0, 2.45
AFLfast,tcpdump,2,1623530726, 0, 0, 2.36
AFLfast,tcpdump,2,1623530741, 0, 0, 2.49
AFLfast,tcpdump,2,1623530751, 0, 0, 2.38
AFLfast,tcpdump,2,1623530757, 0, 0, 2.71
AFLfast,tcpdump,2,1623530767, 0, 0, 2.61
AFLfast,tcpdump,2,1623530778, 0, 0, 2.48
AFLfast,tcpdump,2,1623530788, 0, 0, 2.97
AFLfast,tcpdump,2,1623530799, 0, 0, 2.60
AFLfast,tcpdump,2,1623530809, 0, 0, 2.52
AFLfast,tcpdump,2,1623530820, 0, 0, 2.40
AFLfast,tcpdump,2,1623530830, 0, 0, 2.45
AFLfast,tcpdump,2,1623530841, 0, 0, 2.23
AFLfast,tcpdump,2,1623530851, 0, 0, 2.17
AFLfast,tcpdump,2,1623530861, 0, 0, 2.16
AFLfast,tcpdump,2,1623530877, 0, 0, 2.33
AFLfast,tcpdump,2,1623530887, 0, 0, 2.27
AFLfast,tcpdump,2,1623530898, 0, 0, 2.18
AFLfast,tcpdump,2,1623530908, 0, 0, 2.17
AFLfast,tcpdump,2,1623530919, 0, 0, 2.20
AFLfast,tcpdump,2,1623530934, 0, 0, 2.02
AFLfast,tcpdump,2,1623530945, 0, 0, 2.01
AFLfast,tcpdump,2,1623530956, 0, 0, 1.97
AFLfast,tcpdump,2,1623530971, 0, 0, 1.92
AFLfast,tcpdump,2,1623530982, 0, 0, 1.99
AFLfast,tcpdump,2,1623530993, 0, 0, 2.10
AFLfast,tcpdump,2,1623531008, 0, 0, 2.05
AFLfast,tcpdump,2,1623531019, 0, 0, 1.92
AFLfast,tcpdump,2,1623531035, 0, 0, 1.86
AFLfast,tcpdump,2,1623531051, 0, 0, 1.71
AFLfast,tcpdump,2,1623531061, 0, 0, 1.70
AFLfast,tcpdump,2,1623531077, 0, 0, 1.87
AFLfast,tcpdump,2,1623531092, 0, 0, 1.93
AFLfast,tcpdump,2,1623531103, 0, 0, 1.84
AFLfast,tcpdump,2,1623531119, 0, 0, 1.77
AFLfast,tcpdump,2,1623531130, 0, 0, 1.75
