alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,tcpdump,3,1623528849, 1, 0, 16, 16, 1, 0.13%, 0, 0, 1, 3.02, 128
AFLfast,tcpdump,3,1623528855, 1, 1, 16, 16, 1, 0.13%, 0, 0, 1, 2.61, 141
AFLfast,tcpdump,3,1623528897, 1, 15, 16, 15, 0, 0.13%, 0, 0, 1, 2.77, 252
AFLfast,tcpdump,3,1623528938, 2, 3, 16, 14, 0, 0.13%, 0, 0, 1, 2.41, 368
AFLfast,tcpdump,3,1623528985, 2, 5, 16, 13, 0, 0.13%, 0, 0, 1, 2.55, 476
AFLfast,tcpdump,3,1623529038, 2, 8, 16, 12, 0, 0.13%, 0, 0, 1, 2.10, 592
AFLfast,tcpdump,3,1623529079, 2, 9, 16, 11, 0, 0.13%, 0, 0, 1, 2.40, 699
AFLfast,tcpdump,3,1623529131, 2, 12, 16, 10, 0, 0.13%, 0, 0, 1, 2.45, 812
AFLfast,tcpdump,3,1623529178, 3, 1, 16, 9, 0, 0.13%, 0, 0, 1, 2.36, 927
AFLfast,tcpdump,3,1623529188, 3, 12, 16, 9, 0, 0.13%, 0, 0, 1, 2.41, 952
AFLfast,tcpdump,3,1623529198, 3, 14, 16, 9, 0, 0.13%, 0, 0, 1, 2.21, 974
AFLfast,tcpdump,3,1623529251, 3, 15, 16, 8, 0, 0.13%, 0, 0, 1, 2.60, 1093
AFLfast,tcpdump,3,1623529261, 4, 6, 16, 8, 0, 0.13%, 0, 0, 1, 2.60, 1120
AFLfast,tcpdump,3,1623529303, 4, 11, 16, 7, 0, 0.13%, 0, 0, 1, 2.97, 1240
AFLfast,tcpdump,3,1623529340, 4, 14, 16, 6, 0, 0.13%, 0, 0, 1, 2.94, 1340
AFLfast,tcpdump,3,1623529350, 5, 0, 16, 6, 0, 0.13%, 0, 0, 1, 2.72, 1368
AFLfast,tcpdump,3,1623529392, 5, 14, 16, 5, 0, 0.13%, 0, 0, 1, 2.60, 1477
AFLfast,tcpdump,3,1623529402, 6, 2, 16, 5, 0, 0.13%, 0, 0, 1, 2.71, 1505
AFLfast,tcpdump,3,1623529444, 6, 6, 16, 4, 0, 0.13%, 0, 0, 1, 2.62, 1615
AFLfast,tcpdump,3,1623529454, 6, 7, 16, 4, 0, 0.13%, 0, 0, 1, 2.61, 1642
AFLfast,tcpdump,3,1623529501, 6, 10, 16, 3, 0, 0.13%, 0, 0, 1, 2.51, 1761
AFLfast,tcpdump,3,1623529542, 6, 14, 16, 2, 0, 0.13%, 0, 0, 1, 2.54, 1867
AFLfast,tcpdump,3,1623529553, 7, 14, 16, 2, 0, 0.13%, 0, 0, 1, 2.59, 1893
AFLfast,tcpdump,3,1623529568, 8, 0, 16, 2, 0, 0.13%, 0, 0, 1, 2.25, 1927
AFLfast,tcpdump,3,1623529578, 8, 4, 16, 2, 0, 0.13%, 0, 0, 1, 2.01, 1946
AFLfast,tcpdump,3,1623529625, 8, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.62, 2059
AFLfast,tcpdump,3,1623529635, 9, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.61, 2086
AFLfast,tcpdump,3,1623529645, 10, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.58, 2112
AFLfast,tcpdump,3,1623529656, 11, 9, 16, 1, 0, 0.13%, 0, 0, 1, 2.56, 2138
AFLfast,tcpdump,3,1623529666, 11, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.63, 2166
AFLfast,tcpdump,3,1623529677, 12, 4, 16, 1, 0, 0.13%, 0, 0, 1, 2.63, 2194
AFLfast,tcpdump,3,1623529682, 12, 9, 16, 1, 0, 0.13%, 0, 0, 1, 2.63, 2208
AFLfast,tcpdump,3,1623529693, 12, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.60, 2235
AFLfast,tcpdump,3,1623529703, 13, 3, 16, 1, 0, 0.13%, 0, 0, 1, 2.61, 2262
AFLfast,tcpdump,3,1623529714, 13, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.37, 2286
AFLfast,tcpdump,3,1623529724, 14, 14, 16, 1, 0, 0.13%, 0, 0, 1, 2.29, 2310
AFLfast,tcpdump,3,1623529740, 15, 13, 16, 1, 0, 0.13%, 0, 0, 1, 1.98, 2341
AFLfast,tcpdump,3,1623529786, 15, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.29, 2448
AFLfast,tcpdump,3,1623529797, 16, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.41, 2475
AFLfast,tcpdump,3,1623529808, 17, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.18, 2496
AFLfast,tcpdump,3,1623529823, 18, 11, 16, 0, 0, 0.13%, 0, 0, 1, 2.03, 2527
AFLfast,tcpdump,3,1623529834, 18, 13, 16, 0, 0, 0.13%, 0, 0, 1, 2.16, 2549
AFLfast,tcpdump,3,1623529844, 18, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.46, 2575
AFLfast,tcpdump,3,1623529854, 19, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.54, 2601
AFLfast,tcpdump,3,1623529864, 20, 0, 16, 0, 0, 0.13%, 0, 0, 1, 2.53, 2627
AFLfast,tcpdump,3,1623529875, 20, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.52, 2652
AFLfast,tcpdump,3,1623529885, 21, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.28, 2675
AFLfast,tcpdump,3,1623529896, 22, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.07, 2697
AFLfast,tcpdump,3,1623529912, 23, 12, 16, 0, 0, 0.13%, 0, 0, 1, 2.11, 2730
AFLfast,tcpdump,3,1623529922, 23, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.43, 2755
AFLfast,tcpdump,3,1623529932, 24, 5, 16, 0, 0, 0.13%, 0, 0, 1, 2.56, 2781
AFLfast,tcpdump,3,1623529943, 24, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.29, 2805
AFLfast,tcpdump,3,1623529953, 25, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.40, 2829
AFLfast,tcpdump,3,1623529964, 25, 15, 16, 0, 0, 0.13%, 0, 0, 1, 2.22, 2852
AFLfast,tcpdump,3,1623529974, 26, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.01, 2872
AFLfast,tcpdump,3,1623529990, 27, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.11, 2905
AFLfast,tcpdump,3,1623530000, 28, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.35, 2930
AFLfast,tcpdump,3,1623530011, 29, 9, 16, 0, 0, 0.13%, 0, 0, 1, 2.51, 2955
AFLfast,tcpdump,3,1623530021, 29, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.37, 2979
AFLfast,tcpdump,3,1623530032, 30, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.35, 3004
AFLfast,tcpdump,3,1623530043, 31, 1, 16, 0, 0, 0.13%, 0, 0, 1, 2.24, 3027
AFLfast,tcpdump,3,1623530053, 31, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.00, 3047
AFLfast,tcpdump,3,1623530069, 32, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.22, 3080
AFLfast,tcpdump,3,1623530079, 33, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.49, 3106
AFLfast,tcpdump,3,1623530090, 34, 0, 16, 0, 0, 0.13%, 0, 0, 1, 2.42, 3131
AFLfast,tcpdump,3,1623530100, 34, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.39, 3156
AFLfast,tcpdump,3,1623530111, 35, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.85, 3184
AFLfast,tcpdump,3,1623530116, 36, 3, 16, 0, 0, 0.13%, 0, 0, 1, 2.68, 3198
AFLfast,tcpdump,3,1623530127, 36, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.51, 3224
AFLfast,tcpdump,3,1623530137, 37, 0, 16, 0, 0, 0.13%, 0, 0, 1, 2.37, 3248
AFLfast,tcpdump,3,1623530148, 37, 13, 16, 0, 0, 0.13%, 0, 0, 1, 2.40, 3273
AFLfast,tcpdump,3,1623530158, 37, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.50, 3299
AFLfast,tcpdump,3,1623530168, 38, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.43, 3324
AFLfast,tcpdump,3,1623530179, 39, 7, 16, 0, 0, 0.13%, 0, 0, 1, 2.36, 3348
AFLfast,tcpdump,3,1623530189, 39, 12, 16, 0, 0, 0.13%, 0, 0, 1, 2.42, 3373
AFLfast,tcpdump,3,1623530200, 39, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.63, 3401
AFLfast,tcpdump,3,1623530210, 40, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.60, 3428
AFLfast,tcpdump,3,1623530220, 41, 2, 16, 0, 0, 0.13%, 0, 0, 1, 2.57, 3454
AFLfast,tcpdump,3,1623530230, 41, 10, 16, 0, 0, 0.13%, 0, 0, 1, 2.56, 3480
AFLfast,tcpdump,3,1623530241, 41, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.49, 3506
AFLfast,tcpdump,3,1623530246, 42, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.54, 3520
AFLfast,tcpdump,3,1623530257, 43, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.51, 3547
AFLfast,tcpdump,3,1623530267, 44, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.53, 3573
AFLfast,tcpdump,3,1623530278, 45, 6, 16, 0, 0, 0.13%, 0, 0, 1, 2.63, 3601
AFLfast,tcpdump,3,1623530288, 45, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.47, 3627
AFLfast,tcpdump,3,1623530299, 46, 12, 16, 0, 0, 0.13%, 0, 0, 1, 2.58, 3654
AFLfast,tcpdump,3,1623530309, 46, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.58, 3680
AFLfast,tcpdump,3,1623530320, 47, 10, 16, 0, 0, 0.13%, 0, 0, 1, 2.58, 3707
AFLfast,tcpdump,3,1623530325, 47, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.56, 3720
AFLfast,tcpdump,3,1623530335, 48, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.60, 3748
AFLfast,tcpdump,3,1623530346, 49, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.50, 3774
AFLfast,tcpdump,3,1623530356, 50, 4, 16, 0, 0, 0.13%, 0, 0, 1, 2.55, 3800
AFLfast,tcpdump,3,1623530366, 50, 13, 16, 0, 0, 0.13%, 0, 0, 1, 2.54, 3826
AFLfast,tcpdump,3,1623530376, 50, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.61, 3852
AFLfast,tcpdump,3,1623530387, 51, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.63, 3880
AFLfast,tcpdump,3,1623530397, 52, 5, 16, 0, 0, 0.13%, 0, 0, 1, 2.63, 3908
AFLfast,tcpdump,3,1623530403, 52, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.64, 3922
AFLfast,tcpdump,3,1623530413, 53, 4, 16, 0, 0, 0.13%, 0, 0, 1, 2.60, 3949
AFLfast,tcpdump,3,1623530424, 53, 12, 16, 0, 0, 0.13%, 0, 0, 1, 2.66, 3977
AFLfast,tcpdump,3,1623530434, 53, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.56, 4003
AFLfast,tcpdump,3,1623530445, 54, 8, 16, 0, 0, 0.13%, 0, 0, 1, 2.40, 4028
AFLfast,tcpdump,3,1623530455, 54, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.41, 4053
AFLfast,tcpdump,3,1623530466, 55, 3, 16, 0, 0, 0.13%, 0, 0, 1, 2.41, 4079
AFLfast,tcpdump,3,1623530476, 55, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.26, 4102
AFLfast,tcpdump,3,1623530487, 56, 3, 16, 0, 0, 0.13%, 0, 0, 1, 2.42, 4127
AFLfast,tcpdump,3,1623530497, 56, 6, 16, 0, 0, 0.13%, 0, 0, 1, 2.52, 4153
AFLfast,tcpdump,3,1623530508, 56, 8, 16, 0, 0, 0.13%, 0, 0, 1, 2.51, 4179
AFLfast,tcpdump,3,1623530518, 56, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.42, 4204
AFLfast,tcpdump,3,1623530528, 57, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.49, 4230
AFLfast,tcpdump,3,1623530539, 58, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.51, 4255
AFLfast,tcpdump,3,1623530549, 59, 11, 16, 0, 0, 0.13%, 0, 0, 1, 2.45, 4280
AFLfast,tcpdump,3,1623530559, 59, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.54, 4306
AFLfast,tcpdump,3,1623530565, 60, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.57, 4320
AFLfast,tcpdump,3,1623530575, 61, 10, 16, 0, 0, 0.13%, 0, 0, 1, 2.57, 4347
AFLfast,tcpdump,3,1623530585, 61, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.42, 4371
AFLfast,tcpdump,3,1623530596, 62, 2, 16, 0, 0, 0.13%, 0, 0, 1, 2.42, 4396
AFLfast,tcpdump,3,1623530606, 62, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.54, 4422
AFLfast,tcpdump,3,1623530616, 63, 12, 16, 0, 0, 0.13%, 0, 0, 1, 2.52, 4448
AFLfast,tcpdump,3,1623530626, 63, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.59, 4475
AFLfast,tcpdump,3,1623530636, 63, 15, 16, 0, 0, 0.13%, 0, 0, 1, 2.60, 4501
AFLfast,tcpdump,3,1623530647, 64, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.56, 4528
AFLfast,tcpdump,3,1623530658, 65, 14, 16, 0, 0, 0.13%, 0, 0, 1, 2.65, 4556
AFLfast,tcpdump,3,1623530668, 66, 1, 16, 0, 0, 0.13%, 0, 0, 1, 2.61, 4583
AFLfast,tcpdump,3,1623530673, 66, 2, 16, 0, 0, 0.13%, 0, 0, 1, 2.53, 4596
