alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,pdftops,3,1623654953, 1, 0, 10, 10, 0, 0.00%, 0, 0, 1, 1.42, 80
AFLfast,pdftops,3,1623654984, 1, 1, 10, 9, 0, 0.00%, 0, 0, 1, 0.28, 183
AFLfast,pdftops,3,1623655035, 1, 2, 10, 8, 0, 0.00%, 0, 0, 1, 0.35, 285
AFLfast,pdftops,3,1623655102, 1, 3, 10, 7, 0, 0.00%, 0, 0, 1, 0.12, 387
AFLfast,pdftops,3,1623655133, 1, 4, 10, 6, 0, 0.00%, 0, 0, 1, 4.39, 490
AFLfast,pdftops,3,1623655193, 1, 5, 10, 5, 0, 0.00%, 0, 0, 1, 0.13, 591
AFLfast,pdftops,3,1623655233, 1, 6, 10, 4, 0, 0.00%, 0, 0, 1, 0.17, 693
AFLfast,pdftops,3,1623655284, 1, 7, 10, 3, 0, 0.00%, 0, 0, 1, 0.13, 795
AFLfast,pdftops,3,1623655317, 1, 8, 10, 2, 0, 0.00%, 0, 0, 1, 0.26, 871
AFLfast,pdftops,3,1623655357, 1, 9, 10, 1, 0, 0.00%, 1, 0, 1, 0.49, 973
AFLfast,pdftops,3,1623655412, 2, 0, 10, 0, 0, 0.00%, 1, 0, 1, 0.00, 1074
AFLfast,pdftops,3,1623655544, 2, 1, 10, 0, 0, 0.00%, 1, 0, 1, 0.01, 1100
AFLfast,pdftops,3,1623655559, 2, 2, 10, 0, 0, 0.00%, 1, 0, 1, 0.36, 1125
AFLfast,pdftops,3,1623655571, 2, 3, 10, 0, 0, 0.00%, 1, 0, 1, 0.41, 1150
AFLfast,pdftops,3,1623655581, 2, 4, 10, 0, 0, 0.00%, 1, 0, 1, 5.80, 1179
AFLfast,pdftops,3,1623655597, 2, 5, 10, 0, 0, 0.00%, 1, 0, 1, 0.20, 1200
AFLfast,pdftops,3,1623655608, 2, 6, 10, 0, 0, 0.00%, 1, 0, 1, 1.05, 1231
AFLfast,pdftops,3,1623655618, 2, 7, 10, 0, 0, 0.00%, 1, 0, 1, 2.20, 1253
AFLfast,pdftops,3,1623655628, 2, 8, 10, 0, 0, 0.00%, 1, 0, 1, 2.34, 1275
AFLfast,pdftops,3,1623655639, 2, 9, 10, 0, 0, 0.00%, 1, 0, 1, 1.66, 1295
AFLfast,pdftops,3,1623655653, 2, 9, 10, 0, 0, 0.00%, 1, 1, 1, 0.19, 1315
AFLfast,pdftops,3,1623655659, 3, 0, 10, 0, 0, 0.00%, 1, 1, 1, 2.52, 1323
AFLfast,pdftops,3,1623655684, 3, 1, 10, 0, 0, 0.00%, 1, 1, 1, 4.14, 1422
AFLfast,pdftops,3,1623655695, 3, 2, 10, 0, 0, 0.00%, 1, 1, 1, 0.55, 1446
AFLfast,pdftops,3,1623655706, 3, 3, 10, 0, 0, 0.00%, 1, 1, 1, 2.77, 1471
AFLfast,pdftops,3,1623655716, 3, 4, 10, 0, 0, 0.00%, 1, 1, 1, 3.03, 1500
AFLfast,pdftops,3,1623655729, 3, 5, 10, 0, 0, 0.00%, 1, 1, 1, 0.28, 1521
AFLfast,pdftops,3,1623655740, 3, 6, 10, 0, 0, 0.00%, 1, 1, 1, 3.54, 1555
AFLfast,pdftops,3,1623655751, 3, 7, 10, 0, 0, 0.00%, 1, 1, 1, 2.25, 1576
AFLfast,pdftops,3,1623655762, 3, 8, 10, 0, 0, 0.00%, 1, 1, 1, 0.30, 1590
AFLfast,pdftops,3,1623655778, 3, 9, 10, 0, 0, 0.00%, 1, 1, 1, 2.19, 1620
AFLfast,pdftops,3,1623655792, 4, 0, 10, 0, 0, 0.00%, 1, 1, 1, 0.00, 1639
AFLfast,pdftops,3,1623655846, 4, 1, 10, 0, 0, 0.00%, 1, 1, 1, 2.88, 1747
AFLfast,pdftops,3,1623655856, 4, 2, 10, 0, 0, 0.00%, 1, 1, 1, 4.39, 1768
AFLfast,pdftops,3,1623655867, 4, 3, 10, 0, 0, 0.00%, 1, 1, 1, 0.88, 1794
AFLfast,pdftops,3,1623655877, 4, 4, 10, 0, 0, 0.00%, 1, 1, 1, 2.43, 1820
AFLfast,pdftops,3,1623655891, 4, 5, 10, 0, 0, 0.00%, 1, 1, 1, 0.24, 1842
AFLfast,pdftops,3,1623655907, 4, 6, 10, 0, 0, 0.00%, 1, 1, 1, 3.85, 1873
AFLfast,pdftops,3,1623655918, 4, 7, 10, 0, 0, 0.00%, 1, 1, 1, 2.85, 1894
AFLfast,pdftops,3,1623655929, 4, 8, 10, 0, 0, 0.00%, 1, 1, 1, 0.77, 1911
AFLfast,pdftops,3,1623655946, 4, 9, 10, 0, 0, 0.00%, 1, 1, 1, 0.40, 1938
AFLfast,pdftops,3,1623655966, 5, 0, 10, 0, 0, 0.00%, 1, 1, 1, 2.80, 1966
AFLfast,pdftops,3,1623655998, 5, 1, 10, 0, 0, 0.00%, 1, 1, 1, 3.23, 2073
AFLfast,pdftops,3,1623656008, 5, 2, 10, 0, 0, 0.00%, 1, 1, 1, 4.36, 2094
AFLfast,pdftops,3,1623656019, 5, 3, 10, 0, 0, 0.00%, 1, 1, 1, 3.12, 2120
AFLfast,pdftops,3,1623656029, 5, 4, 10, 0, 0, 0.00%, 1, 1, 1, 2.52, 2139
AFLfast,pdftops,3,1623656045, 5, 5, 10, 0, 0, 0.00%, 1, 1, 1, 4.03, 2169
AFLfast,pdftops,3,1623656055, 5, 6, 10, 0, 0, 0.00%, 1, 1, 1, 0.86, 2193
AFLfast,pdftops,3,1623656072, 5, 7, 10, 0, 0, 0.00%, 1, 1, 1, 1.31, 2213
AFLfast,pdftops,3,1623656090, 5, 8, 10, 0, 0, 0.00%, 1, 1, 1, 1.62, 2238
AFLfast,pdftops,3,1623656100, 5, 9, 10, 0, 0, 0.00%, 1, 1, 1, 2.23, 2258
AFLfast,pdftops,3,1623656116, 6, 0, 10, 0, 0, 0.00%, 1, 1, 1, 3.97, 2292
AFLfast,pdftops,3,1623656148, 6, 1, 10, 0, 0, 0.00%, 1, 1, 1, 3.02, 2390
AFLfast,pdftops,3,1623656159, 6, 2, 10, 0, 0, 0.00%, 1, 1, 1, 3.14, 2413
AFLfast,pdftops,3,1623656169, 6, 3, 10, 0, 0, 0.00%, 1, 1, 1, 2.73, 2435
AFLfast,pdftops,3,1623656179, 6, 4, 10, 0, 0, 0.00%, 1, 1, 1, 2.91, 2461
AFLfast,pdftops,3,1623656193, 6, 5, 10, 0, 0, 0.00%, 1, 1, 1, 0.24, 2484
AFLfast,pdftops,3,1623656203, 6, 6, 10, 0, 0, 0.00%, 1, 1, 1, 2.76, 2510
AFLfast,pdftops,3,1623656213, 6, 7, 10, 0, 0, 0.00%, 1, 1, 1, 2.69, 2534
AFLfast,pdftops,3,1623656223, 6, 8, 10, 0, 0, 0.00%, 1, 1, 1, 1.16, 2559
AFLfast,pdftops,3,1623656234, 6, 9, 10, 0, 0, 0.00%, 1, 1, 1, 2.32, 2584
AFLfast,pdftops,3,1623656244, 7, 0, 10, 0, 0, 0.00%, 1, 1, 1, 3.90, 2612
AFLfast,pdftops,3,1623656270, 7, 1, 10, 0, 0, 0.00%, 1, 1, 1, 3.59, 2712
AFLfast,pdftops,3,1623656281, 7, 2, 10, 0, 0, 0.00%, 1, 1, 1, 4.75, 2738
AFLfast,pdftops,3,1623656286, 7, 3, 10, 0, 0, 0.00%, 1, 1, 1, 0.76, 2755
AFLfast,pdftops,3,1623656297, 7, 4, 10, 0, 0, 0.00%, 1, 1, 1, 3.89, 2792
AFLfast,pdftops,3,1623656302, 7, 5, 10, 0, 0, 0.00%, 1, 1, 1, 0.61, 2805
AFLfast,pdftops,3,1623656307, 7, 6, 10, 0, 0, 0.00%, 1, 1, 1, 5.72, 2830
AFLfast,pdftops,3,1623656323, 7, 7, 10, 0, 0, 0.00%, 1, 1, 1, 4.20, 2859
AFLfast,pdftops,3,1623656334, 7, 8, 10, 0, 0, 0.00%, 1, 1, 1, 6.20, 2881
AFLfast,pdftops,3,1623656345, 7, 9, 10, 0, 0, 0.00%, 1, 1, 1, 4.70, 2909
