alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftops,7,1623655122, 0, 0, 1.00
AFLfast,pdftops,7,1623655154, 0, 0, 0.40
AFLfast,pdftops,7,1623655230, 0, 0, 0.13
AFLfast,pdftops,7,1623655267, 1, 0, 2.80
AFLfast,pdftops,7,1623655275, 1, 0, 0.17
AFLfast,pdftops,7,1623655330, 1, 0, 0.20
AFLfast,pdftops,7,1623655381, 1, 0, 0.20
AFLfast,pdftops,7,1623655418, 1, 0, 2.64
AFLfast,pdftops,7,1623655444, 1, 0, 3.80
AFLfast,pdftops,7,1623655465, 1, 0, 0.31
AFLfast,pdftops,7,1623655518, 1, 0, 0.24
AFLfast,pdftops,7,1623655568, 1, 0, 0.00
AFLfast,pdftops,7,1623655738, 1, 0, 0.01
AFLfast,pdftops,7,1623655766, 1, 0, 0.57
AFLfast,pdftops,7,1623655783, 1, 0, 0.22
AFLfast,pdftops,7,1623655814, 1, 0, 0.15
AFLfast,pdftops,7,1623655834, 1, 0, 0.21
AFLfast,pdftops,7,1623655851, 1, 0, 2.92
AFLfast,pdftops,7,1623655856, 1, 0, 0.50
AFLfast,pdftops,7,1623655867, 1, 0, 0.70
AFLfast,pdftops,7,1623655884, 1, 0, 0.29
AFLfast,pdftops,7,1623655907, 1, 0, 0.00
AFLfast,pdftops,7,1623655956, 1, 0, 1.00
AFLfast,pdftops,7,1623655972, 1, 0, 2.24
AFLfast,pdftops,7,1623655983, 1, 0, 3.31
AFLfast,pdftops,7,1623655993, 1, 0, 4.08
AFLfast,pdftops,7,1623656004, 1, 0, 0.56
AFLfast,pdftops,7,1623656015, 1, 0, 1.58
AFLfast,pdftops,7,1623656027, 1, 0, 0.37
AFLfast,pdftops,7,1623656037, 1, 0, 0.62
AFLfast,pdftops,7,1623656053, 1, 0, 0.33
AFLfast,pdftops,7,1623656080, 1, 0, 0.65
AFLfast,pdftops,7,1623656092, 1, 1, 0.82
AFLfast,pdftops,7,1623656125, 1, 1, 1.96
AFLfast,pdftops,7,1623656141, 1, 1, 2.75
AFLfast,pdftops,7,1623656148, 1, 1, 0.51
AFLfast,pdftops,7,1623656163, 1, 1, 3.64
AFLfast,pdftops,7,1623656175, 1, 1, 0.43
AFLfast,pdftops,7,1623656188, 1, 1, 0.51
AFLfast,pdftops,7,1623656198, 1, 1, 0.49
AFLfast,pdftops,7,1623656209, 1, 1, 2.90
AFLfast,pdftops,7,1623656221, 1, 1, 0.45
AFLfast,pdftops,7,1623656236, 1, 1, 1.65
AFLfast,pdftops,7,1623656268, 1, 1, 2.26
AFLfast,pdftops,7,1623656278, 1, 1, 2.25
AFLfast,pdftops,7,1623656283, 2, 1, 3.26
AFLfast,pdftops,7,1623656289, 2, 1, 3.04
AFLfast,pdftops,7,1623656299, 2, 1, 3.22
AFLfast,pdftops,7,1623656304, 2, 1, 0.79
AFLfast,pdftops,7,1623656315, 2, 1, 3.85
AFLfast,pdftops,7,1623656320, 2, 1, 4.03
AFLfast,pdftops,7,1623656328, 2, 1, 0.32
AFLfast,pdftops,7,1623656344, 2, 1, 2.25
AFLfast,pdftops,7,1623656359, 2, 1, 2.17
AFLfast,pdftops,7,1623656388, 2, 1, 2.15
AFLfast,pdftops,7,1623656399, 2, 1, 2.70
AFLfast,pdftops,7,1623656409, 2, 1, 4.14
AFLfast,pdftops,7,1623656420, 2, 1, 0.36
AFLfast,pdftops,7,1623656431, 2, 1, 2.94
AFLfast,pdftops,7,1623656442, 2, 1, 2.47
AFLfast,pdftops,7,1623656453, 2, 1, 2.53
AFLfast,pdftops,7,1623656464, 2, 1, 0.47
AFLfast,pdftops,7,1623656475, 2, 1, 0.59
AFLfast,pdftops,7,1623656492, 2, 1, 0.00
AFLfast,pdftops,7,1623656531, 2, 1, 2.33
AFLfast,pdftops,7,1623656542, 2, 1, 2.13
AFLfast,pdftops,7,1623656553, 2, 1, 0.50
AFLfast,pdftops,7,1623656568, 2, 1, 0.23
AFLfast,pdftops,7,1623656591, 2, 1, 1.45
AFLfast,pdftops,7,1623656607, 2, 1, 2.45
AFLfast,pdftops,7,1623656618, 2, 1, 3.39
AFLfast,pdftops,7,1623656629, 2, 1, 0.76
AFLfast,pdftops,7,1623656640, 2, 1, 1.65
AFLfast,pdftops,7,1623656651, 2, 1, 0.00
AFLfast,pdftops,7,1623656686, 2, 1, 2.58
AFLfast,pdftops,7,1623656699, 2, 1, 1.91
AFLfast,pdftops,7,1623656718, 2, 1, 0.24
AFLfast,pdftops,7,1623656740, 2, 1, 1.11
AFLfast,pdftops,7,1623656756, 2, 1, 2.20
AFLfast,pdftops,7,1623656761, 2, 1, 2.40
AFLfast,pdftops,7,1623656772, 2, 1, 2.93
AFLfast,pdftops,7,1623656783, 2, 1, 0.75
AFLfast,pdftops,7,1623656799, 2, 1, 1.93
AFLfast,pdftops,7,1623656809, 2, 1, 3.06
AFLfast,pdftops,7,1623656848, 2, 1, 1.68
AFLfast,pdftops,7,1623656866, 2, 1, 1.58
AFLfast,pdftops,7,1623656871, 3, 1, 1.78
AFLfast,pdftops,7,1623656879, 3, 1, 0.39
AFLfast,pdftops,7,1623656900, 3, 1, 1.93
AFLfast,pdftops,7,1623656916, 3, 1, 2.33
AFLfast,pdftops,7,1623656927, 3, 1, 2.22
AFLfast,pdftops,7,1623656937, 3, 1, 3.69
AFLfast,pdftops,7,1623656943, 3, 1, 0.70
AFLfast,pdftops,7,1623656959, 3, 1, 2.47
AFLfast,pdftops,7,1623656971, 3, 1, 3.91
AFLfast,pdftops,7,1623657015, 3, 1, 1.99
AFLfast,pdftops,7,1623657026, 3, 1, 1.78
AFLfast,pdftops,7,1623657036, 3, 1, 2.47
AFLfast,pdftops,7,1623657048, 3, 1, 2.54
AFLfast,pdftops,7,1623657059, 3, 1, 0.46
AFLfast,pdftops,7,1623657069, 3, 1, 4.08
AFLfast,pdftops,7,1623657074, 3, 1, 4.09
AFLfast,pdftops,7,1623657080, 3, 1, 4.43
AFLfast,pdftops,7,1623657091, 3, 1, 0.46
AFLfast,pdftops,7,1623657102, 3, 1, 0.00
AFLfast,pdftops,7,1623657151, 3, 1, 3.28
AFLfast,pdftops,7,1623657162, 3, 1, 2.82
AFLfast,pdftops,7,1623657174, 3, 1, 0.49
AFLfast,pdftops,7,1623657190, 3, 1, 1.98
AFLfast,pdftops,7,1623657201, 3, 1, 2.09
AFLfast,pdftops,7,1623657211, 3, 1, 3.61
AFLfast,pdftops,7,1623657217, 3, 1, 3.40
AFLfast,pdftops,7,1623657229, 3, 1, 0.38
AFLfast,pdftops,7,1623657246, 3, 1, 0.36
AFLfast,pdftops,7,1623657262, 3, 1, 2.44
AFLfast,pdftops,7,1623657304, 3, 1, 3.46
AFLfast,pdftops,7,1623657315, 3, 1, 2.60
AFLfast,pdftops,7,1623657320, 4, 1, 3.11
AFLfast,pdftops,7,1623657325, 4, 1, 0.89
AFLfast,pdftops,7,1623657341, 4, 1, 1.74
AFLfast,pdftops,7,1623657352, 4, 1, 0.56
AFLfast,pdftops,7,1623657368, 4, 1, 2.68
AFLfast,pdftops,7,1623657373, 4, 1, 6.53
AFLfast,pdftops,7,1623657384, 4, 1, 0.51
AFLfast,pdftops,7,1623657407, 4, 1, 0.25
AFLfast,pdftops,7,1623657422, 4, 1, 1.38
AFLfast,pdftops,7,1623657449, 4, 1, 2.41
AFLfast,pdftops,7,1623657471, 4, 1, 0.30
AFLfast,pdftops,7,1623657493, 4, 1, 0.22
AFLfast,pdftops,7,1623657518, 4, 1, 0.24
AFLfast,pdftops,7,1623657542, 4, 1, 1.82
