alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftotext,0,1623655637, 0, 0, 1.93
AFLfast,pdftotext,0,1623655698, 0, 0, 7.67
AFLfast,pdftotext,0,1623655738, 0, 0, 0.11
AFLfast,pdftotext,0,1623655759, 0, 0, 0.60
AFLfast,pdftotext,0,1623655781, 0, 0, 0.64
AFLfast,pdftotext,0,1623655807, 0, 0, 7.63
AFLfast,pdftotext,0,1623655834, 0, 0, 0.00
AFLfast,pdftotext,0,1623655849, 0, 0, 1.04
AFLfast,pdftotext,0,1623656179, 0, 0, 0.00
AFLfast,pdftotext,0,1623656282, 0, 0, 0.01
AFLfast,pdftotext,0,1623656292, 0, 0, 4.53
AFLfast,pdftotext,0,1623656297, 0, 0, 1.20
AFLfast,pdftotext,0,1623656303, 0, 0, 0.00
AFLfast,pdftotext,0,1623656324, 0, 0, 6.31
AFLfast,pdftotext,0,1623656416, 0, 0, 0.01
AFLfast,pdftotext,0,1623656448, 0, 0, 3.62
AFLfast,pdftotext,0,1623656453, 0, 0, 7.14
AFLfast,pdftotext,0,1623656459, 0, 0, 7.17
AFLfast,pdftotext,0,1623656469, 0, 0, 6.75
AFLfast,pdftotext,0,1623656484, 0, 0, 4.60
AFLfast,pdftotext,0,1623656520, 0, 0, 4.14
AFLfast,pdftotext,0,1623656546, 0, 0, 3.78
AFLfast,pdftotext,0,1623656551, 0, 0, 0.57
AFLfast,pdftotext,0,1623656562, 0, 0, 4.08
AFLfast,pdftotext,0,1623656568, 0, 0, 7.24
AFLfast,pdftotext,0,1623656588, 0, 0, 4.51
AFLfast,pdftotext,0,1623656625, 0, 0, 4.13
AFLfast,pdftotext,0,1623656645, 0, 0, 4.06
AFLfast,pdftotext,0,1623656651, 0, 0, 3.80
AFLfast,pdftotext,0,1623656656, 0, 0, 3.98
AFLfast,pdftotext,0,1623656662, 0, 0, 0.00
AFLfast,pdftotext,0,1623656683, 0, 0, 3.79
AFLfast,pdftotext,0,1623656724, 0, 0, 4.57
AFLfast,pdftotext,0,1623656745, 0, 0, 3.86
AFLfast,pdftotext,0,1623656751, 0, 0, 3.41
AFLfast,pdftotext,0,1623656756, 0, 0, 3.57
AFLfast,pdftotext,0,1623656767, 0, 0, 3.54
AFLfast,pdftotext,0,1623656782, 0, 0, 0.78
AFLfast,pdftotext,0,1623656819, 0, 0, 4.28
AFLfast,pdftotext,0,1623656845, 0, 0, 3.62
AFLfast,pdftotext,0,1623656850, 0, 0, 3.55
AFLfast,pdftotext,0,1623656856, 0, 0, 3.59
AFLfast,pdftotext,0,1623656866, 0, 0, 3.90
AFLfast,pdftotext,0,1623656882, 0, 0, 0.92
AFLfast,pdftotext,0,1623656923, 0, 0, 4.29
AFLfast,pdftotext,0,1623656945, 0, 0, 3.78
AFLfast,pdftotext,0,1623656950, 0, 0, 3.63
AFLfast,pdftotext,0,1623656961, 0, 0, 4.43
AFLfast,pdftotext,0,1623656966, 0, 0, 0.00
AFLfast,pdftotext,0,1623656987, 0, 0, 2.17
AFLfast,pdftotext,0,1623657022, 0, 0, 4.33
AFLfast,pdftotext,0,1623657050, 0, 0, 3.53
AFLfast,pdftotext,0,1623657060, 0, 0, 3.45
AFLfast,pdftotext,0,1623657066, 0, 0, 3.65
AFLfast,pdftotext,0,1623657076, 0, 0, 5.03
AFLfast,pdftotext,0,1623657092, 0, 0, 4.51
AFLfast,pdftotext,0,1623657128, 0, 0, 4.24
AFLfast,pdftotext,0,1623657160, 0, 0, 3.94
AFLfast,pdftotext,0,1623657165, 0, 0, 3.66
AFLfast,pdftotext,0,1623657171, 0, 0, 3.86
AFLfast,pdftotext,0,1623657181, 0, 0, 3.45
AFLfast,pdftotext,0,1623657197, 0, 0, 0.91
AFLfast,pdftotext,0,1623657239, 0, 0, 4.20
