alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs
AFLfast,pdftotext,3,1623655791, 1, 0, 10, 10, 0, 0.00%, 0, 0, 1, 2.96, 80
AFLfast,pdftotext,3,1623655817, 1, 1, 10, 9, 0, 0.00%, 0, 0, 1, 1.14, 186
AFLfast,pdftotext,3,1623655844, 1, 2, 10, 8, 0, 0.00%, 0, 0, 1, 0.29, 259
AFLfast,pdftotext,3,1623655876, 1, 3, 10, 7, 0, 0.00%, 0, 0, 1, 4.14, 369
AFLfast,pdftotext,3,1623655898, 1, 4, 10, 6, 0, 0.00%, 0, 0, 1, 0.51, 463
AFLfast,pdftotext,3,1623655929, 1, 5, 10, 5, 0, 0.00%, 0, 0, 1, 0.27, 565
AFLfast,pdftotext,3,1623655955, 1, 6, 10, 4, 0, 0.00%, 0, 0, 1, 4.36, 676
AFLfast,pdftotext,3,1623655986, 1, 7, 10, 3, 0, 0.00%, 0, 0, 1, 5.89, 780
AFLfast,pdftotext,3,1623656012, 1, 8, 10, 2, 0, 0.00%, 0, 0, 1, 2.38, 873
AFLfast,pdftotext,3,1623656043, 1, 9, 10, 1, 0, 0.00%, 0, 0, 1, 0.36, 973
AFLfast,pdftotext,3,1623656080, 2, 0, 10, 0, 0, 0.00%, 0, 0, 1, 0.00, 1074
AFLfast,pdftotext,3,1623656196, 2, 1, 10, 0, 0, 0.00%, 0, 0, 1, 0.01, 1100
AFLfast,pdftotext,3,1623656315, 2, 2, 10, 0, 0, 0.00%, 0, 0, 1, 0.01, 1119
AFLfast,pdftotext,3,1623656435, 2, 3, 10, 0, 0, 0.00%, 0, 0, 1, 0.01, 1144
AFLfast,pdftotext,3,1623656446, 2, 4, 10, 0, 0, 0.00%, 0, 0, 1, 1.44, 1176
AFLfast,pdftotext,3,1623656456, 2, 5, 10, 0, 0, 0.00%, 0, 0, 1, 4.77, 1206
AFLfast,pdftotext,3,1623656461, 2, 6, 10, 0, 0, 0.00%, 0, 0, 1, 0.46, 1219
AFLfast,pdftotext,3,1623656471, 2, 7, 10, 0, 0, 0.00%, 0, 0, 1, 4.60, 1248
AFLfast,pdftotext,3,1623656482, 2, 8, 10, 0, 0, 0.00%, 0, 0, 1, 3.45, 1278
AFLfast,pdftotext,3,1623656488, 2, 9, 10, 0, 0, 0.00%, 0, 0, 1, 3.16, 1294
AFLfast,pdftotext,3,1623656499, 3, 0, 10, 0, 0, 0.00%, 0, 0, 1, 0.00, 1318
AFLfast,pdftotext,3,1623656531, 3, 1, 10, 0, 0, 0.00%, 0, 0, 1, 3.16, 1433
AFLfast,pdftotext,3,1623656558, 3, 2, 10, 0, 0, 0.00%, 0, 0, 1, 3.06, 1505
AFLfast,pdftotext,3,1623656589, 3, 3, 10, 0, 0, 0.00%, 0, 0, 1, 3.87, 1612
AFLfast,pdftotext,3,1623656594, 3, 4, 10, 0, 0, 0.00%, 0, 0, 1, 3.74, 1627
AFLfast,pdftotext,3,1623656605, 3, 5, 10, 0, 0, 0.00%, 0, 0, 1, 4.06, 1657
AFLfast,pdftotext,3,1623656610, 3, 6, 10, 0, 0, 0.00%, 0, 0, 1, 0.73, 1674
AFLfast,pdftotext,3,1623656620, 3, 7, 10, 0, 0, 0.00%, 0, 0, 1, 4.10, 1702
AFLfast,pdftotext,3,1623656630, 3, 8, 10, 0, 0, 0.00%, 0, 0, 1, 5.58, 1737
AFLfast,pdftotext,3,1623656635, 3, 9, 10, 0, 0, 0.00%, 0, 0, 1, 0.87, 1750
AFLfast,pdftotext,3,1623656645, 4, 0, 10, 0, 0, 0.00%, 0, 0, 1, 4.01, 1781
AFLfast,pdftotext,3,1623656671, 4, 1, 10, 0, 0, 0.00%, 0, 0, 1, 3.78, 1878
AFLfast,pdftotext,3,1623656702, 4, 2, 10, 0, 0, 0.00%, 0, 0, 1, 2.99, 1965
AFLfast,pdftotext,3,1623656733, 4, 3, 10, 0, 0, 0.00%, 0, 0, 1, 4.01, 2067
AFLfast,pdftotext,3,1623656739, 4, 4, 10, 0, 0, 0.00%, 0, 0, 1, 3.73, 2083
AFLfast,pdftotext,3,1623656749, 4, 5, 10, 0, 0, 0.00%, 0, 0, 1, 4.48, 2116
AFLfast,pdftotext,3,1623656754, 4, 6, 10, 0, 0, 0.00%, 0, 0, 1, 4.36, 2133
AFLfast,pdftotext,3,1623656765, 4, 7, 10, 0, 0, 0.00%, 0, 0, 1, 4.29, 2165
AFLfast,pdftotext,3,1623656770, 4, 8, 10, 0, 0, 0.00%, 0, 0, 1, 3.65, 2180
AFLfast,pdftotext,3,1623656780, 4, 9, 10, 0, 0, 0.00%, 0, 0, 1, 1.53, 2211
AFLfast,pdftotext,3,1623656791, 5, 0, 10, 0, 0, 0.00%, 0, 0, 1, 4.47, 2240
AFLfast,pdftotext,3,1623656817, 5, 1, 10, 0, 0, 0.00%, 0, 0, 1, 3.65, 2341
AFLfast,pdftotext,3,1623656843, 5, 2, 10, 0, 0, 0.00%, 0, 0, 1, 2.86, 2411
AFLfast,pdftotext,3,1623656864, 5, 2, 10, 0, 0, 0.00%, 1, 0, 1, 3.40, 2478
AFLfast,pdftotext,3,1623656874, 5, 3, 10, 0, 0, 0.00%, 1, 0, 1, 3.45, 2512
AFLfast,pdftotext,3,1623656881, 5, 4, 10, 0, 0, 0.00%, 1, 0, 1, 0.66, 2534
AFLfast,pdftotext,3,1623656891, 5, 5, 10, 0, 0, 0.00%, 1, 0, 1, 4.84, 2562
AFLfast,pdftotext,3,1623656897, 5, 6, 10, 0, 0, 0.00%, 1, 0, 1, 4.40, 2584
AFLfast,pdftotext,3,1623656907, 5, 7, 10, 0, 0, 0.00%, 1, 0, 1, 3.82, 2615
AFLfast,pdftotext,3,1623656913, 5, 8, 10, 0, 0, 0.00%, 1, 0, 1, 0.67, 2634
AFLfast,pdftotext,3,1623656924, 5, 9, 10, 0, 0, 0.00%, 1, 0, 1, 3.75, 2668
AFLfast,pdftotext,3,1623656929, 6, 0, 10, 0, 0, 0.00%, 1, 0, 1, 0.00, 2683
AFLfast,pdftotext,3,1623656955, 6, 1, 10, 0, 0, 0.00%, 1, 0, 1, 4.34, 2786
AFLfast,pdftotext,3,1623656987, 6, 2, 10, 0, 0, 0.00%, 1, 0, 1, 4.18, 2871
AFLfast,pdftotext,3,1623657018, 6, 3, 10, 0, 0, 0.00%, 1, 0, 1, 3.68, 2973
AFLfast,pdftotext,3,1623657023, 6, 4, 10, 0, 0, 0.00%, 1, 0, 1, 3.71, 2989
AFLfast,pdftotext,3,1623657033, 6, 5, 10, 0, 0, 0.00%, 1, 0, 1, 4.41, 3023
AFLfast,pdftotext,3,1623657039, 6, 6, 10, 0, 0, 0.00%, 1, 0, 1, 0.89, 3040
AFLfast,pdftotext,3,1623657050, 6, 7, 10, 0, 0, 0.00%, 1, 0, 1, 3.01, 3072
AFLfast,pdftotext,3,1623657055, 6, 8, 10, 0, 0, 0.00%, 1, 0, 1, 3.50, 3089
AFLfast,pdftotext,3,1623657065, 6, 9, 10, 0, 0, 0.00%, 1, 0, 1, 3.47, 3121
AFLfast,pdftotext,3,1623657075, 7, 0, 10, 0, 0, 0.00%, 1, 0, 1, 3.84, 3152
AFLfast,pdftotext,3,1623657101, 7, 1, 10, 0, 0, 0.00%, 1, 0, 1, 3.62, 3254
AFLfast,pdftotext,3,1623657127, 7, 2, 10, 0, 0, 0.00%, 1, 0, 1, 3.16, 3329
AFLfast,pdftotext,3,1623657158, 7, 3, 10, 0, 0, 0.00%, 1, 0, 1, 4.04, 3434
AFLfast,pdftotext,3,1623657163, 7, 4, 10, 0, 0, 0.00%, 1, 0, 1, 3.82, 3450
AFLfast,pdftotext,3,1623657174, 7, 5, 10, 0, 0, 0.00%, 1, 0, 1, 6.73, 3483
AFLfast,pdftotext,3,1623657179, 7, 6, 10, 0, 0, 0.00%, 1, 0, 1, 5.13, 3500
AFLfast,pdftotext,3,1623657189, 7, 7, 10, 0, 0, 0.00%, 1, 0, 1, 3.97, 3531
AFLfast,pdftotext,3,1623657194, 7, 8, 10, 0, 0, 0.00%, 1, 0, 1, 0.62, 3544
AFLfast,pdftotext,3,1623657204, 7, 9, 10, 0, 0, 0.00%, 1, 0, 1, 3.30, 3575
AFLfast,pdftotext,3,1623657215, 8, 0, 10, 0, 0, 0.00%, 1, 0, 1, 6.07, 3608
AFLfast,pdftotext,3,1623657241, 8, 1, 10, 0, 0, 0.00%, 1, 0, 1, 3.44, 3703
AFLfast,pdftotext,3,1623657269, 8, 2, 10, 0, 0, 0.00%, 1, 0, 1, 3.03, 3776
AFLfast,pdftotext,3,1623657301, 8, 3, 10, 0, 0, 0.00%, 1, 0, 1, 3.50, 3879
AFLfast,pdftotext,3,1623657307, 8, 4, 10, 0, 0, 0.00%, 1, 0, 1, 0.61, 3899
AFLfast,pdftotext,3,1623657318, 8, 5, 10, 0, 0, 0.00%, 1, 0, 1, 3.77, 3932
AFLfast,pdftotext,3,1623657323, 8, 6, 10, 0, 0, 0.00%, 1, 0, 1, 3.99, 3949
