alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,nm-new,4,1624187913, 0, 0, 6, 6, 5, 2.25%, 0, 0, 1, 294.48
AFLfast,nm-new,4,1624187918, 0, 0, 9, 9, 5, 2.26%, 0, 0, 2, 364.36
AFLfast,nm-new,4,1624187923, 0, 0, 46, 46, 5, 2.61%, 0, 0, 2, 327.91
AFLfast,nm-new,4,1624198336, 0, 0, 55, 55, 5, 2.64%, 0, 0, 2, 52.79
AFLfast,nm-new,4,1624198341, 0, 0, 58, 58, 5, 2.65%, 0, 0, 2, 52.96
AFLfast,nm-new,4,1624198357, 0, 0, 62, 62, 5, 2.66%, 0, 0, 2, 53.42
AFLfast,nm-new,4,1624198408, 0, 0, 63, 63, 5, 2.66%, 0, 0, 2, 53.67
AFLfast,nm-new,4,1624198418, 0, 0, 64, 64, 5, 2.66%, 0, 0, 2, 53.07
AFLfast,nm-new,4,1624198480, 0, 0, 66, 66, 5, 2.66%, 0, 0, 2, 54.31
AFLfast,nm-new,4,1624198485, 0, 0, 69, 69, 5, 2.66%, 0, 0, 2, 54.02
AFLfast,nm-new,4,1624198490, 0, 0, 70, 70, 5, 2.66%, 0, 0, 2, 52.66
AFLfast,nm-new,4,1624198500, 0, 0, 71, 71, 5, 2.67%, 0, 0, 2, 52.11
AFLfast,nm-new,4,1624198505, 0, 0, 73, 73, 5, 2.67%, 0, 0, 2, 50.30
AFLfast,nm-new,4,1624198516, 0, 0, 74, 74, 5, 2.67%, 0, 0, 2, 49.16
AFLfast,nm-new,4,1624198613, 0, 0, 78, 78, 5, 2.68%, 0, 0, 2, 53.22
AFLfast,nm-new,4,1624205104, 0, 0, 80, 80, 5, 2.69%, 0, 0, 2, 52.66
AFLfast,nm-new,4,1624205109, 0, 0, 81, 81, 5, 2.69%, 0, 0, 2, 52.65
AFLfast,nm-new,4,1624205129, 0, 0, 86, 86, 5, 2.70%, 0, 0, 2, 52.01
AFLfast,nm-new,4,1624205145, 0, 0, 88, 88, 5, 2.71%, 0, 0, 2, 53.41
AFLfast,nm-new,4,1624205150, 0, 0, 90, 90, 5, 2.71%, 0, 0, 2, 52.65
AFLfast,nm-new,4,1624205160, 0, 0, 91, 91, 5, 2.71%, 0, 0, 2, 54.21
AFLfast,nm-new,4,1624205165, 0, 0, 102, 102, 5, 2.77%, 0, 0, 2, 54.13
AFLfast,nm-new,4,1624205171, 0, 0, 112, 112, 5, 2.93%, 0, 0, 2, 1.11
AFLfast,nm-new,4,1624205181, 0, 0, 114, 114, 5, 2.93%, 0, 0, 2, 1.76
AFLfast,nm-new,4,1624205188, 0, 0, 119, 119, 5, 2.93%, 0, 0, 2, 7.83
AFLfast,nm-new,4,1624205204, 0, 0, 122, 122, 5, 2.95%, 0, 0, 2, 62.90
AFLfast,nm-new,4,1624205209, 0, 0, 130, 130, 5, 2.96%, 0, 0, 2, 60.60
AFLfast,nm-new,4,1624205214, 0, 0, 136, 136, 5, 2.97%, 0, 0, 2, 55.43
AFLfast,nm-new,4,1624205219, 0, 0, 140, 140, 5, 2.98%, 0, 0, 2, 67.07
AFLfast,nm-new,4,1624205224, 0, 0, 145, 145, 5, 2.98%, 0, 0, 2, 60.74
AFLfast,nm-new,4,1624205229, 0, 0, 148, 148, 5, 2.99%, 0, 0, 2, 1.01
AFLfast,nm-new,4,1624205240, 0, 0, 149, 149, 5, 2.99%, 0, 0, 2, 55.45
AFLfast,nm-new,4,1624205245, 0, 0, 157, 157, 5, 3.05%, 0, 0, 2, 56.93
AFLfast,nm-new,4,1624205250, 0, 0, 161, 161, 5, 3.06%, 0, 0, 2, 54.86
AFLfast,nm-new,4,1624205255, 0, 0, 165, 165, 5, 3.06%, 0, 0, 2, 54.67
AFLfast,nm-new,4,1624205260, 0, 0, 169, 169, 5, 3.12%, 0, 0, 2, 54.31
AFLfast,nm-new,4,1624205265, 0, 0, 174, 174, 5, 3.18%, 0, 0, 2, 57.80
AFLfast,nm-new,4,1624205271, 0, 0, 177, 177, 5, 3.18%, 0, 0, 2, 54.93
AFLfast,nm-new,4,1624205276, 0, 0, 179, 179, 5, 3.18%, 0, 0, 2, 56.21
AFLfast,nm-new,4,1624205281, 0, 0, 183, 183, 5, 3.19%, 0, 0, 2, 54.27
AFLfast,nm-new,4,1624205286, 0, 0, 185, 185, 5, 3.19%, 0, 0, 2, 55.57
AFLfast,nm-new,4,1624205296, 0, 0, 187, 187, 5, 3.19%, 0, 0, 2, 53.67
AFLfast,nm-new,4,1624205312, 0, 0, 188, 188, 5, 3.19%, 0, 0, 2, 52.67
AFLfast,nm-new,4,1624205317, 0, 0, 190, 190, 5, 3.20%, 0, 0, 2, 51.44
AFLfast,nm-new,4,1624205322, 0, 0, 191, 191, 5, 3.20%, 0, 0, 2, 52.67
AFLfast,nm-new,4,1624205327, 0, 0, 193, 193, 5, 3.20%, 0, 0, 2, 51.78
AFLfast,nm-new,4,1624205337, 0, 0, 194, 194, 5, 3.20%, 0, 0, 2, 53.80
AFLfast,nm-new,4,1624205348, 0, 0, 195, 195, 5, 3.21%, 0, 0, 2, 54.95
AFLfast,nm-new,4,1624205368, 0, 0, 200, 200, 5, 3.24%, 0, 0, 2, 54.48
AFLfast,nm-new,4,1624205373, 0, 0, 201, 201, 5, 3.24%, 0, 0, 2, 55.42
AFLfast,nm-new,4,1624205378, 0, 0, 202, 202, 5, 3.24%, 0, 0, 2, 52.93
AFLfast,nm-new,4,1624205383, 0, 0, 203, 203, 5, 3.24%, 0, 0, 2, 52.02
AFLfast,nm-new,4,1624205389, 0, 0, 205, 205, 5, 3.24%, 0, 0, 2, 50.47
AFLfast,nm-new,4,1624205399, 0, 0, 207, 207, 5, 3.24%, 0, 0, 2, 51.91
AFLfast,nm-new,4,1624205435, 0, 0, 208, 208, 5, 3.25%, 0, 0, 2, 51.87
AFLfast,nm-new,4,1624205455, 0, 0, 210, 210, 5, 3.25%, 0, 0, 2, 54.07
AFLfast,nm-new,4,1624205460, 0, 0, 211, 211, 5, 3.25%, 0, 0, 2, 55.03
AFLfast,nm-new,4,1624205476, 0, 0, 213, 213, 5, 3.26%, 0, 0, 2, 52.88
AFLfast,nm-new,4,1624205486, 0, 0, 214, 214, 5, 3.26%, 0, 0, 2, 53.53
