alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,nm-new,8,1624187963, 0, 0, 105.49
AFLfast,nm-new,8,1624187968, 0, 0, 205.95
AFLfast,nm-new,8,1624187973, 0, 0, 223.94
AFLfast,nm-new,8,1624187988, 0, 0, 204.18
AFLfast,nm-new,8,1624187993, 0, 0, 202.13
AFLfast,nm-new,8,1624187999, 0, 0, 203.92
AFLfast,nm-new,8,1624188009, 0, 0, 195.04
AFLfast,nm-new,8,1624188014, 0, 0, 183.72
AFLfast,nm-new,8,1624188019, 0, 0, 174.18
AFLfast,nm-new,8,1624188024, 0, 0, 166.93
AFLfast,nm-new,8,1624188029, 0, 0, 171.26
AFLfast,nm-new,8,1624188035, 0, 0, 161.76
AFLfast,nm-new,8,1624188040, 0, 0, 169.06
AFLfast,nm-new,8,1624188045, 0, 0, 160.47
AFLfast,nm-new,8,1624188050, 0, 0, 163.86
AFLfast,nm-new,8,1624188055, 0, 0, 162.16
AFLfast,nm-new,8,1624188060, 0, 0, 158.87
AFLfast,nm-new,8,1624188065, 0, 0, 156.42
AFLfast,nm-new,8,1624188070, 0, 0, 155.85
AFLfast,nm-new,8,1624188076, 0, 0, 162.68
AFLfast,nm-new,8,1624188101, 0, 0, 162.41
AFLfast,nm-new,8,1624188111, 0, 0, 163.59
AFLfast,nm-new,8,1624188126, 0, 0, 162.31
AFLfast,nm-new,8,1624188132, 0, 0, 161.38
AFLfast,nm-new,8,1624188142, 0, 0, 162.37
AFLfast,nm-new,8,1624188147, 0, 0, 160.15
AFLfast,nm-new,8,1624188157, 0, 0, 141.84
AFLfast,nm-new,8,1624188178, 0, 0, 152.41
AFLfast,nm-new,8,1624188188, 0, 0, 155.60
AFLfast,nm-new,8,1624188208, 0, 0, 161.01
AFLfast,nm-new,8,1624188239, 0, 0, 158.77
AFLfast,nm-new,8,1624188249, 0, 0, 157.70
AFLfast,nm-new,8,1624188254, 0, 0, 158.51
AFLfast,nm-new,8,1624188259, 0, 0, 161.61
AFLfast,nm-new,8,1624188270, 0, 0, 147.84
AFLfast,nm-new,8,1624188290, 0, 0, 148.69
AFLfast,nm-new,8,1624188295, 0, 0, 154.74
AFLfast,nm-new,8,1624188300, 0, 0, 150.06
AFLfast,nm-new,8,1624188305, 0, 0, 149.23
AFLfast,nm-new,8,1624188310, 0, 0, 148.79
AFLfast,nm-new,8,1624188316, 0, 0, 150.55
AFLfast,nm-new,8,1624188321, 0, 0, 149.32
AFLfast,nm-new,8,1624188331, 0, 0, 157.39
