alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,objdump,10,1624138316, 0, 0, 7, 7, 1, 0.05%, 0, 0, 1, 52.83
AFLfast,objdump,10,1624138322, 0, 1, 7, 7, 1, 0.05%, 0, 0, 1, 74.60
AFLfast,objdump,10,1624138342, 0, 2, 7, 6, 0, 0.05%, 0, 0, 1, 74.71
AFLfast,objdump,10,1624138362, 0, 3, 7, 5, 0, 0.05%, 0, 0, 1, 73.89
AFLfast,objdump,10,1624138383, 0, 4, 7, 4, 0, 0.05%, 0, 0, 1, 74.95
AFLfast,objdump,10,1624138403, 0, 5, 7, 3, 0, 0.05%, 0, 0, 1, 72.58
AFLfast,objdump,10,1624138423, 0, 6, 7, 2, 0, 0.05%, 0, 0, 1, 67.76
AFLfast,objdump,10,1624138444, 1, 0, 7, 1, 0, 0.05%, 0, 0, 1, 71.83
AFLfast,objdump,10,1624138464, 1, 2, 7, 0, 0, 0.05%, 0, 0, 1, 66.79
AFLfast,objdump,10,1624138469, 1, 3, 7, 0, 0, 0.05%, 0, 0, 1, 64.42
AFLfast,objdump,10,1624138474, 1, 4, 7, 0, 0, 0.05%, 0, 0, 1, 62.94
AFLfast,objdump,10,1624138480, 1, 6, 7, 0, 0, 0.05%, 0, 0, 1, 66.39
AFLfast,objdump,10,1624138485, 2, 1, 7, 0, 0, 0.05%, 0, 0, 1, 65.60
AFLfast,objdump,10,1624138490, 2, 2, 7, 0, 0, 0.05%, 0, 0, 1, 66.78
AFLfast,objdump,10,1624138495, 2, 3, 7, 0, 0, 0.05%, 0, 0, 1, 63.16
AFLfast,objdump,10,1624138500, 2, 4, 7, 0, 0, 0.05%, 0, 0, 1, 65.68
AFLfast,objdump,10,1624138505, 2, 6, 7, 0, 0, 0.05%, 0, 0, 1, 64.72
AFLfast,objdump,10,1624138510, 3, 0, 7, 0, 0, 0.05%, 0, 0, 1, 66.63
AFLfast,objdump,10,1624138515, 3, 2, 7, 0, 0, 0.05%, 0, 0, 1, 65.91
AFLfast,objdump,10,1624138520, 3, 3, 7, 0, 0, 0.05%, 0, 0, 1, 67.64
AFLfast,objdump,10,1624138525, 3, 4, 7, 0, 0, 0.05%, 0, 0, 1, 67.69
AFLfast,objdump,10,1624138531, 3, 6, 7, 0, 0, 0.05%, 0, 0, 1, 68.20
AFLfast,objdump,10,1624138536, 4, 1, 7, 0, 0, 0.05%, 0, 0, 1, 67.53
AFLfast,objdump,10,1624138541, 4, 2, 7, 0, 0, 0.05%, 0, 0, 1, 66.37
AFLfast,objdump,10,1624138546, 4, 3, 7, 0, 0, 0.05%, 0, 0, 1, 64.94
AFLfast,objdump,10,1624138551, 4, 5, 7, 0, 0, 0.05%, 0, 0, 1, 64.75
AFLfast,objdump,10,1624138556, 4, 6, 7, 0, 0, 0.05%, 0, 0, 1, 63.00
AFLfast,objdump,10,1624138561, 5, 1, 7, 0, 0, 0.05%, 0, 0, 1, 62.35
AFLfast,objdump,10,1624138566, 5, 2, 7, 0, 0, 0.05%, 0, 0, 1, 64.71
AFLfast,objdump,10,1624138571, 5, 3, 7, 0, 0, 0.05%, 0, 0, 1, 65.53
AFLfast,objdump,10,1624138577, 5, 4, 7, 0, 0, 0.05%, 0, 0, 1, 63.53
AFLfast,objdump,10,1624138582, 5, 6, 7, 0, 0, 0.05%, 0, 0, 1, 64.38
AFLfast,objdump,10,1624138587, 6, 0, 7, 0, 0, 0.05%, 0, 0, 1, 65.02
AFLfast,objdump,10,1624138592, 6, 2, 7, 0, 0, 0.05%, 0, 0, 1, 67.58
AFLfast,objdump,10,1624138597, 6, 3, 7, 0, 0, 0.05%, 0, 0, 1, 67.89
AFLfast,objdump,10,1624138602, 6, 5, 7, 0, 0, 0.05%, 0, 0, 1, 66.97
AFLfast,objdump,10,1624138607, 6, 6, 7, 0, 0, 0.05%, 0, 0, 1, 66.89
AFLfast,objdump,10,1624138613, 7, 1, 7, 0, 0, 0.05%, 0, 0, 1, 67.23
AFLfast,objdump,10,1624138618, 7, 2, 7, 0, 0, 0.05%, 0, 0, 1, 65.37
AFLfast,objdump,10,1624138623, 7, 3, 7, 0, 0, 0.05%, 0, 0, 1, 65.27
AFLfast,objdump,10,1624138628, 7, 5, 7, 0, 0, 0.05%, 0, 0, 1, 67.32
AFLfast,objdump,10,1624138633, 7, 6, 7, 0, 0, 0.05%, 0, 0, 1, 63.52
AFLfast,objdump,10,1624138639, 8, 1, 7, 0, 0, 0.05%, 0, 0, 1, 61.69
AFLfast,objdump,10,1624138644, 8, 2, 7, 0, 0, 0.05%, 0, 0, 1, 64.24
AFLfast,objdump,10,1624138649, 8, 3, 7, 0, 0, 0.05%, 0, 0, 1, 63.17
AFLfast,objdump,10,1624138654, 8, 4, 7, 0, 0, 0.05%, 0, 0, 1, 62.12
AFLfast,objdump,10,1624138659, 8, 6, 7, 0, 0, 0.05%, 0, 0, 1, 65.75
AFLfast,objdump,10,1624138664, 9, 1, 7, 0, 0, 0.05%, 0, 0, 1, 63.40
AFLfast,objdump,10,1624138669, 9, 2, 7, 0, 0, 0.05%, 0, 0, 1, 62.37
AFLfast,objdump,10,1624138674, 9, 3, 7, 0, 0, 0.05%, 0, 0, 1, 63.28
AFLfast,objdump,10,1624138680, 9, 4, 7, 0, 0, 0.05%, 0, 0, 1, 62.23
AFLfast,objdump,10,1624138685, 9, 6, 7, 0, 0, 0.05%, 0, 0, 1, 62.28
AFLfast,objdump,10,1624138690, 10, 0, 7, 0, 0, 0.05%, 0, 0, 1, 63.01
AFLfast,objdump,10,1624138695, 10, 2, 7, 0, 0, 0.05%, 0, 0, 1, 62.40
AFLfast,objdump,10,1624138700, 10, 3, 7, 0, 0, 0.05%, 0, 0, 1, 62.61
AFLfast,objdump,10,1624138705, 10, 4, 7, 0, 0, 0.05%, 0, 0, 1, 63.51
AFLfast,objdump,10,1624138711, 10, 5, 7, 0, 0, 0.05%, 0, 0, 1, 63.11
AFLfast,objdump,10,1624138716, 11, 0, 7, 0, 0, 0.05%, 0, 0, 1, 63.36
