alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,6,1624138274, 0, 0, 51.78
AFLfast,objdump,6,1624138279, 0, 0, 82.63
AFLfast,objdump,6,1624138295, 0, 0, 80.67
AFLfast,objdump,6,1624138315, 0, 0, 72.92
AFLfast,objdump,6,1624138336, 0, 0, 70.21
AFLfast,objdump,6,1624138356, 0, 0, 69.36
AFLfast,objdump,6,1624138381, 0, 0, 76.85
AFLfast,objdump,6,1624138397, 0, 0, 70.19
AFLfast,objdump,6,1624138402, 0, 0, 69.31
AFLfast,objdump,6,1624138407, 0, 0, 68.06
AFLfast,objdump,6,1624138412, 0, 0, 68.96
AFLfast,objdump,6,1624138417, 0, 0, 68.25
AFLfast,objdump,6,1624138432, 0, 0, 68.11
AFLfast,objdump,6,1624138438, 0, 0, 64.36
AFLfast,objdump,6,1624138443, 0, 0, 67.62
AFLfast,objdump,6,1624138453, 0, 0, 65.02
AFLfast,objdump,6,1624138468, 0, 0, 65.33
AFLfast,objdump,6,1624138474, 0, 0, 64.58
AFLfast,objdump,6,1624138479, 0, 0, 65.73
AFLfast,objdump,6,1624138484, 0, 0, 64.30
AFLfast,objdump,6,1624138489, 0, 0, 64.64
AFLfast,objdump,6,1624138494, 0, 0, 65.65
AFLfast,objdump,6,1624138499, 0, 0, 64.97
AFLfast,objdump,6,1624138504, 0, 0, 65.35
AFLfast,objdump,6,1624138509, 0, 0, 66.76
AFLfast,objdump,6,1624138519, 0, 0, 65.06
AFLfast,objdump,6,1624138525, 0, 0, 66.32
AFLfast,objdump,6,1624138530, 0, 0, 68.24
AFLfast,objdump,6,1624138540, 0, 0, 66.11
AFLfast,objdump,6,1624138545, 0, 0, 65.67
AFLfast,objdump,6,1624138550, 0, 0, 65.92
AFLfast,objdump,6,1624138555, 0, 0, 65.27
AFLfast,objdump,6,1624138560, 0, 0, 62.60
AFLfast,objdump,6,1624138566, 0, 0, 64.62
AFLfast,objdump,6,1624138581, 0, 0, 64.38
AFLfast,objdump,6,1624138586, 0, 0, 65.60
AFLfast,objdump,6,1624138591, 0, 0, 67.56
AFLfast,objdump,6,1624138597, 0, 0, 67.31
AFLfast,objdump,6,1624138602, 0, 0, 67.55
AFLfast,objdump,6,1624138607, 0, 0, 65.66
AFLfast,objdump,6,1624138617, 0, 0, 66.86
AFLfast,objdump,6,1624138622, 0, 0, 64.52
AFLfast,objdump,6,1624138627, 0, 0, 66.29
AFLfast,objdump,6,1624138633, 0, 0, 64.08
AFLfast,objdump,6,1624138638, 0, 0, 61.17
AFLfast,objdump,6,1624138648, 0, 0, 65.00
AFLfast,objdump,6,1624138653, 0, 0, 63.12
AFLfast,objdump,6,1624138658, 0, 0, 66.31
AFLfast,objdump,6,1624138663, 0, 0, 66.06
AFLfast,objdump,6,1624138668, 0, 0, 62.36
AFLfast,objdump,6,1624138674, 0, 0, 64.43
AFLfast,objdump,6,1624138679, 0, 0, 63.06
AFLfast,objdump,6,1624138684, 0, 0, 62.68
AFLfast,objdump,6,1624138689, 0, 0, 62.92
AFLfast,objdump,6,1624138694, 0, 0, 63.22
AFLfast,objdump,6,1624138700, 0, 0, 62.36
AFLfast,objdump,6,1624138705, 0, 0, 62.71
AFLfast,objdump,6,1624138715, 0, 0, 62.53
AFLfast,objdump,6,1624138720, 0, 0, 63.80
AFLfast,objdump,6,1624138725, 0, 0, 63.23
AFLfast,objdump,6,1624138731, 0, 0, 62.86
AFLfast,objdump,6,1624138736, 0, 0, 63.27
AFLfast,objdump,6,1624138751, 0, 0, 62.51
AFLfast,objdump,6,1624138756, 0, 0, 63.01
AFLfast,objdump,6,1624138762, 0, 0, 63.27
AFLfast,objdump,6,1624138767, 0, 0, 64.61
AFLfast,objdump,6,1624138772, 0, 0, 63.26
AFLfast,objdump,6,1624138782, 0, 0, 62.72
AFLfast,objdump,6,1624138787, 0, 0, 62.77
AFLfast,objdump,6,1624138792, 0, 0, 63.74
AFLfast,objdump,6,1624138803, 0, 0, 61.34
AFLfast,objdump,6,1624138818, 0, 0, 62.29
AFLfast,objdump,6,1624138823, 0, 0, 60.51
AFLfast,objdump,6,1624138833, 0, 0, 60.83
AFLfast,objdump,6,1624138838, 0, 0, 58.46
AFLfast,objdump,6,1624138843, 0, 0, 58.69
AFLfast,objdump,6,1624138849, 0, 0, 57.67
AFLfast,objdump,6,1624138864, 0, 0, 55.25
AFLfast,objdump,6,1624138870, 0, 0, 55.25
AFLfast,objdump,6,1624138875, 0, 0, 55.79
AFLfast,objdump,6,1624138880, 0, 0, 55.53
AFLfast,objdump,6,1624138890, 0, 0, 57.11
AFLfast,objdump,6,1624138895, 0, 0, 56.18
AFLfast,objdump,6,1624138911, 0, 0, 57.03
AFLfast,objdump,6,1624138916, 0, 0, 55.09
AFLfast,objdump,6,1624138921, 0, 0, 52.62
AFLfast,objdump,6,1624138926, 0, 0, 54.42
AFLfast,objdump,6,1624138931, 0, 0, 54.78
AFLfast,objdump,6,1624138942, 0, 0, 52.86
AFLfast,objdump,6,1624138952, 0, 0, 53.17
AFLfast,objdump,6,1624138957, 0, 0, 55.12
AFLfast,objdump,6,1624138962, 0, 0, 55.55
AFLfast,objdump,6,1624138967, 0, 0, 55.11
AFLfast,objdump,6,1624138977, 0, 0, 53.97
AFLfast,objdump,6,1624138987, 0, 0, 53.19
AFLfast,objdump,6,1624138998, 0, 0, 54.00
AFLfast,objdump,6,1624139003, 0, 0, 54.19
AFLfast,objdump,6,1624139008, 0, 0, 53.83
AFLfast,objdump,6,1624139013, 0, 0, 55.38
AFLfast,objdump,6,1624139018, 0, 0, 55.36
AFLfast,objdump,6,1624139023, 0, 0, 55.24
AFLfast,objdump,6,1624139044, 0, 0, 50.68
AFLfast,objdump,6,1624139054, 0, 0, 50.93
AFLfast,objdump,6,1624139059, 0, 0, 50.84
AFLfast,objdump,6,1624139065, 0, 0, 2.03
AFLfast,objdump,6,1624139075, 0, 0, 49.40
AFLfast,objdump,6,1624139080, 0, 0, 49.57
AFLfast,objdump,6,1624139096, 0, 0, 51.33
AFLfast,objdump,6,1624139101, 0, 0, 48.68
AFLfast,objdump,6,1624139112, 0, 0, 47.81
AFLfast,objdump,6,1624139117, 0, 0, 48.79
AFLfast,objdump,6,1624139127, 0, 0, 48.21
AFLfast,objdump,6,1624139132, 0, 0, 46.40
AFLfast,objdump,6,1624139143, 0, 0, 47.80
AFLfast,objdump,6,1624139148, 0, 0, 47.52
AFLfast,objdump,6,1624139158, 0, 0, 45.87
AFLfast,objdump,6,1624139163, 0, 0, 46.79
AFLfast,objdump,6,1624139173, 0, 0, 46.60
AFLfast,objdump,6,1624139183, 0, 0, 41.64
AFLfast,objdump,6,1624139194, 0, 0, 44.01
AFLfast,objdump,6,1624139204, 0, 0, 44.45
AFLfast,objdump,6,1624139209, 0, 0, 44.33
AFLfast,objdump,6,1624139214, 0, 0, 44.49
AFLfast,objdump,6,1624139224, 0, 0, 44.12
AFLfast,objdump,6,1624139229, 0, 0, 43.63
AFLfast,objdump,6,1624139240, 0, 0, 42.38
AFLfast,objdump,6,1624139245, 0, 0, 41.54
AFLfast,objdump,6,1624139255, 0, 0, 42.74
AFLfast,objdump,6,1624139260, 0, 0, 42.26
AFLfast,objdump,6,1624139270, 0, 0, 41.85
AFLfast,objdump,6,1624139275, 0, 0, 42.05
AFLfast,objdump,6,1624139291, 0, 0, 42.93
AFLfast,objdump,6,1624139301, 0, 0, 42.04
AFLfast,objdump,6,1624139312, 0, 0, 41.79
AFLfast,objdump,6,1624139317, 0, 0, 40.69
AFLfast,objdump,6,1624139327, 0, 0, 41.15
AFLfast,objdump,6,1624139332, 0, 0, 40.81
AFLfast,objdump,6,1624139353, 0, 0, 40.35
AFLfast,objdump,6,1624139363, 0, 0, 42.68
AFLfast,objdump,6,1624139368, 0, 0, 41.82
AFLfast,objdump,6,1624139379, 0, 0, 41.53
AFLfast,objdump,6,1624139384, 0, 0, 41.01
AFLfast,objdump,6,1624139389, 0, 0, 39.58
AFLfast,objdump,6,1624139414, 0, 0, 40.61
AFLfast,objdump,6,1624139419, 0, 0, 40.66
AFLfast,objdump,6,1624139430, 0, 0, 41.07
AFLfast,objdump,6,1624139435, 0, 0, 40.24
AFLfast,objdump,6,1624139450, 0, 0, 41.54
AFLfast,objdump,6,1624139456, 0, 0, 41.18
AFLfast,objdump,6,1624139481, 0, 0, 41.91
AFLfast,objdump,6,1624139486, 0, 0, 40.34
AFLfast,objdump,6,1624139497, 0, 0, 41.29
AFLfast,objdump,6,1624139507, 0, 0, 40.99
AFLfast,objdump,6,1624139512, 0, 0, 42.71
AFLfast,objdump,6,1624139517, 0, 0, 41.14
AFLfast,objdump,6,1624139543, 0, 0, 37.41
AFLfast,objdump,6,1624139548, 0, 0, 37.79
AFLfast,objdump,6,1624139553, 0, 0, 40.29
AFLfast,objdump,6,1624139564, 0, 0, 39.46
AFLfast,objdump,6,1624139569, 0, 0, 41.51
AFLfast,objdump,6,1624139579, 0, 0, 40.55
AFLfast,objdump,6,1624139595, 0, 0, 40.91
AFLfast,objdump,6,1624139605, 0, 0, 41.05
AFLfast,objdump,6,1624139610, 0, 0, 41.02
AFLfast,objdump,6,1624139620, 0, 0, 43.81
AFLfast,objdump,6,1624139630, 0, 0, 38.89
AFLfast,objdump,6,1624139636, 0, 0, 39.62
AFLfast,objdump,6,1624139662, 0, 0, 41.57
AFLfast,objdump,6,1624139672, 0, 0, 39.88
AFLfast,objdump,6,1624139683, 0, 0, 41.08
AFLfast,objdump,6,1624139693, 0, 0, 40.18
AFLfast,objdump,6,1624139698, 0, 0, 41.20
AFLfast,objdump,6,1624139719, 0, 0, 38.82
AFLfast,objdump,6,1624139724, 0, 0, 39.52
AFLfast,objdump,6,1624139735, 0, 0, 40.49
AFLfast,objdump,6,1624139745, 0, 0, 40.36
AFLfast,objdump,6,1624139755, 0, 0, 5.00
AFLfast,objdump,6,1624139760, 0, 0, 39.37
AFLfast,objdump,6,1624139781, 0, 0, 39.77
AFLfast,objdump,6,1624139786, 0, 0, 40.33
AFLfast,objdump,6,1624139797, 0, 0, 41.61
AFLfast,objdump,6,1624139802, 0, 0, 41.65
AFLfast,objdump,6,1624139812, 0, 0, 42.01
AFLfast,objdump,6,1624139817, 0, 0, 39.84
AFLfast,objdump,6,1624139833, 0, 0, 39.91
AFLfast,objdump,6,1624139838, 0, 0, 39.84
AFLfast,objdump,6,1624139843, 0, 0, 38.18
AFLfast,objdump,6,1624139853, 0, 0, 36.71
AFLfast,objdump,6,1624139858, 0, 0, 37.03
AFLfast,objdump,6,1624139869, 0, 0, 36.19
