alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,size,0,1624188294, 0, 0, 6, 6, 5, 1.70%, 0, 0, 1, 119.70
AFLfast,size,0,1624188310, 0, 0, 22, 22, 5, 2.10%, 0, 0, 2, 118.49
AFLfast,size,0,1624188315, 0, 0, 46, 46, 5, 2.30%, 0, 0, 2, 106.24
AFLfast,size,0,1624188320, 0, 0, 55, 55, 5, 2.30%, 0, 0, 2, 104.05
AFLfast,size,0,1624202491, 0, 0, 56, 56, 5, 2.31%, 0, 0, 2, 57.09
AFLfast,size,0,1624213623, 0, 0, 57, 57, 5, 2.31%, 0, 0, 2, 58.15
AFLfast,size,0,1624213715, 0, 0, 60, 60, 5, 2.31%, 0, 0, 2, 57.34
AFLfast,size,0,1624213720, 0, 0, 62, 62, 5, 2.32%, 0, 0, 2, 57.26
AFLfast,size,0,1624213735, 0, 0, 63, 63, 5, 2.32%, 0, 0, 2, 58.58
AFLfast,size,0,1624213740, 0, 0, 66, 66, 5, 2.32%, 0, 0, 2, 59.25
AFLfast,size,0,1624213750, 0, 0, 77, 77, 5, 2.38%, 0, 0, 2, 54.97
AFLfast,size,0,1624213756, 0, 0, 87, 87, 5, 2.56%, 0, 0, 2, 0.97
AFLfast,size,0,1624213768, 0, 0, 88, 88, 5, 2.56%, 0, 0, 2, 1.34
AFLfast,size,0,1624213773, 0, 0, 93, 93, 5, 2.56%, 0, 0, 2, 8.79
AFLfast,size,0,1624213780, 0, 0, 94, 94, 5, 2.58%, 0, 0, 2, 0.83
AFLfast,size,0,1624213806, 0, 0, 95, 95, 5, 2.58%, 0, 0, 2, 0.63
AFLfast,size,0,1624213822, 0, 0, 96, 96, 5, 2.59%, 0, 0, 2, 26.68
AFLfast,size,0,1624213827, 0, 0, 104, 104, 5, 2.62%, 0, 0, 2, 50.60
AFLfast,size,0,1624213833, 0, 0, 110, 110, 5, 2.63%, 0, 0, 2, 55.36
AFLfast,size,0,1624213838, 0, 0, 112, 112, 5, 2.63%, 0, 0, 2, 11.36
AFLfast,size,0,1624213843, 0, 0, 113, 113, 5, 2.63%, 0, 0, 2, 1.24
AFLfast,size,0,1624213854, 0, 0, 117, 117, 5, 2.63%, 0, 0, 2, 59.86
AFLfast,size,0,1624213859, 0, 0, 120, 120, 5, 2.64%, 0, 0, 2, 3.94
AFLfast,size,0,1624213864, 0, 0, 121, 121, 5, 2.64%, 0, 0, 2, 59.75
AFLfast,size,0,1624213869, 0, 0, 125, 125, 5, 2.64%, 0, 0, 2, 58.66
AFLfast,size,0,1624213875, 0, 0, 126, 126, 5, 2.64%, 0, 0, 2, 2.07
AFLfast,size,0,1624213880, 0, 0, 127, 127, 5, 2.64%, 0, 0, 2, 64.02
AFLfast,size,0,1624213885, 0, 0, 132, 132, 5, 2.65%, 0, 0, 2, 60.00
AFLfast,size,0,1624213890, 0, 0, 134, 134, 5, 2.65%, 0, 0, 2, 14.60
AFLfast,size,0,1624213901, 0, 0, 138, 138, 5, 2.65%, 0, 0, 2, 59.02
AFLfast,size,0,1624213906, 0, 0, 140, 140, 5, 2.66%, 0, 0, 2, 0.74
AFLfast,size,0,1624213912, 0, 0, 141, 141, 5, 2.66%, 0, 0, 2, 41.10
AFLfast,size,0,1624213917, 0, 0, 144, 144, 5, 2.66%, 0, 0, 2, 54.13
AFLfast,size,0,1624213927, 0, 0, 146, 146, 5, 2.66%, 0, 0, 2, 56.06
AFLfast,size,0,1624213932, 0, 0, 152, 152, 5, 2.67%, 0, 0, 2, 2.14
AFLfast,size,0,1624213943, 0, 0, 153, 153, 5, 2.67%, 0, 0, 2, 50.84
AFLfast,size,0,1624213948, 0, 0, 162, 162, 5, 2.69%, 0, 0, 2, 50.48
AFLfast,size,0,1624213959, 0, 0, 169, 169, 5, 2.75%, 0, 0, 2, 56.95
AFLfast,size,0,1624213964, 0, 0, 173, 173, 5, 2.82%, 0, 0, 2, 58.85
