alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,size,5,1624188817, 0, 0, 64.74
AFLfast,size,5,1624188843, 0, 0, 71.78
AFLfast,size,5,1624188848, 0, 0, 68.14
AFLfast,size,5,1624188853, 0, 0, 63.11
AFLfast,size,5,1624188858, 0, 0, 62.95
AFLfast,size,5,1624188863, 0, 0, 61.07
AFLfast,size,5,1624196923, 0, 0, 61.36
AFLfast,size,5,1624202673, 0, 0, 60.74
AFLfast,size,5,1624202693, 0, 0, 60.37
AFLfast,size,5,1624202750, 0, 0, 58.22
AFLfast,size,5,1624202765, 0, 0, 57.03
AFLfast,size,5,1624202770, 0, 0, 56.70
AFLfast,size,5,1624202786, 0, 0, 56.92
AFLfast,size,5,1624202791, 0, 0, 0.98
AFLfast,size,5,1624202802, 0, 0, 1.50
AFLfast,size,5,1624202807, 0, 0, 15.02
AFLfast,size,5,1624202813, 0, 0, 1.46
AFLfast,size,5,1624202829, 0, 0, 55.30
AFLfast,size,5,1624202834, 0, 0, 54.58
AFLfast,size,5,1624202840, 0, 0, 50.18
AFLfast,size,5,1624202845, 0, 0, 60.93
AFLfast,size,5,1624202850, 0, 0, 55.92
AFLfast,size,5,1624202855, 0, 0, 5.75
AFLfast,size,5,1624202860, 0, 0, 56.08
AFLfast,size,5,1624202865, 0, 0, 58.30
AFLfast,size,5,1624202870, 0, 0, 64.65
AFLfast,size,5,1624202875, 0, 0, 61.72
AFLfast,size,5,1624202881, 0, 0, 4.99
AFLfast,size,5,1624202886, 0, 0, 52.66
AFLfast,size,5,1624202891, 0, 0, 6.71
AFLfast,size,5,1624202896, 0, 0, 62.28
AFLfast,size,5,1624202901, 0, 0, 59.05
AFLfast,size,5,1624202906, 0, 0, 3.65
AFLfast,size,5,1624202911, 0, 0, 2.86
AFLfast,size,5,1624202917, 0, 0, 3.62
AFLfast,size,5,1624202933, 0, 0, 27.62
AFLfast,size,5,1624202938, 0, 0, 50.23
AFLfast,size,5,1624202944, 0, 0, 59.74
AFLfast,size,5,1624202949, 0, 0, 58.45
AFLfast,size,5,1624202954, 0, 0, 60.43
AFLfast,size,5,1624202959, 0, 0, 60.49
AFLfast,size,5,1624202964, 0, 0, 62.12
AFLfast,size,5,1624202969, 0, 0, 60.44
AFLfast,size,5,1624202975, 0, 0, 59.84
AFLfast,size,5,1624202980, 0, 0, 60.52
AFLfast,size,5,1624202985, 0, 0, 59.26
AFLfast,size,5,1624203000, 0, 0, 60.09
AFLfast,size,5,1624203005, 0, 0, 59.82
AFLfast,size,5,1624203010, 0, 0, 58.24
