alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,13,1624139411, 0, 0, 0.83
AFLfast,strings,13,1624139416, 0, 0, 36.81
AFLfast,strings,13,1624139478, 0, 0, 19.96
AFLfast,strings,13,1624139997, 0, 0, 18.59
AFLfast,strings,13,1624140033, 0, 0, 20.09
AFLfast,strings,13,1624140408, 0, 0, 19.28
AFLfast,strings,13,1624141215, 0, 0, 19.34
AFLfast,strings,13,1624144461, 0, 0, 19.92
AFLfast,strings,13,1624196891, 0, 0, 19.10
AFLfast,strings,13,1624196896, 0, 0, 18.64
AFLfast,strings,13,1624196901, 0, 0, 18.26
AFLfast,strings,13,1624196906, 0, 0, 18.19
AFLfast,strings,13,1624196911, 0, 0, 18.00
AFLfast,strings,13,1624196917, 0, 0, 17.97
AFLfast,strings,13,1624196922, 0, 0, 17.90
AFLfast,strings,13,1624196927, 0, 0, 18.21
AFLfast,strings,13,1624196948, 0, 0, 17.78
AFLfast,strings,13,1624196958, 0, 0, 17.67
AFLfast,strings,13,1624196969, 0, 0, 16.94
AFLfast,strings,13,1624196979, 0, 0, 17.84
AFLfast,strings,13,1624196984, 0, 0, 17.96
AFLfast,strings,13,1624197004, 0, 0, 18.17
AFLfast,strings,13,1624197030, 0, 0, 18.71
AFLfast,strings,13,1624197071, 0, 0, 17.82
AFLfast,strings,13,1624197077, 0, 0, 18.25
AFLfast,strings,13,1624197092, 0, 0, 17.76
AFLfast,strings,13,1624197108, 0, 0, 17.73
AFLfast,strings,13,1624197160, 0, 0, 17.67
AFLfast,strings,13,1624197185, 0, 0, 17.88
AFLfast,strings,13,1624197190, 0, 0, 18.53
AFLfast,strings,13,1624197263, 0, 0, 17.95
AFLfast,strings,13,1624197340, 0, 0, 1.15
AFLfast,strings,13,1624199643, 0, 0, 0.54
AFLfast,strings,13,1624199660, 0, 0, 0.54
AFLfast,strings,13,1624199682, 0, 0, 0.54
AFLfast,strings,13,1624199761, 0, 0, 0.53
AFLfast,strings,13,1624200127, 0, 0, 0.54
AFLfast,strings,13,1624200155, 0, 0, 0.54
AFLfast,strings,13,1624200305, 0, 0, 0.54
AFLfast,strings,13,1624200355, 0, 0, 0.54
AFLfast,strings,13,1624200535, 0, 0, 0.53
AFLfast,strings,13,1624201025, 0, 0, 0.53
AFLfast,strings,13,1624201064, 0, 0, 0.53
AFLfast,strings,13,1624201228, 0, 0, 0.53
AFLfast,strings,13,1624202352, 0, 0, 0.54
AFLfast,strings,13,1624203708, 0, 0, 0.52
AFLfast,strings,13,1624205993, 0, 0, 9.53
AFLfast,strings,13,1624206003, 0, 0, 12.78
AFLfast,strings,13,1624206111, 0, 0, 13.43
AFLfast,strings,13,1624206214, 0, 0, 13.40
AFLfast,strings,13,1624206318, 0, 0, 12.43
AFLfast,strings,13,1624206426, 0, 0, 12.81
AFLfast,strings,13,1624206529, 0, 0, 13.37
AFLfast,strings,13,1624206632, 0, 0, 11.65
AFLfast,strings,13,1624206739, 0, 0, 13.17
AFLfast,strings,13,1624206749, 0, 0, 12.96
AFLfast,strings,13,1624206780, 0, 0, 12.85
AFLfast,strings,13,1624206790, 0, 0, 13.28
AFLfast,strings,13,1624206903, 0, 0, 11.44
AFLfast,strings,13,1624207006, 0, 0, 12.39
AFLfast,strings,13,1624207023, 0, 0, 0.45
AFLfast,strings,13,1624210177, 0, 0, 0.41
AFLfast,strings,13,1624213302, 0, 0, 0.40
AFLfast,strings,13,1624216176, 0, 0, 0.42
AFLfast,strings,13,1624219320, 0, 0, 0.52
AFLfast,strings,13,1624221051, 0, 0, 0.77
AFLfast,strings,13,1624221062, 0, 0, 0.75
AFLfast,strings,13,1624221075, 0, 0, 0.71
AFLfast,strings,13,1624221096, 0, 0, 0.75
AFLfast,strings,13,1624221117, 0, 0, 0.76
AFLfast,strings,13,1624221257, 0, 0, 0.75
AFLfast,strings,13,1624221332, 0, 0, 0.75
AFLfast,strings,13,1624221696, 0, 0, 0.76
AFLfast,strings,13,1624223272, 0, 0, 12.49
AFLfast,strings,13,1624223277, 0, 0, 12.64
AFLfast,strings,13,1624223308, 0, 0, 12.32
AFLfast,strings,13,1624223369, 0, 0, 10.71
AFLfast,strings,13,1624223374, 0, 0, 12.64
AFLfast,strings,13,1624223478, 0, 0, 13.16
AFLfast,strings,13,1624223580, 0, 0, 13.50
AFLfast,strings,13,1624223682, 0, 0, 13.38
AFLfast,strings,13,1624223785, 0, 0, 13.05
AFLfast,strings,13,1624223888, 0, 0, 12.90
AFLfast,strings,13,1624223991, 0, 0, 11.78
AFLfast,strings,13,1624224007, 0, 0, 13.43
AFLfast,strings,13,1624224105, 0, 0, 12.46
AFLfast,strings,13,1624224204, 0, 0, 0.90
