alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,strings,13,1624139411, 0, 0, 7, 7, 1, 0.16%, 0, 0, 1, 0.83
AFLfast,strings,13,1624139416, 0, 4, 7, 7, 1, 0.16%, 0, 0, 1, 36.81
AFLfast,strings,13,1624139478, 0, 4, 8, 8, 1, 0.16%, 0, 0, 2, 19.96
AFLfast,strings,13,1624139997, 0, 4, 9, 9, 1, 0.16%, 0, 0, 2, 18.59
AFLfast,strings,13,1624140033, 0, 4, 10, 10, 1, 0.16%, 0, 0, 2, 20.09
AFLfast,strings,13,1624140408, 0, 4, 11, 11, 1, 0.16%, 0, 0, 2, 19.28
AFLfast,strings,13,1624141215, 0, 4, 12, 12, 1, 0.16%, 0, 0, 2, 19.34
AFLfast,strings,13,1624144461, 0, 4, 13, 13, 1, 0.16%, 0, 0, 2, 19.92
AFLfast,strings,13,1624196891, 0, 4, 14, 14, 1, 0.16%, 0, 0, 2, 19.10
AFLfast,strings,13,1624196896, 0, 4, 22, 22, 1, 0.16%, 0, 0, 2, 18.64
AFLfast,strings,13,1624196901, 0, 4, 28, 28, 1, 0.16%, 0, 0, 2, 18.26
AFLfast,strings,13,1624196906, 0, 4, 30, 30, 1, 0.16%, 0, 0, 2, 18.19
AFLfast,strings,13,1624196911, 0, 4, 35, 35, 1, 0.16%, 0, 0, 2, 18.00
AFLfast,strings,13,1624196917, 0, 4, 39, 39, 1, 0.16%, 0, 0, 2, 17.97
AFLfast,strings,13,1624196922, 0, 4, 43, 43, 1, 0.16%, 0, 0, 2, 17.90
AFLfast,strings,13,1624196927, 0, 4, 44, 44, 1, 0.16%, 0, 0, 2, 18.21
AFLfast,strings,13,1624196948, 0, 4, 45, 45, 1, 0.16%, 0, 0, 2, 17.78
AFLfast,strings,13,1624196958, 0, 4, 46, 46, 1, 0.16%, 0, 0, 2, 17.67
AFLfast,strings,13,1624196969, 0, 4, 47, 47, 1, 0.16%, 0, 0, 2, 16.94
AFLfast,strings,13,1624196979, 0, 4, 48, 48, 1, 0.16%, 0, 0, 2, 17.84
AFLfast,strings,13,1624196984, 0, 4, 50, 50, 1, 0.16%, 0, 0, 2, 17.96
