alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,jpegtran,0,1623909647, 0, 0, 42, 42, 30, 3.67%, 0, 0, 1, 274.96
AFLfast,jpegtran,0,1623909652, 0, 0, 80, 80, 30, 3.72%, 0, 0, 2, 523.56
AFLfast,jpegtran,0,1623909657, 0, 0, 88, 88, 30, 3.74%, 0, 0, 2, 697.24
AFLfast,jpegtran,0,1623909662, 0, 0, 89, 89, 30, 3.74%, 0, 0, 2, 532.99
AFLfast,jpegtran,0,1623909667, 0, 0, 92, 92, 30, 3.75%, 0, 0, 2, 25.71
AFLfast,jpegtran,0,1623909672, 0, 0, 93, 93, 30, 3.75%, 0, 0, 2, 15.12
AFLfast,jpegtran,0,1623909693, 0, 0, 100, 100, 30, 3.80%, 0, 0, 2, 373.48
AFLfast,jpegtran,0,1623909698, 0, 0, 103, 103, 30, 3.81%, 0, 0, 2, 453.66
AFLfast,jpegtran,0,1623909708, 0, 0, 104, 104, 30, 3.81%, 0, 0, 2, 12.77
AFLfast,jpegtran,0,1623909718, 0, 0, 108, 108, 30, 3.81%, 0, 0, 2, 252.25
AFLfast,jpegtran,0,1623909723, 0, 0, 109, 109, 30, 3.81%, 0, 0, 2, 91.08
AFLfast,jpegtran,0,1623909728, 0, 0, 113, 113, 30, 3.82%, 0, 0, 2, 121.19
AFLfast,jpegtran,0,1623909733, 0, 0, 117, 117, 30, 3.82%, 0, 0, 2, 122.29
AFLfast,jpegtran,0,1623909738, 0, 0, 118, 118, 30, 3.82%, 0, 0, 2, 126.83
AFLfast,jpegtran,0,1623909744, 0, 0, 120, 120, 30, 3.82%, 0, 0, 2, 127.89
AFLfast,jpegtran,0,1623909754, 0, 0, 121, 121, 30, 3.82%, 0, 0, 2, 138.97
AFLfast,jpegtran,0,1623909759, 0, 0, 122, 122, 30, 3.83%, 0, 0, 2, 137.51
AFLfast,jpegtran,0,1623909769, 0, 0, 125, 125, 30, 3.83%, 0, 0, 2, 174.32
AFLfast,jpegtran,0,1623909774, 0, 0, 126, 126, 30, 3.83%, 0, 0, 2, 182.60
AFLfast,jpegtran,0,1623909785, 0, 0, 127, 127, 30, 3.83%, 0, 0, 2, 161.71
AFLfast,jpegtran,0,1623909790, 0, 0, 128, 128, 30, 3.83%, 0, 0, 2, 199.28
AFLfast,jpegtran,0,1623909795, 0, 0, 130, 130, 30, 3.84%, 0, 0, 2, 223.76
AFLfast,jpegtran,0,1623909800, 0, 0, 131, 131, 30, 3.84%, 0, 0, 2, 13.16
AFLfast,jpegtran,0,1623909805, 0, 0, 132, 132, 30, 3.84%, 0, 0, 2, 163.23
AFLfast,jpegtran,0,1623909810, 0, 0, 133, 133, 30, 3.84%, 0, 0, 2, 198.97
AFLfast,jpegtran,0,1623909826, 0, 0, 134, 134, 30, 3.84%, 0, 0, 2, 177.56
AFLfast,jpegtran,0,1623909836, 0, 0, 135, 135, 30, 3.84%, 0, 0, 2, 161.93
