alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,jpegtran,4,1623910721, 0, 0, 140.35
AFLfast,jpegtran,4,1623910726, 0, 0, 735.85
AFLfast,jpegtran,4,1623910731, 0, 0, 517.28
AFLfast,jpegtran,4,1623910736, 0, 0, 378.37
AFLfast,jpegtran,4,1623910742, 0, 0, 14.84
AFLfast,jpegtran,4,1623910752, 0, 0, 185.90
AFLfast,jpegtran,4,1623910793, 0, 0, 265.52
AFLfast,jpegtran,4,1623910849, 0, 0, 329.81
AFLfast,jpegtran,4,1623910854, 0, 0, 395.27
AFLfast,jpegtran,4,1623910870, 0, 0, 15.67
AFLfast,jpegtran,4,1623910880, 0, 0, 335.98
AFLfast,jpegtran,4,1623910901, 0, 0, 62.74
AFLfast,jpegtran,4,1623910906, 0, 0, 117.06
AFLfast,jpegtran,4,1623910911, 0, 0, 123.02
AFLfast,jpegtran,4,1623910916, 0, 0, 125.60
AFLfast,jpegtran,4,1623910926, 0, 0, 108.84
AFLfast,jpegtran,4,1623910931, 0, 0, 108.53
AFLfast,jpegtran,4,1623910936, 0, 0, 106.18
AFLfast,jpegtran,4,1623910942, 0, 0, 101.26
AFLfast,jpegtran,4,1623910952, 0, 0, 123.37
AFLfast,jpegtran,4,1623910962, 0, 0, 91.75
AFLfast,jpegtran,4,1623910967, 0, 0, 90.84
AFLfast,jpegtran,4,1623910972, 0, 0, 99.70
AFLfast,jpegtran,4,1623910983, 0, 0, 91.86
AFLfast,jpegtran,4,1623910988, 0, 0, 90.60
AFLfast,jpegtran,4,1623910993, 0, 0, 56.44
AFLfast,jpegtran,4,1623910998, 0, 0, 78.17
AFLfast,jpegtran,4,1623911019, 0, 0, 89.99
AFLfast,jpegtran,4,1623911024, 0, 0, 90.94
AFLfast,jpegtran,4,1623911034, 0, 0, 100.39
AFLfast,jpegtran,4,1623911054, 0, 0, 76.87
AFLfast,jpegtran,4,1623911070, 0, 0, 102.76
AFLfast,jpegtran,4,1623911075, 0, 0, 92.71
AFLfast,jpegtran,4,1623911126, 0, 0, 115.74
AFLfast,jpegtran,4,1623911142, 0, 0, 163.07
AFLfast,jpegtran,4,1623911182, 0, 0, 125.44
