alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pngtest,10,1623994508, 0, 0, 20, 20, 14, 2.53%, 0, 0, 1, 52.17
AFLfast,pngtest,10,1623994519, 0, 0, 28, 28, 14, 2.57%, 0, 0, 2, 64.08
AFLfast,pngtest,10,1623994524, 0, 0, 31, 31, 14, 2.62%, 0, 0, 2, 37.10
AFLfast,pngtest,10,1623994616, 0, 0, 36, 36, 14, 2.65%, 0, 0, 2, 28.65
AFLfast,pngtest,10,1623994631, 0, 0, 43, 43, 14, 2.67%, 0, 0, 2, 41.55
AFLfast,pngtest,10,1623994636, 0, 0, 49, 49, 14, 2.70%, 0, 0, 2, 38.10
AFLfast,pngtest,10,1623994641, 0, 0, 54, 54, 14, 2.73%, 0, 0, 2, 30.94
AFLfast,pngtest,10,1623994646, 0, 0, 58, 58, 14, 2.75%, 0, 0, 2, 31.28
AFLfast,pngtest,10,1623994651, 0, 0, 59, 59, 14, 2.75%, 0, 0, 2, 25.64
AFLfast,pngtest,10,1623994656, 0, 0, 65, 65, 14, 2.79%, 0, 0, 2, 32.30
AFLfast,pngtest,10,1623994667, 0, 0, 73, 73, 14, 2.82%, 0, 0, 2, 27.43
AFLfast,pngtest,10,1623994672, 0, 0, 80, 80, 14, 2.82%, 0, 0, 2, 25.96
AFLfast,pngtest,10,1623994677, 0, 0, 89, 89, 14, 2.82%, 0, 0, 2, 25.04
AFLfast,pngtest,10,1623994682, 0, 0, 90, 90, 14, 2.82%, 0, 0, 2, 24.85
AFLfast,pngtest,10,1623994692, 0, 0, 91, 91, 14, 2.82%, 0, 0, 2, 24.06
AFLfast,pngtest,10,1623994713, 0, 0, 96, 96, 14, 2.87%, 0, 0, 2, 23.03
AFLfast,pngtest,10,1623994841, 0, 0, 103, 103, 14, 2.88%, 0, 0, 2, 46.29
AFLfast,pngtest,10,1623994882, 0, 0, 104, 104, 14, 2.88%, 0, 0, 2, 23.34
AFLfast,pngtest,10,1623995035, 0, 0, 105, 105, 14, 2.88%, 0, 0, 2, 43.47
AFLfast,pngtest,10,1623995056, 0, 0, 106, 106, 14, 2.89%, 0, 0, 2, 30.78
AFLfast,pngtest,10,1623995066, 0, 0, 107, 107, 14, 2.89%, 0, 0, 2, 26.19
AFLfast,pngtest,10,1623995122, 0, 0, 108, 108, 14, 2.89%, 0, 0, 2, 27.53
AFLfast,pngtest,10,1623995932, 0, 0, 109, 109, 14, 2.89%, 0, 0, 2, 40.78
AFLfast,pngtest,10,1623995937, 0, 0, 110, 110, 14, 2.89%, 0, 0, 2, 33.72
AFLfast,pngtest,10,1623996039, 0, 0, 113, 113, 14, 2.89%, 0, 0, 2, 42.37
AFLfast,pngtest,10,1623996147, 0, 0, 114, 114, 14, 2.90%, 0, 0, 2, 30.59
AFLfast,pngtest,10,1623997026, 0, 0, 115, 115, 14, 2.90%, 0, 0, 2, 24.49
AFLfast,pngtest,10,1623997267, 0, 0, 116, 116, 14, 2.90%, 0, 0, 2, 22.74
AFLfast,pngtest,10,1623997277, 0, 0, 117, 117, 14, 2.90%, 0, 0, 2, 22.39
AFLfast,pngtest,10,1623997323, 0, 0, 118, 118, 14, 2.90%, 0, 0, 2, 44.29
AFLfast,pngtest,10,1623997837, 0, 0, 119, 119, 14, 2.90%, 0, 0, 2, 22.32
AFLfast,pngtest,10,1623997857, 0, 0, 120, 120, 14, 2.90%, 0, 0, 2, 16.94
AFLfast,pngtest,10,1623999076, 0, 0, 121, 121, 14, 2.90%, 0, 0, 2, 21.93
AFLfast,pngtest,10,1623999173, 0, 0, 123, 123, 14, 2.90%, 0, 0, 2, 50.12
