alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,3,1626328812, 0, 0, 321.76
AFLfast,tiffsplit,3,1626328817, 0, 0, 454.74
AFLfast,tiffsplit,3,1626328822, 0, 0, 445.17
AFLfast,tiffsplit,3,1626328827, 0, 0, 449.71
AFLfast,tiffsplit,3,1626328832, 0, 0, 446.54
AFLfast,tiffsplit,3,1626328837, 0, 0, 449.61
AFLfast,tiffsplit,3,1626328842, 0, 0, 449.78
AFLfast,tiffsplit,3,1626328848, 0, 0, 445.54
AFLfast,tiffsplit,3,1626328853, 0, 0, 433.19
AFLfast,tiffsplit,3,1626328883, 0, 0, 279.51
AFLfast,tiffsplit,3,1626328924, 0, 0, 276.59
AFLfast,tiffsplit,3,1626328929, 0, 0, 276.77
AFLfast,tiffsplit,3,1626328944, 0, 0, 272.01
AFLfast,tiffsplit,3,1626328955, 0, 0, 261.97
AFLfast,tiffsplit,3,1626328960, 0, 0, 260.77
AFLfast,tiffsplit,3,1626328965, 0, 0, 259.66
AFLfast,tiffsplit,3,1626328970, 0, 0, 259.22
AFLfast,tiffsplit,3,1626328975, 0, 0, 262.92
AFLfast,tiffsplit,3,1626328980, 0, 0, 265.53
AFLfast,tiffsplit,3,1626328985, 0, 0, 262.65
AFLfast,tiffsplit,3,1626328990, 0, 0, 261.29
AFLfast,tiffsplit,3,1626328995, 0, 0, 264.29
AFLfast,tiffsplit,3,1626329000, 0, 0, 263.16
AFLfast,tiffsplit,3,1626329006, 0, 0, 260.70
AFLfast,tiffsplit,3,1626329011, 0, 0, 256.13
AFLfast,tiffsplit,3,1626329016, 0, 0, 261.41
AFLfast,tiffsplit,3,1626329021, 0, 0, 263.15
AFLfast,tiffsplit,3,1626329026, 0, 0, 265.50
AFLfast,tiffsplit,3,1626329031, 0, 0, 266.17
AFLfast,tiffsplit,3,1626329036, 0, 0, 258.86
AFLfast,tiffsplit,3,1626329041, 0, 0, 262.17
AFLfast,tiffsplit,3,1626329046, 0, 0, 260.34
AFLfast,tiffsplit,3,1626329051, 0, 0, 257.28
AFLfast,tiffsplit,3,1626329057, 0, 0, 265.49
AFLfast,tiffsplit,3,1626329062, 0, 0, 266.37
AFLfast,tiffsplit,3,1626329067, 0, 0, 266.83
AFLfast,tiffsplit,3,1626329072, 0, 0, 260.31
AFLfast,tiffsplit,3,1626329077, 0, 0, 272.38
AFLfast,tiffsplit,3,1626329082, 0, 0, 265.07
AFLfast,tiffsplit,3,1626329087, 0, 0, 265.26
AFLfast,tiffsplit,3,1626329092, 0, 0, 267.50
AFLfast,tiffsplit,3,1626329097, 0, 0, 272.20
AFLfast,tiffsplit,3,1626329102, 0, 0, 266.87
AFLfast,tiffsplit,3,1626329107, 0, 0, 272.41
AFLfast,tiffsplit,3,1626329112, 0, 0, 266.06
AFLfast,tiffsplit,3,1626329123, 0, 0, 255.02
AFLfast,tiffsplit,3,1626329128, 0, 0, 264.90
AFLfast,tiffsplit,3,1626329133, 0, 0, 265.77
AFLfast,tiffsplit,3,1626329138, 0, 0, 263.22
AFLfast,tiffsplit,3,1626329143, 0, 0, 263.60
