alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tiffsplit,8,1624014800, 0, 0, 49, 49, 38, 4.48%, 0, 0, 1, 20.76
AFLfast,tiffsplit,8,1624014806, 0, 0, 53, 53, 38, 4.51%, 0, 0, 2, 79.04
AFLfast,tiffsplit,8,1624014811, 0, 0, 54, 54, 38, 4.52%, 0, 0, 2, 52.25
AFLfast,tiffsplit,8,1624014836, 0, 0, 56, 56, 38, 4.53%, 0, 0, 2, 26.59
AFLfast,tiffsplit,8,1624014996, 0, 0, 57, 57, 38, 4.54%, 0, 0, 2, 30.73
AFLfast,tiffsplit,8,1624015017, 0, 1, 57, 56, 45, 4.54%, 0, 0, 2, 25.86
AFLfast,tiffsplit,8,1624015053, 0, 1, 59, 58, 45, 4.54%, 0, 0, 2, 28.49
AFLfast,tiffsplit,8,1624018867, 0, 1, 60, 59, 45, 4.55%, 0, 0, 2, 4.15
AFLfast,tiffsplit,8,1624018873, 0, 1, 69, 68, 45, 4.57%, 0, 0, 2, 26.41
AFLfast,tiffsplit,8,1624018878, 0, 1, 72, 71, 45, 4.57%, 0, 0, 2, 3.64
AFLfast,tiffsplit,8,1624018883, 0, 1, 80, 79, 45, 4.60%, 0, 0, 2, 23.49
AFLfast,tiffsplit,8,1624018888, 0, 1, 88, 87, 45, 4.64%, 0, 0, 2, 24.24
AFLfast,tiffsplit,8,1624018893, 0, 1, 95, 94, 45, 4.67%, 0, 0, 2, 22.91
AFLfast,tiffsplit,8,1624018898, 0, 1, 98, 97, 45, 4.67%, 1, 0, 2, 20.70
AFLfast,tiffsplit,8,1624018903, 0, 1, 102, 101, 45, 4.74%, 1, 0, 2, 18.90
AFLfast,tiffsplit,8,1624018908, 0, 1, 108, 107, 45, 4.77%, 1, 0, 2, 21.58
AFLfast,tiffsplit,8,1624018913, 0, 1, 114, 113, 45, 4.83%, 1, 0, 2, 20.88
AFLfast,tiffsplit,8,1624018918, 0, 1, 115, 114, 45, 4.84%, 1, 0, 2, 18.46
AFLfast,tiffsplit,8,1624018923, 0, 1, 117, 116, 45, 4.90%, 1, 0, 2, 17.35
AFLfast,tiffsplit,8,1624018928, 0, 1, 120, 119, 45, 4.94%, 1, 0, 2, 12.85
AFLfast,tiffsplit,8,1624018933, 0, 1, 121, 120, 45, 4.94%, 1, 0, 2, 14.17
AFLfast,tiffsplit,8,1624018939, 0, 1, 123, 122, 45, 4.97%, 1, 0, 2, 13.24
AFLfast,tiffsplit,8,1624018944, 0, 1, 125, 124, 45, 4.97%, 1, 0, 2, 14.04
AFLfast,tiffsplit,8,1624018949, 0, 1, 126, 125, 45, 4.97%, 1, 0, 2, 12.93
AFLfast,tiffsplit,8,1624018954, 0, 1, 127, 126, 45, 4.97%, 1, 0, 2, 13.18
AFLfast,tiffsplit,8,1624018959, 0, 1, 128, 127, 45, 4.97%, 1, 0, 2, 11.72
AFLfast,tiffsplit,8,1624018969, 0, 1, 130, 129, 45, 4.98%, 1, 0, 2, 12.61
AFLfast,tiffsplit,8,1624018975, 0, 1, 131, 130, 45, 4.99%, 1, 0, 2, 14.54
AFLfast,tiffsplit,8,1624022747, 0, 1, 134, 133, 45, 5.05%, 1, 0, 2, 18.39
AFLfast,tiffsplit,8,1624022752, 0, 1, 136, 135, 45, 5.05%, 1, 0, 2, 21.72
AFLfast,tiffsplit,8,1624022757, 0, 1, 139, 138, 45, 5.08%, 1, 0, 2, 21.64
AFLfast,tiffsplit,8,1624022762, 0, 1, 141, 140, 45, 5.08%, 1, 0, 2, 22.65
AFLfast,tiffsplit,8,1624022767, 0, 1, 143, 142, 45, 5.09%, 1, 0, 2, 20.87
AFLfast,tiffsplit,8,1624022773, 0, 1, 144, 143, 45, 5.11%, 1, 0, 2, 21.12
AFLfast,tiffsplit,8,1624022778, 0, 1, 145, 144, 45, 5.11%, 1, 0, 2, 21.74
AFLfast,tiffsplit,8,1624022783, 0, 1, 146, 145, 45, 5.15%, 2, 0, 2, 19.40
AFLfast,tiffsplit,8,1624022788, 0, 1, 147, 146, 45, 5.15%, 2, 0, 2, 23.42
AFLfast,tiffsplit,8,1624022793, 0, 1, 148, 147, 45, 5.16%, 2, 0, 2, 17.78
AFLfast,tiffsplit,8,1624022798, 0, 1, 150, 149, 45, 5.16%, 2, 0, 2, 15.36
AFLfast,tiffsplit,8,1624022803, 0, 1, 151, 150, 45, 5.16%, 2, 0, 2, 13.42
AFLfast,tiffsplit,8,1624022808, 0, 1, 152, 151, 45, 5.16%, 2, 0, 2, 12.75
AFLfast,tiffsplit,8,1624026633, 0, 1, 154, 153, 45, 5.16%, 2, 0, 2, 23.25
AFLfast,tiffsplit,8,1624026643, 0, 1, 155, 154, 45, 5.17%, 2, 0, 2, 24.12
AFLfast,tiffsplit,8,1624026648, 0, 1, 156, 155, 45, 5.17%, 2, 0, 2, 22.67
AFLfast,tiffsplit,8,1624026669, 0, 1, 157, 156, 45, 5.17%, 2, 0, 2, 22.34
AFLfast,tiffsplit,8,1624026674, 0, 1, 158, 157, 45, 5.17%, 2, 0, 2, 23.01
AFLfast,tiffsplit,8,1624027539, 0, 1, 160, 159, 45, 5.17%, 2, 0, 2, 23.60
AFLfast,tiffsplit,8,1624035776, 0, 1, 164, 163, 45, 5.17%, 2, 0, 2, 20.49
AFLfast,tiffsplit,8,1624035782, 0, 1, 168, 167, 45, 5.18%, 2, 0, 2, 27.06
AFLfast,tiffsplit,8,1624035787, 0, 1, 172, 171, 45, 5.19%, 2, 0, 2, 23.33
AFLfast,tiffsplit,8,1624035792, 0, 1, 174, 173, 45, 5.22%, 2, 0, 2, 26.53
AFLfast,tiffsplit,8,1624035853, 0, 1, 177, 176, 45, 5.22%, 2, 0, 2, 16.42
AFLfast,tiffsplit,8,1624035858, 0, 1, 180, 179, 45, 5.26%, 3, 0, 2, 18.29
AFLfast,tiffsplit,8,1624035864, 0, 1, 181, 180, 45, 5.27%, 3, 0, 2, 23.78
AFLfast,tiffsplit,8,1624035874, 0, 1, 182, 181, 45, 5.27%, 3, 0, 2, 27.64
AFLfast,tiffsplit,8,1624035884, 0, 1, 184, 183, 45, 5.28%, 4, 0, 2, 7.21
AFLfast,tiffsplit,8,1624035889, 0, 1, 189, 188, 45, 5.30%, 4, 0, 2, 18.75
AFLfast,tiffsplit,8,1624035920, 0, 1, 191, 190, 45, 5.31%, 4, 0, 2, 11.52
AFLfast,tiffsplit,8,1624035931, 0, 1, 193, 192, 45, 5.32%, 4, 0, 2, 10.79
AFLfast,tiffsplit,8,1624035972, 0, 1, 196, 195, 45, 5.35%, 4, 0, 2, 23.84
AFLfast,tiffsplit,8,1624035998, 0, 1, 198, 197, 45, 5.35%, 5, 0, 2, 20.38
AFLfast,tiffsplit,8,1624036064, 0, 1, 200, 199, 45, 5.36%, 6, 0, 2, 19.75
AFLfast,tiffsplit,8,1624036090, 0, 1, 201, 200, 45, 5.36%, 6, 0, 2, 20.08
AFLfast,tiffsplit,8,1624036100, 0, 1, 203, 202, 45, 5.38%, 6, 0, 2, 23.88
AFLfast,tiffsplit,8,1624036105, 0, 1, 204, 203, 45, 5.40%, 6, 0, 2, 26.14
AFLfast,tiffsplit,8,1624036125, 0, 1, 206, 205, 45, 5.40%, 8, 0, 2, 20.80
AFLfast,tiffsplit,8,1624036161, 0, 1, 208, 207, 45, 5.40%, 8, 0, 2, 15.77
AFLfast,tiffsplit,8,1624039349, 0, 1, 210, 209, 45, 5.42%, 8, 0, 2, 27.25
AFLfast,tiffsplit,8,1624039415, 0, 1, 211, 210, 45, 5.42%, 8, 0, 2, 17.79
AFLfast,tiffsplit,8,1624039441, 0, 1, 212, 211, 45, 5.45%, 8, 0, 2, 21.59
AFLfast,tiffsplit,8,1624039467, 0, 1, 213, 212, 45, 5.45%, 8, 0, 2, 7.49
AFLfast,tiffsplit,8,1624039606, 0, 1, 214, 213, 45, 5.45%, 8, 0, 2, 17.51
AFLfast,tiffsplit,8,1624039694, 0, 1, 215, 214, 45, 5.46%, 8, 0, 2, 20.25
AFLfast,tiffsplit,8,1624041015, 0, 1, 217, 216, 45, 5.46%, 8, 0, 2, 26.82
AFLfast,tiffsplit,8,1624045359, 0, 1, 219, 218, 45, 5.47%, 8, 0, 2, 19.24
AFLfast,tiffsplit,8,1624045381, 0, 1, 220, 219, 45, 5.47%, 8, 0, 2, 15.47
AFLfast,tiffsplit,8,1624054985, 0, 1, 222, 221, 45, 5.48%, 8, 0, 2, 22.89
AFLfast,tiffsplit,8,1624055021, 0, 1, 224, 223, 45, 5.49%, 8, 0, 2, 16.08
AFLfast,tiffsplit,8,1624055047, 0, 1, 225, 224, 45, 5.49%, 8, 0, 2, 8.44
AFLfast,tiffsplit,8,1624055062, 0, 1, 226, 225, 45, 5.49%, 8, 0, 2, 16.08
AFLfast,tiffsplit,8,1624055067, 0, 1, 227, 226, 45, 5.50%, 8, 0, 2, 14.96
AFLfast,tiffsplit,8,1624055175, 0, 1, 228, 227, 45, 5.51%, 8, 0, 2, 21.96
AFLfast,tiffsplit,8,1624055196, 0, 1, 229, 228, 45, 5.51%, 8, 0, 2, 17.32
AFLfast,tiffsplit,8,1624055201, 0, 1, 230, 229, 45, 5.51%, 8, 0, 2, 18.56
AFLfast,tiffsplit,8,1624056337, 0, 1, 232, 231, 45, 5.58%, 8, 0, 2, 19.02
AFLfast,tiffsplit,8,1624056342, 0, 1, 233, 232, 45, 5.58%, 8, 0, 2, 18.01
AFLfast,tiffsplit,8,1624056363, 0, 1, 234, 233, 45, 5.61%, 8, 0, 2, 18.70
AFLfast,tiffsplit,8,1624056378, 0, 1, 235, 234, 45, 5.61%, 8, 0, 2, 18.23
AFLfast,tiffsplit,8,1624056405, 0, 1, 236, 235, 45, 5.61%, 8, 0, 2, 19.28
AFLfast,tiffsplit,8,1624056492, 0, 1, 237, 236, 45, 5.61%, 8, 0, 2, 19.72
AFLfast,tiffsplit,8,1624056638, 0, 9, 237, 235, 148, 5.61%, 8, 0, 2, 22.87
AFLfast,tiffsplit,8,1624056643, 0, 9, 240, 238, 148, 5.61%, 8, 0, 2, 22.40
AFLfast,tiffsplit,8,1624056648, 0, 9, 244, 242, 148, 5.61%, 8, 0, 2, 22.55
AFLfast,tiffsplit,8,1624056654, 0, 9, 248, 246, 148, 5.61%, 8, 0, 2, 22.89
AFLfast,tiffsplit,8,1624056659, 0, 9, 252, 250, 148, 5.61%, 8, 0, 2, 21.74
AFLfast,tiffsplit,8,1624056664, 0, 9, 254, 252, 148, 5.61%, 8, 0, 2, 22.02
AFLfast,tiffsplit,8,1624056669, 0, 9, 256, 254, 148, 5.61%, 8, 0, 2, 22.16
AFLfast,tiffsplit,8,1624056674, 0, 9, 258, 256, 148, 5.61%, 8, 0, 2, 22.15
AFLfast,tiffsplit,8,1624056679, 0, 9, 260, 258, 148, 5.62%, 8, 0, 2, 21.16
AFLfast,tiffsplit,8,1624056684, 0, 9, 261, 259, 148, 5.62%, 8, 0, 2, 21.06
AFLfast,tiffsplit,8,1624056700, 0, 9, 262, 260, 148, 5.62%, 8, 0, 2, 21.63
AFLfast,tiffsplit,8,1624056710, 0, 9, 263, 261, 148, 5.62%, 8, 0, 2, 13.84
AFLfast,tiffsplit,8,1624056746, 0, 9, 264, 262, 148, 5.62%, 8, 0, 2, 11.85
AFLfast,tiffsplit,8,1624056756, 0, 9, 265, 263, 148, 5.62%, 8, 0, 2, 13.65
AFLfast,tiffsplit,8,1624056767, 0, 9, 266, 264, 148, 5.62%, 8, 0, 2, 18.54
AFLfast,tiffsplit,8,1624056773, 0, 9, 267, 265, 148, 5.62%, 8, 0, 2, 19.80
AFLfast,tiffsplit,8,1624056788, 0, 10, 268, 265, 148, 5.62%, 8, 0, 2, 21.17
AFLfast,tiffsplit,8,1624056799, 0, 10, 269, 266, 148, 5.63%, 8, 0, 2, 21.24
AFLfast,tiffsplit,8,1624056804, 0, 10, 270, 267, 148, 5.63%, 8, 0, 2, 21.11
AFLfast,tiffsplit,8,1624056809, 0, 10, 273, 270, 148, 5.67%, 8, 0, 2, 20.84
AFLfast,tiffsplit,8,1624056814, 0, 10, 277, 274, 148, 5.67%, 8, 0, 2, 21.28
AFLfast,tiffsplit,8,1624056819, 0, 10, 279, 276, 148, 5.69%, 8, 0, 2, 21.77
AFLfast,tiffsplit,8,1624056846, 0, 10, 281, 278, 148, 5.69%, 8, 0, 2, 12.48
AFLfast,tiffsplit,8,1624056857, 0, 10, 282, 279, 148, 5.69%, 8, 0, 2, 1.44
AFLfast,tiffsplit,8,1624056862, 0, 10, 283, 280, 148, 5.69%, 8, 0, 2, 9.79
AFLfast,tiffsplit,8,1624056868, 0, 10, 284, 281, 148, 5.69%, 8, 0, 2, 12.82
AFLfast,tiffsplit,8,1624056883, 0, 10, 285, 282, 148, 5.69%, 8, 0, 2, 15.85
AFLfast,tiffsplit,8,1624056899, 0, 10, 286, 283, 148, 5.69%, 8, 0, 2, 2.19
AFLfast,tiffsplit,8,1624056904, 0, 10, 287, 284, 148, 5.69%, 8, 0, 2, 12.76
AFLfast,tiffsplit,8,1624056919, 0, 10, 289, 286, 148, 5.69%, 8, 0, 2, 20.93
AFLfast,tiffsplit,8,1624056924, 0, 10, 290, 287, 148, 5.69%, 8, 0, 2, 21.29
AFLfast,tiffsplit,8,1624056940, 0, 10, 292, 289, 148, 5.70%, 8, 0, 2, 13.13
