alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,2,1624088440, 0, 0, 90.13
AFLfast,xmlcatalog,2,1624088445, 0, 0, 83.91
AFLfast,xmlcatalog,2,1624088451, 0, 0, 79.11
AFLfast,xmlcatalog,2,1624088456, 0, 0, 80.04
AFLfast,xmlcatalog,2,1624088461, 0, 0, 68.98
AFLfast,xmlcatalog,2,1624088466, 0, 0, 68.93
AFLfast,xmlcatalog,2,1624088471, 0, 0, 64.27
AFLfast,xmlcatalog,2,1624088476, 0, 0, 5.15
AFLfast,xmlcatalog,2,1624088481, 0, 0, 74.34
AFLfast,xmlcatalog,2,1624088486, 0, 0, 68.71
AFLfast,xmlcatalog,2,1624088492, 0, 0, 64.40
AFLfast,xmlcatalog,2,1624088497, 0, 0, 45.80
AFLfast,xmlcatalog,2,1624088502, 0, 0, 38.80
AFLfast,xmlcatalog,2,1624088507, 0, 0, 35.22
AFLfast,xmlcatalog,2,1624088512, 0, 0, 33.80
AFLfast,xmlcatalog,2,1624088517, 0, 0, 34.22
AFLfast,xmlcatalog,2,1624088523, 0, 0, 33.40
AFLfast,xmlcatalog,2,1624088528, 0, 0, 31.63
AFLfast,xmlcatalog,2,1624088533, 0, 0, 33.29
AFLfast,xmlcatalog,2,1624088538, 0, 0, 29.40
AFLfast,xmlcatalog,2,1624088548, 0, 0, 32.37
AFLfast,xmlcatalog,2,1624088553, 0, 0, 32.70
AFLfast,xmlcatalog,2,1624088564, 0, 0, 36.28
AFLfast,xmlcatalog,2,1624088585, 0, 0, 31.70
AFLfast,xmlcatalog,2,1624088595, 0, 0, 29.80
AFLfast,xmlcatalog,2,1624088616, 0, 0, 30.76
AFLfast,xmlcatalog,2,1624088642, 0, 0, 30.54
AFLfast,xmlcatalog,2,1624088647, 0, 0, 31.55
AFLfast,xmlcatalog,2,1624088657, 0, 0, 29.60
AFLfast,xmlcatalog,2,1624088662, 0, 0, 30.84
AFLfast,xmlcatalog,2,1624088688, 0, 0, 33.96
AFLfast,xmlcatalog,2,1624088693, 0, 0, 34.18
AFLfast,xmlcatalog,2,1624088709, 0, 0, 32.77
AFLfast,xmlcatalog,2,1624088775, 0, 0, 30.57
AFLfast,xmlcatalog,2,1624089044, 0, 0, 30.64
AFLfast,xmlcatalog,2,1624089049, 0, 0, 32.14
AFLfast,xmlcatalog,2,1624089070, 0, 0, 31.43
AFLfast,xmlcatalog,2,1624089086, 0, 0, 34.04
AFLfast,xmlcatalog,2,1624089091, 0, 0, 32.84
AFLfast,xmlcatalog,2,1624089158, 0, 0, 32.02
AFLfast,xmlcatalog,2,1624089183, 0, 0, 32.81
AFLfast,xmlcatalog,2,1624089199, 0, 0, 37.24
AFLfast,xmlcatalog,2,1624089230, 0, 0, 31.13
AFLfast,xmlcatalog,2,1624089266, 0, 0, 33.30
AFLfast,xmlcatalog,2,1624089339, 0, 0, 30.56
AFLfast,xmlcatalog,2,1624089344, 0, 0, 31.82
AFLfast,xmlcatalog,2,1624089355, 0, 0, 31.82
AFLfast,xmlcatalog,2,1624089365, 0, 0, 31.63
AFLfast,xmlcatalog,2,1624089381, 0, 0, 32.05
AFLfast,xmlcatalog,2,1624089386, 0, 0, 33.03
AFLfast,xmlcatalog,2,1624089391, 0, 0, 31.46
AFLfast,xmlcatalog,2,1624089417, 0, 0, 32.43
AFLfast,xmlcatalog,2,1624089427, 0, 0, 30.50
AFLfast,xmlcatalog,2,1624089483, 0, 0, 34.70
AFLfast,xmlcatalog,2,1624089494, 0, 0, 32.96
AFLfast,xmlcatalog,2,1624089551, 0, 0, 32.26
AFLfast,xmlcatalog,2,1624089581, 0, 0, 32.42
AFLfast,xmlcatalog,2,1624089618, 0, 0, 32.35
AFLfast,xmlcatalog,2,1624089628, 0, 0, 34.32
AFLfast,xmlcatalog,2,1624089644, 0, 0, 32.98
AFLfast,xmlcatalog,2,1624089649, 0, 0, 32.33
AFLfast,xmlcatalog,2,1624089654, 0, 0, 33.03
AFLfast,xmlcatalog,2,1624089690, 0, 0, 32.59
AFLfast,xmlcatalog,2,1624089701, 0, 0, 32.26
AFLfast,xmlcatalog,2,1624089706, 0, 0, 32.21
AFLfast,xmlcatalog,2,1624089711, 0, 0, 32.35
AFLfast,xmlcatalog,2,1624089752, 0, 0, 33.86
AFLfast,xmlcatalog,2,1624089798, 0, 0, 30.01
AFLfast,xmlcatalog,2,1624089809, 0, 0, 29.41
