alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmlcatalog,7,1624088616, 0, 0, 31, 31, 1, 0.37%, 0, 0, 1, 52.12
AFLfast,xmlcatalog,7,1624088621, 0, 18, 43, 43, 1, 0.54%, 0, 0, 2, 72.49
AFLfast,xmlcatalog,7,1624088626, 0, 18, 62, 62, 1, 0.58%, 0, 0, 2, 56.83
AFLfast,xmlcatalog,7,1624088631, 0, 18, 77, 77, 1, 0.65%, 0, 0, 2, 64.86
AFLfast,xmlcatalog,7,1624088636, 0, 18, 87, 87, 1, 0.66%, 0, 0, 2, 64.45
AFLfast,xmlcatalog,7,1624088641, 0, 18, 94, 94, 1, 0.66%, 0, 0, 2, 56.72
AFLfast,xmlcatalog,7,1624088646, 0, 18, 100, 100, 1, 0.67%, 0, 0, 2, 60.33
AFLfast,xmlcatalog,7,1624088652, 0, 18, 110, 110, 1, 0.67%, 0, 0, 2, 62.11
AFLfast,xmlcatalog,7,1624088657, 0, 18, 112, 112, 1, 0.68%, 0, 0, 2, 58.53
AFLfast,xmlcatalog,7,1624088662, 0, 18, 118, 118, 1, 0.68%, 0, 0, 2, 60.75
AFLfast,xmlcatalog,7,1624088667, 0, 18, 120, 120, 1, 0.68%, 0, 0, 2, 59.24
AFLfast,xmlcatalog,7,1624088672, 0, 18, 121, 121, 1, 0.68%, 0, 0, 2, 31.55
AFLfast,xmlcatalog,7,1624088677, 0, 18, 122, 122, 1, 0.68%, 0, 0, 2, 31.49
AFLfast,xmlcatalog,7,1624088682, 0, 18, 123, 123, 1, 0.68%, 0, 0, 2, 31.96
AFLfast,xmlcatalog,7,1624088698, 0, 18, 124, 124, 1, 0.68%, 0, 0, 2, 32.06
AFLfast,xmlcatalog,7,1624088703, 0, 18, 125, 125, 1, 0.68%, 0, 0, 2, 33.05
AFLfast,xmlcatalog,7,1624088729, 0, 18, 128, 128, 1, 0.68%, 0, 0, 2, 51.69
AFLfast,xmlcatalog,7,1624088744, 0, 18, 130, 130, 1, 0.69%, 0, 0, 2, 31.04
AFLfast,xmlcatalog,7,1624088755, 0, 18, 131, 131, 1, 0.69%, 0, 0, 2, 29.71
AFLfast,xmlcatalog,7,1624088771, 0, 18, 133, 133, 1, 0.69%, 0, 0, 2, 30.18
AFLfast,xmlcatalog,7,1624088796, 0, 18, 134, 134, 1, 0.69%, 0, 0, 2, 32.60
AFLfast,xmlcatalog,7,1624088828, 0, 18, 135, 135, 1, 0.69%, 0, 0, 2, 32.14
AFLfast,xmlcatalog,7,1624088833, 0, 18, 136, 136, 1, 0.69%, 0, 0, 2, 31.94
AFLfast,xmlcatalog,7,1624088838, 0, 18, 137, 137, 1, 0.69%, 0, 0, 2, 30.61
AFLfast,xmlcatalog,7,1624088853, 0, 18, 138, 138, 1, 0.69%, 0, 0, 2, 32.19
