alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmllint,11,1624045736, 0, 0, 30, 30, 24, 9.13%, 0, 0, 1, 14.75
AFLfast,xmllint,11,1624045741, 0, 0, 33, 33, 24, 9.21%, 0, 0, 2, 42.40
AFLfast,xmllint,11,1624045746, 0, 0, 42, 42, 24, 9.40%, 0, 0, 2, 24.42
AFLfast,xmllint,11,1624045751, 0, 0, 49, 49, 24, 9.50%, 0, 0, 2, 10.41
AFLfast,xmllint,11,1624045757, 0, 0, 55, 55, 24, 9.51%, 0, 0, 2, 14.48
AFLfast,xmllint,11,1624045762, 0, 0, 62, 62, 24, 9.54%, 0, 0, 2, 15.99
AFLfast,xmllint,11,1624045767, 0, 0, 69, 69, 24, 9.58%, 0, 0, 2, 17.06
AFLfast,xmllint,11,1624045772, 0, 0, 74, 74, 24, 9.59%, 0, 0, 2, 17.27
AFLfast,xmllint,11,1624045777, 0, 0, 80, 80, 24, 9.60%, 0, 0, 2, 17.90
AFLfast,xmllint,11,1624045783, 0, 0, 84, 84, 24, 9.60%, 0, 0, 2, 13.92
AFLfast,xmllint,11,1624045788, 0, 0, 88, 88, 24, 9.63%, 0, 0, 2, 11.39
AFLfast,xmllint,11,1624045793, 0, 0, 91, 91, 24, 9.63%, 0, 0, 2, 10.39
AFLfast,xmllint,11,1624045798, 0, 0, 94, 94, 24, 9.63%, 0, 0, 2, 9.90
AFLfast,xmllint,11,1624045803, 0, 0, 98, 98, 24, 9.65%, 0, 0, 2, 9.84
AFLfast,xmllint,11,1624045808, 0, 0, 102, 102, 24, 9.66%, 0, 0, 2, 9.17
AFLfast,xmllint,11,1624045813, 0, 0, 106, 106, 24, 9.70%, 0, 0, 2, 9.08
AFLfast,xmllint,11,1624045818, 0, 0, 109, 109, 24, 9.70%, 0, 0, 2, 9.35
AFLfast,xmllint,11,1624045823, 0, 0, 113, 113, 24, 9.72%, 0, 0, 2, 9.24
AFLfast,xmllint,11,1624045829, 0, 0, 117, 117, 24, 9.73%, 0, 0, 2, 9.40
AFLfast,xmllint,11,1624045834, 0, 0, 119, 119, 24, 9.73%, 0, 0, 2, 9.30
AFLfast,xmllint,11,1624045840, 0, 0, 122, 122, 24, 9.74%, 0, 0, 2, 0.32
AFLfast,xmllint,11,1624045845, 0, 0, 125, 125, 24, 9.75%, 0, 0, 2, 6.89
AFLfast,xmllint,11,1624045850, 0, 0, 129, 129, 24, 9.75%, 0, 0, 2, 8.23
AFLfast,xmllint,11,1624045855, 0, 0, 133, 133, 24, 9.77%, 0, 0, 2, 8.41
