alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,1,1624044608, 0, 0, 15.71
AFLfast,xmllint,1,1624044634, 0, 0, 12.62
AFLfast,xmllint,1,1624044639, 0, 0, 9.56
AFLfast,xmllint,1,1624044644, 0, 0, 8.39
AFLfast,xmllint,1,1624044649, 0, 0, 8.76
AFLfast,xmllint,1,1624044654, 0, 0, 9.38
AFLfast,xmllint,1,1624044660, 0, 0, 8.52
AFLfast,xmllint,1,1624044665, 0, 0, 9.25
AFLfast,xmllint,1,1624044670, 0, 0, 9.94
AFLfast,xmllint,1,1624044675, 0, 0, 9.32
AFLfast,xmllint,1,1624044680, 0, 0, 9.86
AFLfast,xmllint,1,1624044685, 0, 0, 9.17
AFLfast,xmllint,1,1624044691, 0, 0, 9.24
AFLfast,xmllint,1,1624044696, 0, 0, 9.02
AFLfast,xmllint,1,1624044701, 0, 0, 8.23
AFLfast,xmllint,1,1624044706, 0, 0, 7.77
AFLfast,xmllint,1,1624044711, 0, 0, 8.10
AFLfast,xmllint,1,1624044716, 0, 0, 8.66
AFLfast,xmllint,1,1624044722, 0, 0, 8.31
AFLfast,xmllint,1,1624044727, 0, 0, 8.75
AFLfast,xmllint,1,1624044732, 0, 0, 8.11
AFLfast,xmllint,1,1624044737, 0, 0, 8.09
AFLfast,xmllint,1,1624044742, 0, 0, 8.16
AFLfast,xmllint,1,1624044747, 0, 0, 7.97
AFLfast,xmllint,1,1624044752, 0, 0, 8.15
AFLfast,xmllint,1,1624044758, 0, 0, 7.26
AFLfast,xmllint,1,1624044768, 0, 0, 7.89
AFLfast,xmllint,1,1624044773, 0, 0, 8.06
AFLfast,xmllint,1,1624044778, 0, 0, 8.20
AFLfast,xmllint,1,1624044783, 0, 0, 7.59
AFLfast,xmllint,1,1624044788, 0, 0, 7.90
AFLfast,xmllint,1,1624044793, 0, 0, 7.75
AFLfast,xmllint,1,1624044799, 0, 0, 8.09
AFLfast,xmllint,1,1624044804, 0, 0, 8.17
AFLfast,xmllint,1,1624044809, 0, 0, 8.32
AFLfast,xmllint,1,1624044814, 0, 0, 4.22
AFLfast,xmllint,1,1624044819, 0, 0, 6.96
AFLfast,xmllint,1,1624044824, 0, 0, 7.28
AFLfast,xmllint,1,1624044835, 0, 0, 7.70
AFLfast,xmllint,1,1624044840, 0, 0, 7.79
AFLfast,xmllint,1,1624044845, 0, 0, 8.52
AFLfast,xmllint,1,1624044850, 0, 0, 8.06
AFLfast,xmllint,1,1624044855, 0, 0, 8.08
AFLfast,xmllint,1,1624044866, 0, 0, 7.20
AFLfast,xmllint,1,1624044871, 0, 0, 7.54
AFLfast,xmllint,1,1624044876, 0, 0, 7.53
AFLfast,xmllint,1,1624044881, 0, 0, 7.57
AFLfast,xmllint,1,1624044886, 0, 0, 8.08
AFLfast,xmllint,1,1624044891, 0, 0, 8.11
AFLfast,xmllint,1,1624044902, 0, 0, 7.96
AFLfast,xmllint,1,1624044917, 0, 0, 7.35
AFLfast,xmllint,1,1624044922, 0, 0, 7.30
AFLfast,xmllint,1,1624044927, 0, 0, 7.11
AFLfast,xmllint,1,1624044933, 0, 0, 7.59
AFLfast,xmllint,1,1624044943, 0, 0, 7.95
AFLfast,xmllint,1,1624044948, 0, 0, 8.18
AFLfast,xmllint,1,1624044959, 0, 0, 8.72
AFLfast,xmllint,1,1624044964, 0, 0, 7.68
AFLfast,xmllint,1,1624044974, 0, 0, 8.07
AFLfast,xmllint,1,1624044979, 0, 0, 8.08
AFLfast,xmllint,1,1624044989, 0, 0, 7.36
AFLfast,xmllint,1,1624045000, 0, 0, 7.69
AFLfast,xmllint,1,1624045015, 0, 0, 7.85
AFLfast,xmllint,1,1624045020, 0, 0, 7.89
AFLfast,xmllint,1,1624045031, 0, 0, 7.41
AFLfast,xmllint,1,1624045036, 0, 0, 7.65
AFLfast,xmllint,1,1624045041, 0, 0, 7.81
AFLfast,xmllint,1,1624045057, 0, 0, 7.83
AFLfast,xmllint,1,1624045073, 0, 0, 7.73
AFLfast,xmllint,1,1624045093, 0, 0, 8.22
AFLfast,xmllint,1,1624045099, 0, 0, 8.27
AFLfast,xmllint,1,1624045109, 0, 0, 8.73
AFLfast,xmllint,1,1624045120, 0, 0, 7.10
AFLfast,xmllint,1,1624045146, 0, 0, 7.31
AFLfast,xmllint,1,1624045182, 0, 0, 7.91
AFLfast,xmllint,1,1624045218, 0, 0, 8.08
AFLfast,xmllint,1,1624045223, 0, 0, 7.40
AFLfast,xmllint,1,1624045228, 0, 0, 7.70
AFLfast,xmllint,1,1624045238, 0, 0, 7.39
AFLfast,xmllint,1,1624045244, 0, 0, 7.70
AFLfast,xmllint,1,1624045254, 0, 0, 7.35
AFLfast,xmllint,1,1624045259, 0, 0, 7.90
AFLfast,xmllint,1,1624045275, 0, 0, 7.03
AFLfast,xmllint,1,1624045296, 0, 0, 7.91
AFLfast,xmllint,1,1624045327, 0, 0, 7.53
AFLfast,xmllint,1,1624045342, 0, 0, 8.44
AFLfast,xmllint,1,1624045363, 0, 0, 7.01
AFLfast,xmllint,1,1624045384, 0, 0, 8.19
AFLfast,xmllint,1,1624045394, 0, 0, 8.34
AFLfast,xmllint,1,1624045399, 0, 0, 7.57
AFLfast,xmllint,1,1624045404, 0, 0, 7.88
AFLfast,xmllint,1,1624045410, 0, 0, 7.48
AFLfast,xmllint,1,1624045415, 0, 0, 8.41
AFLfast,xmllint,1,1624045425, 0, 0, 7.74
AFLfast,xmllint,1,1624045430, 0, 0, 7.35
AFLfast,xmllint,1,1624045435, 0, 0, 8.11
AFLfast,xmllint,1,1624045440, 0, 0, 7.45
AFLfast,xmllint,1,1624045487, 0, 0, 7.59
AFLfast,xmllint,1,1624045569, 0, 0, 7.54
AFLfast,xmllint,1,1624045611, 0, 0, 6.38
AFLfast,xmllint,1,1624045621, 0, 0, 7.12
AFLfast,xmllint,1,1624045626, 0, 0, 6.09
AFLfast,xmllint,1,1624045631, 0, 0, 7.21
AFLfast,xmllint,1,1624045642, 0, 0, 7.22
AFLfast,xmllint,1,1624045647, 0, 0, 7.25
AFLfast,xmllint,1,1624045663, 0, 0, 7.27
AFLfast,xmllint,1,1624045673, 0, 0, 7.79
AFLfast,xmllint,1,1624045683, 0, 0, 7.96
AFLfast,xmllint,1,1624045688, 0, 0, 8.74
AFLfast,xmllint,1,1624045694, 0, 0, 9.45
AFLfast,xmllint,1,1624045699, 0, 0, 8.79
AFLfast,xmllint,1,1624045704, 0, 0, 8.19
AFLfast,xmllint,1,1624045709, 0, 0, 8.20
AFLfast,xmllint,1,1624045714, 0, 0, 8.46
AFLfast,xmllint,1,1624045725, 0, 0, 7.89
AFLfast,xmllint,1,1624045730, 0, 0, 7.14
AFLfast,xmllint,1,1624045735, 0, 0, 7.18
AFLfast,xmllint,1,1624045751, 0, 0, 7.34
AFLfast,xmllint,1,1624045761, 0, 0, 7.70
AFLfast,xmllint,1,1624045766, 0, 0, 7.50
AFLfast,xmllint,1,1624045772, 0, 0, 8.00
AFLfast,xmllint,1,1624045777, 0, 0, 7.65
AFLfast,xmllint,1,1624045782, 0, 0, 7.83
AFLfast,xmllint,1,1624045813, 0, 0, 7.93
AFLfast,xmllint,1,1624045823, 0, 0, 7.22
AFLfast,xmllint,1,1624045849, 0, 0, 7.30
AFLfast,xmllint,1,1624045864, 0, 0, 7.08
AFLfast,xmllint,1,1624045870, 0, 0, 7.68
AFLfast,xmllint,1,1624045900, 0, 0, 7.36
AFLfast,xmllint,1,1624045942, 0, 0, 7.41
AFLfast,xmllint,1,1624046129, 0, 0, 8.11
AFLfast,xmllint,1,1624046212, 0, 0, 7.75
AFLfast,xmllint,1,1624046294, 0, 0, 7.30
AFLfast,xmllint,1,1624046299, 0, 0, 7.37
AFLfast,xmllint,1,1624046305, 0, 0, 7.37
AFLfast,xmllint,1,1624046335, 0, 0, 7.54
AFLfast,xmllint,1,1624046492, 0, 0, 7.68
AFLfast,xmllint,1,1624046538, 0, 0, 7.49
AFLfast,xmllint,1,1624046543, 0, 0, 7.70
AFLfast,xmllint,1,1624046553, 0, 0, 7.86
AFLfast,xmllint,1,1624046559, 0, 0, 9.08
AFLfast,xmllint,1,1624046564, 0, 0, 8.53
AFLfast,xmllint,1,1624046569, 0, 0, 9.06
AFLfast,xmllint,1,1624046574, 0, 0, 8.45
AFLfast,xmllint,1,1624046579, 0, 0, 8.14
AFLfast,xmllint,1,1624046584, 0, 0, 8.12
AFLfast,xmllint,1,1624046615, 0, 0, 7.59
AFLfast,xmllint,1,1624046620, 0, 0, 7.48
AFLfast,xmllint,1,1624046626, 0, 0, 7.72
AFLfast,xmllint,1,1624046631, 0, 0, 8.23
AFLfast,xmllint,1,1624046636, 0, 0, 7.75
AFLfast,xmllint,1,1624046657, 0, 0, 7.48
AFLfast,xmllint,1,1624046662, 0, 0, 7.33
AFLfast,xmllint,1,1624046683, 0, 0, 7.00
AFLfast,xmllint,1,1624046704, 0, 0, 7.65
AFLfast,xmllint,1,1624046719, 0, 0, 7.42
AFLfast,xmllint,1,1624046724, 0, 0, 7.64
AFLfast,xmllint,1,1624046729, 0, 0, 6.76
AFLfast,xmllint,1,1624046792, 0, 0, 7.13
AFLfast,xmllint,1,1624046855, 0, 0, 7.25
AFLfast,xmllint,1,1624047187, 0, 0, 7.04
AFLfast,xmllint,1,1624047213, 0, 0, 7.97
AFLfast,xmllint,1,1624047519, 0, 0, 7.87
AFLfast,xmllint,1,1624047524, 0, 0, 6.99
AFLfast,xmllint,1,1624047529, 0, 0, 7.83
AFLfast,xmllint,1,1624047534, 0, 0, 7.35
AFLfast,xmllint,1,1624047540, 0, 0, 10.58
AFLfast,xmllint,1,1624047545, 0, 0, 9.66
AFLfast,xmllint,1,1624047561, 0, 0, 8.49
AFLfast,xmllint,1,1624047628, 0, 0, 8.07
AFLfast,xmllint,1,1624047638, 0, 0, 8.42
AFLfast,xmllint,1,1624047731, 0, 0, 8.78
AFLfast,xmllint,1,1624047737, 0, 0, 9.13
AFLfast,xmllint,1,1624047824, 0, 0, 7.39
AFLfast,xmllint,1,1624047830, 0, 0, 7.75
AFLfast,xmllint,1,1624047835, 0, 0, 6.93
AFLfast,xmllint,1,1624047851, 0, 0, 6.44
AFLfast,xmllint,1,1624047872, 0, 0, 8.76
AFLfast,xmllint,1,1624047934, 0, 0, 8.04
AFLfast,xmllint,1,1624047960, 0, 0, 7.18
AFLfast,xmllint,1,1624047965, 0, 0, 6.79
AFLfast,xmllint,1,1624047975, 0, 0, 7.33
AFLfast,xmllint,1,1624047986, 0, 0, 7.47
AFLfast,xmllint,1,1624047997, 0, 0, 7.42
AFLfast,xmllint,1,1624048023, 0, 0, 7.34
AFLfast,xmllint,1,1624048056, 0, 0, 6.40
AFLfast,xmllint,1,1624048118, 0, 0, 7.15
AFLfast,xmllint,1,1624048197, 0, 0, 7.34
AFLfast,xmllint,1,1624048202, 0, 0, 7.51
AFLfast,xmllint,1,1624048207, 0, 0, 1.26
AFLfast,xmllint,1,1624048218, 0, 0, 7.05
AFLfast,xmllint,1,1624048234, 0, 0, 8.64
AFLfast,xmllint,1,1624048322, 0, 0, 8.17
AFLfast,xmllint,1,1624048551, 0, 0, 7.87
AFLfast,xmllint,1,1624048582, 0, 0, 7.71
AFLfast,xmllint,1,1624048603, 0, 0, 8.01
AFLfast,xmllint,1,1624048769, 0, 0, 8.49
AFLfast,xmllint,1,1624048774, 0, 0, 8.24
AFLfast,xmllint,1,1624049008, 0, 0, 8.49
AFLfast,xmllint,1,1624049223, 0, 0, 7.20
AFLfast,xmllint,1,1624049274, 0, 0, 7.61
AFLfast,xmllint,1,1624049466, 0, 0, 7.61
AFLfast,xmllint,1,1624049513, 0, 0, 8.04
AFLfast,xmllint,1,1624049639, 0, 0, 15.64
AFLfast,xmllint,1,1624050571, 0, 0, 15.20
AFLfast,xmllint,1,1624050692, 0, 0, 14.44
AFLfast,xmllint,1,1624050723, 0, 0, 14.78
AFLfast,xmllint,1,1624051518, 0, 0, 15.58
AFLfast,xmllint,1,1624051601, 0, 0, 15.91
AFLfast,xmllint,1,1624051853, 0, 0, 15.72
AFLfast,xmllint,1,1624051858, 0, 0, 11.11
AFLfast,xmllint,1,1624051863, 0, 0, 9.91
AFLfast,xmllint,1,1624051915, 0, 0, 15.39
AFLfast,xmllint,1,1624051920, 0, 0, 15.78
AFLfast,xmllint,1,1624051941, 0, 0, 15.59
AFLfast,xmllint,1,1624051946, 0, 0, 15.10
AFLfast,xmllint,1,1624051967, 0, 0, 8.56
AFLfast,xmllint,1,1624052102, 0, 0, 15.29
AFLfast,xmllint,1,1624052107, 0, 0, 14.58
AFLfast,xmllint,1,1624052128, 0, 0, 9.47
AFLfast,xmllint,1,1624052195, 0, 0, 16.57
AFLfast,xmllint,1,1624052200, 0, 0, 18.07
AFLfast,xmllint,1,1624052210, 0, 0, 18.04
AFLfast,xmllint,1,1624052216, 0, 0, 18.27
AFLfast,xmllint,1,1624052221, 0, 0, 12.90
AFLfast,xmllint,1,1624052226, 0, 0, 10.83
AFLfast,xmllint,1,1624052231, 0, 0, 9.77
AFLfast,xmllint,1,1624052381, 0, 0, 17.29
AFLfast,xmllint,1,1624052408, 0, 0, 15.76
AFLfast,xmllint,1,1624052498, 0, 0, 15.01
AFLfast,xmllint,1,1624052503, 0, 0, 15.35
AFLfast,xmllint,1,1624052508, 0, 0, 14.61
AFLfast,xmllint,1,1624052514, 0, 0, 15.52
AFLfast,xmllint,1,1624053158, 0, 0, 15.12
AFLfast,xmllint,1,1624053245, 0, 0, 14.37
AFLfast,xmllint,1,1624053271, 0, 0, 11.74
AFLfast,xmllint,1,1624053276, 0, 0, 8.53
AFLfast,xmllint,1,1624053416, 0, 0, 14.51
AFLfast,xmllint,1,1624053738, 0, 0, 16.55
AFLfast,xmllint,1,1624053743, 0, 0, 17.86
AFLfast,xmllint,1,1624053929, 0, 0, 16.52
AFLfast,xmllint,1,1624053939, 0, 0, 15.84
AFLfast,xmllint,1,1624054135, 0, 0, 13.82
AFLfast,xmllint,1,1624054150, 0, 0, 12.86
AFLfast,xmllint,1,1624054155, 0, 0, 12.36
AFLfast,xmllint,1,1624054481, 0, 0, 15.56
AFLfast,xmllint,1,1624055345, 0, 0, 14.47
AFLfast,xmllint,1,1624055350, 0, 0, 14.89
AFLfast,xmllint,1,1624056049, 0, 0, 16.14
AFLfast,xmllint,1,1624056054, 0, 0, 14.21
AFLfast,xmllint,1,1624056060, 0, 0, 14.94
AFLfast,xmllint,1,1624056174, 0, 0, 13.97
AFLfast,xmllint,1,1624056179, 0, 0, 14.25
AFLfast,xmllint,1,1624056184, 0, 0, 14.13
AFLfast,xmllint,1,1624056189, 0, 0, 14.97
AFLfast,xmllint,1,1624056194, 0, 0, 14.47
AFLfast,xmllint,1,1624056199, 0, 0, 14.61
AFLfast,xmllint,1,1624056204, 0, 0, 8.37
AFLfast,xmllint,1,1624056209, 0, 0, 12.26
AFLfast,xmllint,1,1624056215, 0, 0, 13.57
AFLfast,xmllint,1,1624056220, 0, 0, 10.49
AFLfast,xmllint,1,1624056230, 0, 0, 7.01
AFLfast,xmllint,1,1624056240, 0, 0, 7.45
AFLfast,xmllint,1,1624056246, 0, 0, 7.43
AFLfast,xmllint,1,1624056251, 0, 0, 7.10
AFLfast,xmllint,1,1624056261, 0, 0, 7.31
AFLfast,xmllint,1,1624056272, 0, 0, 7.04
AFLfast,xmllint,1,1624056277, 0, 0, 7.66
AFLfast,xmllint,1,1624056282, 0, 0, 7.13
AFLfast,xmllint,1,1624056287, 0, 0, 7.05
AFLfast,xmllint,1,1624056297, 0, 0, 7.25
AFLfast,xmllint,1,1624056313, 0, 0, 7.52
AFLfast,xmllint,1,1624056318, 0, 0, 7.46
AFLfast,xmllint,1,1624056339, 0, 0, 7.61
AFLfast,xmllint,1,1624056344, 0, 0, 7.45
AFLfast,xmllint,1,1624056354, 0, 0, 7.19
AFLfast,xmllint,1,1624056359, 0, 0, 7.07
AFLfast,xmllint,1,1624056364, 0, 0, 6.94
AFLfast,xmllint,1,1624056369, 0, 0, 7.01
AFLfast,xmllint,1,1624056380, 0, 0, 7.26
AFLfast,xmllint,1,1624056390, 0, 0, 7.43
AFLfast,xmllint,1,1624056395, 0, 0, 7.48
AFLfast,xmllint,1,1624056400, 0, 0, 7.56
AFLfast,xmllint,1,1624056405, 0, 0, 7.40
AFLfast,xmllint,1,1624056410, 0, 0, 7.02
AFLfast,xmllint,1,1624056416, 0, 0, 7.27
AFLfast,xmllint,1,1624056421, 0, 0, 7.40
AFLfast,xmllint,1,1624056426, 0, 0, 7.19
AFLfast,xmllint,1,1624056431, 0, 0, 7.49
AFLfast,xmllint,1,1624056437, 0, 0, 7.42
AFLfast,xmllint,1,1624056442, 0, 0, 7.33
AFLfast,xmllint,1,1624056447, 0, 0, 6.74
