alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,mp3gain,11,1624011429, 0, 0, 28.62
AFLfast,mp3gain,11,1624011450, 0, 0, 40.63
AFLfast,mp3gain,11,1624011476, 0, 0, 40.04
AFLfast,mp3gain,11,1624011501, 0, 0, 40.89
AFLfast,mp3gain,11,1624011511, 0, 0, 39.47
AFLfast,mp3gain,11,1624011516, 0, 0, 39.52
AFLfast,mp3gain,11,1624011522, 0, 0, 40.46
AFLfast,mp3gain,11,1624011527, 0, 0, 40.56
AFLfast,mp3gain,11,1624011614, 0, 0, 40.52
AFLfast,mp3gain,11,1624011619, 0, 0, 40.70
AFLfast,mp3gain,11,1624011625, 0, 0, 40.25
AFLfast,mp3gain,11,1624011630, 0, 0, 40.19
AFLfast,mp3gain,11,1624011635, 0, 0, 40.11
AFLfast,mp3gain,11,1624011656, 0, 0, 40.07
AFLfast,mp3gain,11,1624011681, 0, 0, 40.92
AFLfast,mp3gain,11,1624011686, 0, 0, 40.22
AFLfast,mp3gain,11,1624011717, 0, 0, 40.14
AFLfast,mp3gain,11,1624011723, 0, 0, 40.15
AFLfast,mp3gain,11,1624011728, 0, 0, 40.53
AFLfast,mp3gain,11,1624011784, 0, 0, 39.64
AFLfast,mp3gain,11,1624011789, 0, 0, 39.67
AFLfast,mp3gain,11,1624011794, 0, 0, 38.80
AFLfast,mp3gain,11,1624011799, 0, 0, 37.52
AFLfast,mp3gain,11,1624011804, 0, 0, 37.04
AFLfast,mp3gain,11,1624011809, 0, 0, 36.53
AFLfast,mp3gain,11,1624011815, 0, 0, 36.32
AFLfast,mp3gain,11,1624011820, 0, 0, 36.87
AFLfast,mp3gain,11,1624011825, 0, 0, 37.10
AFLfast,mp3gain,11,1624011835, 0, 0, 36.52
AFLfast,mp3gain,11,1624011840, 0, 0, 36.22
AFLfast,mp3gain,11,1624011845, 0, 0, 35.88
AFLfast,mp3gain,11,1624011850, 0, 0, 36.16
AFLfast,mp3gain,11,1624011861, 0, 0, 35.56
AFLfast,mp3gain,11,1624011866, 0, 0, 35.61
AFLfast,mp3gain,11,1624011871, 0, 0, 36.22
AFLfast,mp3gain,11,1624011881, 0, 0, 36.67
AFLfast,mp3gain,11,1624011886, 0, 0, 36.93
AFLfast,mp3gain,11,1624011891, 0, 0, 36.45
AFLfast,mp3gain,11,1624011902, 0, 0, 36.25
AFLfast,mp3gain,11,1624011917, 0, 0, 36.11
AFLfast,mp3gain,11,1624011922, 0, 0, 35.40
AFLfast,mp3gain,11,1624011927, 0, 0, 34.39
AFLfast,mp3gain,11,1624011932, 0, 0, 35.22
AFLfast,mp3gain,11,1624011963, 0, 0, 35.63
AFLfast,mp3gain,11,1624011973, 0, 0, 35.67
AFLfast,mp3gain,11,1624011994, 0, 0, 35.37
AFLfast,mp3gain,11,1624012004, 0, 0, 36.07
AFLfast,mp3gain,11,1624012009, 0, 0, 36.12
AFLfast,mp3gain,11,1624012035, 0, 0, 34.83
AFLfast,mp3gain,11,1624012040, 0, 0, 36.07
AFLfast,mp3gain,11,1624012050, 0, 0, 36.77
AFLfast,mp3gain,11,1624012055, 0, 0, 36.85
AFLfast,mp3gain,11,1624012060, 0, 0, 36.20
AFLfast,mp3gain,11,1624012065, 0, 0, 37.17
AFLfast,mp3gain,11,1624012086, 0, 0, 28.69
AFLfast,mp3gain,11,1624012153, 0, 0, 24.17
AFLfast,mp3gain,11,1624012158, 0, 0, 23.39
AFLfast,mp3gain,11,1624012163, 0, 0, 23.69
AFLfast,mp3gain,11,1624012168, 0, 0, 23.65
AFLfast,mp3gain,11,1624012173, 0, 0, 23.48
AFLfast,mp3gain,11,1624012178, 0, 0, 24.57
AFLfast,mp3gain,11,1624012183, 0, 0, 22.48
AFLfast,mp3gain,11,1624012188, 0, 0, 22.74
AFLfast,mp3gain,11,1624012193, 0, 0, 22.95
AFLfast,mp3gain,11,1624012198, 0, 0, 23.18
AFLfast,mp3gain,11,1624012204, 0, 0, 23.86
AFLfast,mp3gain,11,1624012209, 0, 0, 23.88
AFLfast,mp3gain,11,1624012214, 0, 0, 23.29
AFLfast,mp3gain,11,1624012219, 0, 0, 23.46
AFLfast,mp3gain,11,1624012224, 0, 0, 23.92
AFLfast,mp3gain,11,1624012229, 0, 0, 23.40
AFLfast,mp3gain,11,1624012235, 0, 0, 23.71
AFLfast,mp3gain,11,1624012240, 0, 0, 23.04
AFLfast,mp3gain,11,1624012245, 0, 0, 23.51
AFLfast,mp3gain,11,1624012250, 0, 0, 23.57
AFLfast,mp3gain,11,1624012255, 0, 0, 23.36
AFLfast,mp3gain,11,1624012260, 0, 0, 24.24
AFLfast,mp3gain,11,1624012265, 0, 0, 24.12
AFLfast,mp3gain,11,1624012270, 0, 0, 24.79
AFLfast,mp3gain,11,1624012275, 0, 0, 24.74
AFLfast,mp3gain,11,1624012281, 0, 0, 24.76
AFLfast,mp3gain,11,1624012286, 0, 0, 23.70
AFLfast,mp3gain,11,1624012291, 0, 0, 23.59
AFLfast,mp3gain,11,1624012296, 0, 0, 24.50
AFLfast,mp3gain,11,1624012301, 0, 0, 23.80
AFLfast,mp3gain,11,1624012306, 0, 0, 23.11
AFLfast,mp3gain,11,1624012311, 0, 0, 23.25
AFLfast,mp3gain,11,1624012317, 0, 0, 23.41
AFLfast,mp3gain,11,1624012322, 0, 0, 23.52
AFLfast,mp3gain,11,1624012327, 0, 0, 23.71
AFLfast,mp3gain,11,1624012332, 0, 0, 28.83
AFLfast,mp3gain,11,1624012383, 0, 0, 32.01
AFLfast,mp3gain,11,1624012388, 0, 0, 30.68
AFLfast,mp3gain,11,1624012393, 0, 0, 30.32
AFLfast,mp3gain,11,1624012398, 0, 0, 30.62
AFLfast,mp3gain,11,1624012404, 0, 0, 30.24
AFLfast,mp3gain,11,1624012409, 0, 0, 29.29
AFLfast,mp3gain,11,1624012414, 0, 0, 29.17
AFLfast,mp3gain,11,1624012419, 0, 0, 29.99
AFLfast,mp3gain,11,1624012424, 0, 0, 30.09
AFLfast,mp3gain,11,1624012429, 0, 0, 29.05
AFLfast,mp3gain,11,1624012434, 1, 0, 29.40
AFLfast,mp3gain,11,1624012439, 1, 0, 29.65
AFLfast,mp3gain,11,1624012444, 1, 0, 29.59
AFLfast,mp3gain,11,1624012455, 1, 0, 29.15
AFLfast,mp3gain,11,1624012460, 1, 0, 30.03
AFLfast,mp3gain,11,1624012465, 1, 0, 30.58
AFLfast,mp3gain,11,1624012470, 1, 0, 29.91
AFLfast,mp3gain,11,1624012475, 1, 0, 29.64
AFLfast,mp3gain,11,1624012480, 1, 0, 29.87
AFLfast,mp3gain,11,1624012486, 1, 0, 29.42
AFLfast,mp3gain,11,1624012491, 2, 0, 30.30
AFLfast,mp3gain,11,1624012496, 2, 0, 29.70
AFLfast,mp3gain,11,1624012501, 2, 0, 28.90
AFLfast,mp3gain,11,1624012506, 2, 0, 28.97
AFLfast,mp3gain,11,1624012511, 2, 0, 28.20
AFLfast,mp3gain,11,1624012521, 2, 0, 29.94
AFLfast,mp3gain,11,1624012583, 2, 0, 28.23
AFLfast,mp3gain,11,1624012588, 2, 0, 28.78
AFLfast,mp3gain,11,1624012593, 2, 0, 28.62
AFLfast,mp3gain,11,1624012598, 2, 0, 28.07
AFLfast,mp3gain,11,1624012603, 2, 0, 26.98
AFLfast,mp3gain,11,1624012608, 2, 0, 27.17
AFLfast,mp3gain,11,1624012614, 2, 0, 28.08
AFLfast,mp3gain,11,1624012619, 2, 0, 27.38
AFLfast,mp3gain,11,1624012624, 2, 0, 27.24
AFLfast,mp3gain,11,1624012629, 2, 0, 27.76
AFLfast,mp3gain,11,1624012634, 2, 0, 27.29
AFLfast,mp3gain,11,1624012639, 2, 0, 27.56
AFLfast,mp3gain,11,1624012645, 2, 0, 27.06
AFLfast,mp3gain,11,1624012650, 2, 0, 27.26
AFLfast,mp3gain,11,1624012655, 2, 0, 27.91
AFLfast,mp3gain,11,1624012660, 2, 0, 28.65
AFLfast,mp3gain,11,1624012665, 2, 0, 27.90
AFLfast,mp3gain,11,1624012670, 2, 0, 27.97
AFLfast,mp3gain,11,1624012676, 2, 0, 27.44
AFLfast,mp3gain,11,1624012681, 2, 0, 27.34
AFLfast,mp3gain,11,1624012686, 2, 0, 27.29
AFLfast,mp3gain,11,1624012696, 2, 0, 30.41
AFLfast,mp3gain,11,1624012706, 2, 0, 37.34
AFLfast,mp3gain,11,1624012712, 2, 0, 35.94
AFLfast,mp3gain,11,1624012717, 2, 0, 36.76
AFLfast,mp3gain,11,1624012722, 2, 0, 36.66
AFLfast,mp3gain,11,1624012727, 2, 0, 36.86
AFLfast,mp3gain,11,1624012732, 2, 0, 35.99
AFLfast,mp3gain,11,1624012737, 2, 0, 35.95
AFLfast,mp3gain,11,1624012747, 2, 0, 36.62
AFLfast,mp3gain,11,1624012753, 2, 0, 36.65
AFLfast,mp3gain,11,1624012758, 2, 0, 36.92
AFLfast,mp3gain,11,1624012763, 2, 0, 36.82
AFLfast,mp3gain,11,1624012789, 2, 0, 37.14
AFLfast,mp3gain,11,1624012794, 2, 0, 36.91
AFLfast,mp3gain,11,1624012804, 2, 0, 37.93
AFLfast,mp3gain,11,1624012814, 2, 0, 38.04
AFLfast,mp3gain,11,1624012819, 2, 0, 26.55
AFLfast,mp3gain,11,1624012906, 2, 0, 22.06
AFLfast,mp3gain,11,1624012911, 2, 0, 21.99
AFLfast,mp3gain,11,1624012916, 2, 0, 20.16
AFLfast,mp3gain,11,1624012922, 2, 0, 20.44
AFLfast,mp3gain,11,1624012927, 2, 0, 21.38
AFLfast,mp3gain,11,1624012932, 3, 0, 20.86
AFLfast,mp3gain,11,1624012937, 3, 0, 21.06
