alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,mp3gain,8,1624011402, 0, 0, 20, 20, 12, 3.29%, 0, 0, 1, 33.71
AFLfast,mp3gain,8,1624011454, 0, 0, 22, 22, 12, 3.32%, 0, 0, 2, 29.59
AFLfast,mp3gain,8,1624011490, 0, 0, 23, 23, 12, 3.32%, 0, 0, 2, 28.85
AFLfast,mp3gain,8,1624011577, 0, 0, 24, 24, 12, 3.32%, 0, 0, 2, 29.17
AFLfast,mp3gain,8,1624011587, 0, 0, 31, 31, 12, 3.35%, 0, 0, 2, 27.34
AFLfast,mp3gain,8,1624011593, 0, 0, 40, 40, 12, 3.36%, 0, 0, 2, 27.39
AFLfast,mp3gain,8,1624011598, 0, 0, 42, 42, 12, 3.36%, 0, 0, 2, 27.48
AFLfast,mp3gain,8,1624011603, 0, 0, 43, 43, 12, 3.36%, 0, 0, 2, 28.32
AFLfast,mp3gain,8,1624011608, 0, 0, 52, 52, 12, 3.36%, 0, 0, 2, 28.14
AFLfast,mp3gain,8,1624011613, 0, 0, 57, 57, 12, 3.36%, 0, 0, 2, 28.72
AFLfast,mp3gain,8,1624011618, 0, 0, 58, 58, 12, 3.36%, 0, 0, 2, 29.04
AFLfast,mp3gain,8,1624011624, 0, 0, 60, 60, 12, 3.36%, 0, 0, 2, 28.59
AFLfast,mp3gain,8,1624011629, 0, 0, 64, 64, 12, 3.36%, 0, 0, 2, 28.74
AFLfast,mp3gain,8,1624011644, 0, 0, 67, 67, 12, 3.36%, 0, 0, 2, 28.85
AFLfast,mp3gain,8,1624011649, 0, 0, 79, 79, 12, 3.37%, 0, 0, 2, 27.63
AFLfast,mp3gain,8,1624011654, 0, 0, 93, 93, 12, 3.38%, 0, 0, 2, 27.95
AFLfast,mp3gain,8,1624011660, 0, 0, 106, 106, 12, 3.39%, 0, 0, 2, 27.40
AFLfast,mp3gain,8,1624011665, 0, 0, 120, 120, 12, 3.39%, 0, 0, 2, 28.19
AFLfast,mp3gain,8,1624011670, 0, 0, 121, 121, 12, 3.39%, 0, 0, 2, 28.15
AFLfast,mp3gain,8,1624011869, 0, 0, 122, 122, 12, 3.39%, 0, 0, 2, 29.32
AFLfast,mp3gain,8,1624011875, 0, 0, 123, 123, 12, 3.39%, 0, 0, 2, 28.45
AFLfast,mp3gain,8,1624011905, 0, 0, 125, 125, 12, 3.39%, 0, 0, 2, 28.19
AFLfast,mp3gain,8,1624012202, 0, 0, 130, 130, 12, 3.40%, 0, 0, 2, 28.28
AFLfast,mp3gain,8,1624012222, 0, 0, 131, 131, 12, 3.40%, 0, 0, 2, 28.91
AFLfast,mp3gain,8,1624012264, 0, 0, 132, 132, 12, 3.40%, 0, 0, 2, 28.77
AFLfast,mp3gain,8,1624012351, 0, 0, 133, 133, 12, 3.40%, 0, 0, 2, 28.32
AFLfast,mp3gain,8,1624012792, 0, 0, 135, 135, 12, 3.40%, 0, 0, 2, 28.81
AFLfast,mp3gain,8,1624013080, 0, 0, 136, 136, 12, 3.40%, 0, 0, 2, 27.89
AFLfast,mp3gain,8,1624013378, 0, 0, 137, 137, 12, 3.40%, 0, 0, 2, 28.38
AFLfast,mp3gain,8,1624014848, 0, 0, 138, 138, 12, 3.40%, 0, 0, 2, 27.47
AFLfast,mp3gain,8,1624015982, 0, 0, 139, 139, 12, 3.40%, 0, 0, 2, 24.25
AFLfast,mp3gain,8,1624016684, 0, 0, 140, 140, 12, 3.40%, 0, 0, 2, 19.08
AFLfast,mp3gain,8,1624016828, 0, 0, 141, 141, 12, 3.40%, 0, 0, 2, 18.40
AFLfast,mp3gain,8,1624016849, 0, 0, 142, 142, 12, 3.40%, 0, 0, 2, 18.53
AFLfast,mp3gain,8,1624016875, 0, 0, 147, 147, 12, 3.41%, 0, 0, 2, 18.93
AFLfast,mp3gain,8,1624016880, 0, 0, 149, 149, 12, 3.41%, 0, 0, 2, 18.25
AFLfast,mp3gain,8,1624016921, 0, 0, 150, 150, 12, 3.41%, 0, 0, 2, 18.41
AFLfast,mp3gain,8,1624016947, 0, 0, 151, 151, 12, 3.41%, 0, 0, 2, 19.04
AFLfast,mp3gain,8,1624016952, 0, 0, 157, 157, 12, 3.41%, 0, 0, 2, 18.38
AFLfast,mp3gain,8,1624016957, 0, 0, 163, 163, 12, 3.41%, 0, 0, 2, 18.23
AFLfast,mp3gain,8,1624016962, 0, 0, 171, 171, 12, 3.41%, 0, 0, 2, 18.59
AFLfast,mp3gain,8,1624016968, 0, 0, 172, 172, 12, 3.41%, 0, 0, 2, 18.65
AFLfast,mp3gain,8,1624017199, 0, 0, 173, 173, 12, 3.41%, 0, 0, 2, 18.28
AFLfast,mp3gain,8,1624020207, 0, 0, 174, 174, 12, 3.41%, 0, 0, 2, 16.56
AFLfast,mp3gain,8,1624024334, 0, 0, 175, 175, 12, 3.41%, 0, 0, 2, 17.25
AFLfast,mp3gain,8,1624024570, 0, 0, 176, 176, 12, 3.41%, 0, 0, 2, 18.00
AFLfast,mp3gain,8,1624024575, 0, 0, 179, 179, 12, 3.41%, 0, 0, 2, 16.67
AFLfast,mp3gain,8,1624024580, 0, 0, 180, 180, 12, 3.41%, 0, 0, 2, 17.99
