alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pcre2test,7,1623998987, 0, 0, 6, 6, 1, 0.20%, 0, 0, 1, 166.67
AFLfast,pcre2test,7,1623998992, 0, 5, 23, 23, 1, 0.70%, 0, 0, 2, 210.89
AFLfast,pcre2test,7,1623998997, 0, 5, 30, 30, 1, 0.72%, 0, 0, 2, 211.28
AFLfast,pcre2test,7,1623999002, 0, 5, 33, 33, 1, 0.73%, 0, 0, 2, 220.64
AFLfast,pcre2test,7,1623999007, 0, 5, 36, 36, 1, 0.73%, 0, 0, 2, 212.86
AFLfast,pcre2test,7,1623999012, 0, 5, 40, 40, 1, 0.73%, 0, 0, 2, 217.89
AFLfast,pcre2test,7,1623999017, 0, 5, 43, 43, 1, 0.73%, 0, 0, 2, 206.61
AFLfast,pcre2test,7,1623999022, 0, 5, 45, 45, 1, 0.74%, 0, 0, 2, 205.36
AFLfast,pcre2test,7,1623999027, 0, 5, 46, 46, 1, 0.74%, 0, 0, 2, 192.35
AFLfast,pcre2test,7,1623999033, 0, 5, 48, 48, 1, 0.74%, 0, 0, 2, 188.13
AFLfast,pcre2test,7,1623999038, 0, 5, 49, 49, 1, 0.74%, 0, 0, 2, 195.07
AFLfast,pcre2test,7,1623999048, 0, 5, 51, 51, 1, 0.74%, 0, 0, 2, 181.90
AFLfast,pcre2test,7,1623999053, 0, 5, 52, 52, 1, 0.74%, 0, 0, 2, 196.15
AFLfast,pcre2test,7,1623999058, 0, 5, 54, 54, 1, 0.74%, 0, 0, 2, 198.16
AFLfast,pcre2test,7,1623999063, 0, 5, 55, 55, 1, 0.74%, 0, 0, 2, 195.65
AFLfast,pcre2test,7,1623999068, 0, 5, 58, 58, 1, 0.78%, 0, 0, 2, 296.47
AFLfast,pcre2test,7,1623999073, 0, 5, 60, 60, 1, 0.78%, 0, 0, 2, 319.95
AFLfast,pcre2test,7,1623999078, 0, 5, 62, 62, 1, 0.79%, 0, 0, 2, 344.25
AFLfast,pcre2test,7,1623999094, 0, 5, 64, 64, 1, 0.80%, 0, 0, 2, 329.00
AFLfast,pcre2test,7,1623999104, 0, 5, 67, 67, 1, 0.83%, 0, 0, 2, 326.55
AFLfast,pcre2test,7,1623999119, 0, 5, 69, 69, 1, 0.83%, 0, 0, 2, 345.83
AFLfast,pcre2test,7,1623999124, 0, 5, 71, 71, 1, 0.96%, 0, 0, 2, 341.66
AFLfast,pcre2test,7,1623999130, 0, 5, 73, 73, 1, 0.97%, 0, 0, 2, 222.62
