alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2test,9,1623999387, 0, 0, 1548.39
AFLfast,pcre2test,9,1623999392, 0, 0, 634.55
AFLfast,pcre2test,9,1623999397, 0, 0, 390.14
AFLfast,pcre2test,9,1623999403, 0, 0, 321.97
AFLfast,pcre2test,9,1623999408, 0, 0, 288.57
AFLfast,pcre2test,9,1623999413, 0, 0, 281.20
AFLfast,pcre2test,9,1623999423, 0, 0, 188.32
AFLfast,pcre2test,9,1623999428, 0, 0, 181.45
AFLfast,pcre2test,9,1623999433, 0, 0, 173.17
AFLfast,pcre2test,9,1623999438, 0, 0, 178.48
AFLfast,pcre2test,9,1623999443, 0, 0, 169.62
AFLfast,pcre2test,9,1623999448, 0, 0, 170.44
AFLfast,pcre2test,9,1623999454, 0, 0, 160.43
AFLfast,pcre2test,9,1623999459, 0, 0, 150.94
AFLfast,pcre2test,9,1623999464, 0, 0, 149.33
AFLfast,pcre2test,9,1623999469, 0, 0, 160.06
AFLfast,pcre2test,9,1623999474, 0, 0, 163.24
AFLfast,pcre2test,9,1623999495, 0, 0, 171.77
AFLfast,pcre2test,9,1623999500, 0, 0, 172.09
AFLfast,pcre2test,9,1623999515, 0, 0, 286.59
AFLfast,pcre2test,9,1623999520, 0, 0, 277.04
AFLfast,pcre2test,9,1623999525, 0, 0, 284.93
AFLfast,pcre2test,9,1623999546, 0, 0, 274.29
AFLfast,pcre2test,9,1623999572, 0, 0, 174.90
AFLfast,pcre2test,9,1623999592, 0, 0, 253.90
AFLfast,pcre2test,9,1623999603, 0, 0, 246.45
AFLfast,pcre2test,9,1623999613, 0, 0, 261.77
AFLfast,pcre2test,9,1623999638, 0, 0, 223.77
AFLfast,pcre2test,9,1623999643, 0, 0, 241.78
AFLfast,pcre2test,9,1623999649, 0, 0, 255.03
AFLfast,pcre2test,9,1623999654, 0, 0, 244.65
AFLfast,pcre2test,9,1623999659, 0, 0, 253.60
AFLfast,pcre2test,9,1623999664, 0, 0, 248.87
AFLfast,pcre2test,9,1623999669, 0, 0, 233.01
AFLfast,pcre2test,9,1623999674, 0, 0, 240.53
AFLfast,pcre2test,9,1623999679, 0, 0, 229.05
AFLfast,pcre2test,9,1623999684, 0, 0, 224.97
AFLfast,pcre2test,9,1623999694, 0, 0, 233.02
AFLfast,pcre2test,9,1623999699, 0, 0, 230.95
AFLfast,pcre2test,9,1623999705, 0, 0, 158.28
AFLfast,pcre2test,9,1623999715, 0, 0, 125.22
AFLfast,pcre2test,9,1623999720, 0, 0, 125.64
AFLfast,pcre2test,9,1623999735, 0, 0, 161.04
AFLfast,pcre2test,9,1623999740, 0, 0, 234.78
AFLfast,pcre2test,9,1623999751, 0, 0, 228.00
AFLfast,pcre2test,9,1623999756, 0, 0, 223.81
AFLfast,pcre2test,9,1623999766, 0, 0, 229.20
AFLfast,pcre2test,9,1623999771, 0, 0, 214.16
AFLfast,pcre2test,9,1623999776, 0, 0, 209.08
AFLfast,pcre2test,9,1623999822, 0, 0, 199.46
AFLfast,pcre2test,9,1623999828, 0, 0, 205.00
AFLfast,pcre2test,9,1623999863, 0, 0, 187.73
AFLfast,pcre2test,9,1623999874, 0, 0, 185.68
AFLfast,pcre2test,9,1623999894, 0, 0, 200.47
AFLfast,pcre2test,9,1623999915, 0, 0, 220.22
AFLfast,pcre2test,9,1623999920, 0, 0, 212.43
AFLfast,pcre2test,9,1623999925, 0, 0, 212.62
AFLfast,pcre2test,9,1623999951, 0, 0, 209.09
AFLfast,pcre2test,9,1623999956, 0, 0, 212.62
AFLfast,pcre2test,9,1623999982, 0, 0, 205.91
AFLfast,pcre2test,9,1623999997, 0, 0, 198.68
AFLfast,pcre2test,9,1624000002, 0, 0, 147.33
AFLfast,pcre2test,9,1624000017, 0, 0, 226.06
AFLfast,pcre2test,9,1624000033, 0, 0, 223.30
AFLfast,pcre2test,9,1624000043, 0, 0, 211.70
AFLfast,pcre2test,9,1624000079, 0, 0, 216.64
AFLfast,pcre2test,9,1624000145, 0, 0, 239.51
AFLfast,pcre2test,9,1624000151, 0, 0, 235.68
AFLfast,pcre2test,9,1624000156, 0, 0, 226.95
AFLfast,pcre2test,9,1624000161, 0, 0, 228.75
AFLfast,pcre2test,9,1624000166, 0, 0, 227.89
AFLfast,pcre2test,9,1624000171, 0, 0, 226.66
AFLfast,pcre2test,9,1624000176, 0, 0, 224.55
AFLfast,pcre2test,9,1624000181, 0, 0, 223.11
AFLfast,pcre2test,9,1624000186, 0, 0, 225.47
AFLfast,pcre2test,9,1624000192, 0, 0, 203.67
AFLfast,pcre2test,9,1624000202, 0, 0, 135.07
AFLfast,pcre2test,9,1624000207, 0, 0, 123.34
AFLfast,pcre2test,9,1624000212, 0, 0, 122.57
AFLfast,pcre2test,9,1624000217, 0, 0, 127.00
AFLfast,pcre2test,9,1624000222, 0, 0, 127.06
AFLfast,pcre2test,9,1624000232, 0, 0, 129.93
AFLfast,pcre2test,9,1624000238, 0, 0, 127.68
AFLfast,pcre2test,9,1624000248, 0, 0, 195.37
AFLfast,pcre2test,9,1624000253, 0, 0, 216.74
AFLfast,pcre2test,9,1624000258, 0, 0, 219.61
AFLfast,pcre2test,9,1624000264, 0, 0, 224.63
AFLfast,pcre2test,9,1624000269, 0, 0, 224.98
AFLfast,pcre2test,9,1624000274, 0, 0, 223.05
AFLfast,pcre2test,9,1624000279, 0, 0, 210.03
AFLfast,pcre2test,9,1624000284, 0, 0, 207.59
AFLfast,pcre2test,9,1624000289, 0, 0, 202.56
AFLfast,pcre2test,9,1624000294, 0, 0, 210.62
AFLfast,pcre2test,9,1624000299, 0, 0, 211.56
AFLfast,pcre2test,9,1624000335, 0, 0, 193.05
AFLfast,pcre2test,9,1624000346, 0, 0, 212.15
AFLfast,pcre2test,9,1624000351, 0, 0, 201.57
AFLfast,pcre2test,9,1624000356, 0, 0, 195.94
AFLfast,pcre2test,9,1624000361, 0, 0, 199.39
AFLfast,pcre2test,9,1624000367, 0, 0, 201.57
AFLfast,pcre2test,9,1624000372, 0, 0, 204.32
AFLfast,pcre2test,9,1624000377, 0, 0, 196.08
AFLfast,pcre2test,9,1624000382, 0, 0, 190.86
AFLfast,pcre2test,9,1624000387, 0, 0, 188.36
AFLfast,pcre2test,9,1624000392, 0, 0, 144.93
AFLfast,pcre2test,9,1624000397, 0, 0, 112.28
AFLfast,pcre2test,9,1624000403, 0, 0, 109.66
AFLfast,pcre2test,9,1624000408, 0, 0, 107.72
AFLfast,pcre2test,9,1624000413, 0, 0, 111.00
AFLfast,pcre2test,9,1624000418, 0, 0, 115.03
AFLfast,pcre2test,9,1624000423, 0, 0, 108.24
AFLfast,pcre2test,9,1624000434, 0, 0, 105.86
AFLfast,pcre2test,9,1624000439, 0, 0, 115.61
AFLfast,pcre2test,9,1624000444, 0, 0, 124.80
AFLfast,pcre2test,9,1624000449, 0, 0, 125.59
AFLfast,pcre2test,9,1624000454, 0, 0, 127.34
AFLfast,pcre2test,9,1624000459, 0, 0, 121.98
