alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,sqlite3,11,1624009300, 0, 0, 10, 10, 2, 2.53%, 0, 0, 1, 14.70
AFLfast,sqlite3,11,1624009305, 0, 1, 10, 10, 2, 2.53%, 0, 0, 1, 15.86
AFLfast,sqlite3,11,1624010026, 0, 1, 11, 11, 2, 2.53%, 0, 0, 2, 15.10
AFLfast,sqlite3,11,1624010083, 0, 1, 13, 13, 2, 2.55%, 0, 0, 2, 14.86
AFLfast,sqlite3,11,1624010088, 0, 1, 14, 14, 2, 2.55%, 0, 0, 2, 10.77
AFLfast,sqlite3,11,1624010558, 0, 1, 16, 16, 2, 2.56%, 0, 0, 2, 14.30
AFLfast,sqlite3,11,1624010626, 0, 10, 16, 15, 6, 2.56%, 0, 0, 2, 7.85
AFLfast,sqlite3,11,1624010636, 0, 11, 16, 14, 5, 2.56%, 0, 0, 2, 9.66
AFLfast,sqlite3,11,1624010641, 0, 12, 16, 13, 4, 2.56%, 0, 0, 2, 13.16
AFLfast,sqlite3,11,1624010651, 0, 13, 16, 12, 3, 2.56%, 0, 0, 2, 11.42
AFLfast,sqlite3,11,1624010657, 0, 14, 16, 11, 2, 2.56%, 0, 0, 2, 12.75
AFLfast,sqlite3,11,1624010662, 0, 15, 16, 10, 1, 2.56%, 0, 0, 2, 11.42
AFLfast,sqlite3,11,1624010667, 0, 15, 17, 11, 1, 2.56%, 0, 0, 3, 11.10
AFLfast,sqlite3,11,1624010672, 0, 16, 17, 10, 1, 2.56%, 0, 0, 3, 11.91
AFLfast,sqlite3,11,1624010677, 1, 0, 17, 9, 0, 2.56%, 0, 0, 3, 11.89
AFLfast,sqlite3,11,1624010688, 1, 4, 17, 8, 0, 2.56%, 0, 0, 3, 10.71
AFLfast,sqlite3,11,1624010698, 1, 8, 17, 7, 0, 2.56%, 0, 0, 3, 9.71
AFLfast,sqlite3,11,1624010708, 1, 9, 17, 6, 0, 2.56%, 0, 0, 3, 7.59
AFLfast,sqlite3,11,1624010724, 1, 10, 17, 5, 0, 2.56%, 0, 0, 3, 11.41
AFLfast,sqlite3,11,1624010729, 1, 12, 17, 5, 0, 2.56%, 0, 0, 3, 12.78
AFLfast,sqlite3,11,1624010734, 1, 14, 17, 5, 0, 2.56%, 0, 0, 3, 13.43
AFLfast,sqlite3,11,1624010739, 1, 16, 17, 5, 0, 2.56%, 0, 0, 3, 13.21
AFLfast,sqlite3,11,1624010744, 2, 7, 17, 5, 0, 2.56%, 0, 0, 3, 14.32
AFLfast,sqlite3,11,1624010765, 2, 10, 17, 4, 0, 2.56%, 0, 0, 3, 14.32
