alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,sqlite3,7,1624008844, 0, 0, 18.03
AFLfast,sqlite3,7,1624008849, 0, 0, 18.10
AFLfast,sqlite3,7,1624008921, 0, 0, 10.28
AFLfast,sqlite3,7,1624009696, 0, 0, 15.19
AFLfast,sqlite3,7,1624010160, 0, 0, 14.45
AFLfast,sqlite3,7,1624010196, 0, 0, 13.22
AFLfast,sqlite3,7,1624011423, 0, 0, 14.48
AFLfast,sqlite3,7,1624011428, 0, 0, 14.60
AFLfast,sqlite3,7,1624011433, 0, 0, 14.55
AFLfast,sqlite3,7,1624011438, 0, 0, 14.72
AFLfast,sqlite3,7,1624011443, 0, 0, 14.56
AFLfast,sqlite3,7,1624011448, 0, 0, 13.58
AFLfast,sqlite3,7,1624011454, 0, 0, 13.73
AFLfast,sqlite3,7,1624011459, 0, 0, 14.14
AFLfast,sqlite3,7,1624011464, 0, 0, 14.61
AFLfast,sqlite3,7,1624011485, 0, 0, 14.36
AFLfast,sqlite3,7,1624011495, 0, 0, 14.37
AFLfast,sqlite3,7,1624011541, 0, 0, 14.13
AFLfast,sqlite3,7,1624011567, 0, 0, 14.95
AFLfast,sqlite3,7,1624011603, 0, 0, 14.46
AFLfast,sqlite3,7,1624011613, 0, 0, 14.06
AFLfast,sqlite3,7,1624011623, 0, 0, 14.27
AFLfast,sqlite3,7,1624011639, 0, 0, 14.27
AFLfast,sqlite3,7,1624011654, 0, 0, 14.42
AFLfast,sqlite3,7,1624011674, 0, 0, 14.37
AFLfast,sqlite3,7,1624011705, 0, 0, 14.30
AFLfast,sqlite3,7,1624011726, 0, 0, 14.22
AFLfast,sqlite3,7,1624011751, 0, 0, 13.77
AFLfast,sqlite3,7,1624011767, 0, 0, 14.27
AFLfast,sqlite3,7,1624011792, 0, 0, 14.07
AFLfast,sqlite3,7,1624011813, 0, 0, 13.97
AFLfast,sqlite3,7,1624011833, 0, 0, 14.29
AFLfast,sqlite3,7,1624011848, 0, 0, 14.45
AFLfast,sqlite3,7,1624011874, 0, 0, 14.06
AFLfast,sqlite3,7,1624011889, 0, 0, 14.15
AFLfast,sqlite3,7,1624011915, 0, 0, 14.01
AFLfast,sqlite3,7,1624011920, 0, 0, 13.87
AFLfast,sqlite3,7,1624011945, 0, 0, 13.95
AFLfast,sqlite3,7,1624011971, 0, 0, 14.38
AFLfast,sqlite3,7,1624011986, 0, 0, 14.80
AFLfast,sqlite3,7,1624012006, 0, 0, 13.64
AFLfast,sqlite3,7,1624012012, 0, 0, 13.84
AFLfast,sqlite3,7,1624012032, 0, 0, 14.22
