alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tcpdump,12,1623923001, 0, 0, 1.84
AFLfast,tcpdump,12,1623923006, 0, 0, 1.94
AFLfast,tcpdump,12,1623923314, 0, 0, 2.36
AFLfast,tcpdump,12,1623923607, 0, 0, 2.49
AFLfast,tcpdump,12,1623923628, 0, 0, 2.42
AFLfast,tcpdump,12,1623923901, 0, 0, 2.59
AFLfast,tcpdump,12,1623924177, 0, 0, 2.60
AFLfast,tcpdump,12,1623924445, 0, 0, 2.56
AFLfast,tcpdump,12,1623924720, 0, 0, 2.62
AFLfast,tcpdump,12,1623924992, 0, 0, 2.41
AFLfast,tcpdump,12,1623925268, 0, 0, 2.58
AFLfast,tcpdump,12,1623925550, 0, 0, 2.54
AFLfast,tcpdump,12,1623925571, 0, 0, 2.62
AFLfast,tcpdump,12,1623925591, 0, 0, 2.58
AFLfast,tcpdump,12,1623925863, 0, 0, 2.57
AFLfast,tcpdump,12,1623925884, 0, 0, 2.50
AFLfast,tcpdump,12,1623926161, 0, 0, 2.48
AFLfast,tcpdump,12,1623926182, 0, 0, 2.49
AFLfast,tcpdump,12,1623926458, 0, 0, 2.55
AFLfast,tcpdump,12,1623926478, 0, 0, 2.57
AFLfast,tcpdump,12,1623926499, 0, 0, 2.53
AFLfast,tcpdump,12,1623926775, 0, 0, 2.58
AFLfast,tcpdump,12,1623927041, 0, 0, 2.58
AFLfast,tcpdump,12,1623927062, 0, 0, 2.47
AFLfast,tcpdump,12,1623927082, 0, 0, 2.42
AFLfast,tcpdump,12,1623927103, 0, 0, 2.41
AFLfast,tcpdump,12,1623927130, 0, 0, 2.40
AFLfast,tcpdump,12,1623927146, 0, 0, 2.48
AFLfast,tcpdump,12,1623927427, 0, 0, 2.47
AFLfast,tcpdump,12,1623927447, 0, 0, 3.03
AFLfast,tcpdump,12,1623927468, 0, 0, 2.58
AFLfast,tcpdump,12,1623927483, 0, 0, 2.56
AFLfast,tcpdump,12,1623927504, 0, 0, 2.60
AFLfast,tcpdump,12,1623927524, 0, 0, 2.49
AFLfast,tcpdump,12,1623927545, 0, 0, 2.53
AFLfast,tcpdump,12,1623927561, 0, 0, 2.84
AFLfast,tcpdump,12,1623927581, 0, 0, 2.53
AFLfast,tcpdump,12,1623927602, 0, 0, 2.53
AFLfast,tcpdump,12,1623927622, 0, 0, 2.75
AFLfast,tcpdump,12,1623927643, 0, 0, 2.59
AFLfast,tcpdump,12,1623927659, 0, 0, 2.50
AFLfast,tcpdump,12,1623927679, 0, 0, 2.50
AFLfast,tcpdump,12,1623927700, 0, 0, 2.48
AFLfast,tcpdump,12,1623927721, 0, 0, 2.56
AFLfast,tcpdump,12,1623927742, 0, 0, 2.65
AFLfast,tcpdump,12,1623927763, 0, 0, 2.49
AFLfast,tcpdump,12,1623927779, 0, 0, 2.97
AFLfast,tcpdump,12,1623927794, 0, 0, 3.27
AFLfast,tcpdump,12,1623927810, 0, 0, 3.28
AFLfast,tcpdump,12,1623927830, 0, 0, 2.58
AFLfast,tcpdump,12,1623927851, 0, 0, 2.52
AFLfast,tcpdump,12,1623927872, 0, 0, 2.56
AFLfast,tcpdump,12,1623927893, 0, 0, 2.61
AFLfast,tcpdump,12,1623927908, 0, 0, 2.48
AFLfast,tcpdump,12,1623927929, 0, 0, 2.46
AFLfast,tcpdump,12,1623927950, 0, 0, 2.53
AFLfast,tcpdump,12,1623927970, 0, 0, 2.38
AFLfast,tcpdump,12,1623927997, 0, 0, 2.43
AFLfast,tcpdump,12,1623928012, 0, 0, 2.46
AFLfast,tcpdump,12,1623928034, 0, 0, 2.44
AFLfast,tcpdump,12,1623928055, 0, 0, 2.54
AFLfast,tcpdump,12,1623928075, 0, 0, 2.62
AFLfast,tcpdump,12,1623928096, 0, 0, 2.61
AFLfast,tcpdump,12,1623928116, 0, 0, 2.60
AFLfast,tcpdump,12,1623928137, 0, 0, 2.58
AFLfast,tcpdump,12,1623928157, 0, 0, 2.52
AFLfast,tcpdump,12,1623928178, 0, 0, 2.48
AFLfast,tcpdump,12,1623928194, 0, 0, 3.12
AFLfast,tcpdump,12,1623928214, 0, 0, 2.61
AFLfast,tcpdump,12,1623928235, 0, 0, 2.60
AFLfast,tcpdump,12,1623928255, 0, 0, 2.63
AFLfast,tcpdump,12,1623928271, 0, 0, 2.62
AFLfast,tcpdump,12,1623928292, 0, 0, 2.67
AFLfast,tcpdump,12,1623928313, 0, 0, 2.50
AFLfast,tcpdump,12,1623928334, 0, 0, 2.48
AFLfast,tcpdump,12,1623928354, 0, 0, 2.51
AFLfast,tcpdump,12,1623928375, 0, 0, 2.52
AFLfast,tcpdump,12,1623928390, 0, 0, 2.52
AFLfast,tcpdump,12,1623928411, 0, 0, 2.45
AFLfast,tcpdump,12,1623928432, 0, 0, 2.43
AFLfast,tcpdump,12,1623928453, 0, 0, 2.49
AFLfast,tcpdump,12,1623928474, 0, 0, 2.60
AFLfast,tcpdump,12,1623928494, 0, 0, 2.45
AFLfast,tcpdump,12,1623928515, 0, 0, 2.40
AFLfast,tcpdump,12,1623928536, 0, 0, 2.45
AFLfast,tcpdump,12,1623928558, 0, 0, 2.46
AFLfast,tcpdump,12,1623928578, 0, 0, 2.53
AFLfast,tcpdump,12,1623928599, 0, 0, 2.67
AFLfast,tcpdump,12,1623928620, 0, 0, 2.49
AFLfast,tcpdump,12,1623928641, 0, 0, 2.52
AFLfast,tcpdump,12,1623928656, 0, 0, 2.54
AFLfast,tcpdump,12,1623928677, 0, 0, 2.53
AFLfast,tcpdump,12,1623928697, 0, 0, 2.58
AFLfast,tcpdump,12,1623928718, 0, 0, 2.55
AFLfast,tcpdump,12,1623928738, 0, 0, 2.44
AFLfast,tcpdump,12,1623928759, 0, 0, 2.47
AFLfast,tcpdump,12,1623928780, 0, 0, 2.51
AFLfast,tcpdump,12,1623928796, 0, 0, 3.17
AFLfast,tcpdump,12,1623928812, 0, 0, 3.23
AFLfast,tcpdump,12,1623928832, 0, 0, 2.54
AFLfast,tcpdump,12,1623928853, 0, 0, 2.46
AFLfast,tcpdump,12,1623928874, 0, 0, 2.41
AFLfast,tcpdump,12,1623928895, 0, 0, 2.48
AFLfast,tcpdump,12,1623928916, 0, 0, 2.39
AFLfast,tcpdump,12,1623928937, 0, 0, 2.38
AFLfast,tcpdump,12,1623928963, 0, 0, 2.27
AFLfast,tcpdump,12,1623928984, 0, 0, 2.33
AFLfast,tcpdump,12,1623929004, 0, 0, 2.33
AFLfast,tcpdump,12,1623929025, 0, 0, 2.80
AFLfast,tcpdump,12,1623929046, 0, 0, 2.62
AFLfast,tcpdump,12,1623929067, 0, 0, 2.63
AFLfast,tcpdump,12,1623929083, 0, 0, 2.64
AFLfast,tcpdump,12,1623929103, 0, 0, 2.58
AFLfast,tcpdump,12,1623929124, 0, 0, 2.57
AFLfast,tcpdump,12,1623929145, 0, 0, 2.46
AFLfast,tcpdump,12,1623929166, 0, 0, 2.51
AFLfast,tcpdump,12,1623929186, 0, 0, 2.56
AFLfast,tcpdump,12,1623929207, 0, 0, 2.51
AFLfast,tcpdump,12,1623929227, 0, 0, 2.54
AFLfast,tcpdump,12,1623929249, 0, 0, 2.43
AFLfast,tcpdump,12,1623929264, 0, 0, 2.58
AFLfast,tcpdump,12,1623929285, 0, 0, 2.44
AFLfast,tcpdump,12,1623929306, 0, 0, 2.46
AFLfast,tcpdump,12,1623929327, 0, 0, 2.48
AFLfast,tcpdump,12,1623929348, 0, 0, 2.43
AFLfast,tcpdump,12,1623929369, 0, 0, 2.50
AFLfast,tcpdump,12,1623929390, 0, 0, 2.42
AFLfast,tcpdump,12,1623929411, 0, 0, 2.38
AFLfast,tcpdump,12,1623929432, 0, 0, 2.48
AFLfast,tcpdump,12,1623929453, 0, 0, 2.51
AFLfast,tcpdump,12,1623929474, 0, 0, 2.57
AFLfast,tcpdump,12,1623929495, 0, 0, 2.57
AFLfast,tcpdump,12,1623929515, 0, 0, 2.53
AFLfast,tcpdump,12,1623929536, 0, 0, 2.59
AFLfast,tcpdump,12,1623929556, 0, 0, 2.50
AFLfast,tcpdump,12,1623929577, 0, 0, 2.45
AFLfast,tcpdump,12,1623929599, 0, 0, 2.49
AFLfast,tcpdump,12,1623929619, 0, 0, 2.52
AFLfast,tcpdump,12,1623929640, 0, 0, 2.47
AFLfast,tcpdump,12,1623929655, 0, 0, 2.51
AFLfast,tcpdump,12,1623929676, 0, 0, 2.53
AFLfast,tcpdump,12,1623929697, 0, 0, 2.45
AFLfast,tcpdump,12,1623929718, 0, 0, 2.49
AFLfast,tcpdump,12,1623929739, 0, 0, 2.48
AFLfast,tcpdump,12,1623929760, 0, 0, 2.56
AFLfast,tcpdump,12,1623929780, 0, 0, 2.56
AFLfast,tcpdump,12,1623929801, 0, 0, 2.57
AFLfast,tcpdump,12,1623929822, 0, 0, 2.39
AFLfast,tcpdump,12,1623929843, 0, 0, 2.50
AFLfast,tcpdump,12,1623929864, 0, 0, 2.47
AFLfast,tcpdump,12,1623929884, 0, 0, 2.57
AFLfast,tcpdump,12,1623929905, 0, 0, 2.53
AFLfast,tcpdump,12,1623929926, 0, 0, 2.51
AFLfast,tcpdump,12,1623929947, 0, 0, 2.44
AFLfast,tcpdump,12,1623929968, 0, 0, 2.48
AFLfast,tcpdump,12,1623929983, 0, 0, 2.49
AFLfast,tcpdump,12,1623930004, 0, 0, 2.74
AFLfast,tcpdump,12,1623930025, 0, 0, 2.65
AFLfast,tcpdump,12,1623930041, 0, 0, 2.64
AFLfast,tcpdump,12,1623930062, 0, 0, 2.66
AFLfast,tcpdump,12,1623930083, 0, 0, 2.61
AFLfast,tcpdump,12,1623930104, 0, 0, 2.57
AFLfast,tcpdump,12,1623930119, 0, 0, 2.57
AFLfast,tcpdump,12,1623930140, 0, 0, 2.59
AFLfast,tcpdump,12,1623930160, 0, 0, 3.29
AFLfast,tcpdump,12,1623930176, 0, 0, 2.75
AFLfast,tcpdump,12,1623930196, 0, 0, 2.52
AFLfast,tcpdump,12,1623930218, 0, 0, 2.48
AFLfast,tcpdump,12,1623930238, 0, 0, 2.46
AFLfast,tcpdump,12,1623930259, 0, 0, 2.54
AFLfast,tcpdump,12,1623930275, 0, 0, 2.46
AFLfast,tcpdump,12,1623930296, 0, 0, 2.60
AFLfast,tcpdump,12,1623930316, 0, 0, 2.43
AFLfast,tcpdump,12,1623930343, 0, 0, 2.24
AFLfast,tcpdump,12,1623930364, 0, 0, 2.21
AFLfast,tcpdump,12,1623930390, 0, 0, 2.10
AFLfast,tcpdump,12,1623930411, 0, 0, 2.20
AFLfast,tcpdump,12,1623930436, 0, 0, 2.18
AFLfast,tcpdump,12,1623930457, 0, 0, 2.19
AFLfast,tcpdump,12,1623930478, 0, 0, 2.95
AFLfast,tcpdump,12,1623930493, 0, 0, 3.37
AFLfast,tcpdump,12,1623930514, 0, 0, 2.58
AFLfast,tcpdump,12,1623930535, 0, 0, 2.29
AFLfast,tcpdump,12,1623930556, 0, 0, 2.41
