alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tcpdump,5,1623922183, 0, 0, 18, 18, 1, 0.13%, 0, 0, 1, 1.95
AFLfast,tcpdump,5,1623922530, 1, 0, 18, 17, 0, 0.13%, 0, 0, 1, 1.99
AFLfast,tcpdump,5,1623922551, 1, 1, 18, 17, 0, 0.13%, 0, 0, 1, 2.21
AFLfast,tcpdump,5,1623922889, 1, 5, 18, 16, 0, 0.13%, 0, 0, 1, 2.02
AFLfast,tcpdump,5,1623923225, 1, 7, 18, 15, 0, 0.13%, 0, 0, 1, 2.31
AFLfast,tcpdump,5,1623923518, 1, 13, 18, 14, 0, 0.13%, 0, 0, 1, 2.37
AFLfast,tcpdump,5,1623923798, 2, 1, 18, 13, 0, 0.13%, 0, 0, 1, 2.65
AFLfast,tcpdump,5,1623923819, 2, 4, 18, 13, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623924088, 2, 8, 18, 12, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623924359, 2, 9, 18, 11, 0, 0.13%, 0, 0, 1, 2.64
AFLfast,tcpdump,5,1623924633, 2, 11, 18, 10, 0, 0.13%, 0, 0, 1, 2.55
AFLfast,tcpdump,5,1623924904, 2, 12, 18, 9, 0, 0.13%, 0, 0, 1, 2.55
AFLfast,tcpdump,5,1623925185, 2, 15, 18, 8, 0, 0.13%, 0, 0, 1, 2.60
AFLfast,tcpdump,5,1623925467, 3, 1, 18, 7, 0, 0.13%, 0, 0, 1, 2.50
AFLfast,tcpdump,5,1623925488, 3, 2, 18, 7, 0, 0.13%, 0, 0, 1, 2.51
AFLfast,tcpdump,5,1623925762, 3, 6, 18, 6, 0, 0.13%, 0, 0, 1, 2.61
AFLfast,tcpdump,5,1623926039, 3, 12, 18, 5, 0, 0.13%, 0, 0, 1, 2.57
AFLfast,tcpdump,5,1623926054, 4, 1, 18, 5, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623926075, 4, 3, 18, 5, 0, 0.13%, 0, 0, 1, 2.53
AFLfast,tcpdump,5,1623926354, 4, 16, 18, 4, 0, 0.13%, 0, 0, 1, 2.58
AFLfast,tcpdump,5,1623926630, 5, 1, 18, 3, 0, 0.13%, 0, 0, 1, 2.40
AFLfast,tcpdump,5,1623926651, 5, 6, 18, 3, 0, 0.13%, 0, 0, 1, 2.47
AFLfast,tcpdump,5,1623926672, 5, 14, 18, 3, 0, 0.13%, 0, 0, 1, 2.53
AFLfast,tcpdump,5,1623926941, 6, 1, 18, 2, 0, 0.13%, 0, 0, 1, 2.58
AFLfast,tcpdump,5,1623926962, 7, 0, 18, 2, 0, 0.13%, 0, 0, 1, 2.60
AFLfast,tcpdump,5,1623926983, 7, 1, 18, 2, 0, 0.13%, 0, 0, 1, 2.66
AFLfast,tcpdump,5,1623926999, 8, 1, 18, 2, 0, 0.13%, 0, 0, 1, 2.71
AFLfast,tcpdump,5,1623927020, 9, 1, 18, 2, 0, 0.13%, 0, 0, 1, 2.63
AFLfast,tcpdump,5,1623927041, 9, 14, 18, 2, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623927061, 9, 17, 18, 2, 0, 0.13%, 0, 0, 1, 2.47
AFLfast,tcpdump,5,1623927343, 10, 1, 18, 1, 0, 0.13%, 0, 0, 1, 2.54
AFLfast,tcpdump,5,1623927364, 10, 8, 18, 1, 0, 0.13%, 0, 0, 1, 2.52
AFLfast,tcpdump,5,1623927384, 10, 10, 18, 1, 0, 0.13%, 0, 0, 1, 2.41
AFLfast,tcpdump,5,1623927652, 11, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623927673, 11, 13, 18, 0, 0, 0.13%, 0, 0, 1, 2.51
AFLfast,tcpdump,5,1623927694, 12, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.49
AFLfast,tcpdump,5,1623927715, 13, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.49
AFLfast,tcpdump,5,1623927730, 13, 4, 18, 0, 0, 0.13%, 0, 0, 1, 2.61
AFLfast,tcpdump,5,1623927751, 13, 13, 18, 0, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623927772, 14, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.50
AFLfast,tcpdump,5,1623927788, 14, 4, 18, 0, 0, 0.13%, 0, 0, 1, 3.26
AFLfast,tcpdump,5,1623927803, 14, 7, 18, 0, 0, 0.13%, 0, 0, 1, 3.25
AFLfast,tcpdump,5,1623927819, 15, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.97
AFLfast,tcpdump,5,1623927840, 15, 5, 18, 0, 0, 0.13%, 0, 0, 1, 2.54
AFLfast,tcpdump,5,1623927860, 15, 8, 18, 0, 0, 0.13%, 0, 0, 1, 2.51
AFLfast,tcpdump,5,1623927881, 15, 13, 18, 0, 0, 0.13%, 0, 0, 1, 2.61
AFLfast,tcpdump,5,1623927901, 16, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.56
AFLfast,tcpdump,5,1623927922, 17, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.41
AFLfast,tcpdump,5,1623927943, 17, 14, 18, 0, 0, 0.13%, 0, 0, 1, 2.51
AFLfast,tcpdump,5,1623927964, 18, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.42
AFLfast,tcpdump,5,1623927985, 18, 2, 18, 0, 0, 0.13%, 0, 0, 1, 2.39
AFLfast,tcpdump,5,1623928005, 18, 12, 18, 0, 0, 0.13%, 0, 0, 1, 2.52
AFLfast,tcpdump,5,1623928026, 18, 15, 18, 0, 0, 0.13%, 0, 0, 1, 2.41
AFLfast,tcpdump,5,1623928047, 19, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.52
AFLfast,tcpdump,5,1623928067, 19, 9, 18, 0, 0, 0.13%, 0, 0, 1, 2.60
AFLfast,tcpdump,5,1623928088, 20, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.58
AFLfast,tcpdump,5,1623928108, 20, 9, 18, 0, 0, 0.13%, 0, 0, 1, 2.57
AFLfast,tcpdump,5,1623928124, 20, 10, 18, 0, 0, 0.13%, 0, 0, 1, 2.59
AFLfast,tcpdump,5,1623928145, 20, 11, 18, 0, 0, 0.13%, 0, 0, 1, 2.49
AFLfast,tcpdump,5,1623928165, 21, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.53
AFLfast,tcpdump,5,1623928186, 22, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.48
AFLfast,tcpdump,5,1623928207, 23, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.68
AFLfast,tcpdump,5,1623928222, 23, 17, 18, 0, 0, 0.13%, 0, 0, 1, 2.57
AFLfast,tcpdump,5,1623928243, 24, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.60
AFLfast,tcpdump,5,1623928264, 24, 4, 18, 0, 0, 0.13%, 0, 0, 1, 2.62
AFLfast,tcpdump,5,1623928285, 24, 8, 18, 0, 0, 0.13%, 0, 0, 1, 2.66
AFLfast,tcpdump,5,1623928300, 24, 15, 18, 0, 0, 0.13%, 0, 0, 1, 2.65
AFLfast,tcpdump,5,1623928321, 25, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.50
AFLfast,tcpdump,5,1623928342, 25, 6, 18, 0, 0, 0.13%, 0, 0, 1, 2.50
AFLfast,tcpdump,5,1623928363, 26, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.53
AFLfast,tcpdump,5,1623928384, 26, 4, 18, 0, 0, 0.13%, 0, 0, 1, 2.53
AFLfast,tcpdump,5,1623928405, 27, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.45
AFLfast,tcpdump,5,1623928425, 27, 4, 18, 0, 0, 0.13%, 0, 0, 1, 2.53
AFLfast,tcpdump,5,1623928446, 28, 1, 18, 0, 0, 0.13%, 0, 0, 1, 2.45
AFLfast,tcpdump,5,1623928467, 28, 14, 18, 0, 0, 0.13%, 0, 0, 1, 2.94
AFLfast,tcpdump,5,1623928483, 28, 17, 18, 0, 0, 0.13%, 0, 0, 1, 2.52
