alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftops,1,1624096996, 0, 0, 1.88
AFLfast,pdftops,1,1624098862, 0, 0, 0.93
AFLfast,pdftops,1,1624098940, 0, 0, 0.62
AFLfast,pdftops,1,1624098953, 0, 0, 0.62
AFLfast,pdftops,1,1624098972, 0, 0, 0.63
AFLfast,pdftops,1,1624099102, 0, 0, 7.89
AFLfast,pdftops,1,1624099108, 0, 0, 5.87
AFLfast,pdftops,1,1624099113, 0, 0, 6.20
AFLfast,pdftops,1,1624099119, 0, 0, 0.59
AFLfast,pdftops,1,1624099131, 0, 0, 4.03
AFLfast,pdftops,1,1624099141, 0, 0, 5.58
AFLfast,pdftops,1,1624099146, 0, 0, 5.56
AFLfast,pdftops,1,1624099151, 0, 0, 5.92
AFLfast,pdftops,1,1624099157, 0, 0, 5.79
AFLfast,pdftops,1,1624099162, 0, 0, 5.94
AFLfast,pdftops,1,1624099167, 0, 0, 5.10
AFLfast,pdftops,1,1624099172, 0, 0, 0.59
AFLfast,pdftops,1,1624099177, 0, 0, 5.14
AFLfast,pdftops,1,1624099182, 0, 0, 1.07
AFLfast,pdftops,1,1624099194, 0, 0, 1.02
AFLfast,pdftops,1,1624099205, 0, 0, 1.76
AFLfast,pdftops,1,1624099210, 0, 0, 1.55
AFLfast,pdftops,1,1624099222, 0, 0, 2.60
AFLfast,pdftops,1,1624099227, 0, 0, 2.50
AFLfast,pdftops,1,1624099244, 0, 0, 2.99
AFLfast,pdftops,1,1624099255, 0, 0, 1.99
AFLfast,pdftops,1,1624099272, 0, 0, 2.32
AFLfast,pdftops,1,1624099320, 0, 0, 1.15
AFLfast,pdftops,1,1624099336, 0, 0, 1.02
AFLfast,pdftops,1,1624099347, 0, 0, 6.45
AFLfast,pdftops,1,1624099357, 0, 0, 6.24
AFLfast,pdftops,1,1624099362, 0, 0, 6.20
AFLfast,pdftops,1,1624099367, 0, 0, 6.06
AFLfast,pdftops,1,1624099373, 0, 0, 5.13
AFLfast,pdftops,1,1624099378, 0, 0, 5.89
AFLfast,pdftops,1,1624099383, 0, 0, 6.19
AFLfast,pdftops,1,1624099388, 0, 0, 6.17
AFLfast,pdftops,1,1624099393, 0, 0, 6.20
AFLfast,pdftops,1,1624099399, 0, 0, 0.96
AFLfast,pdftops,1,1624099409, 0, 0, 1.19
AFLfast,pdftops,1,1624099426, 0, 0, 6.20
AFLfast,pdftops,1,1624099431, 0, 0, 6.00
