alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pdftops,4,1624097100, 0, 0, 10, 10, 10, 13.24%, 0, 0, 1, 1.52
AFLfast,pdftops,4,1624097291, 0, 0, 11, 11, 10, 13.27%, 0, 0, 2, 1.24
AFLfast,pdftops,4,1624097333, 0, 0, 12, 12, 10, 13.28%, 0, 0, 2, 1.16
AFLfast,pdftops,4,1624097344, 0, 0, 13, 13, 10, 13.28%, 0, 0, 2, 1.15
AFLfast,pdftops,4,1624097420, 0, 0, 14, 14, 10, 13.30%, 0, 0, 2, 1.19
AFLfast,pdftops,4,1624097425, 0, 0, 15, 15, 10, 13.30%, 0, 0, 2, 1.25
AFLfast,pdftops,4,1624097436, 0, 0, 16, 16, 10, 13.31%, 0, 0, 2, 1.29
AFLfast,pdftops,4,1624097441, 0, 0, 17, 17, 10, 13.33%, 0, 0, 2, 1.28
AFLfast,pdftops,4,1624097452, 0, 0, 18, 18, 10, 13.33%, 0, 0, 2, 1.29
AFLfast,pdftops,4,1624097457, 0, 0, 19, 19, 10, 13.33%, 0, 0, 2, 1.30
AFLfast,pdftops,4,1624097474, 0, 0, 20, 20, 10, 13.34%, 0, 0, 2, 1.30
AFLfast,pdftops,4,1624097479, 0, 0, 21, 21, 10, 13.34%, 0, 0, 2, 1.31
AFLfast,pdftops,4,1624097490, 0, 0, 22, 22, 10, 13.34%, 0, 0, 2, 1.27
AFLfast,pdftops,4,1624097522, 0, 0, 23, 23, 10, 13.34%, 0, 0, 2, 1.31
AFLfast,pdftops,4,1624097533, 0, 0, 24, 24, 10, 13.34%, 0, 0, 2, 1.31
AFLfast,pdftops,4,1624097543, 0, 0, 25, 25, 10, 13.34%, 0, 0, 2, 1.32
AFLfast,pdftops,4,1624097554, 0, 0, 26, 26, 10, 13.37%, 0, 0, 2, 1.35
