alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftotext,12,1624098158, 0, 0, 3.91
AFLfast,pdftotext,12,1624098354, 0, 0, 5.17
AFLfast,pdftotext,12,1624098365, 0, 0, 3.97
AFLfast,pdftotext,12,1624098370, 0, 0, 3.85
AFLfast,pdftotext,12,1624098391, 0, 0, 4.16
AFLfast,pdftotext,12,1624098397, 0, 0, 4.66
AFLfast,pdftotext,12,1624098402, 0, 0, 4.86
AFLfast,pdftotext,12,1624098407, 0, 0, 5.00
AFLfast,pdftotext,12,1624098412, 0, 0, 5.09
AFLfast,pdftotext,12,1624098417, 0, 0, 4.90
AFLfast,pdftotext,12,1624098422, 0, 0, 4.86
AFLfast,pdftotext,12,1624098427, 0, 0, 4.83
AFLfast,pdftotext,12,1624098433, 0, 0, 4.90
AFLfast,pdftotext,12,1624098438, 0, 0, 4.86
AFLfast,pdftotext,12,1624098448, 0, 0, 5.01
AFLfast,pdftotext,12,1624098453, 0, 0, 4.99
AFLfast,pdftotext,12,1624098459, 0, 0, 4.73
AFLfast,pdftotext,12,1624098464, 0, 0, 4.42
AFLfast,pdftotext,12,1624098469, 0, 0, 3.99
AFLfast,pdftotext,12,1624098474, 0, 0, 4.07
AFLfast,pdftotext,12,1624098479, 0, 0, 4.08
AFLfast,pdftotext,12,1624098490, 0, 0, 4.18
AFLfast,pdftotext,12,1624098495, 0, 0, 4.53
AFLfast,pdftotext,12,1624098500, 0, 0, 4.77
AFLfast,pdftotext,12,1624098510, 0, 0, 4.76
AFLfast,pdftotext,12,1624098515, 0, 0, 4.92
AFLfast,pdftotext,12,1624098526, 0, 0, 4.97
AFLfast,pdftotext,12,1624098531, 0, 0, 4.89
AFLfast,pdftotext,12,1624098541, 0, 0, 4.84
AFLfast,pdftotext,12,1624098552, 0, 0, 5.00
AFLfast,pdftotext,12,1624098557, 0, 0, 4.98
AFLfast,pdftotext,12,1624098563, 0, 0, 4.89
AFLfast,pdftotext,12,1624098568, 0, 0, 4.48
AFLfast,pdftotext,12,1624098573, 0, 0, 4.64
AFLfast,pdftotext,12,1624098578, 0, 0, 4.57
AFLfast,pdftotext,12,1624098583, 0, 0, 4.78
AFLfast,pdftotext,12,1624098589, 0, 0, 4.92
AFLfast,pdftotext,12,1624098594, 0, 0, 4.80
AFLfast,pdftotext,12,1624098599, 0, 0, 4.83
AFLfast,pdftotext,12,1624098604, 0, 0, 4.82
AFLfast,pdftotext,12,1624098609, 0, 0, 4.78
AFLfast,pdftotext,12,1624098614, 0, 0, 4.82
AFLfast,pdftotext,12,1624098620, 0, 0, 4.53
AFLfast,pdftotext,12,1624098625, 0, 0, 4.15
AFLfast,pdftotext,12,1624098630, 0, 0, 4.51
AFLfast,pdftotext,12,1624098635, 0, 0, 4.80
AFLfast,pdftotext,12,1624098641, 0, 0, 4.63
AFLfast,pdftotext,12,1624098646, 0, 0, 4.57
AFLfast,pdftotext,12,1624098651, 0, 0, 4.83
AFLfast,pdftotext,12,1624098657, 0, 0, 4.93
AFLfast,pdftotext,12,1624098662, 0, 0, 4.87
AFLfast,pdftotext,12,1624098667, 0, 0, 4.61
AFLfast,pdftotext,12,1624098673, 0, 0, 4.76
AFLfast,pdftotext,12,1624098678, 0, 0, 4.64
AFLfast,pdftotext,12,1624098683, 0, 0, 4.73
AFLfast,pdftotext,12,1624098688, 0, 0, 4.43
AFLfast,pdftotext,12,1624098693, 0, 0, 4.26
AFLfast,pdftotext,12,1624098698, 0, 0, 4.19
AFLfast,pdftotext,12,1624098703, 0, 0, 4.40
AFLfast,pdftotext,12,1624098709, 0, 0, 4.44
AFLfast,pdftotext,12,1624098714, 0, 0, 4.37
AFLfast,pdftotext,12,1624098719, 0, 0, 4.48
AFLfast,pdftotext,12,1624098724, 0, 0, 4.51
AFLfast,pdftotext,12,1624098730, 0, 0, 4.64
AFLfast,pdftotext,12,1624098735, 0, 0, 4.67
AFLfast,pdftotext,12,1624098740, 0, 0, 4.84
AFLfast,pdftotext,12,1624098745, 0, 0, 4.43
AFLfast,pdftotext,12,1624098750, 0, 0, 4.46
AFLfast,pdftotext,12,1624098756, 0, 0, 4.42
AFLfast,pdftotext,12,1624098761, 0, 0, 4.24
AFLfast,pdftotext,12,1624098766, 0, 0, 4.28
AFLfast,pdftotext,12,1624098771, 0, 0, 4.61
AFLfast,pdftotext,12,1624098776, 0, 0, 4.66
AFLfast,pdftotext,12,1624098781, 0, 0, 4.49
AFLfast,pdftotext,12,1624098786, 0, 0, 4.54
AFLfast,pdftotext,12,1624098792, 0, 0, 4.72
AFLfast,pdftotext,12,1624098797, 0, 0, 4.72
AFLfast,pdftotext,12,1624098802, 0, 0, 4.84
AFLfast,pdftotext,12,1624098807, 0, 0, 4.58
AFLfast,pdftotext,12,1624098813, 0, 0, 4.49
AFLfast,pdftotext,12,1624098818, 0, 0, 4.38
AFLfast,pdftotext,12,1624098823, 0, 0, 4.05
AFLfast,pdftotext,12,1624098828, 0, 0, 4.03
AFLfast,pdftotext,12,1624098833, 0, 0, 3.86
AFLfast,pdftotext,12,1624098839, 0, 0, 4.00
AFLfast,pdftotext,12,1624098844, 0, 0, 4.26
AFLfast,pdftotext,12,1624098849, 0, 0, 4.04
AFLfast,pdftotext,12,1624098859, 0, 0, 4.07
AFLfast,pdftotext,12,1624098865, 0, 0, 3.89
AFLfast,pdftotext,12,1624098870, 0, 0, 3.98
AFLfast,pdftotext,12,1624098875, 0, 0, 4.12
AFLfast,pdftotext,12,1624098880, 0, 0, 4.02
AFLfast,pdftotext,12,1624098885, 0, 0, 4.11
AFLfast,pdftotext,12,1624098891, 0, 0, 3.96
AFLfast,pdftotext,12,1624098896, 0, 0, 4.05
AFLfast,pdftotext,12,1624098901, 0, 0, 4.33
AFLfast,pdftotext,12,1624098906, 0, 0, 4.37
AFLfast,pdftotext,12,1624098912, 0, 0, 4.40
AFLfast,pdftotext,12,1624098917, 0, 0, 4.36
AFLfast,pdftotext,12,1624098922, 0, 0, 4.34
AFLfast,pdftotext,12,1624098927, 0, 0, 4.03
AFLfast,pdftotext,12,1624098932, 0, 0, 3.89
AFLfast,pdftotext,12,1624098938, 0, 0, 3.82
AFLfast,pdftotext,12,1624098943, 0, 0, 3.99
AFLfast,pdftotext,12,1624098948, 0, 0, 4.03
AFLfast,pdftotext,12,1624098953, 0, 0, 4.09
AFLfast,pdftotext,12,1624098958, 0, 0, 4.23
AFLfast,pdftotext,12,1624098963, 0, 0, 4.25
AFLfast,pdftotext,12,1624098969, 0, 0, 4.38
AFLfast,pdftotext,12,1624098974, 0, 0, 4.48
AFLfast,pdftotext,12,1624098979, 0, 0, 4.28
AFLfast,pdftotext,12,1624098984, 0, 0, 4.29
AFLfast,pdftotext,12,1624098989, 0, 0, 4.47
AFLfast,pdftotext,12,1624098994, 0, 0, 4.39
AFLfast,pdftotext,12,1624099000, 0, 0, 4.29
AFLfast,pdftotext,12,1624099005, 0, 0, 4.38
AFLfast,pdftotext,12,1624099010, 0, 0, 4.36
AFLfast,pdftotext,12,1624099015, 0, 0, 4.34
AFLfast,pdftotext,12,1624099020, 0, 0, 3.92
AFLfast,pdftotext,12,1624099025, 0, 0, 4.01
AFLfast,pdftotext,12,1624099030, 0, 0, 4.08
AFLfast,pdftotext,12,1624099035, 0, 0, 4.02
AFLfast,pdftotext,12,1624099041, 0, 0, 4.03
AFLfast,pdftotext,12,1624099046, 0, 0, 4.29
AFLfast,pdftotext,12,1624099051, 0, 0, 4.13
AFLfast,pdftotext,12,1624099056, 0, 0, 4.08
AFLfast,pdftotext,12,1624099061, 0, 0, 4.13
AFLfast,pdftotext,12,1624099067, 0, 0, 4.02
AFLfast,pdftotext,12,1624099072, 0, 0, 3.94
AFLfast,pdftotext,12,1624099077, 0, 0, 4.21
AFLfast,pdftotext,12,1624099082, 0, 0, 4.29
AFLfast,pdftotext,12,1624099088, 0, 0, 4.16
AFLfast,pdftotext,12,1624099093, 0, 0, 4.15
AFLfast,pdftotext,12,1624099098, 0, 0, 4.14
AFLfast,pdftotext,12,1624099103, 0, 0, 4.14
AFLfast,pdftotext,12,1624099108, 0, 0, 4.29
AFLfast,pdftotext,12,1624099113, 0, 0, 4.20
AFLfast,pdftotext,12,1624099119, 0, 0, 4.23
AFLfast,pdftotext,12,1624099124, 0, 0, 4.20
AFLfast,pdftotext,12,1624099129, 0, 0, 4.06
AFLfast,pdftotext,12,1624099134, 0, 0, 4.12
AFLfast,pdftotext,12,1624099139, 0, 0, 4.15
AFLfast,pdftotext,12,1624099144, 0, 0, 3.87
AFLfast,pdftotext,12,1624099149, 0, 0, 4.21
AFLfast,pdftotext,12,1624099154, 0, 0, 4.16
AFLfast,pdftotext,12,1624099160, 0, 0, 3.89
AFLfast,pdftotext,12,1624099165, 0, 0, 3.80
AFLfast,pdftotext,12,1624099170, 0, 0, 3.61
AFLfast,pdftotext,12,1624099175, 0, 0, 4.10
AFLfast,pdftotext,12,1624099180, 0, 0, 4.20
AFLfast,pdftotext,12,1624099185, 0, 0, 3.96
AFLfast,pdftotext,12,1624099191, 0, 0, 4.08
AFLfast,pdftotext,12,1624099196, 0, 0, 4.01
AFLfast,pdftotext,12,1624099201, 0, 0, 4.00
AFLfast,pdftotext,12,1624099206, 0, 0, 4.02
AFLfast,pdftotext,12,1624099211, 0, 0, 3.92
AFLfast,pdftotext,12,1624099217, 0, 0, 3.83
AFLfast,pdftotext,12,1624099222, 0, 0, 3.84
AFLfast,pdftotext,12,1624099227, 0, 0, 3.97
AFLfast,pdftotext,12,1624099232, 0, 0, 3.85
AFLfast,pdftotext,12,1624099237, 0, 0, 3.98
AFLfast,pdftotext,12,1624099243, 0, 0, 3.72
AFLfast,pdftotext,12,1624099248, 0, 0, 3.77
AFLfast,pdftotext,12,1624099253, 0, 0, 3.68
AFLfast,pdftotext,12,1624099258, 0, 0, 3.58
AFLfast,pdftotext,12,1624099263, 0, 0, 3.66
AFLfast,pdftotext,12,1624099269, 0, 0, 3.92
AFLfast,pdftotext,12,1624099274, 0, 0, 3.97
AFLfast,pdftotext,12,1624099279, 0, 0, 4.19
AFLfast,pdftotext,12,1624099284, 0, 0, 4.12
AFLfast,pdftotext,12,1624099290, 0, 0, 4.16
AFLfast,pdftotext,12,1624099295, 0, 0, 4.00
AFLfast,pdftotext,12,1624099300, 0, 0, 3.97
AFLfast,pdftotext,12,1624099305, 0, 0, 3.92
AFLfast,pdftotext,12,1624099310, 0, 0, 3.69
AFLfast,pdftotext,12,1624099316, 0, 0, 3.77
AFLfast,pdftotext,12,1624099321, 0, 0, 3.87
AFLfast,pdftotext,12,1624099326, 0, 0, 4.02
AFLfast,pdftotext,12,1624099331, 0, 0, 3.95
AFLfast,pdftotext,12,1624099336, 0, 0, 3.90
AFLfast,pdftotext,12,1624099341, 0, 0, 4.04
AFLfast,pdftotext,12,1624099346, 0, 0, 4.19
AFLfast,pdftotext,12,1624099351, 0, 0, 4.35
AFLfast,pdftotext,12,1624099356, 0, 0, 3.98
AFLfast,pdftotext,12,1624099362, 0, 0, 3.78
AFLfast,pdftotext,12,1624099367, 0, 0, 4.10
AFLfast,pdftotext,12,1624099372, 0, 0, 4.01
AFLfast,pdftotext,12,1624099377, 0, 0, 4.20
AFLfast,pdftotext,12,1624099382, 0, 0, 3.88
AFLfast,pdftotext,12,1624099388, 0, 0, 3.97
AFLfast,pdftotext,12,1624099393, 0, 0, 4.15
AFLfast,pdftotext,12,1624099398, 0, 0, 4.13
AFLfast,pdftotext,12,1624099403, 0, 0, 4.14
AFLfast,pdftotext,12,1624099408, 0, 0, 4.03
AFLfast,pdftotext,12,1624099414, 0, 0, 4.11
AFLfast,pdftotext,12,1624099419, 0, 0, 4.20
AFLfast,pdftotext,12,1624099424, 0, 0, 3.96
AFLfast,pdftotext,12,1624099429, 0, 0, 4.26
AFLfast,pdftotext,12,1624099434, 0, 0, 4.11
AFLfast,pdftotext,12,1624099439, 0, 0, 4.06
