alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pdftotext,3,1624097961, 0, 0, 10, 10, 10, 10.99%, 0, 0, 1, 3.63
AFLfast,pdftotext,3,1624098137, 0, 0, 11, 11, 10, 11.08%, 0, 0, 2, 4.96
AFLfast,pdftotext,3,1624098148, 0, 0, 13, 13, 10, 11.22%, 0, 0, 2, 3.91
AFLfast,pdftotext,3,1624098153, 0, 0, 14, 14, 10, 11.22%, 0, 0, 2, 3.83
AFLfast,pdftotext,3,1624098174, 0, 0, 15, 15, 10, 11.23%, 0, 0, 2, 4.42
AFLfast,pdftotext,3,1624098179, 0, 0, 18, 18, 10, 11.24%, 0, 0, 2, 4.90
AFLfast,pdftotext,3,1624098184, 0, 0, 20, 20, 10, 11.24%, 0, 0, 2, 5.04
AFLfast,pdftotext,3,1624098190, 0, 0, 22, 22, 10, 11.24%, 0, 0, 2, 5.07
AFLfast,pdftotext,3,1624098200, 0, 0, 24, 24, 10, 11.28%, 0, 0, 2, 5.01
AFLfast,pdftotext,3,1624098205, 0, 0, 27, 27, 10, 11.29%, 0, 0, 2, 4.99
AFLfast,pdftotext,3,1624098211, 0, 0, 29, 29, 10, 11.31%, 0, 0, 2, 5.02
AFLfast,pdftotext,3,1624098216, 0, 0, 32, 32, 10, 11.31%, 0, 0, 2, 5.05
AFLfast,pdftotext,3,1624098221, 0, 0, 33, 33, 10, 11.34%, 0, 0, 2, 4.96
AFLfast,pdftotext,3,1624098226, 0, 0, 34, 34, 10, 11.34%, 0, 0, 2, 5.04
AFLfast,pdftotext,3,1624098232, 0, 0, 35, 35, 10, 11.34%, 0, 0, 2, 4.91
AFLfast,pdftotext,3,1624098237, 0, 0, 38, 38, 10, 11.36%, 0, 0, 2, 4.90
AFLfast,pdftotext,3,1624098242, 0, 0, 39, 39, 10, 11.36%, 0, 0, 2, 4.49
AFLfast,pdftotext,3,1624098248, 0, 0, 40, 40, 10, 11.36%, 0, 0, 2, 4.13
AFLfast,pdftotext,3,1624098253, 0, 0, 42, 42, 10, 11.36%, 0, 0, 2, 4.25
AFLfast,pdftotext,3,1624098268, 0, 0, 44, 44, 10, 11.36%, 0, 0, 2, 4.36
AFLfast,pdftotext,3,1624098273, 0, 0, 45, 45, 10, 11.39%, 0, 0, 2, 4.69
AFLfast,pdftotext,3,1624098279, 0, 0, 46, 46, 10, 11.39%, 0, 0, 2, 4.81
AFLfast,pdftotext,3,1624098289, 0, 0, 49, 49, 10, 11.42%, 0, 0, 2, 5.03
AFLfast,pdftotext,3,1624098294, 0, 0, 50, 50, 10, 11.42%, 0, 0, 2, 5.09
AFLfast,pdftotext,3,1624098299, 0, 0, 51, 51, 10, 11.42%, 0, 0, 2, 5.05
AFLfast,pdftotext,3,1624098304, 0, 0, 52, 52, 10, 11.43%, 0, 0, 2, 5.14
AFLfast,pdftotext,3,1624098315, 0, 0, 53, 53, 10, 11.43%, 0, 0, 2, 4.96
AFLfast,pdftotext,3,1624098325, 0, 0, 54, 54, 10, 11.43%, 0, 0, 2, 5.08
AFLfast,pdftotext,3,1624098330, 0, 0, 55, 55, 10, 11.44%, 0, 0, 2, 5.06
AFLfast,pdftotext,3,1624098335, 0, 0, 56, 56, 10, 11.45%, 0, 0, 2, 5.02
AFLfast,pdftotext,3,1624098340, 0, 0, 58, 58, 10, 11.54%, 0, 0, 2, 4.45
AFLfast,pdftotext,3,1624098346, 0, 0, 61, 61, 10, 11.62%, 0, 0, 2, 4.61
AFLfast,pdftotext,3,1624098351, 0, 0, 64, 64, 10, 11.70%, 0, 0, 2, 4.51
AFLfast,pdftotext,3,1624098356, 0, 0, 67, 67, 10, 11.71%, 0, 0, 2, 4.70
AFLfast,pdftotext,3,1624098361, 0, 0, 70, 70, 10, 11.71%, 0, 0, 2, 4.91
AFLfast,pdftotext,3,1624098367, 0, 0, 72, 72, 10, 11.72%, 0, 0, 2, 4.82
AFLfast,pdftotext,3,1624098372, 0, 0, 75, 75, 10, 11.72%, 0, 0, 2, 5.01
AFLfast,pdftotext,3,1624098377, 0, 0, 77, 77, 10, 11.72%, 0, 0, 2, 4.96
AFLfast,pdftotext,3,1624098382, 0, 0, 79, 79, 10, 11.72%, 0, 0, 2, 5.02
AFLfast,pdftotext,3,1624098387, 0, 0, 81, 81, 10, 11.75%, 0, 0, 2, 4.97
AFLfast,pdftotext,3,1624098393, 0, 0, 84, 84, 10, 11.75%, 0, 0, 2, 4.97
AFLfast,pdftotext,3,1624098398, 0, 0, 86, 86, 10, 11.76%, 0, 0, 2, 4.09
AFLfast,pdftotext,3,1624098403, 0, 0, 88, 88, 10, 11.76%, 0, 0, 2, 4.60
AFLfast,pdftotext,3,1624098408, 0, 0, 91, 91, 10, 11.76%, 0, 0, 2, 4.91
AFLfast,pdftotext,3,1624098413, 0, 0, 94, 94, 10, 11.76%, 0, 0, 2, 4.90
AFLfast,pdftotext,3,1624098418, 0, 0, 96, 96, 10, 11.78%, 0, 0, 2, 4.64
AFLfast,pdftotext,3,1624098423, 0, 0, 98, 98, 10, 11.78%, 0, 0, 2, 4.93
AFLfast,pdftotext,3,1624098428, 0, 0, 101, 101, 10, 11.78%, 0, 0, 2, 4.80
AFLfast,pdftotext,3,1624098433, 0, 0, 103, 103, 10, 11.78%, 0, 0, 2, 4.69
AFLfast,pdftotext,3,1624098438, 0, 0, 105, 105, 10, 11.78%, 0, 0, 2, 4.89
