alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,objdump,4,1624815522, 0, 0, 1, 1, 1, 0.00%, 0, 0, 1, 18.87
AFLfast,objdump,4,1624816826, 2855, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816831, 6172, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816836, 9300, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816841, 12653, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816847, 15720, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816852, 20046, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816857, 23323, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816862, 26356, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816868, 29789, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816873, 32975, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816878, 35934, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816883, 39813, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816888, 43002, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816894, 47969, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816899, 51387, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816904, 54734, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816909, 58141, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816914, 61523, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816919, 64910, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816924, 68164, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816929, 71181, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816935, 74288, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816940, 77569, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816945, 80707, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816950, 83910, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816955, 87075, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816960, 90362, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816965, 93356, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816970, 96644, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816976, 100145, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816981, 103298, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816986, 106260, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816991, 109709, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624816996, 112850, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817001, 116198, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817006, 119307, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817012, 122422, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817017, 125618, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817022, 128615, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817027, 131774, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817032, 134763, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817037, 137825, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817043, 140840, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817048, 143785, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817053, 146749, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817058, 149397, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817063, 152070, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817068, 155231, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817074, 158542, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817079, 161660, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817084, 164535, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817089, 167640, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817094, 170643, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817099, 173331, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817104, 176179, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817110, 179266, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817115, 182361, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817120, 185334, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817125, 188220, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817131, 191053, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817136, 194143, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817141, 197189, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817146, 199981, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817151, 202681, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817156, 205362, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817161, 208091, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817166, 210785, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817171, 213523, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817176, 216161, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817182, 218882, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817187, 221550, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817192, 224218, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817197, 226804, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817202, 229452, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817207, 232197, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817212, 234923, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817217, 237589, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817223, 240184, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817228, 242767, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817233, 245383, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,objdump,4,1624817238, 247986, 0, 1, 0, 0, 0.00%, 0, 0, 1, 0.00
